Pos,Name,BV,SV,Team,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,Özil,6.7,6.7,Arsenal,0,0,0,0,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0,0,0,0,0
D,David Luiz,5.4,5.4,Arsenal,0,0,77,3.022,76,2.898
M,Aubameyang,11.3,11.3,Arsenal,0,0,41,2.88,40,2.719
D,Cédric,4.6,4.6,Arsenal,0,0,2,0.082,2,0.08
F,Lacazette,8.4,8.4,Arsenal,0,0,56,3.662,55,3.488
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,0,0
G,Leno,5.0,5.0,Arsenal,0,0,78,3.391,77,3.309
M,Xhaka,5.2,5.2,Arsenal,0,0,70,2.161,68,2.084
D,Marí,4.4,4.4,Arsenal,0,0,9,0.359,10,0.388
D,Bellerín,5.0,5.0,Arsenal,0,0,18,0.761,18,0.741
G,Martínez,5.4,5.4,Aston Villa,89,3.761,89,3.191,87,3.224
D,Chambers,4.5,4.5,Arsenal,0,0,68,2.893,68,2.812
D,Kolasinac,4.8,4.8,Arsenal,0,0,0,0,0,0
D,Maitland-Niles,4.6,4.6,West Brom,70,1.115,68,1.816,66,1.633
D,Holding,4.3,4.2,Arsenal,0,0,43,1.7,44,1.697
D,Tierney,5.2,5.2,Arsenal,0,0,82,3.513,81,3.375
M,Pépé,7.6,7.6,Arsenal,0,0,48,2.819,47,2.683
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0
M,Willock,4.7,4.7,Newcastle,58,1.883,60,2.743,59,2.284
M,Nelson,5.1,5.1,Arsenal,0,0,0,0,0,0
F,Nketiah,5.3,5.3,Arsenal,0,0,4,0.235,6,0.342
M,Smith Rowe,4.2,4.2,Arsenal,0,0,39,1.842,38,1.757
M,Saka,5.1,5.1,Arsenal,0,0,47,2.52,44,2.295
M,Guendouzi,4.7,4.7,Arsenal,0,0,0,0,0,0
M,Martinelli,4.9,4.9,Arsenal,0,0,43,2.331,44,2.312
D,Saliba,4.0,4.0,Arsenal,0,0,0,0,0,0
G,Heaton,4.5,4.5,Aston Villa,0,0,0,0,0,0
D,El Mohamady,4.2,4.2,Aston Villa,4,0.148,9,0.22,9,0.246
M,Lansbury,4.3,4.3,Aston Villa,0,0,0,0,0,0
D,Taylor,4.2,4.2,Aston Villa,1,0.034,1,0.023,2,0.051
G,Steer,3.9,3.9,Aston Villa,0,0,0,0,1,0.037
M,Hourihane,5.9,5.9,Aston Villa,0,0,0,0,0,0
M,Jota,5.9,5.9,Aston Villa,0,0,0,0,0,0
G,Nyland,4.0,4.0,Aston Villa,0,0,0,0,0,0
D,Engels,4.4,4.4,Aston Villa,0,0,1,0.025,2,0.055
M,Grealish,7.5,7.5,Aston Villa,54,2.802,81,3.344,80,3.247
M,McGinn,5.5,5.5,Aston Villa,87,2.907,82,2.424,79,2.361
D,Hause,4.4,4.4,Aston Villa,2,0.072,10,0.242,12,0.323
M,Trézéguet,5.2,5.2,Aston Villa,0,0,0,0,0,0
D,Mings,5.4,5.4,Aston Villa,88,3.106,85,1.875,81,2.043
D,Targett,5.0,5.0,Aston Villa,88,3.388,85,2.051,84,2.286
D,Bree,4.5,4.5,Aston Villa,0,0,0,0,0,0
M,Nakamba,4.3,4.3,Aston Villa,11,0.368,9,0.28,8,0.25
M,El Ghazi,5.2,5.2,Aston Villa,46,2.626,33,1.56,29,1.349
D,Konsa,4.7,4.7,Aston Villa,88,3.116,85,1.88,84,2.117
D,Guilbert,4.3,4.3,Aston Villa,0,0,0,0,0,0
F,Wesley,6.0,6.0,Aston Villa,15,0.805,14,0.65,13,0.589
F,Samatta,5.9,5.9,Aston Villa,0,0,0,0,0,0
F,Davis,4.2,4.2,Aston Villa,10,0.488,9,0.387,9,0.379
F,Vassilev,4.3,4.3,Aston Villa,0,0,0,0,0,0
M,Douglas Luiz,4.8,4.8,Aston Villa,76,2.332,67,1.882,68,1.916
F,Murray,4.8,4.8,Brighton,0,0,0,0,0,0
M,Lallana,6.2,6.2,Brighton,29,1.114,51,1.668,61,2.179
M,Stephens,4.2,4.2,Burnley,3,0.1,3,0.093,3,0.104
G,Button,3.9,3.9,West Brom,0,0,0,0,0,0
M,Groß,5.8,5.8,Brighton,83,4.011,77,2.985,70,3.071
