Pos,Name,BV,SV,Team,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts
M,Özil,6.7,6.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,David Luiz,5.4,5.4,Arsenal,65,2.172,68,1.854,67,3.015,67,2.858,67,2.731,66,2.938,65,3.213,64,1.624
M,Aubameyang,11.4,11.4,Arsenal,68,3.928,67,3.634,68,4.425,66,4.31,67,4.328,67,4.54,66,5.017,66,3.148
D,Cédric,4.6,4.6,Arsenal,10,0.349,14,0.402,17,0.788,16,0.704,22,0.929,19,0.871,21,1.069,22,0.585
F,Lacazette,8.1,8.1,Arsenal,56,2.988,56,2.855,54,3.17,55,3.244,55,3.248,53,3.247,54,3.665,54,2.418
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Leno,5.0,5.0,Arsenal,88,3.601,87,3.275,86,4.019,86,3.873,86,3.791,85,3.927,85,4.116,84,3.125
M,Xhaka,5.2,5.2,Arsenal,84,2.311,81,2.143,81,2.499,81,2.471,77,2.34,77,2.429,79,2.648,72,1.867
D,Marí,4.4,4.4,Arsenal,62,2.05,58,1.561,57,2.55,58,2.447,59,2.381,57,2.513,59,2.871,59,1.487
D,Bellerín,5.1,5.1,Arsenal,76,2.701,75,2.169,74,3.537,73,3.309,70,3.035,71,3.361,70,3.688,71,1.899
G,Martínez,5.4,5.0,Aston Villa,89,3.389,89,3.688,87,3.043,87,3.043,86,3.882,86,3.343,85,3.071,84,3.623
D,Chambers,4.5,4.5,Arsenal,1,0.035,2,0.059,4,0.186,3,0.133,3,0.128,4,0.184,5,0.255,4,0.11
D,Kolasinac,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Maitland-Niles,4.6,4.6,West Brom,0,0,79,1.278,62,2.045,63,1.391,62,1.571,64,2.128,61,1.306,62,1.163
D,Holding,4.3,4.3,Arsenal,47,1.663,46,1.343,48,2.29,47,2.125,47,2.034,50,2.357,46,2.4,48,1.305
D,Tierney,5.2,5.2,Arsenal,82,3.088,79,2.439,76,3.839,80,3.833,80,3.661,76,3.803,74,4.094,72,2.061
M,Pépé,7.6,7.6,Arsenal,40,2.159,30,1.537,28,1.698,31,1.869,34,2.036,34,2.114,34,2.347,33,1.5
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Willock,4.7,4.7,Newcastle,68,2.292,58,2.087,55,2.085,56,2.111,53,1.734,53,1.923,56,1.942,56,1.751
M,Nelson,5.1,5.1,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Nketiah,5.4,5.4,Arsenal,6,0.346,5,0.275,5,0.308,6,0.371,5,0.309,6,0.381,5,0.352,6,0.294
M,Smith Rowe,4.2,4.2,Arsenal,55,2.3,53,2.105,54,2.509,52,2.403,50,2.298,52,2.483,52,2.711,53,1.942
M,Saka,5.3,5.3,Arsenal,48,2.425,69,3.198,70,3.879,70,3.87,69,3.78,69,3.939,69,4.369,69,2.851
M,Guendouzi,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Martinelli,4.9,4.9,Arsenal,2,0.108,3,0.154,3,0.179,4,0.238,4,0.237,4,0.246,4,0.27,4,0.184
D,Saliba,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Heaton,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.128
D,El Mohamady,4.3,4.3,Aston Villa,13,0.446,17,0.72,16,0.374,19,0.395,19,0.967,19,0.679,19,0.537,20,0.906
M,Lansbury,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Taylor,4.2,4.2,Aston Villa,1,0.03,3,0.107,2,0.041,2,0.037,3,0.127,4,0.123,4,0.098,4,0.153
G,Steer,3.9,3.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,2,0.072,2,0.085
M,Hourihane,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Jota,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
