Pos,ID,Name,BV,SV,Team,11_xMins,12_xMins,13_xMins,14_xMins,15_xMins,16_xMins,17_xMins,18_xMins,19_xMins,20_xMins,11_Pts,12_Pts,13_Pts,14_Pts,15_Pts,16_Pts,17_Pts,18_Pts,19_Pts,20_Pts
G,1,Raya,5.8,5.8,Arsenal,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,4.50,4.31,3.88,4.36,3.95,4.59,4.15,4.07,4.22,3.91
G,2,Arrizabalaga,4.2,4.2,Arsenal,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05
G,4,Setford,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,6.6,6.6,Arsenal,84.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45,5.73,5.20,4.33,5.06,4.54,5.92,4.94,4.39,4.89,4.19
D,6,Saliba,6.0,6.0,Arsenal,84.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45,5.08,4.52,3.73,4.44,3.95,5.24,4.39,3.91,4.37,3.75
D,7,Calafiori,5.8,5.8,Arsenal,71.85,71.85,71.85,71.85,71.85,71.85,71.85,71.85,71.85,71.85,4.55,4.44,3.42,4.41,3.74,4.80,3.91,4.13,4.23,3.74
D,8,J.Timber,6.1,6.1,Arsenal,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,4.79,4.67,3.65,4.56,4.10,5.01,4.13,4.18,4.35,3.89
D,10,Lewis-Skelly,5.2,5.2,Arsenal,24.60,24.60,24.60,24.60,24.60,24.60,24.60,24.60,24.60,24.60,1.11,1.10,0.93,1.08,0.98,1.17,1.01,1.06,1.07,0.99
D,11,White,5.3,5.3,Arsenal,13.50,13.50,13.50,13.50,13.50,13.50,13.50,13.50,13.50,13.50,0.72,0.71,0.60,0.71,0.64,0.75,0.66,0.67,0.68,0.63
D,12,Zinchenko,4.9,4.9,Nott'm Forest,0.00,0.00,0.00,72.15,72.15,72.15,72.15,72.15,72.15,72.15,0.00,0.00,0.00,3.35,2.91,3.16,2.93,2.38,3.38,2.69
D,13,Clarke,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,10.1,10.1,Arsenal,83.25,84.15,84.15,79.05,79.05,79.05,79.05,79.05,79.05,79.05,6.29,6.35,5.08,5.88,5.10,6.36,5.10,5.79,5.60,5.30
M,17,Ødegaard,7.8,7.8,Arsenal,0.00,14.55,38.10,77.55,77.55,77.55,77.55,77.55,77.55,77.55,0.00,0.86,1.88,4.48,4.00,4.73,3.96,4.36,4.27,3.96
M,18,Madueke,6.8,6.8,Arsenal,0.00,2.25,14.10,21.00,21.00,21.00,21.00,21.00,21.00,21.00,0.00,0.14,0.74,1.27,1.12,1.38,1.13,1.28,1.24,1.16
M,19,Martinelli,6.8,6.8,Arsenal,0.00,1.65,8.25,12.15,12.15,12.15,12.15,12.15,12.15,12.15,0.00,0.11,0.46,0.79,0.69,0.83,0.69,0.78,0.75,0.71
M,20,Trossard,6.9,6.9,Arsenal,83.25,78.15,48.75,28.65,28.65,28.65,28.65,28.65,28.65,28.65,5.12,4.96,2.52,1.84,1.58,1.96,1.61,1.79,1.75,1.65
M,21,Rice,6.8,6.8,Arsenal,86.10,84.75,84.75,78.15,78.15,78.15,78.15,78.15,78.15,78.15,4.48,4.51,3.85,3.99,3.59,4.30,3.77,3.90,3.89,3.63
M,22,Merino,5.9,5.9,Arsenal,84.00,40.35,25.80,20.40,20.40,20.40,20.40,20.40,20.40,20.40,5.04,2.45,1.33,1.23,1.08,1.32,1.10,1.22,1.19,1.12
