Pos,ID,Name,BV,SV,Team,31_xMins,32_xMins,33_xMins,34_xMins,35_xMins,36_xMins,37_xMins,38_xMins,31_Pts,32_Pts,33_Pts,34_Pts,35_Pts,36_Pts,37_Pts,38_Pts
G,1,Raya,6.0,6.0,Arsenal,0.00,89.10,178.20,0.00,89.10,89.10,89.10,89.10,0.00,3.95,7.63,0.00,4.23,3.97,4.65,4.27
G,2,Arrizabalaga,4.0,4.0,Arsenal,0.00,1.20,2.40,0.00,1.20,1.20,1.20,1.20,0.00,0.05,0.09,0.00,0.05,0.05,0.05,0.05
G,4,Setford,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,7.2,7.2,Arsenal,0.00,85.65,171.30,0.00,85.65,85.65,85.65,85.65,0.00,5.32,9.27,0.00,5.48,5.18,6.18,5.53
D,6,Saliba,6.1,6.1,Arsenal,0.00,85.65,171.30,0.00,85.65,85.65,85.65,85.65,0.00,4.22,7.40,0.00,4.47,4.15,5.00,4.40
D,7,Calafiori,5.6,5.6,Arsenal,0.00,22.20,44.40,0.00,22.20,22.20,22.20,22.20,0.00,1.17,2.07,0.00,1.22,1.13,1.33,1.15
D,8,J.Timber,6.3,6.3,Arsenal,0.00,84.00,168.00,0.00,84.00,84.00,84.00,84.00,0.00,4.75,8.18,0.00,5.06,4.61,5.81,4.73
D,10,Lewis-Skelly,5.1,5.1,Arsenal,0.00,9.45,18.90,0.00,9.45,9.45,9.45,9.45,0.00,0.39,0.66,0.00,0.37,0.35,0.40,0.36
D,11,White,5.1,5.1,Arsenal,0.00,4.65,9.30,0.00,4.65,4.65,4.65,4.65,0.00,0.22,0.40,0.00,0.22,0.22,0.24,0.22
D,13,Clarke,3.8,3.8,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,3.7,3.7,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,9.8,9.8,Arsenal,0.00,77.10,154.20,0.00,77.10,77.10,77.10,77.10,0.00,5.62,9.47,0.00,5.46,5.12,6.32,4.89
