Pos,ID,Name,BV,SV,Team,35_xMins,36_xMins,37_xMins,38_xMins,35_Pts,36_Pts,37_Pts,38_Pts
M,48,Tielemans,5.9,5.9,Aston Villa,79.80,79.80,79.80,79.80,3.87,4.22,3.62,3.20
M,49,Bailey,5.5,5.5,Aston Villa,3.75,3.75,3.75,3.75,0.19,0.21,0.19,0.16
M,50,Buendía,5.3,5.3,Aston Villa,45.00,45.00,45.00,45.00,2.53,2.78,2.35,2.01
M,52,J.Ramsey,5.3,5.3,Newcastle,42.30,42.30,42.30,42.30,1.75,1.73,1.90,1.74
M,54,McGinn,5.3,5.3,Aston Villa,75.45,75.45,75.45,75.45,3.42,3.75,3.18,2.66
M,55,Barkley,4.8,4.8,Aston Villa,54.90,54.90,54.90,54.90,2.69,2.92,2.51,2.16
M,58,Kamara,4.9,4.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,59,Onana,4.8,4.8,Aston Villa,0.00,70.80,70.80,70.80,0.00,3.18,2.81,2.61
F,64,Watkins,8.8,8.8,Aston Villa,76.50,76.50,76.50,76.50,4.24,4.77,4.01,3.21
G,67,Petrović,4.6,4.6,Bournemouth,89.10,89.10,89.10,89.10,3.64,2.79,2.51,3.23
G,69,McKenna,3.9,3.9,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,72,Senesi,5.2,5.2,Bournemouth,87.45,87.45,87.45,87.45,4.91,3.76,2.90,3.86
D,73,Smith,4.4,4.4,Bournemouth,22.20,22.20,22.20,22.20,0.94,0.77,0.67,0.80
D,74,Truffert,4.7,4.7,Bournemouth,87.45,87.45,87.45,87.45,4.47,3.34,2.54,3.50
D,75,Akinmboni,3.8,3.8,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,76,Bevan,3.8,3.8,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,77,Hill,4.2,4.2,Bournemouth,87.45,87.45,87.45,87.45,4.98,3.86,3.02,3.99
D,80,Soler,3.9,3.9,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,81,Kluivert,6.9,6.9,Bournemouth,0.00,21.30,21.30,21.30,0.00,1.24,1.10,1.16
M,82,Semenyo,8.2,8.2,Man City,76.50,153.00,76.50,76.50,4.60,10.18,4.42,4.82
M,83,O.Dango,5.8,5.8,Brentford,75.45,75.45,75.45,75.45,4.29,3.13,4.21,3.41
M,84,Tavernier,5.4,5.4,Bournemouth,80.40,80.40,80.40,80.40,4.88,4.21,3.69,4.03
M,85,Adams,4.9,4.9,Bournemouth,70.80,67.20,67.20,67.20,2.79,2.46,2.47,2.65
M,86,Brooks,5.0,5.0,Bournemouth,24.60,21.45,21.45,21.45,1.42,1.12,0.98,1.06
M,87,Christie,4.9,4.9,Bournemouth,31.35,24.75,24.75,24.75,1.60,1.15,1.09,1.14
M,88,Cook,4.9,4.9,Bournemouth,0.00,9.90,9.90,9.90,0.00,0.44,0.41,0.44
M,90,Scott,5.1,5.1,Bournemouth,83.25,83.25,83.25,83.25,4.41,4.06,3.80,4.18
F,97,Evanilson,6.7,6.7,Bournemouth,75.75,75.75,75.75,75.75,4.00,3.57,3.16,3.33
F,98,Enes Ünal,5.4,5.4,Bournemouth,12.00,12.00,12.00,12.00,0.74,0.71,0.58,0.65
F,100,Kroupi.Jr,4.6,4.6,Bournemouth,49.35,64.20,64.20,64.20,2.99,3.55,3.05,3.22
G,101,Kelleher,4.8,4.8,Brentford,89.10,89.10,89.10,89.10,3.32,2.17,3.72,2.61
G,102,Balcombe,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,104,Eyestone,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,105,Valdimarsson,3.8,3.8,Brentford,0.90,0.90,0.90,0.90,0.03,0.02,0.03,0.02
D,106,Collins,4.9,4.9,Brentford,81.00,81.00,81.00,81.00,3.63,2.23,4.31,3.05
D,107,Lewis-Potter,4.8,4.8,Brentford,66.15,66.15,66.15,66.15,3.57,1.84,3.82,2.43
D,108,Ajer,4.4,4.4,Brentford,38.70,38.70,38.70,38.70,1.67,1.04,1.91,1.39
D,109,Henry,4.3,4.3,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,110,Kayode,4.6,4.6,Brentford,85.35,85.35,85.35,85.35,3.54,1.71,3.97,2.47
D,111,Pinnock,4.2,4.2,Brentford,9.45,9.45,9.45,9.45,0.49,0.37,0.55,0.43
D,113,Van den Berg,4.5,4.5,Brentford,80.70,80.70,80.70,80.70,3.48,2.04,4.01,2.85
D,116,Hickey,4.0,4.0,Brentford,31.50,31.50,31.50,31.50,1.31,0.78,1.45,0.99
M,119,Mbeumo,8.4,8.4,Man Utd,77.70,68.10,68.10,68.10,4.34,3.92,4.12,3.52
M,120,Schade,6.9,6.9,Brentford,78.45,78.45,78.45,78.45,4.40,3.13,4.31,3.49
M,121,Damsgaard,5.6,5.6,Brentford,80.10,63.45,63.45,63.45,4.12,2.70,3.34,2.88
M,122,Milambo,5.2,5.2,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,123,Carvalho,4.6,4.6,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,124,Henderson,5.0,5.0,Brentford,31.05,54.00,54.00,54.00,1.18,1.83,2.08,1.89
M,125,Janelt,4.9,4.9,Brentford,24.45,48.45,48.45,48.45,1.11,1.95,2.21,2.03
M,126,Jensen,4.9,4.9,Brentford,83.25,80.55,80.55,80.55,3.66,2.91,3.54,3.07
M,129,Yarmoliuk,5.0,5.0,Brentford,80.40,57.30,57.30,57.30,3.05,2.05,2.29,2.13
M,130,Donovan,4.4,4.4,Brentford,4.50,4.50,4.50,4.50,0.25,0.19,0.22,0.20
F,135,Wissa,7.3,7.3,Newcastle,12.30,12.30,12.30,12.30,0.70,0.67,0.74,0.68
F,136,Thiago,7.4,7.4,Brentford,84.15,84.15,84.15,84.15,5.16,3.63,4.99,3.99
G,138,Steele,4.2,4.2,Brighton,0.90,0.90,0.90,0.90,0.03,0.04,0.03,0.03
G,139,Verbruggen,4.5,4.5,Brighton,89.10,89.10,89.10,89.10,3.41,3.81,3.41,3.41
G,140,McGill,3.9,3.9,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,143,Boscagli,4.2,4.2,Brighton,71.10,71.10,71.10,71.10,2.97,3.77,3.27,2.93
D,145,De Cuyper,4.3,4.3,Brighton,15.75,15.75,15.75,15.75,0.71,0.96,0.73,0.76
D,146,Dunk,4.5,4.5,Brighton,22.65,22.65,22.65,22.65,0.88,1.08,0.93,0.88
D,148,F.Kadıoğlu,4.4,4.4,Brighton,85.35,85.35,85.35,85.35,3.18,4.48,3.43,3.21
D,149,Igor,4.5,4.5,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,151,Van Hecke,4.6,4.6,Brighton,87.45,87.45,87.45,87.45,3.70,4.76,4.03,3.67
D,152,Veltman,4.3,4.3,Brighton,16.65,16.65,16.65,16.65,0.69,0.81,0.72,0.68
D,153,Webster,4.4,4.4,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,156,Tasker,3.8,3.8,Brighton,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01
M,157,Mitoma,6.1,6.1,Brighton,81.90,69.90,43.80,43.80,3.92,4.32,2.08,2.15
M,158,Georginio,5.6,5.6,Brighton,18.90,18.90,18.90,18.90,0.94,1.18,0.93,0.94
M,159,March,5.8,5.8,Brighton,3.00,3.00,3.00,3.00,0.14,0.17,0.15,0.14
M,160,Minteh,5.5,5.5,Brighton,80.70,72.00,66.30,66.30,3.85,4.48,3.15,3.25
M,163,Hinshelwood,5.1,5.1,Brighton,79.80,79.80,79.80,79.80,3.26,4.10,3.13,3.24
M,164,O'Riley,5.5,5.5,Brighton,3.75,3.75,3.75,3.75,0.18,0.21,0.19,0.18
M,166,Ayari,4.8,4.8,Brighton,58.65,30.30,30.30,30.30,2.64,1.52,1.28,1.33
M,167,Baleba,4.5,4.5,Brighton,52.80,27.60,27.60,27.60,2.09,1.16,1.02,1.06
M,168,Buonanotte,4.6,4.6,Leeds United,4.50,4.50,0.00,4.50,0.31,0.24,0.00,0.22
M,169,Gomez,4.9,4.9,Brighton,0.00,41.10,71.70,71.70,0.00,2.63,3.55,3.76
M,170,Milner,4.9,4.9,Brighton,0.00,35.10,35.10,35.10,0.00,1.67,1.39,1.44
M,173,Wieffer,4.9,4.9,Brighton,80.70,80.70,80.70,80.70,3.70,3.85,3.75,3.49
F,178,Welbeck,6.3,6.3,Brighton,75.75,75.75,75.75,75.75,4.16,5.42,3.85,4.10
F,180,Tzimas,5.2,5.2,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,181,Kostoulas,4.8,4.8,Brighton,19.80,19.80,19.80,19.80,1.00,1.24,0.96,0.97
G,182,Trafford,4.5,4.5,Man City,1.80,3.60,1.80,1.80,0.07,0.15,0.07,0.07
G,183,Weiss,4.2,4.2,Burnley,0.90,0.90,0.90,0.90,0.02,0.03,0.02,0.03
G,185,Hladký,3.9,3.9,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,186,Roberts,4.3,4.3,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,187,Walker,4.4,4.4,Burnley,74.10,74.10,74.10,74.10,1.70,1.89,1.30,2.71
D,190,Ekdal,3.8,3.8,Burnley,20.10,20.10,20.10,20.10,0.76,0.74,0.66,0.91
D,191,Estève,3.9,3.9,Burnley,87.45,87.45,87.45,87.45,2.95,2.94,2.42,3.88
D,192,Hartman,4.0,4.0,Burnley,58.50,58.50,58.50,58.50,1.60,1.95,1.22,2.64
D,193,Humphreys,3.9,3.9,Burnley,85.20,85.20,85.20,85.20,2.46,2.50,1.96,3.44
D,194,Jordan,3.9,3.9,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,195,Lucas Pires,3.8,3.8,Burnley,26.40,26.40,26.40,26.40,0.78,0.85,0.61,1.11
D,198,Tuanzebe,3.9,3.9,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,199,Worrall,3.8,3.8,Burnley,38.40,38.40,38.40,38.40,1.42,1.41,1.20,1.75
M,200,Anthony,5.0,5.0,Burnley,80.40,80.40,80.40,80.40,3.29,3.68,2.79,4.32
M,202,Bruun Larsen,5.2,5.2,Burnley,11.70,11.70,11.70,11.70,0.46,0.48,0.41,0.54
M,203,Boateng,4.7,4.7,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,205,Cullen,4.9,4.9,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,206,Edwards,4.7,4.7,Burnley,45.00,45.00,45.00,45.00,1.82,1.96,1.55,2.27
M,207,Hannibal,4.7,4.7,Burnley,65.40,65.40,65.40,65.40,2.13,2.32,1.92,2.64
M,209,Laurent,4.8,4.8,Burnley,54.90,54.90,54.90,54.90,1.71,1.61,1.63,1.74
M,210,Tchaouna,4.8,4.8,Burnley,15.45,15.45,15.45,15.45,0.62,0.65,0.58,0.77
M,214,Trésor,4.3,4.3,Burnley,5.70,5.70,5.70,5.70,0.23,0.22,0.20,0.25
F,215,Flemming,5.3,5.3,Burnley,78.45,78.45,78.45,78.45,3.03,3.37,2.54,3.89
F,216,Amdouni,4.8,4.8,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,217,Foster,4.9,4.9,Burnley,45.00,45.00,45.00,45.00,1.77,1.88,1.51,2.16
F,218,Barnes,4.2,4.2,Burnley,1.50,1.50,1.50,1.50,0.06,0.07,0.06,0.08
G,220,Sánchez,4.8,4.8,Chelsea,89.10,89.10,89.10,89.10,3.49,2.40,3.39,3.57
G,221,Jörgensen,4.3,4.3,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,223,Slonina,3.9,3.9,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,224,Cucurella,6.1,6.1,Chelsea,74.40,74.40,74.40,74.40,3.33,2.29,3.33,3.38
D,225,James,5.6,5.6,Chelsea,35.25,35.25,35.25,35.25,1.85,1.29,1.80,1.76
D,226,Chalobah,5.4,5.4,Chelsea,85.95,85.95,85.95,85.95,3.92,2.93,4.01,4.08
D,227,Colwill,4.7,4.7,Chelsea,6.00,6.00,6.00,6.00,0.25,0.21,0.21,0.21
D,228,Gusto,4.9,4.9,Chelsea,64.20,64.20,64.20,64.20,3.46,2.29,3.42,3.42
D,229,B.Badiashile,4.4,4.4,Chelsea,11.25,11.25,11.25,11.25,0.52,0.45,0.54,0.54
D,230,Fofana,4.4,4.4,Chelsea,51.00,51.00,51.00,51.00,2.48,2.04,2.60,2.63
D,231,M.Sarr,4.5,4.5,Chelsea,11.10,11.10,11.10,11.10,0.49,0.41,0.51,0.51
D,232,Tosin,4.0,4.0,Chelsea,15.75,15.75,15.75,15.75,0.65,0.61,0.67,0.67
D,233,Acheampong,3.7,3.7,Chelsea,11.25,11.25,11.25,11.25,0.53,0.43,0.54,0.53
M,235,Palmer,10.5,10.5,Chelsea,80.40,80.40,80.40,80.40,5.25,4.28,5.31,4.71
M,236,Neto,7.0,7.0,Chelsea,72.45,72.45,72.45,72.45,3.92,3.26,3.96,3.65
M,237,Enzo,6.5,6.5,Chelsea,81.90,81.90,81.90,81.90,4.55,3.61,4.37,4.02
M,238,Estêvão,6.4,6.4,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,239,Gittens,6.0,6.0,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,241,Caicedo,5.7,5.7,Chelsea,84.90,84.90,84.90,84.90,3.50,3.25,3.56,3.33
M,242,Dewsbury-Hall,5.2,5.2,Everton,83.85,83.85,83.85,83.85,3.37,4.01,4.23,3.87
M,243,George,4.8,4.8,Everton,13.20,13.20,13.20,13.20,0.52,0.59,0.61,0.58
M,244,Lavia,4.9,4.9,Chelsea,47.10,25.05,25.05,25.05,1.79,0.85,0.96,0.92
M,245,Mudryk,4.9,4.9,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,246,Andrey Santos,4.5,4.5,Chelsea,19.20,40.80,40.80,40.80,0.84,1.58,1.83,1.69
M,247,D.Essugo,4.3,4.3,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,249,João Pedro,7.5,7.5,Chelsea,77.85,77.85,77.85,77.85,4.75,4.00,4.79,4.25
F,250,Delap,6.2,6.2,Chelsea,26.55,26.55,26.55,26.55,1.53,1.31,1.54,1.45
F,252,Marc Guiu,4.0,4.0,Chelsea,1.50,1.50,1.50,1.50,0.09,0.08,0.09,0.08
G,253,Henderson,5.1,5.1,Crystal Palace,89.10,178.20,89.10,89.10,2.76,5.70,2.94,2.94
G,254,Benitez,3.9,3.9,Crystal Palace,0.90,1.80,0.90,0.90,0.03,0.06,0.03,0.03
G,255,Matthews,3.9,3.9,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,256,Muñoz,5.8,5.8,Crystal Palace,87.45,174.90,87.45,87.45,3.31,6.55,3.63,3.23
D,257,Lacroix,5.1,5.1,Crystal Palace,86.10,172.20,86.10,86.10,3.58,7.04,3.89,3.64
D,258,Mitchell,5.0,5.0,Crystal Palace,85.20,170.40,85.20,85.20,2.67,5.41,3.00,2.78
D,259,Sosa,4.8,4.8,Crystal Palace,5.40,10.80,5.40,5.40,0.20,0.41,0.21,0.20
D,260,Guéhi,5.1,5.1,Man City,81.30,162.60,81.30,81.30,4.38,9.11,3.89,4.23
D,261,Richards,4.4,4.4,Crystal Palace,84.60,169.20,84.60,84.60,3.34,6.54,3.69,3.36
D,262,Chadi Riad,4.0,4.0,Crystal Palace,10.05,20.10,10.05,10.05,0.37,0.73,0.38,0.37
D,263,Clyne,3.8,3.8,Crystal Palace,2.25,4.50,2.25,2.25,0.09,0.18,0.09,0.09
D,265,Kporha,4.0,4.0,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,266,Eze,7.2,7.2,Arsenal,68.10,47.85,47.85,47.85,4.12,2.77,3.44,2.74
M,267,Sarr,6.3,6.3,Crystal Palace,64.20,128.40,64.20,64.20,2.90,5.76,2.98,2.62
M,268,Doucouré,4.9,4.9,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,270,Hughes,4.7,4.7,Crystal Palace,58.65,117.30,58.65,58.65,1.88,3.75,1.91,1.78
M,271,Kamada,5.0,5.0,Crystal Palace,40.95,81.90,40.95,40.95,1.58,3.12,1.57,1.45
M,272,Lerma,4.9,4.9,Crystal Palace,59.85,119.70,59.85,59.85,2.25,4.41,2.23,2.02
M,273,Wharton,5.0,5.0,Crystal Palace,60.30,120.60,60.30,60.30,2.48,4.89,2.45,2.23
M,274,Agbinone,4.3,4.3,Crystal Palace,0.30,0.60,0.30,0.30,0.01,0.03,0.01,0.01
M,276,Devenny,4.3,4.3,Crystal Palace,9.15,18.30,9.15,9.15,0.40,0.79,0.41,0.35
M,281,Rodney,4.4,4.4,Crystal Palace,0.30,0.60,0.30,0.30,0.01,0.02,0.01,0.01
F,283,Mateta,7.6,7.6,Crystal Palace,42.60,85.20,42.60,42.60,2.11,4.18,2.16,1.91
F,284,Nketiah,5.4,5.4,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,286,Marsh,4.4,4.4,Crystal Palace,0.30,0.60,0.30,0.30,0.01,0.03,0.01,0.01
G,287,Pickford,5.6,5.6,Everton,89.10,89.10,89.10,89.10,2.44,3.43,3.91,3.23
G,288,Travers,4.2,4.2,Everton,0.90,0.90,0.90,0.90,0.03,0.03,0.04,0.03
D,290,Branthwaite,5.3,5.3,Everton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,291,Tarkowski,5.7,5.7,Everton,87.45,87.45,87.45,87.45,2.78,4.50,4.87,4.10
D,292,Mykolenko,4.9,4.9,Everton,85.20,85.20,85.20,85.20,2.25,3.75,4.18,3.34
D,293,O'Brien,4.9,4.9,Everton,85.95,85.95,85.95,85.95,1.91,3.28,3.74,2.92
D,294,Coleman,4.2,4.2,Everton,2.40,2.40,2.40,2.40,0.09,0.09,0.09,0.09
D,295,Keane,4.5,4.5,Everton,86.70,86.70,86.70,86.70,2.90,4.61,4.91,4.19
D,296,Patterson,4.4,4.4,Everton,5.25,5.25,5.25,5.25,0.18,0.22,0.23,0.21
D,298,Welch,3.8,3.8,Everton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,299,Ndiaye,6.2,6.2,Everton,83.25,83.25,83.25,83.25,3.91,4.51,4.81,4.51
M,300,McNeil,5.5,5.5,Everton,69.75,69.75,69.75,69.75,2.74,3.12,3.22,3.06
M,301,Alcaraz,5.2,5.2,Everton,12.45,12.45,12.45,12.45,0.50,0.57,0.59,0.56
M,302,Gana,5.4,5.4,Everton,81.30,81.30,81.30,81.30,2.62,2.87,2.96,2.92
M,303,Garner,5.3,5.3,Everton,87.00,87.00,87.00,87.00,3.84,4.33,4.36,4.34
M,304,Iroegbunam,4.8,4.8,Everton,18.30,18.30,18.30,18.30,0.62,0.65,0.68,0.66
M,305,Armstrong,4.5,4.5,Everton,19.65,19.65,19.65,19.65,0.72,0.81,0.85,0.80
M,306,Bates,4.3,4.3,Everton,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01
M,307,Ebere,4.4,4.4,Everton,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01
F,310,Barry,5.7,5.7,Everton,27.90,27.90,27.90,27.90,1.27,1.40,1.45,1.34
F,311,Beto,5.0,5.0,Everton,71.70,71.70,71.70,71.70,2.99,3.47,3.64,3.32
G,314,Leno,4.9,4.9,Fulham,89.10,89.10,89.10,89.10,2.55,2.76,3.42,3.13
D,316,Robinson,4.9,4.9,Fulham,85.05,85.05,34.05,34.05,2.91,3.54,1.75,1.55
D,317,Andersen,4.5,4.5,Fulham,85.05,85.05,85.05,85.05,3.08,3.57,4.21,3.74
D,318,Bassey,4.4,4.4,Fulham,81.00,81.00,81.00,81.00,2.31,2.79,3.43,2.94
D,319,Castagne,4.3,4.3,Fulham,80.10,26.10,26.10,26.10,2.72,1.06,1.21,1.09
D,320,Diop,4.3,4.3,Fulham,7.05,7.05,7.05,7.05,0.26,0.28,0.30,0.29
D,321,J.Cuenca,4.3,4.3,Fulham,27.75,23.55,11.25,11.25,1.11,1.05,0.56,0.52
D,322,Tete,4.5,4.5,Fulham,10.80,70.20,70.20,70.20,0.37,2.81,3.43,3.01
D,323,Amissah,3.8,3.8,Fulham,1.50,1.50,1.50,1.50,0.05,0.06,0.06,0.06
M,324,Iwobi,6.2,6.2,Fulham,0.00,84.00,84.00,84.00,0.00,3.71,3.86,3.68
M,325,Smith Rowe,5.6,5.6,Fulham,64.80,64.80,64.80,64.80,2.49,3.19,3.33,3.13
M,326,Adama,5.1,5.1,West Ham,21.45,21.45,21.45,21.45,0.96,0.91,0.93,1.00
M,328,Sessegnon,5.4,5.4,Fulham,0.00,0.00,61.20,61.20,0.00,0.00,2.70,2.64
M,329,Wilson,6.0,6.0,Fulham,81.30,81.30,81.30,81.30,3.33,4.67,4.77,4.50
M,330,Berge,4.9,4.9,Fulham,81.30,79.80,79.80,79.80,2.33,2.63,2.73,2.67
M,331,Cairney,4.8,4.8,Fulham,42.00,9.60,9.60,9.60,1.38,0.40,0.40,0.41
M,332,Lukić,4.9,4.9,Fulham,75.15,24.30,24.30,24.30,2.40,0.99,0.98,0.98
M,335,King,4.4,4.4,Fulham,42.00,42.00,42.00,42.00,1.57,1.98,2.04,1.94
M,336,Reed,4.3,4.3,Fulham,1.50,1.50,1.50,1.50,0.06,0.06,0.06,0.06
F,337,Raúl,6.0,6.0,Fulham,55.80,55.80,55.80,55.80,2.29,3.17,3.17,3.00
F,338,Muniz,5.3,5.3,Fulham,39.30,39.30,39.30,39.30,1.55,2.06,2.04,1.99
G,339,Meslier,4.1,4.1,Leeds United,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,340,Cairns,3.9,3.9,Leeds United,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,341,Darlow,3.9,3.9,Leeds United,89.10,89.10,89.10,89.10,3.96,2.82,3.38,3.18
D,342,Bogle,4.4,4.4,Leeds United,82.50,82.50,82.50,82.50,4.67,2.87,3.30,3.15
D,343,Struijk,4.3,4.3,Leeds United,86.85,86.85,86.85,86.85,5.16,3.62,3.87,3.77
D,344,Bijol,3.9,3.9,Leeds United,66.75,80.25,30.75,30.75,4.08,3.56,1.48,1.44
D,345,Bornauw,3.8,3.8,Leeds United,3.00,3.00,3.00,3.00,0.11,0.11,0.11,0.10
D,346,Byram,3.7,3.7,Leeds United,1.50,1.50,1.50,1.50,0.06,0.05,0.05,0.05
D,347,Gudmundsson,3.8,3.8,Leeds United,0.00,0.00,83.25,83.25,0.00,0.00,3.39,3.31
D,348,Rodon,3.9,3.9,Leeds United,86.85,86.85,86.85,86.85,4.74,3.34,3.64,3.50
M,350,Aaronson,5.4,5.4,Leeds United,74.40,74.40,77.10,74.40,4.66,3.48,3.58,3.52
M,351,Gnonto,5.1,5.1,Leeds United,9.15,9.15,9.15,9.15,0.54,0.42,0.44,0.44
M,353,James,5.2,5.2,Leeds United,12.15,12.15,12.15,12.15,0.84,0.61,0.61,0.66
M,354,Ampadu,4.9,4.9,Leeds United,86.70,86.70,86.70,86.70,3.93,3.50,3.31,3.31
M,356,Gruev,4.7,4.7,Leeds United,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
