Pos,ID,Name,BV,SV,Team,38_xMins,38_Pts
M,87,Christie,4.9,4.9,Bournemouth,0.00,0.00
M,88,Cook,4.9,4.9,Bournemouth,15.60,0.72
M,90,Scott,4.9,4.9,Bournemouth,86.10,4.55
F,97,Evanilson,6.6,6.6,Bournemouth,77.10,3.92
F,98,Enes Ünal,5.4,5.4,Bournemouth,12.00,0.70
F,100,Kroupi.Jr,4.7,4.7,Bournemouth,72.90,4.31
G,101,Kelleher,4.8,4.8,Brentford,89.10,2.63
G,102,Balcombe,3.9,3.9,Brentford,0.00,0.00
G,104,Eyestone,3.9,3.9,Brentford,0.00,0.00
G,105,Valdimarsson,3.8,3.8,Brentford,0.90,0.03
D,106,Collins,4.9,4.9,Brentford,81.00,2.93
D,107,Lewis-Potter,4.8,4.8,Brentford,79.05,2.88
D,108,Ajer,4.4,4.4,Brentford,71.70,2.67
D,109,Henry,4.3,4.3,Brentford,0.00,0.00
D,110,Kayode,4.6,4.6,Brentford,85.35,2.55
D,111,Pinnock,4.2,4.2,Brentford,2.40,0.10
D,113,Van den Berg,4.4,4.4,Brentford,21.45,0.83
D,116,Hickey,4.0,4.0,Brentford,9.75,0.36
M,119,Mbeumo,8.3,8.3,Man Utd,75.00,3.85
M,120,Schade,6.8,6.8,Brentford,77.40,3.60
M,121,Damsgaard,5.6,5.6,Brentford,72.90,3.54
M,122,Milambo,5.2,5.2,Brentford,0.00,0.00
M,123,Carvalho,4.6,4.6,Brentford,0.00,0.00
M,124,Henderson,5.0,5.0,Brentford,36.90,1.37
M,125,Janelt,4.9,4.9,Brentford,65.55,2.82
M,126,Jensen,4.9,4.9,Brentford,80.55,3.37
M,129,Yarmoliuk,5.0,5.0,Brentford,72.15,2.69
M,130,Donovan,4.4,4.4,Brentford,6.00,0.29
F,135,Wissa,7.3,7.3,Newcastle,16.20,0.94
F,136,Thiago,7.2,7.2,Brentford,84.15,4.36
G,138,Steele,4.2,4.2,Brighton,0.90,0.03
G,139,Verbruggen,4.6,4.6,Brighton,89.10,3.26
G,140,McGill,3.9,3.9,Brighton,0.00,0.00
D,143,Boscagli,4.2,4.2,Brighton,6.00,0.26
D,145,De Cuyper,4.3,4.3,Brighton,70.80,3.64
D,146,Dunk,4.5,4.5,Brighton,85.05,3.23
D,148,F.Kadıoğlu,4.5,4.5,Brighton,84.00,3.32
D,149,Igor,4.5,4.5,Brighton,0.00,0.00
D,151,Van Hecke,4.7,4.7,Brighton,87.45,3.76
D,152,Veltman,4.3,4.3,Brighton,16.65,0.68
D,153,Webster,4.4,4.4,Brighton,0.00,0.00
D,156,Tasker,3.8,3.8,Brighton,0.30,0.01
M,157,Mitoma,6.1,6.1,Brighton,0.00,0.00
M,158,Georginio,5.6,5.6,Brighton,18.15,1.11
M,159,March,5.8,5.8,Brighton,3.00,0.16
M,160,Minteh,5.5,5.5,Brighton,75.00,4.17
M,163,Hinshelwood,5.2,5.2,Brighton,81.30,4.19
M,164,O'Riley,5.5,5.5,Brighton,1.50,0.09
M,166,Ayari,4.8,4.8,Brighton,24.00,1.12
M,167,Baleba,4.5,4.5,Brighton,71.70,2.99
M,168,Buonanotte,4.6,4.6,Leeds United,6.00,0.28
M,169,Gomez,4.9,4.9,Brighton,58.35,3.29
M,170,Milner,4.9,4.9,Brighton,18.60,0.82
M,173,Wieffer,4.8,4.8,Brighton,61.80,2.76
F,178,Welbeck,6.3,6.3,Brighton,79.05,5.17
F,180,Tzimas,5.2,5.2,Brighton,0.00,0.00
F,181,Kostoulas,4.8,4.8,Brighton,16.50,0.98
G,182,Trafford,4.5,4.5,Man City,18.00,0.66
G,183,Weiss,4.2,4.2,Burnley,81.00,3.21
G,185,Hladký,3.9,3.9,Burnley,0.00,0.00
D,186,Roberts,4.3,4.3,Burnley,2.70,0.11
D,187,Walker,4.4,4.4,Burnley,81.15,2.91
D,190,Ekdal,3.8,3.8,Burnley,7.20,0.31
D,191,Estève,3.8,3.8,Burnley,87.45,3.80
D,192,Hartman,4.0,4.0,Burnley,15.75,0.73
D,193,Humphreys,3.9,3.9,Burnley,8.55,0.34
D,194,Jordan,3.9,3.9,Burnley,0.00,0.00
D,195,Lucas Pires,3.8,3.8,Burnley,75.45,3.08
D,198,Tuanzebe,3.9,3.9,Burnley,75.90,3.09
D,199,Worrall,3.8,3.8,Burnley,9.75,0.41
M,200,Anthony,5.0,5.0,Burnley,80.40,4.45
M,202,Bruun Larsen,5.2,5.2,Burnley,9.60,0.46
M,203,Boateng,4.7,4.7,Burnley,0.00,0.00
M,205,Cullen,4.9,4.9,Burnley,0.00,0.00
M,206,Edwards,4.7,4.7,Burnley,16.20,0.86
M,207,Hannibal,4.7,4.7,Burnley,68.10,2.90
M,209,Laurent,4.8,4.8,Burnley,33.00,1.12
M,210,Tchaouna,4.8,4.8,Burnley,68.40,3.23
M,214,Trésor,4.3,4.3,Burnley,5.70,0.24
F,215,Flemming,5.3,5.3,Burnley,81.90,4.22
F,216,Amdouni,4.8,4.8,Burnley,6.00,0.32
F,217,Foster,4.9,4.9,Burnley,18.75,0.97
F,218,Barnes,4.2,4.2,Burnley,1.50,0.08
G,220,Sánchez,4.8,4.8,Chelsea,88.20,3.23
G,221,Jörgensen,4.3,4.3,Chelsea,1.80,0.07
G,223,Slonina,3.8,3.8,Chelsea,0.00,0.00
D,224,Cucurella,6.1,6.1,Chelsea,81.15,3.32
D,225,James,5.6,5.6,Chelsea,69.00,3.28
D,226,Chalobah,5.4,5.4,Chelsea,12.75,0.53
D,227,Colwill,4.7,4.7,Chelsea,72.00,2.78
D,228,Gusto,4.8,4.8,Chelsea,27.30,1.27
D,229,B.Badiashile,4.4,4.4,Chelsea,3.90,0.15
D,230,Fofana,4.4,4.4,Chelsea,77.85,3.68
D,231,M.Sarr,4.5,4.5,Chelsea,3.90,0.14
D,232,Tosin,4.0,4.0,Chelsea,15.75,0.65
D,233,Acheampong,3.7,3.7,Chelsea,11.25,0.51
M,235,Palmer,10.3,10.3,Chelsea,80.40,4.87
M,236,Neto,7.0,7.0,Chelsea,60.30,3.06
M,237,Enzo,6.5,6.5,Chelsea,84.00,4.18
M,238,Estêvão,6.4,6.4,Chelsea,0.00,0.00
M,239,Gittens,6.0,6.0,Chelsea,0.00,0.00
M,241,Caicedo,5.7,5.7,Chelsea,84.90,3.18
M,242,Dewsbury-Hall,5.3,5.3,Everton,83.85,3.74
M,243,George,4.8,4.8,Everton,15.30,0.68
M,244,Lavia,4.9,4.9,Chelsea,10.35,0.38
M,245,Mudryk,4.9,4.9,Chelsea,0.00,0.00
M,246,Andrey Santos,4.4,4.4,Chelsea,73.20,3.08
M,247,D.Essugo,4.3,4.3,Chelsea,0.00,0.00
F,249,João Pedro,7.4,7.4,Chelsea,70.95,3.84
F,250,Delap,6.2,6.2,Chelsea,40.35,2.09
F,252,Marc Guiu,4.0,4.0,Chelsea,1.50,0.08
G,253,Henderson,5.1,5.1,Crystal Palace,88.20,3.15
G,254,Benitez,3.9,3.9,Crystal Palace,1.80,0.06
G,255,Matthews,3.9,3.9,Crystal Palace,0.00,0.00
D,256,Muñoz,5.9,5.9,Crystal Palace,81.75,3.47
D,257,Lacroix,5.2,5.2,Crystal Palace,84.00,3.62
D,258,Mitchell,5.0,5.0,Crystal Palace,75.15,2.79
D,259,Sosa,4.8,4.8,Crystal Palace,10.80,0.41
D,260,Guéhi,5.1,5.1,Man City,63.60,3.10
D,261,Richards,4.4,4.4,Crystal Palace,0.00,0.00
D,262,Chadi Riad,4.0,4.0,Crystal Palace,78.90,2.79
D,263,Clyne,3.8,3.8,Crystal Palace,9.15,0.34
D,265,Kporha,4.0,4.0,Crystal Palace,0.00,0.00
M,266,Eze,7.3,7.3,Arsenal,55.80,3.01
M,267,Sarr,6.4,6.4,Crystal Palace,57.00,2.79
M,268,Doucouré,4.9,4.9,Crystal Palace,0.00,0.00
M,270,Hughes,4.7,4.7,Crystal Palace,36.60,1.18
M,271,Kamada,5.0,5.0,Crystal Palace,56.70,2.10
M,272,Lerma,4.9,4.9,Crystal Palace,57.30,2.03
M,273,Wharton,5.0,5.0,Crystal Palace,68.40,2.74
M,274,Agbinone,4.3,4.3,Crystal Palace,0.30,0.01
M,276,Devenny,4.3,4.3,Crystal Palace,14.70,0.66
M,281,Rodney,4.4,4.4,Crystal Palace,0.30,0.01
F,283,Mateta,7.6,7.6,Crystal Palace,57.00,2.92
F,284,Nketiah,5.4,5.4,Crystal Palace,0.00,0.00
F,286,Marsh,4.4,4.4,Crystal Palace,0.30,0.01
G,287,Pickford,5.6,5.6,Everton,89.10,3.21
G,288,Travers,4.2,4.2,Everton,0.90,0.03
D,290,Branthwaite,5.3,5.3,Everton,0.00,0.00
D,291,Tarkowski,5.8,5.8,Everton,87.45,3.72
D,292,Mykolenko,4.9,4.9,Everton,85.20,3.09
D,293,O'Brien,4.9,4.9,Everton,85.95,2.77
D,294,Coleman,4.2,4.2,Everton,2.40,0.09
D,295,Keane,4.5,4.5,Everton,84.90,3.71
D,296,Patterson,4.4,4.4,Everton,4.50,0.17
D,298,Welch,3.8,3.8,Everton,0.00,0.00
M,299,Ndiaye,6.3,6.3,Everton,83.25,4.17
M,300,McNeil,5.5,5.5,Everton,17.25,0.75
M,301,Alcaraz,5.2,5.2,Everton,12.45,0.53
M,302,Gana,5.4,5.4,Everton,35.40,1.25
M,303,Garner,5.2,5.2,Everton,87.00,4.18
M,304,Iroegbunam,4.8,4.8,Everton,69.60,2.58
M,305,Armstrong,4.5,4.5,Everton,12.45,0.50
M,306,Bates,4.3,4.3,Everton,0.30,0.01
M,307,Ebere,4.4,4.4,Everton,0.30,0.01
F,310,Barry,5.7,5.7,Everton,27.90,1.28
F,311,Beto,5.1,5.1,Everton,71.70,3.20
G,314,Leno,5.0,5.0,Fulham,89.10,2.80
D,316,Robinson,4.9,4.9,Fulham,78.30,3.49
D,317,Andersen,4.4,4.4,Fulham,0.00,0.00
D,318,Bassey,4.4,4.4,Fulham,81.00,2.59
D,319,Castagne,4.3,4.3,Fulham,80.55,2.98
D,320,Diop,4.3,4.3,Fulham,83.40,2.81
D,321,J.Cuenca,4.3,4.3,Fulham,27.75,1.19
D,322,Tete,4.5,4.5,Fulham,14.10,0.57
D,323,Amissah,3.8,3.8,Fulham,1.50,0.06
M,324,Iwobi,6.1,6.1,Fulham,82.50,3.71
M,325,Smith Rowe,5.6,5.6,Fulham,61.65,3.30
M,326,Adama,5.1,5.1,West Ham,0.00,0.00
M,328,Sessegnon,5.4,5.4,Fulham,20.70,0.94
M,329,Wilson,5.8,5.8,Fulham,18.00,1.19
M,330,Berge,4.9,4.9,Fulham,45.30,1.56
M,331,Cairney,4.8,4.8,Fulham,20.40,0.86
M,332,Lukić,4.9,4.9,Fulham,73.80,2.91
M,335,King,4.4,4.4,Fulham,24.00,1.17
M,336,Reed,4.3,4.3,Fulham,1.50,0.06
F,337,Raúl,5.9,5.9,Fulham,33.90,2.10
F,338,Muniz,5.3,5.3,Fulham,60.75,3.25
G,339,Meslier,4.1,4.1,Leeds United,0.00,0.00
G,340,Cairns,3.9,3.9,Leeds United,0.00,0.00
G,341,Darlow,4.0,4.0,Leeds United,85.50,2.50
D,342,Bogle,4.4,4.4,Leeds United,62.85,1.85
D,343,Struijk,4.2,4.2,Leeds United,72.60,2.34
D,344,Bijol,3.9,3.9,Leeds United,84.45,3.11
D,345,Bornauw,3.8,3.8,Leeds United,45.75,1.45
D,346,Byram,3.7,3.7,Leeds United,1.50,0.05
D,347,Gudmundsson,3.8,3.8,Leeds United,0.00,0.00
D,348,Rodon,3.9,3.9,Leeds United,86.85,2.54
M,350,Aaronson,5.4,5.4,Leeds United,79.05,3.27
M,351,Gnonto,5.1,5.1,Leeds United,26.85,1.23
M,353,James,5.2,5.2,Leeds United,73.20,2.90
M,354,Ampadu,4.9,4.9,Leeds United,86.70,3.20
M,356,Gruev,4.7,4.7,Leeds United,0.00,0.00
M,358,Tanaka,4.8,4.8,Leeds United,84.75,3.47
F,362,Piroe,4.9,4.9,Leeds United,1.50,0.08
F,365,Nmecha,5.0,5.0,Leeds United,64.35,2.83
G,366,A.Becker,5.4,5.4,Liverpool,72.00,2.58
G,367,Mamardashvili,4.1,4.1,Liverpool,18.00,0.61
G,368,Pécsi,3.8,3.8,Liverpool,0.00,0.00
G,369,Woodman,3.9,3.9,Liverpool,0.00,0.00
D,370,Frimpong,5.7,5.7,Liverpool,19.05,0.86
D,371,Kerkez,5.6,5.6,Liverpool,24.00,0.99
D,372,Robertson,5.7,5.7,Liverpool,75.45,3.23
D,373,Virgil,6.1,6.1,Liverpool,87.45,3.89
D,374,Konaté,5.4,5.4,Liverpool,83.85,3.62
D,375,Bradley,4.9,4.9,Liverpool,0.00,0.00
D,376,Gomez,4.9,4.9,Liverpool,39.60,1.72
D,378,Nallo,3.7,3.7,Liverpool,0.30,0.01
D,379,R.Williams,3.7,3.7,Liverpool,0.30,0.01
D,380,Ramsay,3.7,3.7,Liverpool,0.30,0.01
M,381,M.Salah,14.0,14.0,Liverpool,76.20,5.26
M,382,Wirtz,8.3,8.3,Liverpool,76.35,4.48
M,384,Gakpo,7.3,7.3,Liverpool,76.35,4.68
M,385,Chiesa,6.3,6.3,Liverpool,2.70,0.15
M,386,Mac Allister,6.1,6.1,Liverpool,69.75,2.76
M,387,Szoboszlai,7.1,7.1,Liverpool,86.85,4.51
M,388,C.Jones,5.4,5.4,Liverpool,63.15,3.00
M,389,Elliott,5.1,5.1,Aston Villa,0.00,0.00
M,390,Gravenberch,5.4,5.4,Liverpool,83.25,3.04
M,391,Gannon-Doak,4.8,4.8,Bournemouth,10.95,0.59
M,392,Endo,4.9,4.9,Liverpool,0.00,0.00
M,393,Bajcetic,4.2,4.2,Liverpool,0.30,0.01
M,396,Nyoni,4.3,4.3,Liverpool,0.30,0.01
F,398,Danns,4.3,4.3,Liverpool,0.30,0.02
G,400,Ortega Moreno,4.7,4.7,Nott'm Forest,4.50,0.13
G,401,Bettinelli,3.8,3.8,Man City,0.00,0.00
D,402,Aït-Nouri,5.7,5.7,Man City,54.00,2.88
D,403,Gvardiol,5.8,5.8,Man City,28.80,1.41
D,405,Aké,5.2,5.2,Man City,28.50,1.38
D,406,Khusanov,5.4,5.4,Man City,24.60,1.08
D,407,Matheus N.,5.3,5.3,Man City,49.50,2.28
D,408,Rúben,5.5,5.5,Man City,15.45,0.63
D,409,Stones,5.4,5.4,Man City,62.55,2.92
D,410,Lewis,4.6,4.6,Man City,34.80,1.80
D,411,O'Reilly,5.3,5.3,Man City,22.20,1.10
M,413,Marmoush,8.3,8.3,Man City,64.80,5.14
M,414,Foden,8.0,8.0,Man City,70.65,5.19
M,415,Savinho,6.9,6.9,Man City,44.70,2.50
M,416,Bernardo,6.2,6.2,Man City,73.80,3.34
M,417,Cherki,6.5,6.5,Man City,17.70,1.25
M,418,Doku,6.5,6.5,Man City,69.45,4.08
M,419,Grealish,6.3,6.3,Everton,0.00,0.00
M,421,Rodrigo,6.3,6.3,Man City,54.00,2.73
M,422,Kovačić,5.8,5.8,Man City,18.60,0.76
M,423,N.Gonzalez,5.9,5.9,Man City,24.75,1.03
M,424,Bobb,5.1,5.1,Fulham,64.80,3.33
M,426,McAtee,5.0,5.0,Nott'm Forest,11.10,0.50
M,427,Reijnders,5.0,5.0,Man City,32.25,1.78
M,428,Nypan,5.0,5.0,Man City,0.00,0.00
F,430,Haaland,14.7,14.7,Man City,20.70,1.85
G,431,Bayindir,4.7,4.7,Man Utd,0.90,0.02
G,434,Heaton,3.8,3.8,Man Utd,0.00,0.00
G,435,Mee,3.9,3.9,Man Utd,0.00,0.00
D,436,De Ligt,4.9,4.9,Man Utd,0.00,0.00
D,437,Martinez,4.8,4.8,Man Utd,64.95,1.92
D,438,Mazraoui,4.9,4.9,Man Utd,27.00,0.96
D,439,D.Leon,4.1,4.1,Man Utd,0.00,0.00
D,440,Dalot,4.5,4.5,Man Utd,76.95,2.23
D,441,Dorgu,4.1,4.1,Man Utd,18.30,0.71
D,442,Maguire,4.4,4.4,Man Utd,79.80,2.55
D,443,Shaw,4.5,4.5,Man Utd,81.75,2.15
D,444,Yoro,4.1,4.1,Man Utd,16.20,0.56
D,446,Fredricson,3.7,3.7,Man Utd,0.00,0.00
D,447,Heaven,3.7,3.7,Man Utd,31.35,1.08
D,448,Malacia,3.7,3.7,Man Utd,0.60,0.02
M,449,B.Fernandes,10.4,10.4,Man Utd,87.60,4.85
M,450,Cunha,8.1,8.1,Man Utd,81.60,4.00
M,452,Amad,6.2,6.2,Man Utd,75.75,3.45
M,453,Garnacho,6.4,6.4,Chelsea,26.70,1.47
M,455,Mount,5.9,5.9,Man Utd,60.90,2.66
M,456,Sancho,5.8,5.8,Aston Villa,67.20,2.68
M,457,Casemiro,5.8,5.8,Man Utd,0.00,0.00
M,458,Mainoo,4.7,4.7,Man Utd,82.95,3.03
M,459,Ugarte,4.7,4.7,Man Utd,49.50,1.97
M,461,Fitzgerald,4.3,4.3,Man Utd,0.30,0.01
M,462,J.Fletcher,4.3,4.3,Man Utd,1.20,0.05
F,466,Zirkzee,5.8,5.8,Man Utd,18.00,0.78
F,467,Obi,4.2,4.2,Man Utd,0.60,0.03
G,469,Pope,5.0,5.0,Newcastle,81.00,2.32
G,470,Dúbravka,4.0,4.0,Burnley,9.00,0.34
G,471,Gillespie,3.9,3.9,Newcastle,0.00,0.00
D,473,Hall,5.3,5.3,Newcastle,83.55,3.26
D,474,Schär,5.2,5.2,Newcastle,0.00,0.00
D,475,Botman,4.9,4.9,Newcastle,84.45,3.52
D,476,Burn,5.0,5.0,Newcastle,77.40,2.86
D,477,Livramento,4.9,4.9,Newcastle,0.00,0.00
D,478,Trippier,4.9,4.9,Newcastle,36.15,1.33
D,479,Krafth,4.3,4.3,Newcastle,0.00,0.00
D,481,A.Murphy,3.8,3.8,Newcastle,0.00,0.00
D,483,Pivas,3.8,3.8,Newcastle,0.00,0.00
M,485,Gordon,7.2,7.2,Newcastle,4.35,0.26
M,486,Elanga,6.5,6.5,Newcastle,13.05,0.66
M,487,Barnes,6.1,6.1,Newcastle,75.75,3.78
M,488,Bruno G.,6.9,6.9,Newcastle,83.25,4.22
M,489,J.Murphy,5.9,5.9,Newcastle,33.75,1.73
M,490,Joelinton,5.9,5.9,Newcastle,0.00,0.00
M,491,Tonali,5.3,5.3,Newcastle,64.50,2.54
M,493,Longstaff,4.8,4.8,Leeds United,0.00,0.00
M,494,Willock,5.0,5.0,Newcastle,57.60,2.54
M,497,L.Miley,4.4,4.4,Newcastle,0.00,0.00
F,499,Isak,10.3,10.3,Liverpool,32.10,2.06
F,500,Osula,5.5,5.5,Newcastle,79.35,3.86
F,501,Neave,4.3,4.3,Newcastle,0.30,0.02
G,502,Sels,4.6,4.6,Nott'm Forest,85.50,2.65
D,505,Milenković,5.1,5.1,Nott'm Forest,87.45,3.02
D,506,Murillo,5.2,5.2,Nott'm Forest,0.00,0.00
D,507,Aina,4.7,4.7,Nott'm Forest,47.40,1.60
D,508,N.Williams,4.8,4.8,Nott'm Forest,83.10,2.93
D,510,Jair Cunha,4.2,4.2,Nott'm Forest,58.95,2.21
D,511,Morato,4.3,4.3,Nott'm Forest,36.30,1.51
D,513,Abbott,3.8,3.8,Nott'm Forest,0.00,0.00
D,514,Boly,3.8,3.8,Nott'm Forest,0.00,0.00
M,515,Gibbs-White,7.6,7.6,Nott'm Forest,77.10,3.75
M,516,Hudson-Odoi,5.7,5.7,Nott'm Forest,0.00,0.00
M,517,Anderson,5.7,5.7,Nott'm Forest,79.80,4.07
M,519,Dominguez,5.0,5.0,Nott'm Forest,46.50,2.08
M,521,Sangaré,4.9,4.9,Nott'm Forest,79.20,2.85
M,522,Yates,4.7,4.7,Nott'm Forest,25.50,1.04
M,523,Da Silva Moreira,4.5,4.5,Nott'm Forest,0.60,0.03
F,525,Wood,7.1,7.1,Nott'm Forest,41.70,2.24
F,526,Igor Jesus,5.9,5.9,Nott'm Forest,65.40,3.09
F,527,Awoniyi,5.2,5.2,Nott'm Forest,33.90,1.62
G,529,Moore,3.9,3.9,Sunderland,0.00,0.00
D,531,Ballard,4.6,4.6,Sunderland,0.00,0.00
D,532,Hume,4.5,4.5,Sunderland,80.10,2.81
D,535,Cirkin,4.0,4.0,Sunderland,9.90,0.38
D,539,O'Nien,4.0,4.0,Sunderland,68.70,2.41
D,541,Reinildo,3.8,3.8,Sunderland,81.60,2.45
M,544,Diarra,5.3,5.3,Sunderland,29.85,1.33
M,546,Aleksić,4.9,4.9,Sunderland,0.90,0.03
M,547,E.Le Fée,4.8,4.8,Sunderland,84.75,4.05
M,548,Mundle,4.9,4.9,Sunderland,0.00,0.00
M,550,Poveda,4.7,4.7,Sunderland,0.00,0.00
M,551,Rigg,4.7,4.7,Sunderland,30.00,1.23
M,552,Sadiki,4.9,4.9,Sunderland,84.75,2.67
M,553,Talbi,4.9,4.9,Sunderland,0.00,0.00
M,554,Ba,4.3,4.3,Sunderland,0.00,0.00
M,557,H.Jones,4.3,4.3,Sunderland,0.00,0.00
F,560,Isidor,5.0,5.0,Sunderland,15.45,0.90
F,561,Mayenda,5.1,5.1,Sunderland,9.75,0.47
F,562,Abdullahi,4.2,4.2,Sunderland,0.60,0.03
G,565,Vicario,4.7,4.7,Spurs,9.00,0.35
G,566,Austin,3.9,3.9,Spurs,0.00,0.00
G,567,Kinsky,3.9,3.9,Spurs,81.00,3.33
D,568,Pedro Porro,5.2,5.2,Spurs,84.90,4.83
D,569,Romero,5.0,5.0,Spurs,0.00,0.00
D,570,Danso,4.2,4.2,Spurs,82.35,4.64
D,571,Davies,4.3,4.3,Spurs,0.00,0.00
D,572,Dragusin,4.5,4.5,Spurs,7.65,0.37
D,573,Spence,4.1,4.1,Spurs,27.90,1.22
D,574,Udogie,4.3,4.3,Spurs,72.30,3.32
D,575,Van de Ven,4.4,4.4,Spurs,86.70,3.91
M,580,Johnson,6.5,6.5,Crystal Palace,50.85,2.19
M,581,Maddison,6.8,6.8,Spurs,15.00,0.83
M,582,Kudus,6.4,6.4,Spurs,0.00,0.00
M,583,Kulusevski,6.4,6.4,Spurs,0.00,0.00
M,584,Tel,6.2,6.2,Spurs,73.35,4.16
M,585,Bentancur,5.2,5.2,Spurs,73.05,3.36
M,586,Bergvall,5.2,5.2,Spurs,28.35,1.13
M,587,Bissouma,5.2,5.2,Spurs,20.40,0.77
M,588,Odobert,5.3,5.3,Spurs,0.00,0.00
M,591,Gray,4.8,4.8,Spurs,21.75,0.83
M,593,P.M.Sarr,4.5,4.5,Spurs,31.20,1.49
M,595,Olusesi,4.3,4.3,Spurs,0.30,0.01
F,596,Solanke,7.1,7.1,Spurs,51.00,2.97
F,597,Richarlison,6.5,6.5,Spurs,77.85,4.18
G,600,Areola,4.2,4.2,West Ham,0.90,0.03
D,603,Diouf,4.1,4.1,West Ham,86.10,4.09
D,605,Kilman,4.0,4.0,West Ham,3.00,0.12
D,606,Mavropanos,4.5,4.5,West Ham,84.75,4.92
D,608,Scarles,4.3,4.3,West Ham,7.35,0.36
D,609,Todibo,4.3,4.3,West Ham,19.65,0.81
D,610,Wan-Bissaka,4.1,4.1,West Ham,70.65,3.44
M,613,Souček,5.7,5.7,West Ham,80.40,3.82
M,614,Ward-Prowse,5.6,5.6,Burnley,28.80,1.44
M,615,Summerville,5.4,5.4,West Ham,82.50,4.87
M,623,Potts,4.3,4.3,West Ham,12.60,0.50
F,624,Bowen,7.8,7.8,West Ham,87.60,5.45
G,627,Johnstone,4.4,4.4,Wolves,0.00,0.00
G,628,José Sá,4.2,4.2,Wolves,81.00,3.15
G,629,Bentley,3.9,3.9,Wolves,9.00,0.33
G,630,King,3.9,3.9,Everton,0.00,0.00
D,632,Doherty,4.4,4.4,Wolves,0.00,0.00
D,633,H.Bueno,4.3,4.3,Wolves,19.20,0.85
D,634,Mosquera,4.3,4.3,Wolves,81.00,3.28
D,635,R.Gomes,4.4,4.4,Wolves,69.30,3.36
