Pos,ID,Name,BV,SV,Team,2_xMins,3_xMins,4_xMins,5_xMins,6_xMins,7_xMins,8_xMins,9_xMins,10_xMins,11_xMins,12_xMins,13_xMins,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts,13_Pts
G,1,Raya,5.5,5.5,Arsenal,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,4.25,3.00,4.24,3.32,3.39,4.22,3.94,4.32,4.36,4.21,3.82,3.36
G,2,Arrizabalaga,4.5,4.5,Arsenal,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,0.05,0.04,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.04
G,3,Hein,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,4,Setford,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,6.0,6.0,Arsenal,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,5.20,3.39,4.87,3.79,3.87,5.17,4.38,4.88,5.29,5.09,4.65,3.56
D,6,Saliba,6.0,6.0,Arsenal,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,4.81,3.16,4.62,3.60,3.61,4.86,4.21,4.63,5.07,4.82,4.39,3.31
D,7,Calafiori,5.5,5.5,Arsenal,48.60,48.60,48.60,48.60,48.60,48.60,48.60,48.60,48.60,48.60,48.60,48.60,2.65,1.72,2.52,2.02,2.07,2.68,2.28,2.53,2.73,2.64,2.42,1.89
D,8,J.Timber,5.5,5.5,Arsenal,60.75,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,3.22,1.19,1.84,1.41,1.47,1.94,1.66,1.84,1.98,1.94,1.74,1.34
D,9,Kiwior,5.5,5.5,Arsenal,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,0.24,0.21,0.23,0.22,0.21,0.24,0.22,0.23,0.24,0.24,0.23,0.21
D,10,Lewis-Skelly,5.5,5.5,Arsenal,46.65,46.65,46.65,46.65,46.65,46.65,46.65,46.65,46.65,46.65,46.65,46.65,2.52,1.58,2.38,1.89,1.93,2.54,2.16,2.42,2.61,2.56,2.28,1.79
D,11,White,5.5,5.5,Arsenal,29.10,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,1.61,1.88,2.91,2.21,2.24,3.05,2.60,2.88,3.14,3.05,2.74,2.08
D,12,Zinchenko,5.0,5.0,Arsenal,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,0.34,0.27,0.32,0.29,0.29,0.33,0.30,0.32,0.33,0.33,0.32,0.29
D,13,Clarke,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,14,Kacurri,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,10.0,10.0,Arsenal,80.10,80.10,80.10,80.10,80.10,80.10,80.10,80.10,80.10,80.10,80.10,80.10,6.65,4.21,5.99,5.11,4.97,6.46,5.18,6.03,6.30,6.37,5.95,4.71
M,17,Ødegaard,8.0,8.0,Arsenal,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,5.14,3.43,4.63,4.07,3.94,4.89,4.23,4.72,4.94,4.90,4.66,3.75
