Pos,ID,Name,BV,SV,Team,1_xMins,2_xMins,3_xMins,4_xMins,5_xMins,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts
G,1,Raya,6.0,6.0,Arsenal,89.09,89.09,89.09,89.09,89.09,4.46,3.68,3.59,4.11,3.7
G,2,Arrizabalaga,5.0,5.0,Arsenal,0.9,0.9,0.9,0.9,0.9,0.05,0.04,0.04,0.05,0.04
G,3,Meslier,5.0,5.0,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,4,Gabriel,8.0,8.0,Arsenal,87.9,86.85,87.9,87.9,87.9,5.8,4.4,4.32,5.32,4.56
D,5,J.Timber,6.5,6.5,Arsenal,0.0,0.0,20.7,65.4,65.4,0.0,0.0,1.07,3.75,3.23
D,6,Saliba,6.0,6.0,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,7,Lewis-Skelly,5.5,5.5,Arsenal,38.4,12.45,12.68,12.22,12.22,1.62,0.66,0.68,0.68,0.68
D,8,Calafiori,5.5,5.5,Arsenal,69.15,66.45,70.5,70.05,70.05,4.64,3.2,3.49,3.93,3.38
D,9,Hincapie,5.5,5.5,Arsenal,31.5,23.4,19.65,18.3,18.3,1.95,1.01,0.85,0.82,0.76
D,10,White,5.5,5.5,Arsenal,80.7,78.75,56.4,25.05,25.05,5.57,3.76,2.9,1.39,1.22
D,11,Mosquera,5.5,5.5,Arsenal,88.12,44.4,21.3,10.74,10.74,5.36,2.1,0.9,0.65,0.61
M,12,Saka,9.5,9.5,Arsenal,36.6,74.85,74.85,74.85,74.85,3.14,4.69,5.0,5.06,4.74
M,13,Rice,7.5,7.5,Arsenal,45.15,85.12,83.7,83.1,83.1,2.61,3.95,3.98,4.08,3.87
M,14,Eze,6.5,6.5,Arsenal,28.35,26.05,26.05,26.05,26.05,2.03,1.46,1.52,1.51,1.44
M,15,Ødegaard,6.5,6.5,Arsenal,72.0,69.6,69.6,69.6,69.6,4.78,3.34,3.51,3.58,3.39
M,16,Madueke,6.5,6.5,Arsenal,43.95,16.42,16.42,16.42,16.42,2.76,0.96,1.0,0.97,0.97
M,17,Merino,6.0,6.0,Arsenal,6.57,4.54,4.54,4.54,4.54,0.98,0.9,0.91,0.9,0.9
M,18,Martinelli,6.5,6.5,Arsenal,0.19,0.38,0.38,0.38,0.38,0.39,0.77,0.77,0.77,0.77
M,19,Zubimendi,5.5,5.5,Arsenal,34.42,15.2,15.2,15.2,15.2,1.67,1.08,1.1,1.11,1.09
M,20,Dowman,5.5,5.5,Arsenal,8.7,2.31,2.31,2.31,2.31,0.57,0.18,0.19,0.18,0.18
M,21,Nørgaard,5.0,5.0,Everton,0.0,82.65,74.25,74.25,74.25,0.0,3.87,3.42,3.39,3.89
M,22,Nwaneri,5.5,5.5,Arsenal,0.3,0.25,0.25,0.25,0.25,0.1,0.1,0.1,0.1,0.1
M,23,Fábio Vieira,5.5,5.5,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,24,Nelson,5.5,5.5,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,25,Gyökeres,7.5,7.5,Arsenal,29.4,29.85,29.85,29.85,29.85,2.34,1.76,1.82,1.83,1.74
