Pos,Name,BV,SV,Team,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts
M,Özil,6.7,6.7,Arsenal,0,,0,,0,,0,,0,
D,Sokratis,4.8,4.8,Arsenal,0,,0,,0,,0,,0,
D,David Luiz,5.4,5.4,Arsenal,0,,0,,0,,0,,0,
M,Aubameyang,11.3,11.4,Arsenal,73,4.865,69,4.636,70,4.902,71,5.595,70,3.453
D,Cédric,4.6,4.6,Arsenal,79,3.515,79,3.311,77,3.58,74,3.781,76,2.035
F,Lacazette,8.3,8.2,Arsenal,69,4.141,69,4.198,68,4.248,68,4.746,69,3.139
D,Mustafi,5.0,5.0,Arsenal,0,,0,,0,,0,,0,
G,Leno,5.0,5.0,Arsenal,87,3.956,88,3.878,86,4,87,4.215,86,3.231
M,Xhaka,5.2,5.2,Arsenal,79,2.507,79,2.472,78,2.538,77,2.691,75,1.98
D,Marí,4.4,4.4,Arsenal,61,2.557,58,2.294,61,2.666,58,2.77,61,1.564
D,Bellerín,5.0,5.0,Arsenal,20,0.889,24,1.011,26,1.21,26,1.324,24,0.658
G,Martínez,5.4,5.4,Aston Villa,88,3.095,88,4.04,88,3.503,87,3.217,87,3.772
D,Chambers,4.5,4.5,Arsenal,69,3.135,65,2.789,64,3.042,65,3.405,68,1.855
D,Kolasinac,4.8,4.8,Arsenal,0,,0,,0,,0,,0,
D,Maitland-Niles,4.6,4.6,West Brom,71,1.549,71,1.8,72,2.425,71,1.487,70,1.336
D,Holding,4.2,4.2,Arsenal,64,2.73,65,2.607,62,2.752,61,2.951,63,1.645
D,Tierney,5.2,5.3,Arsenal,0,0,0,0,0,0,0,0,0,0
M,Pépé,7.6,7.6,Arsenal,56,3.33,54,3.223,52,3.228,54,3.728,51,2.293
M,Torreira,4.7,4.7,Arsenal,0,,0,,0,,0,,0,
M,Willock,4.7,4.7,Newcastle,67,2.315,65,1.975,64,2.126,65,2.067,62,1.831
