Pos,Name,BV,SV,Team,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts
M,Özil,6.7,6.7,Arsenal,0,0,0,0,0,0,0,0,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0
D,David Luiz,5.4,5.4,Arsenal,0,0,0,0,37,1.635,55,2.676,71,1.82
M,Aubameyang,11.3,11.3,Arsenal,14,0.942,15,1.004,33,2.32,46,3.511,68,3.28
D,Cédric,4.6,4.6,Arsenal,56,2.596,56,2.357,50,2.34,56,2.898,60,1.631
F,Lacazette,8.3,8.3,Arsenal,76,4.83,75,4.8,74,5.015,74,5.476,73,3.507
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0,0,0
G,Leno,5.0,5.0,Arsenal,87,4.014,86,3.775,85,3.938,85,4.147,84,3.156
M,Xhaka,5.2,5.2,Arsenal,82,2.633,76,2.36,75,2.448,76,2.63,73,1.93
D,Marí,4.4,4.4,Arsenal,64,2.803,64,2.521,52,2.287,39,1.887,36,0.941
D,Bellerín,5.0,5.0,Arsenal,2,0.092,9,0.378,17,0.794,13,0.666,18,0.5
G,Martínez,5.4,5.4,Aston Villa,87,3.06,86,3.921,86,3.34,85,3.131,85,3.745
D,Chambers,4.5,4.5,Arsenal,66,3.114,66,2.86,64,3.091,63,3.371,63,1.751
D,Kolasinac,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0
D,Maitland-Niles,4.6,4.6,West Brom,52,1.285,75,1.963,76,2.574,73,1.542,74,1.399
D,Holding,4.2,4.2,Arsenal,75,3.324,77,3.097,76,3.392,70,3.431,70,1.832
D,Tierney,5.2,5.2,Arsenal,0,0,0,0,0,0,0,0,0,0
M,Pépé,7.6,7.6,Arsenal,65,3.953,59,3.569,59,3.789,59,4.138,58,2.653
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0
M,Willock,4.7,4.7,Newcastle,43,1.598,43,1.359,42,1.45,43,1.426,47,1.443
M,Nelson,5.1,5.1,Arsenal,0,0,0,0,0,0,0,0,0,0
F,Nketiah,5.3,5.3,Arsenal,9,0.534,8,0.475,10,0.618,9,0.597,9,0.431
M,Smith Rowe,4.2,4.2,Arsenal,61,2.953,50,2.421,49,2.503,50,2.75,50,1.932
M,Saka,5.1,5.1,Arsenal,64,3.228,69,3.442,68,3.578,67,3.814,64,2.521
M,Guendouzi,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0
M,Martinelli,4.9,4.9,Arsenal,25,1.377,18,0.998,18,1.051,19,1.19,19,0.835
D,Saliba,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0
G,Heaton,4.5,4.5,Aston Villa,0,0,0,0,0,0,1,0.036,1,0.043
D,El Mohamady,4.3,4.3,Aston Villa,6,0.13,10,0.487,12,0.405,14,0.408,16,0.715
M,Lansbury,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0
D,Taylor,4.2,4.2,Aston Villa,0,0,0,0,1,0.029,1,0.026,2,0.076
G,Steer,3.9,3.9,Aston Villa,0,0,0,0,0,0,0,0,0,0
M,Hourihane,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0
M,Jota,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0
G,Nyland,4.0,4.0,Aston Villa,0,0,0,0,0,0,0,0,0,0
D,Engels,4.4,4.4,Aston Villa,0,0,0,0,1,0.032,1,0.027,2,0.082
M,Grealish,7.5,7.5,Aston Villa,0,0,41,2.509,60,2.823,80,3.465,77,4.077
M,McGinn,5.5,5.5,Aston Villa,87,2.514,85,3.5,80,2.711,77,2.552,81,3.081
D,Hause,4.4,4.4,Aston Villa,5,0.104,12,0.557,13,0.421,17,0.475,18,0.766
M,Trézéguet,5.2,5.2,Aston Villa,0,0,0,0,0,0,0,0,0,0
D,Mings,5.4,5.4,Aston Villa,87,1.496,84,3.701,83,2.446,83,2.065,81,3.262
D,Targett,5.0,5.0,Aston Villa,88,1.685,86,4.129,84,2.7,83,2.271,80,3.491
D,Bree,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0
M,Nakamba,4.3,4.3,Aston Villa,26,0.758,22,0.784,18,0.575,22,0.684,21,0.713
M,El Ghazi,5.2,5.2,Aston Villa,70,2.941,48,3.356,40,2.19,31,1.64,31,1.949
D,Konsa,4.7,4.7,Aston Villa,87,1.504,84,3.693,83,2.447,81,2.02,80,3.217
D,Guilbert,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0
F,Wesley,6.0,6.0,Aston Villa,2,0.09,12,0.741,16,0.815,19,0.938,21,1.161
F,Samatta,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0
F,Davis,4.2,4.2,Aston Villa,30,1.151,15,0.792,11,0.501,8,0.359,9,0.443
F,Vassilev,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0
M,Douglas Luiz,4.8,4.8,Aston Villa,79,2.084,74,2.649,73,2.21,75,2.19,74,2.463
F,Murray,4.8,4.8,Brighton,0,0,0,0,0,0,0,0,0,0
M,Lallana,6.2,6.2,Brighton,59,1.962,59,2.503,58,2.315,58,2.156,59,2.305
M,Stephens,4.2,4.2,Burnley,1,0.03,1,0.031,2,0.064,2,0.063,3,0.096
G,Button,3.9,3.9,West Brom,0,0,0,0,0,0,1,0.035,0,0
M,Groß,5.8,5.8,Brighton,67,2.45,66,3.395,66,3.242,66,2.856,68,3.233
D,Duffy,4.3,4.3,Brighton,0,0,0,0,0,0,0,0,0,0
M,Pröpper,4.7,4.7,Brighton,7,0.229,10,0.382,10,0.364,8,0.281,10,0.361
M,Mooy,5.0,5.0,Brighton,0,0,0,0,0,0,0,0,0,0
D,Burn,4.2,4.2,Brighton,57,1.363,59,2.802,59,2.14,61,2.267,60,2.252
D,Dunk,5.0,5.0,Brighton,81,1.958,78,3.9,77,2.893,74,2.815,74,2.875
D,Montoya,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0
F,Andone,4.8,4.8,Brighton,0,0,5,0.283,9,0.5,14,0.683,13,0.693
M,March,4.9,4.9,Brighton,0,0,0,0,0,0,0,0,0,0
D,Webster,4.3,4.3,Brighton,51,1.22,50,2.306,65,2.25,65,2.361,48,1.75
D,Veltman,4.4,4.4,Brighton,73,1.826,72,3.578,71,2.681,72,2.771,70,2.732
F,Maupay,6.0,6.0,Brighton,72,2.975,67,3.87,65,3.709,64,3.143,65,3.556
M,Trossard,5.7,5.7,Brighton,77,2.866,75,3.902,73,3.628,74,3.286,71,3.432
G,Ryan,4.1,4.2,Arsenal,1,0.045,1,0.043,1,0.045,1,0.048,4,0.148
M,Jahanbakhsh,5.4,5.4,Brighton,16,0.62,17,0.861,18,0.88,16,0.699,18,0.851
M,Izquierdo,5.5,5.5,Brighton,0,0,0,0,0,0,0,0,0,0
D,Clarke,4.4,4.4,Brighton,0,0,0,0,0,0,0,0,0,0
D,White,4.5,4.5,Brighton,63,1.472,60,2.686,62,2.059,62,2.182,59,2.065
D,Bernardo,3.9,3.9,Brighton,0,0,0,0,0,0,0,0,0,0
M,Bissouma,4.4,4.4,Brighton,76,2.01,74,2.469,74,2.3,71,2.142,70,2.189
D,Lamptey,4.6,4.6,Brighton,0,0,0,0,0,0,0,0,0,0
F,Connolly,5.2,5.2,Brighton,9,0.378,21,1.081,21,1.076,21,0.963,22,1.086
M,Alzate,4.2,4.2,Brighton,3,0.103,5,0.207,5,0.198,6,0.224,8,0.312
M,Mac Allister,5.3,5.3,Brighton,35,1.298,34,1.634,35,1.608,39,1.606,38,1.684
D,Tarkowski,5.3,5.3,Burnley,88,1.573,84,2.444,83,2.392,82,2.421,82,2.236
D,Bardsley,4.4,4.4,Burnley,0,0,1,0.029,2,0.057,0,0,2,0.054
D,Pieters,4.3,4.3,Burnley,54,1.026,54,1.597,56,1.632,55,1.646,55,1.518
M,Cork,5.0,5.0,Burnley,16,0.488,20,0.643,25,0.811,25,0.799,26,0.844
D,Long,4.3,4.3,Burnley,0,0,3,0.092,9,0.272,14,0.431,16,0.458
F,Rodriguez,5.8,5.8,Burnley,25,1.026,28,1.243,29,1.386,33,1.448,30,1.495
F,Barnes,6.0,6.0,Burnley,0,0,0,0,0,0,0,0,0,0
D,Mee,4.8,4.9,Burnley,87,1.558,85,2.475,84,2.413,82,2.42,80,2.169
M,Westwood,5.3,5.3,Burnley,86,2.318,82,2.435,82,2.516,79,2.373,79,2.46
M,Gudmundsson,5.4,5.4,Burnley,72,2.275,66,2.362,67,2.495,66,2.368,67,2.534
F,Wood,6.3,6.3,Burnley,81,3.433,80,3.921,79,4.31,78,3.859,77,4.407
D,Lowton,4.4,4.4,Burnley,87,1.595,84,2.524,82,2.431,81,2.467,80,2.247
F,Vydra,4.8,4.8,Burnley,76,2.859,75,3.162,73,3.393,73,3.087,72,3.51
D,Gibson,3.9,3.9,Burnley,0,0,0,0,0,0,0,0,0,0
M,Brady,5.0,5.0,Burnley,0,0,0,0,0,0,0,0,0,0
G,Pope,5.5,5.5,Burnley,33,1.203,89,3.566,88,3.482,88,3.53,87,3.382
D,Taylor,4.4,4.4,Burnley,42,0.789,48,1.456,47,1.4,47,1.446,45,1.268
M,Brownhill,4.9,4.9,Burnley,81,2.337,82,2.57,78,2.563,78,2.48,77,2.576
G,Peacock-Farrell,4.0,4.0,Burnley,24,0.85,0,0,1,0.038,1,0.039,2,0.075
M,McNeil,5.7,5.7,Burnley,85,2.579,82,2.75,79,2.807,81,2.736,80,2.878
G,Caballero,4.6,4.6,Chelsea,0,0,0,0,0,0,0,0,0,0
D,Azpilicueta,5.9,5.9,Chelsea,74,3.661,73,3.132,73,3.826,72,1.799,71,3.001
F,Giroud,6.7,6.7,Chelsea,6,0.404,6,0.391,8,0.542,8,0.395,7,0.442
D,Alonso,5.7,5.7,Chelsea,56,3.542,54,2.993,56,3.723,56,1.744,55,2.987
M,Jorginho,4.7,4.7,Chelsea,66,2.824,55,2.179,56,2.416,54,1.695,52,2.035
M,Barkley,5.8,5.8,Aston Villa,42,1.578,29,1.606,31,1.394,28,1.216,29,1.456
M,Kovacic,5.3,5.3,Chelsea,17,0.658,44,1.584,59,2.234,56,1.64,55,1.929
F,Batshuayi,5.7,5.7,Crystal Palace,0,0,5,0.206,7,0.272,7,0.343,9,0.42
D,Rüdiger,4.7,4.7,Chelsea,76,3.641,74,3.003,75,3.776,73,1.687,73,2.932
D,Zouma,5.3,5.3,Chelsea,34,1.681,38,1.629,37,1.929,38,0.966,38,1.606
D,Emerson,4.7,4.7,Chelsea,0,0,0,0,0,0,0,0,1,0.042
G,Arrizabalaga,4.7,4.7,Chelsea,0,0,0,0,1,0.048,1,0.036,2,0.084
M,Kanté,4.9,4.9,Chelsea,57,1.991,47,1.572,43,1.553,43,1.214,45,1.492
M,Ziyech,7.9,7.9,Chelsea,34,1.843,35,1.8,35,1.935,33,1.303,37,1.85
M,Loftus-Cheek,5.9,5.9,Fulham,67,2.411,0,0,0,0,65,2.952,65,2.649
D,Christensen,4.7,4.7,Chelsea,34,1.55,34,1.343,37,1.796,36,0.853,37,1.449
F,Werner,9.2,9.2,Chelsea,61,3.636,61,3.518,60,3.626,59,2.576,59,3.31
F,Abraham,7.1,7.1,Chelsea,7,0.464,6,0.386,8,0.533,7,0.344,10,0.621
M,Pulisic,8.2,8.2,Chelsea,67,3.887,61,3.392,60,3.575,61,2.525,59,3.191
M,Mount,7.2,7.2,Chelsea,70,3.989,68,3.637,67,3.857,67,2.642,66,3.437
D,Tomori,4.7,4.7,Chelsea,0,0,0,0,0,0,0,0,0,0
M,Hudson-Odoi,5.7,5.7,Chelsea,28,1.402,25,1.192,27,1.378,27,1.031,29,1.351
D,James,5.0,5.0,Chelsea,68,3.98,65,3.338,63,3.871,76,2.224,64,3.225
M,Gilmour,4.3,4.3,Chelsea,1,0.038,1,0.037,0,0,1,0.032,1,0.036
D,Cahill,4.5,4.5,Crystal Palace,0,0,85,1.898,84,1.244,84,3.214,83,2.486
