Pos,Name,BV,SV,Team,37_xMins,37_Pts,38_xMins,38_Pts
M,Özil,6.7,6.7,Arsenal,0,0,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0,0,0
D,David Luiz,5.4,5.4,Arsenal,59,2.296,77,2.985
M,Aubameyang,11.3,11.3,Arsenal,35,2.48,38,2.608
D,Cédric,4.6,4.6,Arsenal,3,0.122,2,0.081
F,Lacazette,8.4,8.4,Arsenal,56,3.684,53,3.398
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0
G,Leno,5.0,5.0,Arsenal,80,3.467,79,3.429
M,Xhaka,5.2,5.2,Arsenal,49,1.526,66,2.043
D,Marí,4.4,4.4,Arsenal,24,0.958,15,0.595
D,Bellerín,5.0,5.0,Arsenal,12,0.503,17,0.71
G,Martínez,5.4,5.4,Aston Villa,88,3.144,88,3.25
D,Chambers,4.5,4.5,Arsenal,74,3.128,69,2.902
D,Kolasinac,4.8,4.8,Arsenal,0,0,0,0
D,Maitland-Niles,4.6,4.6,West Brom,67,1.696,67,1.518
D,Holding,4.3,4.2,Arsenal,60,2.345,55,2.152
D,Tierney,5.2,5.2,Arsenal,81,3.445,80,3.389
M,Pépé,7.6,7.6,Arsenal,33,1.968,37,2.145
M,Torreira,4.7,4.7,Arsenal,0,0,0,0
M,Willock,4.7,4.7,Newcastle,59,2.743,58,2.262
M,Nelson,5.1,5.1,Arsenal,0,0,0,0
F,Nketiah,5.3,5.3,Arsenal,3,0.177,3,0.173
M,Smith Rowe,4.2,4.2,Arsenal,44,2.087,43,2.001
M,Saka,5.1,5.1,Arsenal,47,2.522,46,2.416
M,Guendouzi,4.7,4.7,Arsenal,0,0,0,0
M,Martinelli,4.9,4.9,Arsenal,34,1.859,37,1.974
D,Saliba,4.0,4.0,Arsenal,0,0,0,0
G,Heaton,4.5,4.5,Aston Villa,0,0,0,0
D,El Mohamady,4.2,4.2,Aston Villa,9,0.231,13,0.367
M,Lansbury,4.3,4.3,Aston Villa,0,0,0,0
D,Taylor,4.2,4.2,Aston Villa,1,0.023,2,0.051
G,Steer,3.9,3.9,Aston Villa,0,0,0,0
M,Hourihane,5.9,5.9,Aston Villa,0,0,0,0
M,Jota,5.9,5.9,Aston Villa,0,0,0,0
G,Nyland,4.0,4.0,Aston Villa,0,0,0,0
D,Engels,4.4,4.4,Aston Villa,1,0.025,2,0.054
M,Grealish,7.5,7.5,Aston Villa,81,3.359,79,3.186
M,McGinn,5.5,5.5,Aston Villa,84,2.465,81,2.381
D,Hause,4.4,4.4,Aston Villa,8,0.208,11,0.312
M,Trézéguet,5.2,5.2,Aston Villa,0,0,0,0
D,Mings,5.4,5.4,Aston Villa,86,1.866,84,2.083
D,Targett,5.0,5.0,Aston Villa,84,1.986,84,2.235
D,Bree,4.5,4.5,Aston Villa,0,0,0,0
M,Nakamba,4.3,4.3,Aston Villa,8,0.247,8,0.248
M,El Ghazi,5.2,5.2,Aston Villa,34,1.6,38,1.721
D,Konsa,4.7,4.7,Aston Villa,86,1.883,82,2.046
D,Guilbert,4.3,4.3,Aston Villa,0,0,0,0
F,Wesley,6.0,6.0,Aston Villa,16,0.765,14,0.644
F,Samatta,5.9,5.9,Aston Villa,0,0,0,0
F,Davis,4.2,4.2,Aston Villa,11,0.479,12,0.505
F,Vassilev,4.3,4.3,Aston Villa,0,0,0,0
M,Douglas Luiz,4.8,4.8,Aston Villa,72,1.984,70,1.946
F,Murray,4.8,4.8,Brighton,0,0,0,0
M,Lallana,6.2,6.2,Brighton,70,2.287,62,2.211
M,Stephens,4.2,4.2,Burnley,3,0.093,3,0.106
G,Button,3.9,3.9,West Brom,0,0,1,0.036
M,Groß,5.8,5.8,Brighton,75,2.913,71,3.084
D,Duffy,4.3,4.3,Brighton,0,0,0,0
M,Pröpper,4.7,4.7,Brighton,4,0.134,4,0.139
M,Mooy,5.0,5.0,Brighton,0,0,0,0
D,Burn,4.2,4.2,Brighton,77,1.704,54,1.508
D,Dunk,4.9,4.9,Brighton,0,0,83,2.629
D,Montoya,4.5,4.5,Brighton,0,0,0,0
F,Andone,4.8,4.8,Brighton,15,0.623,10,0.47
M,March,4.9,4.9,Brighton,0,0,0,0
D,Webster,4.3,4.3,Brighton,85,1.898,82,2.281
D,Veltman,4.4,4.4,Brighton,41,0.934,43,1.237
F,Maupay,5.9,5.9,Brighton,0,0,62,2.712
M,Trossard,5.6,5.6,Brighton,72,2.666,69,2.82
G,Ryan,4.1,4.1,Arsenal,9,0.384,10,0.427
M,Jahanbakhsh,5.4,5.4,Brighton,52,1.824,39,1.509
M,Izquierdo,5.5,5.5,Brighton,5,0.174,1,0.037
D,Clarke,4.4,4.4,Brighton,0,0,0,0
D,White,4.5,4.5,Brighton,84,1.794,71,1.897
D,Bernardo,3.9,3.9,Brighton,0,0,0,0
M,Bissouma,4.4,4.4,Brighton,81,2.115,76,2.126
D,Lamptey,4.6,4.6,Brighton,0,0,0,0
F,Connolly,5.2,5.2,Brighton,16,0.663,5,0.228
M,Alzate,4.1,4.1,Brighton,6,0.205,1,0.036
M,Mac Allister,5.3,5.3,Brighton,48,1.713,39,1.528
D,Tarkowski,5.3,5.3,Burnley,85,1.388,84,3.321
D,Bardsley,4.4,4.4,Burnley,1,0.017,2,0.076
D,Pieters,4.3,4.3,Burnley,16,0.284,18,0.713
M,Cork,5.0,5.0,Burnley,60,1.68,64,2.094
D,Long,4.3,4.3,Burnley,0,0,0,0
F,Rodriguez,5.7,5.7,Burnley,19,0.776,22,1.094
F,Barnes,6.0,6.0,Burnley,42,1.811,39,2.213
D,Mee,4.7,4.7,Burnley,85,1.368,83,3.27
M,Westwood,5.3,5.3,Burnley,81,2.251,81,2.789
M,Gudmundsson,5.4,5.4,Burnley,39,1.374,38,1.669
