,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
0,True,False,0.0,0.0,438098,0,0,-1,1,0,3,0.0,0.0,0,Fábio,0.0,1,False,Has joined Portuguese side FC Porto on loan for the 2024/25 season,2024-08-29T11:06:25.241953Z,54,438098.jpg,0.0,False,Ferreira Vieira,0.0,False,,u,1,3,0,439,0,2825,0,0.0,0.0,Fábio Vieira,,,,False,p438098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,791,341,791,341,788,340,791,341,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,134,82,770,331,790,341,715,295,0.0,0.0
1,True,True,0.0,0.0,205651,0,0,-5,5,2,4,0.0,0.0,0,Gabriel,0.0,2,False,Knee injury - Expected back 01 Jun,2025-01-12T22:00:07.802845Z,65,205651.jpg,2.5,False,Fernando de Jesus,1.0,False,,i,1,3,42,1238420,179,1409894,299,0.0,6.5,G.Jesus,30.0,2022-07-04,1997-04-03,False,p205651,600,3,2,2,5,0,0,0,4,0,0,6,152,154.4,119.5,255.0,52.6,6,3.05,0.52,3.57,5.82,0,0,0,0,0,0,0,346,33,272,31,129,32,282,32,,,,,,,0.46,0.0,0.08,0.54,0.87,0.75,43,20,792,83,220,26,201,32,0.9,0.3
2,True,True,0.0,0.0,226597,-1,1,1,-1,2,2,0.0,0.0,0,Gabriel,0.0,3,False,Hamstring injury - Expected back 01 Jun,2025-04-01T22:00:07.982867Z,61,226597.jpg,4.2,False,dos Santos Magalhães,12.2,False,,i,1,3,117,5093399,350,5427975,15791,0.0,19.2,Gabriel,30.0,2020-09-01,1997-12-19,False,p226597,2363,3,2,10,22,0,0,0,4,0,0,9,459,584.6,208.8,287.0,108.2,28,2.70,1.21,3.91,23.09,0,0,0,0,0,0,0,101,38,196,43,115,11,131,33,,,,,,,0.1,0.0,0.05,0.15,0.88,0.84,70,6,787,263,35,2,35,13,1.07,0.38
3,True,True,100.0,75.0,219847,0,0,-3,3,1,4,1.5,0.4,0,Kai,0.0,4,False,,2025-02-12T09:00:08.755570Z,77,219847.jpg,4.4,False,Havertz,6.1,False,,a,1,3,96,2635120,44963,3529502,2216,0.0,12.5,Havertz,80.0,2023-06-28,1999-06-11,False,p219847,1853,9,3,7,20,0,0,0,5,0,0,14,340,467.4,257.1,703.0,142.8,21,9.39,1.64,11.03,19.32,0,0,0,0,0,0,0,150,17,162,18,35,15,81,17,,,,,3.0,,0.46,0.0,0.08,0.54,0.94,0.97,14,4,798,87,28,9,62,13,1.02,0.34
4,True,False,0.0,0.0,463748,0,0,0,0,0,1,0.0,0.0,0,Karl,0.0,5,False,Loaned to Real Valladolid,2024-08-14T08:31:46.556082Z,40,463748.jpg,0.0,False,Hein,0.0,False,,u,1,3,0,0,0,4643,11,0.0,0.0,Hein,,,,False,p463748,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,610,68,596,57,558,38,610,68,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,666,53,467,58,617,68,646,71,0.0,0.0
5,True,True,0.0,75.0,445122,-1,1,0,0,2,2,0.0,0.4,0,Jurriën,0.0,6,False,Ankle injury - Expected back 01 Jun,2025-05-16T14:00:08.018204Z,55,445122.jpg,3.8,False,Timber,4.5,False,,i,1,3,114,1963730,965,1613630,104829,0.0,20.7,J.Timber,152.0,2023-07-14,2001-06-17,False,p445122,2415,1,3,11,21,0,0,0,7,0,0,9,426,393.0,296.8,254.0,94.2,27,1.23,1.30,2.53,21.09,0,0,0,0,0,0,0,180,66,142,29,130,15,153,40,,,,,,,0.05,0.0,0.05,0.1,0.79,0.78,115,12,775,262,64,8,84,29,1.01,0.41
6,True,True,100.0,100.0,85955,0,0,-4,4,0,3,1.8,0.8,1,Jorge Luiz,0.3,7,False,,2025-04-12T20:00:08.048837Z,46,85955.jpg,1.3,False,Frello Filho,0.2,False,,a,1,3,20,30966,107,50572,39,0.1,4.3,Jorginho,106.0,2023-01-31,1991-12-20,False,p85955,701,0,0,2,7,0,0,0,5,0,0,0,112,44.8,88.8,8.0,14.2,9,0.06,0.59,0.65,6.05,0,0,0,0,0,0,0,441,201,306,181,439,225,420,200,,,,,,,0.01,0.0,0.08,0.09,0.78,0.9,348,226,362,173,418,196,359,115,1.16,0.26
7,True,True,,,440854,1,-1,-1,1,1,2,4.5,3.5,7,Jakub,3.0,8,False,,,49,440854.jpg,2.6,False,Kiwior,3.6,False,,a,1,3,41,477627,155278,113093,3395,0.6,8.4,Kiwior,172.0,2023-01-23,2000-02-15,False,p440854,1027,1,0,3,14,0,0,0,1,0,0,2,168,244.8,86.0,32.0,36.4,9,0.17,0.26,0.43,14.08,0,0,0,0,0,0,0,270,102,310,96,369,124,332,111,,,,,,,0.01,0.0,0.02,0.03,1.23,1.23,263,32,131,34,199,61,103,38,0.79,0.26
8,True,True,100.0,100.0,444145,0,0,-5,5,1,3,5.5,4.5,3,Gabriel,4.0,9,False,,2025-02-06T00:00:08.092348Z,65,444145.jpg,3.8,False,Martinelli Silva,3.0,False,,a,1,3,123,1348730,39404,1376894,6520,0.6,18.9,Martinelli,30.0,2019-07-15,2001-06-18,False,p444145,2214,8,4,10,24,0,0,0,1,0,0,6,411,540.8,545.0,864.0,195.1,24,6.39,4.23,10.62,25.59,0,0,0,0,0,0,0,119,43,65,52,18,9,32,24,,,,,,,0.26,0.0,0.17,0.43,1.04,0.98,46,24,78,28,68,32,111,35,0.98,0.41
9,True,True,100.0,100.0,499175,0,0,-2,2,0,3,1.8,0.8,0,Ethan,0.3,12,False,,2025-01-04T22:00:06.872110Z,43,499175.jpg,2.6,False,Nwaneri,1.5,False,,a,1,3,64,734191,5260,601287,13006,0.1,14.9,Nwaneri,241.0,2022-09-17,2007-03-21,False,p499175,808,4,2,4,3,0,0,0,1,0,0,4,234,278.2,232.5,230.0,74.0,10,1.15,1.65,2.80,4.75,0,0,0,0,0,0,0,246,110,183,126,149,95,213,108,,,,,,,0.13,0.0,0.18,0.31,0.53,0.33,591,343,360,171,192,79,161,51,1.11,0.45
10,True,True,100.0,100.0,184029,0,0,-3,3,0,3,7.8,6.8,6,Martin,6.3,13,False,,2024-09-10T00:30:06.311550Z,82,184029.jpg,3.8,False,Ødegaard,5.7,False,,a,1,3,109,1231998,69737,2242833,6098,0.8,13.3,Ødegaard,161.0,2021-08-20,1998-12-17,False,p184029,2306,2,9,11,21,0,0,0,4,0,0,10,503,489.4,965.8,484.0,194.1,26,4.79,6.65,11.44,22.16,0,0,0,0,0,0,0,143,54,7,7,65,42,33,25,3.0,,1.0,,2.0,,0.19,0.0,0.26,0.45,0.86,0.82,12,9,16,6,70,34,66,20,1.01,0.43
11,True,True,100.0,100.0,154561,1,-1,1,-1,3,1,4.8,3.8,7,David,3.3,15,False,,2025-01-30T11:00:08.979724Z,56,154561.jpg,3.8,False,Raya Martin,32.5,False,,a,1,3,140,4134292,202916,3509329,10654,0.6,25.0,Raya,200.0,2024-07-04,1995-09-15,False,p154561,3330,0,0,13,33,0,0,0,3,0,85,10,549,744.4,10.7,0.0,75.6,37,0.00,0.03,0.03,34.40,0,0,0,0,0,0,0,41,10,455,11,793,82,208,11,,,,,,,0.0,2.3,0.0,0.0,0.93,0.89,101,1,110,12,65,12,6,1,1.0,0.35
12,True,True,100.0,75.0,204480,1,-1,-2,2,1,3,8.2,5.4,11,Declan,6.7,16,False,,2025-05-11T23:00:08.642302Z,63,204480.jpg,3.7,False,Rice,4.1,False,,a,1,3,125,575536,84583,822169,5759,1.1,19.8,Rice,241.0,2023-07-15,1999-01-14,False,p204480,2733,4,7,11,28,0,0,0,5,1,0,17,612,708.8,918.0,374.0,199.7,32,3.35,5.57,8.92,26.50,0,0,0,0,0,0,0,53,14,12,11,89,58,27,21,2.0,,2.0,,,,0.11,0.0,0.18,0.29,0.87,0.92,54,28,14,4,79,36,94,29,1.05,0.36
