rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,2.79,0.25,92.39
2,2,Bayern Munich,German Bundesliga,3.3,0.6,90.65
3,3,Barcelona,Spanish Primera Division,3.14,0.56,90.1
4,4,Chelsea,Barclays Premier League,2.37,0.21,89.92
5,5,Liverpool,Barclays Premier League,2.69,0.42,88.84
6,6,RB Leipzig,German Bundesliga,2.47,0.43,86.71
7,8,Real Madrid,Spanish Primera Division,2.46,0.43,86.48
8,7,Manchester United,Barclays Premier League,2.44,0.47,85.69
9,9,Atalanta,Italy Serie A,2.64,0.62,84.85
10,10,Borussia Dortmund,German Bundesliga,2.71,0.67,84.52
11,12,Atletico Madrid,Spanish Primera Division,2.23,0.41,84.51
12,14,Paris Saint-Germain,French Ligue 1,2.62,0.64,84.27
13,11,Internazionale,Italy Serie A,2.37,0.55,83.32
14,13,Arsenal,Barclays Premier League,2.16,0.45,82.71
15,15,Sevilla FC,Spanish Primera Division,2.13,0.46,82.19
16,16,Juventus,Italy Serie A,2.45,0.67,81.73
17,17,Real Sociedad,Spanish Primera Division,2.12,0.51,80.82
18,19,Ajax,Dutch Eredivisie,2.71,0.89,80.64
19,24,Napoli,Italy Serie A,2.31,0.68,79.76
20,28,FC Salzburg,Austrian T-Mobile Bundesliga,2.82,1.01,79.72
21,20,Leicester City,Barclays Premier League,2.15,0.58,79.7
22,21,Brighton and Hove Albion,Barclays Premier League,2.01,0.49,79.66
23,22,Villarreal,Spanish Primera Division,2.17,0.61,79.35
24,18,VfL Wolfsburg,German Bundesliga,2.19,0.65,78.74
25,23,AS Monaco,French Ligue 1,2.13,0.62,78.69
26,25,AC Milan,Italy Serie A,2.22,0.68,78.37
27,27,Lyon,French Ligue 1,2.34,0.77,78.24
28,26,Zenit St Petersburg,Russian Premier Liga,2.38,0.8,78.05
29,30,Tottenham Hotspur,Barclays Premier League,2.24,0.76,76.85
30,29,Lille,French Ligue 1,1.68,0.4,76.83
31,32,FC Porto,Portuguese Liga,2.11,0.69,76.76
32,33,Real Betis,Spanish Primera Division,1.97,0.62,76.09
33,31,Bayer Leverkusen,German Bundesliga,2.09,0.7,76.07
34,39,West Ham United,Barclays Premier League,2.18,0.77,75.89
35,37,Benfica,Portuguese Liga,2.16,0.78,75.29
36,44,Leeds United,Barclays Premier League,2.12,0.78,74.73
37,40,Getafe,Spanish Primera Division,1.62,0.46,74.04
38,34,Borussia Monchengladbach,German Bundesliga,2.25,0.91,73.78
39,36,Eintracht Frankfurt,German Bundesliga,2.35,1.0,73.61
40,46,AS Roma,Italy Serie A,2.15,0.86,73.34
41,38,Everton,Barclays Premier League,1.86,0.66,73.32
42,43,Lazio,Italy Serie A,2.14,0.86,73.31
43,35,Athletic Bilbao,Spanish Primera Division,1.78,0.6,73.29
44,42,Flamengo,Brasileiro Série A,2.09,0.83,73.13
45,41,Aston Villa,Barclays Premier League,2.0,0.78,72.73
46,45,Celta Vigo,Spanish Primera Division,2.03,0.83,72.04
47,47,TSG Hoffenheim,German Bundesliga,2.17,0.94,71.92
