Pos,Name,BV,SV,Team,18_xMins,18_Pts,19_xMins,19_Pts,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts
M,Özil,6.8,6.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,David Luiz,5.4,5.4,Arsenal,19,0.904,13,0.653,14,0.497,16,0.478,18,0.695,16,0.53,15,0.567,15,0.341
M,Aubameyang,11.3,11.3,Arsenal,78,5.495,76,5.556,75,4.306,74,4.08,73,4.116,72,4.408,72,5.183,71,3.365
D,Cédric,4.6,4.6,Arsenal,0,0,1,0.052,0,0,1,0.032,1,0.041,0,0,0,0,1,0.025
F,Lacazette,8.3,8.3,Arsenal,74,4.644,72,4.694,72,3.819,71,3.657,70,3.622,70,4.006,69,4.666,68,3.055
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,0,0,1,0.03,0,0,1,0.033,1,0.038,1,0.023
G,Leno,4.9,4.9,Arsenal,88,4.145,86,4.184,86,3.589,85,3.265,85,3.68,85,3.372,84,3.416,85,3.07
M,Xhaka,5.2,5.2,Arsenal,70,2.256,66,2.204,66,1.875,64,1.759,65,1.881,63,1.801,63,1.95,64,1.644
D,Marí,4.4,4.4,Arsenal,48,2.228,41,2.011,39,1.324,39,1.112,36,1.352,37,1.167,40,1.419,39,0.836
D,Bellerín,5.1,5.1,Arsenal,78,3.954,74,3.985,74,2.775,72,2.261,73,2.99,70,2.449,69,2.774,70,1.656
G,Martínez,5.1,4.8,Aston Villa,29,1.057,77,5.736,82,3.424,82,3.117,81,3.234,81,3.08,81,3.209,80,3.014
D,Chambers,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,1,0.039,2,0.068,2,0.078,1,0.024
D,Kolasinac,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Maitland-Niles,4.6,4.6,Arsenal,9,0.439,12,0.619,13,0.479,13,0.405,12,0.48,16,0.551,18,0.704,18,0.429
D,Holding,4.5,4.5,Arsenal,79,3.767,74,3.754,75,2.658,72,2.118,72,2.804,72,2.347,70,2.589,70,1.546
D,Tierney,5.4,5.4,Arsenal,80,4.13,77,4.256,77,2.983,75,2.413,75,3.171,75,2.694,74,3.055,72,1.747
M,Pépé,7.6,7.6,Arsenal,20,1.252,22,1.431,24,1.269,24,1.227,24,1.254,24,1.332,21,1.357,24,1.082
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Willock,4.7,4.7,Arsenal,15,0.841,12,0.693,11,0.535,13,0.608,13,0.616,15,0.749,15,0.856,16,0.666
M,Nelson,5.1,5.1,Arsenal,0,0,2,0.121,2,0.1,2,0.096,3,0.147,4,0.208,4,0.237,3,0.129
F,Nketiah,5.5,5.5,Arsenal,13,0.868,16,1.082,15,0.852,16,0.884,15,0.828,16,0.961,15,1.041,20,0.978
M,Smith Rowe,4.4,4.4,Arsenal,52,2.741,54,2.921,54,2.391,53,2.252,54,2.354,51,2.345,47,2.494,51,1.932
M,Saka,5.3,5.3,Arsenal,72,4.046,72,4.204,71,3.375,71,3.23,70,3.272,69,3.409,69,3.947,68,2.71
M,Guendouzi,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Martinelli,4.9,4.9,Arsenal,19,1.117,20,1.205,20,1.007,24,1.143,22,1.081,22,1.127,25,1.492,23,0.981
D,Saliba,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Heaton,4.5,4.5,Aston Villa,0,0,0,0,1,0.041,1,0.038,1,0.04,1,0.038,1,0.039,2,0.075
D,El Mohamady,4.3,4.3,Aston Villa,4,0.125,7,0.405,6,0.266,10,0.345,10,0.416,11,0.38,12,0.479,14,0.48
M,Lansbury,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Taylor,4.3,4.3,Aston Villa,0,0,1,0.047,2,0.073,2,0.058,2,0.068,3,0.087,3,0.098,4,0.114
G,Steer,4.0,4.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Hourihane,5.9,5.9,Aston Villa,8,0.33,7,0.565,9,0.417,8,0.336,9,0.419,10,0.425,9,0.401,9,0.4
M,Jota,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Nyland,4.0,4.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Engels,4.4,4.4,Aston Villa,1,0.028,2,0.102,3,0.117,3,0.093,2,0.073,3,0.093,5,0.175,6,0.183
M,Grealish,7.7,7.7,Aston Villa,13,0.676,76,7.044,79,4.473,77,3.835,76,4.382,75,3.796,75,4.024,74,3.709
M,McGinn,5.5,5.5,Aston Villa,83,2.457,82,4.746,78,2.621,77,2.351,79,2.639,77,2.379,74,2.395,74,2.321
D,Hause,4.4,4.4,Aston Villa,24,0.7,31,1.655,32,1.337,32,1.041,34,1.333,33,1.084,37,1.386,37,1.203
M,Trézéguet,5.2,5.2,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Mings,5.4,5.4,Aston Villa,81,2.12,77,3.665,78,3.059,75,2.231,74,2.683,76,2.281,73,2.525,73,2.162
D,Targett,4.6,4.6,Aston Villa,83,2.158,80,3.786,77,2.972,79,2.334,79,2.813,77,2.292,78,2.665,75,2.199
D,Bree,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Nakamba,4.3,4.3,Aston Villa,4,0.124,4,0.246,5,0.165,7,0.22,7,0.23,8,0.252,9,0.291,10,0.316
M,El Ghazi,5.8,5.8,Aston Villa,6,0.344,64,6.606,63,3.986,63,3.5,62,3.984,63,3.563,63,3.772,62,3.604
D,Konsa,4.7,4.7,Aston Villa,66,1.742,66,3.152,65,2.543,67,1.99,67,2.426,64,1.923,63,2.175,63,1.868
D,Guilbert,4.3,4.3,Aston Villa,0,0,1,0.048,1,0.037,2,0.058,2,0.07,3,0.088,2,0.067,2,0.058
F,Wesley,6.0,6.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Samatta,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Davis,4.3,4.3,Aston Villa,13,0.717,14,1.468,16,0.972,16,0.846,18,1.113,19,1.055,20,1.163,18,0.982
F,Vassilev,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Douglas Luiz,4.9,4.9,Aston Villa,80,2.205,78,4.276,76,2.367,75,2.147,73,2.279,71,2.077,72,2.177,72,2.11
F,Murray,4.8,4.8,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Lallana,6.2,6.2,Brighton,43,1.343,59,2.176,59,2.378,56,1.948,56,1.76,55,2.103,58,2.172,55,2.191
M,Stephens,4.3,4.3,Burnley,14,0.431,10,0.617,7,0.229,7,0.21,8,0.239,11,0.369,8,0.263,10,0.353
G,Button,4.0,4.0,West Brom,0,0,3,0.22,1,0.035,1,0.04,2,0.08,2,0.07,2,0.07,3,0.117
M,Groß,5.8,5.8,Brighton,64,2.094,45,2.034,43,2.148,44,1.814,44,1.599,46,2.136,46,2.144,48,2.359
D,Duffy,4.3,4.3,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Pröpper,4.8,4.8,Brighton,28,0.866,15,0.547,14,0.544,15,0.521,14,0.454,18,0.669,19,0.697,19,0.726
M,Mooy,5.0,5.0,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Burn,4.2,4.2,Brighton,67,0.853,55,1.382,54,2.219,53,1.374,57,0.854,54,1.969,53,1.583,57,2.229
D,Dunk,4.8,4.8,Brighton,87,1.168,84,2.312,81,3.657,81,2.231,80,1.24,79,3.141,78,2.539,77,3.306
D,Montoya,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Andone,4.8,4.8,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,March,5.0,5.0,Brighton,77,2.297,73,2.746,73,3.025,68,2.417,68,2.159,69,2.691,69,2.657,66,2.716
D,Webster,4.4,4.4,Brighton,83,1.116,79,2.093,76,3.266,75,2.034,76,1.214,71,2.71,73,2.285,70,2.868
D,Veltman,4.3,4.3,Brighton,65,0.791,50,1.207,41,1.646,45,1.137,42,0.612,45,1.603,45,1.303,43,1.649
F,Maupay,6.1,6.1,Brighton,78,2.838,71,3.782,73,4.027,72,3.264,71,2.758,69,3.524,69,3.662,68,3.745
M,Trossard,5.7,5.7,Brighton,74,2.596,69,3.371,70,3.744,68,2.952,68,2.574,68,3.391,68,3.387,66,3.492
G,Ryan,4.3,4.3,Brighton,15,0.524,15,0.541,17,0.733,17,0.621,16,0.555,16,0.662,15,0.565,17,0.717
M,Jahanbakhsh,5.4,5.4,Brighton,31,1.144,21,1.052,23,1.245,25,1.116,22,0.872,26,1.317,27,1.366,28,1.481
M,Izquierdo,5.5,5.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Clarke,4.4,4.4,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,White,4.4,4.4,Brighton,70,0.862,56,1.339,56,2.22,58,1.456,55,0.802,59,2.083,59,1.685,57,2.16
D,Bernardo,3.9,3.9,Brighton,5,0.089,2,0.066,3,0.149,6,0.192,6,0.122,6,0.265,6,0.224,8,0.38
M,Bissouma,4.5,4.5,Brighton,0,0,77,2.137,74,2.315,74,2.017,73,1.827,73,2.178,72,2.085,72,2.227
D,Lamptey,4.7,4.7,Brighton,22,0.356,44,1.346,60,2.866,58,1.738,61,1.093,58,2.458,58,2.045,58,2.649
F,Connolly,5.2,5.2,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Alzate,4.3,4.3,Brighton,14,0.441,7,0.253,7,0.268,7,0.242,9,0.29,10,0.368,9,0.328,11,0.417
M,Mac Allister,5.3,5.3,Brighton,15,0.515,8,0.34,8,0.364,8,0.315,10,0.356,11,0.471,10,0.43,12,0.537
D,Tarkowski,5.3,5.3,Burnley,87,1.756,85,3.43,82,2.304,81,1.358,79,1.126,78,2.752,78,2.547,77,3.261
D,Bardsley,4.5,4.5,Burnley,2,0.04,2,0.079,3,0.08,6,0.098,5,0.07,8,0.263,7,0.214,12,0.473
D,Pieters,4.3,4.3,Burnley,55,1.184,25,1.088,20,0.595,23,0.423,22,0.35,24,0.885,27,0.925,25,1.11
M,Cork,5.0,5.0,Burnley,0,0,31,1.915,52,1.643,50,1.437,47,1.345,46,1.519,52,1.663,52,1.798
D,Long,4.3,4.3,Burnley,12,0.255,4,0.173,5,0.142,7,0.128,9,0.142,9,0.313,11,0.358,12,0.492
F,Rodriguez,5.8,5.8,Burnley,24,1.014,38,3.091,37,1.77,44,1.664,39,1.469,37,1.773,39,1.772,40,2.133
F,Barnes,6.0,6.0,Burnley,62,2.476,53,4.291,52,2.513,49,1.857,51,1.902,50,2.437,49,2.276,48,2.653
D,Mee,4.9,4.9,Burnley,88,1.767,85,3.426,84,2.359,82,1.37,83,1.171,80,2.847,78,2.566,78,3.369
M,Westwood,5.3,5.3,Burnley,87,2.458,77,4.431,70,2.287,68,1.906,68,1.882,68,2.309,66,2.171,66,2.459
M,Gudmundsson,5.4,5.4,Burnley,2,0.077,17,1.295,17,0.724,20,0.718,19,0.674,20,0.863,19,0.797,18,0.856
F,Wood,6.2,6.2,Burnley,80,3.265,73,6.098,70,3.474,68,2.64,68,2.602,68,3.418,67,3.219,67,3.776
D,Lowton,4.4,4.4,Burnley,88,1.692,87,3.356,85,2.265,82,1.321,82,1.112,79,2.674,78,2.455,77,3.136
F,Vydra,4.8,4.8,Burnley,4,0.192,7,0.675,10,0.551,9,0.397,14,0.605,13,0.715,12,0.636,14,0.854
D,Gibson,3.9,3.9,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Brady,5.0,5.0,Burnley,62,2.155,50,3.528,48,1.933,48,1.597,48,1.573,48,1.974,50,1.983,48,2.219
G,Pope,5.4,5.4,Burnley,88,3.22,86,6.424,87,3.362,86,3.104,86,3.092,86,3.611,85,3.487,86,3.895
D,Taylor,4.6,4.6,Burnley,38,0.78,73,2.91,83,2.248,79,1.313,80,1.121,81,2.786,79,2.532,78,3.228
M,Brownhill,4.9,4.9,Burnley,85,2.385,72,4.181,63,2.051,66,1.861,66,1.836,66,2.207,66,2.142,61,2.22
G,Peacock-Farrell,4.0,4.0,Burnley,0,0,2,0.145,0,0,0,0,0,0,0,0,1,0.04,1,0.044
M,McNeil,5.7,5.7,Burnley,62,2.063,82,5.22,80,2.891,80,2.411,79,2.35,78,2.905,76,2.739,77,3.184
