Pos,Name,BV,SV,Team,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts
M,Özil,6.7,6.7,Arsenal,0,,0,,0,,0,0,0,
D,Sokratis,4.8,4.8,Arsenal,0,,0,,0,,0,0,0,
D,David Luiz,5.4,5.4,Arsenal,0,0,37,1.5,57,4.035,77,0,75,3.1
M,Aubameyang,11.3,11.3,Arsenal,37,2.6,57,4.037,57,7.325,56,0,56,3.781
D,Cédric,4.6,4.6,Arsenal,71,3.051,61,2.632,60,4.527,62,0,38,1.679
F,Lacazette,8.4,8.4,Arsenal,50,3.307,68,4.474,66,7.874,68,0,66,4.115
D,Mustafi,5.0,5.0,Arsenal,0,,0,,0,,0,0,0,
G,Leno,5.0,5.0,Arsenal,85,3.759,84,3.722,85,7.18,83,0,82,3.711
M,Xhaka,5.2,5.2,Arsenal,77,2.403,74,2.352,72,4.353,71,0,71,2.238
D,Marí,4.4,4.4,Arsenal,45,1.838,32,1.311,29,2.086,16,0,17,0.711
D,Bellerín,5.0,5.0,Arsenal,38,1.631,39,1.684,40,3.02,38,0,32,1.41
G,Martínez,5.4,5.4,Aston Villa,89,4.029,89,3.382,88,6.781,88,3.723,87,3.143
D,Chambers,4.5,4.5,Arsenal,50,2.181,50,2.222,48,3.73,50,0,52,2.359
D,Kolasinac,4.8,4.8,Arsenal,0,,0,,0,,0,0,0,
D,Maitland-Niles,4.6,4.6,West Brom,69,1.896,75,2.633,74,1.651,71,1.394,70,2.112
D,Holding,4.2,4.2,Arsenal,78,3.153,63,2.583,63,4.522,58,0,56,2.366
D,Tierney,5.2,5.2,Arsenal,0,0,0,0,0,0,0,0,40,1.81
M,Pépé,7.6,7.6,Arsenal,63,3.84,58,3.621,60,6.808,59,0,56,3.355
M,Torreira,4.7,4.7,Arsenal,0,,0,,0,,0,0,0,
M,Willock,4.7,4.7,Newcastle,40,1.295,40,1.435,41,1.38,43,1.379,41,1.759
M,Nelson,5.1,5.1,Arsenal,0,0,0,0,0,0,0,0,0,0
F,Nketiah,5.3,5.3,Arsenal,21,1.286,10,0.633,10,1.168,10,0,11,0.664
M,Smith Rowe,4.2,4.2,Arsenal,41,2.028,29,1.473,27,2.554,30,0,26,1.281
M,Saka,5.1,5.1,Arsenal,62,2.968,62,3.046,62,5.646,57,0,58,2.771
M,Guendouzi,4.7,4.7,Arsenal,0,,0,,0,,0,0,0,
M,Martinelli,4.9,4.9,Arsenal,43,2.322,31,1.723,28,2.871,32,0,28,1.5
D,Saliba,4.0,4.0,Arsenal,0,,0,,0,,0,0,0,
G,Heaton,4.5,4.5,Aston Villa,0,0,0,0,1,0.076,0,0,0,0
D,El Mohamady,4.3,4.3,Aston Villa,6,0.282,9,0.286,10,0.653,13,0.527,11,0.303
M,Lansbury,4.3,4.3,Aston Villa,0,,0,,0,,0,,0,
D,Taylor,4.2,4.2,Aston Villa,0,0,1,0.028,1,0.057,1,0.035,1,0.024
G,Steer,3.9,3.9,Aston Villa,0,0,0,0,0,0,0,0,1,0.036
M,Hourihane,5.9,5.9,Aston Villa,0,,0,,0,,0,,0,
M,Jota,5.9,5.9,Aston Villa,0,,0,,0,,0,,0,
G,Nyland,4.0,4.0,Aston Villa,0,,0,,0,,0,,0,
D,Engels,4.4,4.4,Aston Villa,0,0,0,0,1,0.061,1,0.038,2,0.052
M,Grealish,7.5,7.5,Aston Villa,35,2.191,60,2.838,84,7.919,77,3.951,78,3.433
M,McGinn,5.5,5.5,Aston Villa,87,3.462,82,2.676,84,5.59,80,2.836,78,2.501
D,Hause,4.4,4.4,Aston Villa,4,0.181,12,0.369,13,0.821,16,0.624,19,0.504
M,Trézéguet,5.2,5.2,Aston Villa,0,,0,,0,,0,,0,
D,Mings,5.4,5.4,Aston Villa,88,3.801,85,2.36,85,4.842,83,3.015,80,1.875
D,Targett,5.0,5.0,Aston Villa,88,4.11,86,2.586,82,5.087,82,3.222,81,2.076
D,Bree,4.5,4.5,Aston Villa,0,,0,,0,,0,,0,
M,Nakamba,4.3,4.3,Aston Villa,21,0.738,20,0.63,18,1.151,17,0.564,18,0.556
M,El Ghazi,5.2,5.2,Aston Villa,53,3.555,39,2.047,29,3.181,33,1.923,37,1.865
