Pos,Name,BV,SV,Team,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts
M,Özil,6.8,6.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Sokratis,4.9,4.9,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,David Luiz,5.5,5.5,Arsenal,24,1.127,47,1.846,51,1.6,50,1.34,49,1.739,51,2.177,49,2.169,49,2.258
M,Aubameyang,11.5,11.5,Arsenal,84,6.093,81,5.316,79,4.75,79,4.376,76,4.679,78,5.43,75,5.302,74,5.397
D,Cédric,4.6,4.6,Arsenal,0,0,1,0.042,1,0.035,1,0.03,2,0.078,2,0.092,3,0.143,2,0.099
F,Lacazette,8.3,8.3,Arsenal,61,3.769,54,3.128,60,3.21,57,2.86,57,3.095,54,3.27,50,3.072,50,3.156
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,1,0.033,0,0,1,0.037,1,0.044,1,0.045,2,0.094
G,Leno,5.0,5.0,Arsenal,89,4.217,88,3.803,88,3.523,87,3.273,87,3.668,86,3.878,87,3.99,87,4.072
M,Xhaka,5.2,5.2,Arsenal,61,2.096,54,1.727,50,1.503,52,1.493,51,1.571,53,1.77,52,1.761,52,1.797
D,Marí,4.4,4.4,Arsenal,6,0.263,3,0.11,6,0.18,6,0.155,6,0.203,6,0.241,4,0.166,8,0.345
D,Bellerín,5.2,5.2,Arsenal,87,4.296,84,3.455,84,2.795,82,2.312,80,3.03,79,3.562,78,3.641,77,3.743
G,Martínez,4.8,4.7,Aston Villa,89,3.493,85,3.736,82,3.393,79,3.339,78,2.736,82,2.931,80,2.918,79,3.049
D,Chambers,4.5,4.5,Arsenal,17,0.827,12,0.497,13,0.441,15,0.434,17,0.647,15,0.68,17,0.798,18,0.878
D,Kolasinac,4.8,4.8,Arsenal,2,0.091,2,0.078,1,0.032,2,0.055,2,0.071,3,0.127,2,0.087,2,0.09
D,Maitland-Niles,4.7,4.7,Arsenal,7,0.353,6,0.255,5,0.177,9,0.273,8,0.315,7,0.325,7,0.332,8,0.397
D,Holding,4.4,4.4,Arsenal,66,3.074,59,2.303,55,1.741,56,1.509,57,2.037,53,2.273,55,2.444,56,2.586
D,Tierney,5.4,5.4,Arsenal,81,4.014,79,3.281,78,2.645,76,2.191,76,2.918,75,3.417,75,3.53,74,3.62
M,Pépé,7.6,7.6,Arsenal,0,0,40,2.275,41,2.15,39,1.919,37,1.989,38,2.295,38,2.31,38,2.388
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Willock,4.8,4.8,Arsenal,19,1.108,17,0.924,15,0.76,14,0.659,17,0.874,18,1.022,17,0.975,16,0.933
