Pos,Name,BV,SV,Team,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,Özil,6.7,6.7,Arsenal,0,,0,,0,0,0,,0,
D,Sokratis,4.8,4.8,Arsenal,0,,0,,0,0,0,,0,
D,David Luiz,5.4,5.4,Arsenal,76,2.799,77,5.254,0,0,73,2.993,73,2.768
M,Aubameyang,11.3,11.3,Arsenal,64,4.535,54,6.987,0,0,54,3.76,60,3.934
D,Cédric,4.6,4.6,Arsenal,18,0.683,7,0.49,0,0,9,0.373,9,0.347
F,Lacazette,8.4,8.4,Arsenal,40,2.597,65,7.286,0,0,61,3.685,59,3.413
D,Mustafi,5.0,5.0,Arsenal,0,,0,,0,0,0,,0,
G,Leno,5.0,5.0,Arsenal,87,3.6,87,7.078,0,0,87,3.813,85,3.602
M,Xhaka,5.2,5.2,Arsenal,78,2.319,74,4.284,0,0,74,2.252,70,2.088
D,Marí,4.4,4.4,Arsenal,28,0.978,27,1.765,0,0,35,1.375,29,1.053
D,Bellerín,5.0,5.0,Arsenal,19,0.722,21,1.476,0,0,21,0.88,22,0.856
G,Martínez,5.4,5.4,Aston Villa,90,3.391,88,6.717,88,3.719,88,3.163,87,3.158
D,Chambers,4.5,4.5,Arsenal,63,2.449,59,4.255,0,0,58,2.504,56,2.238
D,Kolasinac,4.8,4.8,Arsenal,0,,0,,0,0,0,,0,
D,Maitland-Niles,4.6,4.6,West Brom,80,2.832,77,1.796,73,1.458,74,2.299,74,1.861
D,Holding,4.3,4.2,Arsenal,62,2.17,64,4.203,0,0,56,2.226,61,2.235
D,Tierney,5.2,5.2,Arsenal,66,2.667,84,6.349,0,0,80,3.635,79,3.321
M,Pépé,7.6,7.6,Arsenal,53,3.114,55,5.903,0,0,54,3.113,51,2.801
M,Torreira,4.7,4.7,Arsenal,0,,0,,0,0,0,,0,
M,Willock,4.7,4.7,Newcastle,0,0,40,1.429,43,1.436,42,1.96,42,1.608
M,Nelson,5.1,5.1,Arsenal,0,0,0,0,0,0,0,0,0,0
F,Nketiah,5.3,5.3,Arsenal,23,1.395,13,1.462,0,0,16,0.946,19,1.075
M,Smith Rowe,4.2,4.2,Arsenal,36,1.72,35,3.116,0,0,38,1.786,41,1.843
M,Saka,5.1,5.1,Arsenal,57,2.814,53,4.918,0,0,54,2.659,54,2.557
M,Guendouzi,4.7,4.7,Arsenal,0,,0,,0,0,0,,0,
M,Martinelli,4.9,4.9,Arsenal,31,1.768,28,2.962,0,0,27,1.529,24,1.298
D,Saliba,4.0,4.0,Arsenal,0,,0,,0,0,0,,0,
G,Heaton,4.5,4.5,Aston Villa,0,0,0,0,1,0.042,0,0,1,0.036
D,El Mohamady,4.3,4.3,Aston Villa,14,0.419,17,1.079,18,0.732,19,0.505,21,0.563
M,Lansbury,4.3,4.3,Aston Villa,0,,0,,0,,0,,0,
D,Taylor,4.2,4.2,Aston Villa,3,0.078,4,0.215,4,0.135,5,0.113,5,0.116
G,Steer,3.9,3.9,Aston Villa,0,0,0,0,0,0,0,0,1,0.036
M,Hourihane,5.9,5.9,Aston Villa,0,,0,,0,,0,,0,
M,Jota,5.9,5.9,Aston Villa,0,,0,,0,,0,,0,
G,Nyland,4.0,4.0,Aston Villa,0,,0,,0,,0,,0,
D,Engels,4.4,4.4,Aston Villa,0,0,1,0.059,1,0.037,2,0.05,2,0.051
M,Grealish,7.5,7.5,Aston Villa,0,,0,,0,,0,,0,
M,McGinn,5.5,5.5,Aston Villa,87,2.77,86,5.62,84,2.968,83,2.588,79,2.436
D,Hause,4.4,4.4,Aston Villa,2,0.057,10,0.583,14,0.516,15,0.366,17,0.421
M,Trézéguet,5.2,5.2,Aston Villa,0,,0,,0,,0,,0,
D,Mings,5.4,5.4,Aston Villa,89,2.353,85,4.686,84,3.027,83,1.87,82,1.892
D,Targett,5.0,5.0,Aston Villa,88,2.548,84,5.081,82,3.235,81,2.019,79,1.999
D,Bree,4.5,4.5,Aston Villa,0,,0,,0,,0,,0,
M,Nakamba,4.3,4.3,Aston Villa,26,0.804,27,1.692,29,0.952,29,0.872,32,0.951
M,El Ghazi,5.2,5.2,Aston Villa,67,3.37,67,6.946,64,3.695,65,3.098,62,2.825
