Pos,Name,BV,SV,Team,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,Özil,6.7,6.7,Arsenal,0,0,0,0,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0,0,0,0,0
D,David Luiz,5.4,5.4,Arsenal,0,0,76,2.982,74,2.806
M,Aubameyang,11.3,11.3,Arsenal,0,0,40,2.809,38,2.567
D,Cédric,4.6,4.6,Arsenal,0,0,2,0.082,2,0.079
F,Lacazette,8.4,8.4,Arsenal,0,0,58,3.779,57,3.578
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,0,0
G,Leno,5.0,5.0,Arsenal,0,0,80,3.484,78,3.351
M,Xhaka,5.2,5.2,Arsenal,0,0,71,2.186,70,2.128
D,Marí,4.4,4.4,Arsenal,0,0,9,0.359,10,0.386
D,Bellerín,5.0,5.0,Arsenal,0,0,17,0.718,18,0.737
G,Martínez,5.4,5.4,Aston Villa,89,3.758,89,3.194,87,3.231
D,Chambers,4.5,4.5,Arsenal,0,0,69,2.931,69,2.831
D,Kolasinac,4.8,4.8,Arsenal,0,0,0,0,0,0
D,Maitland-Niles,4.6,4.6,West Brom,68,1.097,68,1.847,67,1.668
D,Holding,4.3,4.2,Arsenal,0,0,47,1.859,50,1.913
D,Tierney,5.2,5.2,Arsenal,0,0,83,3.559,81,3.36
M,Pépé,7.6,7.6,Arsenal,0,0,50,2.912,47,2.649
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0
M,Willock,4.7,4.7,Newcastle,57,1.853,55,2.516,56,2.154
M,Nelson,5.1,5.1,Arsenal,0,0,0,0,0,0
F,Nketiah,5.3,5.3,Arsenal,0,0,4,0.234,5,0.284
M,Smith Rowe,4.2,4.2,Arsenal,0,0,41,1.922,37,1.695
M,Saka,5.1,5.1,Arsenal,0,0,45,2.41,47,2.424
M,Guendouzi,4.7,4.7,Arsenal,0,0,0,0,0,0
M,Martinelli,4.9,4.9,Arsenal,0,0,42,2.288,44,2.308
D,Saliba,4.0,4.0,Arsenal,0,0,0,0,0,0
G,Heaton,4.5,4.5,Aston Villa,0,0,0,0,0,0
D,El Mohamady,4.2,4.2,Aston Villa,3,0.11,7,0.173,9,0.246
M,Lansbury,4.3,4.3,Aston Villa,0,0,0,0,0,0
D,Taylor,4.2,4.2,Aston Villa,1,0.034,0,0,2,0.051
G,Steer,3.9,3.9,Aston Villa,0,0,0,0,1,0.037
M,Hourihane,5.9,5.9,Aston Villa,0,0,0,0,0,0
M,Jota,5.9,5.9,Aston Villa,0,0,0,0,0,0
G,Nyland,4.0,4.0,Aston Villa,0,0,0,0,0,0
D,Engels,4.4,4.4,Aston Villa,0,0,1,0.025,2,0.055
M,Grealish,7.5,7.5,Aston Villa,57,2.594,82,3.362,79,3.2
M,McGinn,5.5,5.5,Aston Villa,87,2.904,81,2.4,81,2.407
D,Hause,4.4,4.4,Aston Villa,2,0.072,7,0.171,10,0.27
M,Trézéguet,5.2,5.2,Aston Villa,0,0,0,0,0,0
D,Mings,5.4,5.4,Aston Villa,89,3.134,86,1.907,85,2.138
D,Targett,5.0,5.0,Aston Villa,88,3.382,86,2.085,84,2.283
D,Bree,4.5,4.5,Aston Villa,0,0,0,0,0,0
M,Nakamba,4.3,4.3,Aston Villa,11,0.37,8,0.251,7,0.22
M,El Ghazi,5.2,5.2,Aston Villa,43,2.466,33,1.561,33,1.53
D,Konsa,4.7,4.7,Aston Villa,88,3.11,86,1.913,83,2.09
D,Guilbert,4.3,4.3,Aston Villa,0,0,0,0,0,0
F,Wesley,6.0,6.0,Aston Villa,16,0.862,14,0.653,16,0.725
F,Samatta,5.9,5.9,Aston Villa,0,0,0,0,0,0
F,Davis,4.2,4.2,Aston Villa,10,0.493,9,0.39,10,0.423
F,Vassilev,4.3,4.3,Aston Villa,0,0,0,0,0,0
M,Douglas Luiz,4.8,4.8,Aston Villa,76,2.335,68,1.907,69,1.942
F,Murray,4.8,4.8,Brighton,0,0,0,0,0,0
M,Lallana,6.2,6.2,Brighton,25,0.665,52,1.442,61,2.223
M,Stephens,4.2,4.2,Burnley,2,0.067,5,0.155,4,0.139
G,Button,3.9,3.9,West Brom,0,0,0,0,1,0.036
M,Groß,5.8,5.8,Brighton,82,4.024,76,2.969,69,3.043
