Pos,Name,BV,SV,Team,38_xMins,38_Pts
M,Özil,6.7,6.7,Arsenal,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0
D,David Luiz,5.4,5.4,Arsenal,40,1.617
M,Aubameyang,11.3,11.3,Arsenal,36,2.694
D,Cédric,4.6,4.6,Arsenal,3,0.123
F,Lacazette,8.4,8.4,Arsenal,56,3.92
D,Mustafi,5.0,5.0,Arsenal,0,0
G,Leno,5.0,5.0,Arsenal,82,3.601
M,Xhaka,5.2,5.2,Arsenal,65,2.117
D,Marí,4.4,4.4,Arsenal,28,1.153
D,Bellerín,5.0,5.0,Arsenal,17,0.776
G,Martínez,5.4,5.4,Aston Villa,87,3.145
D,Chambers,4.5,4.5,Arsenal,71,3.31
D,Kolasinac,4.8,4.8,Arsenal,0,0
D,Maitland-Niles,4.6,4.6,West Brom,65,1.412
D,Holding,4.3,4.2,Arsenal,63,2.574
D,Tierney,5.2,5.2,Arsenal,82,3.902
M,Pépé,7.6,7.6,Arsenal,36,2.287
M,Torreira,4.7,4.7,Arsenal,0,0
M,Willock,4.8,4.8,Newcastle,68,2.68
M,Nelson,5.1,5.1,Arsenal,0,0
F,Nketiah,5.3,5.3,Arsenal,4,0.264
M,Smith Rowe,4.2,4.2,Arsenal,41,2.144
M,Saka,5.1,5.1,Arsenal,45,2.374
M,Guendouzi,4.7,4.7,Arsenal,0,0
M,Martinelli,4.9,4.9,Arsenal,36,2.162
D,Saliba,4.0,4.0,Arsenal,0,0
G,Heaton,4.5,4.5,Aston Villa,1,0.036
D,El Mohamady,4.2,4.2,Aston Villa,82,2.039
M,Lansbury,4.3,4.3,Aston Villa,0,0
D,Taylor,4.2,4.2,Aston Villa,2,0.047
G,Steer,3.9,3.9,Aston Villa,0,0
M,Hourihane,5.9,5.9,Aston Villa,0,0
M,Jota,5.9,5.9,Aston Villa,0,0
G,Nyland,4.0,4.0,Aston Villa,0,0
D,Engels,4.4,4.4,Aston Villa,2,0.05
M,Grealish,7.5,7.5,Aston Villa,80,3.116
M,McGinn,5.5,5.5,Aston Villa,81,2.323
D,Hause,4.4,4.4,Aston Villa,17,0.44
M,Trézéguet,5.2,5.2,Aston Villa,0,0
D,Mings,5.4,5.4,Aston Villa,83,1.879
D,Targett,5.0,5.0,Aston Villa,85,2.064
D,Bree,4.5,4.5,Aston Villa,0,0
M,Nakamba,4.3,4.3,Aston Villa,4,0.123
M,El Ghazi,5.2,5.2,Aston Villa,50,2.152
D,Konsa,4.7,4.7,Aston Villa,83,1.887
