Pos,Name,BV,SV,Team,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts,27_xMins,27_Pts
M,Özil,6.7,6.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,David Luiz,5.4,5.4,Arsenal,54,2.073,45,1.323,44,1.687,43,1.504,47,1.853,42,0.959,49,1.517,47,2.117
M,Aubameyang,11.3,11.3,Arsenal,63,3.681,80,4.402,79,4.41,78,4.755,78,5.568,76,3.564,75,4.126,74,4.901
D,Cédric,4.6,4.6,Arsenal,4,0.156,5,0.15,5,0.192,5,0.176,8,0.315,5,0.119,7,0.22,7,0.313
F,Lacazette,8.3,8.3,Arsenal,71,3.947,70,3.614,69,3.55,66,3.77,68,4.554,66,2.96,66,3.403,66,3.982
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0,0,0,1,0.024,1,0.031,0,0
G,Leno,5.0,5.0,Arsenal,88,3.723,87,3.325,86,3.712,87,3.531,86,3.568,86,3.128,84,3.296,85,3.893
M,Xhaka,5.2,5.2,Arsenal,75,2.212,69,1.863,68,1.94,68,1.939,67,2.062,64,1.641,69,1.866,63,1.977
D,Marí,4.4,4.4,Arsenal,15,0.534,35,0.981,40,1.477,38,1.264,41,1.51,40,0.871,35,1.038,40,1.731
D,Bellerín,5.1,5.1,Arsenal,81,3.19,78,2.418,75,3.043,78,2.878,73,3.049,78,1.873,72,2.353,73,3.482
G,Martínez,5.1,4.8,Aston Villa,89,3.759,89,3.451,88,3.538,87,3.296,87,3.482,86,3.251,86,3.207,86,3.601
D,Chambers,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.045
D,Kolasinac,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Maitland-Niles,4.6,4.6,Arsenal,8,0.297,10,0.3,14,0.541,11,0.388,13,0.511,12,0.285,16,0.504,15,0.673
D,Holding,4.5,4.5,Arsenal,82,3.101,78,2.28,75,2.91,76,2.65,75,2.938,74,1.678,71,2.204,71,3.225
D,Tierney,5.4,5.4,Arsenal,82,3.303,78,2.467,79,3.289,79,2.98,75,3.191,77,1.891,75,2.507,76,3.712
M,Pépé,7.6,7.6,Arsenal,14,0.75,16,0.789,14,0.701,16,0.854,15,0.921,14,0.614,17,0.83,18,1.034
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Willock,4.7,4.7,Arsenal,6,0.297,5,0.235,5,0.237,6,0.303,7,0.401,6,0.252,6,0.281,7,0.373
M,Nelson,5.1,5.1,Arsenal,0,0,1,0.047,1,0.049,1,0.052,1,0.059,1,0.043,2,0.097,2,0.11
F,Nketiah,5.5,5.5,Arsenal,9,0.528,8,0.449,9,0.501,9,0.547,11,0.762,11,0.545,12,0.663,12,0.754
M,Smith Rowe,4.5,4.5,Arsenal,66,2.761,65,2.571,64,2.6,64,2.746,64,3.127,63,2.234,63,2.488,62,2.874
M,Saka,5.3,5.3,Arsenal,73,3.662,73,3.429,72,3.474,72,3.707,70,4.142,71,2.874,69,3.232,69,3.837
M,Guendouzi,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Martinelli,4.9,4.9,Arsenal,29,1.564,23,1.178,25,1.297,25,1.385,25,1.594,26,1.156,27,1.364,28,1.664
D,Saliba,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Heaton,4.5,4.5,Aston Villa,0,0,0,0,1,0.04,1,0.038,1,0.04,2,0.075,2,0.074,2,0.083
D,El Mohamady,4.3,4.3,Aston Villa,2,0.088,4,0.145,5,0.205,7,0.239,7,0.273,7,0.242,9,0.299,10,0.422
M,Lansbury,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Taylor,4.2,4.2,Aston Villa,2,0.072,4,0.121,6,0.201,7,0.2,9,0.294,10,0.288,7,0.189,10,0.352
G,Steer,4.0,4.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Hourihane,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Jota,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
