Pos,Name,BV,SV,Team,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts
M,Özil,6.7,6.7,Arsenal,0,,0,,0,,0,,0,
D,Sokratis,4.8,4.8,Arsenal,0,,0,,0,,0,,0,
D,David Luiz,5.4,5.4,Arsenal,0,0,40,1.754,51,2.461,70,1.787,71,3.177
M,Aubameyang,11.3,11.3,Arsenal,61,4.002,60,4.178,59,4.493,61,2.996,57,3.869
D,Cédric,4.6,4.6,Arsenal,74,3.094,71,3.298,71,3.645,71,1.917,47,2.243
F,Lacazette,8.4,8.3,Arsenal,73,4.717,70,4.786,69,5.142,68,3.315,65,4.322
D,Mustafi,5.0,5.0,Arsenal,0,,0,,0,,0,,0,
G,Leno,5.0,5.0,Arsenal,88,3.848,87,4.021,88,4.286,87,3.27,87,4.114
M,Xhaka,5.2,5.2,Arsenal,79,2.432,76,2.47,75,2.591,73,1.928,72,2.351
D,Marí,4.4,4.4,Arsenal,66,2.586,46,2.014,42,2.021,35,0.913,37,1.664
D,Bellerín,5.0,5.0,Arsenal,11,0.462,13,0.604,16,0.817,11,0.307,11,0.522
G,Martínez,5.4,5.4,Aston Villa,88,4.004,88,3.411,87,3.205,88,3.879,87,3.194
D,Chambers,4.5,4.5,Arsenal,79,3.41,76,3.654,74,3.94,77,2.125,72,3.53
D,Kolasinac,4.8,4.8,Arsenal,0,,0,,0,,0,,0,
D,Maitland-Niles,4.6,4.6,West Brom,75,1.989,73,2.482,71,1.501,72,1.375,72,2.148
D,Holding,4.2,4.2,Arsenal,78,3.114,65,2.886,64,3.12,58,1.526,54,2.469
D,Tierney,5.2,5.2,Arsenal,0,0,0,0,0,0,0,0,37,1.813
M,Pépé,7.6,7.6,Arsenal,60,3.635,58,3.726,60,4.191,57,2.613,55,3.452
M,Torreira,4.7,4.7,Arsenal,0,,0,,0,,0,,0,
M,Willock,4.7,4.7,Newcastle,45,1.415,46,1.58,46,1.516,48,1.472,44,1.834
