,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,price_change_percent,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,known_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,scout_risks,scout_news_link,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90
0,True,True,,,154561,0,0,5,-5,0,1,1,4.5,5.0,1,David,4.0,1,True,,,60,154561.jpg,4.1,False,Raya Martín,33.9,False,,a,1,3,130,4246961,3016,2641118,9101,0.7,21.7,Raya,,200.0,2024-07-04,1995-09-15,False,p154561,2880,0,0,15,24,0,0,0,1,0,51,6,523,460.2,33.4,0.0,49.4,30,269,1,0,32,0.00,0.06,0.06,23.50,,,,,,,[],,107,17,378,3,817,95,273,16,0.0,1.59,0.0,0.0,0.73,0.75,85,1,60,7,57,5,7,1,1.0,0.47,0.0
1,True,True,,,109745,0,0,-5,5,0,0,1,0.5,1.0,0,Kepa,0.0,2,False,,,40,109745.jpg,0.0,False,Arrizabalaga Revuelta,0.4,False,,a,1,3,0,15153,26,77788,25,0.0,0.0,Arrizabalaga,,200.0,2025-07-01,1994-10-03,False,p109745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,570,66,560,52,530,39,572,66,0.0,0.0,0.0,0.0,0.0,0.0,668,43,424,54,581,66,291,37,0.0,0.0,0.0
2,True,False,0.0,0.0,463748,0,0,0,0,0,0,1,0.0,0.0,0,Karl,0.0,3,False,Has joined Werder Bremen on loan for the rest of the season.,2025-08-26T13:44:02.357864Z,40,463748.jpg,0.0,False,Hein,0.2,False,,u,1,3,0,5545,0,48389,6,0.0,0.0,Hein,,67.0,2020-10-28,2002-04-13,False,p463748,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,587,75,578,62,548,49,589,75,0.0,0.0,0.0,0.0,0.0,0.0,688,53,442,64,598,75,374,53,0.0,0.0,0.0
3,True,True,,,551221,0,0,-1,1,0,0,1,0.5,1.0,0,Tommy,0.0,4,False,,,39,551221.jpg,0.0,False,Setford,0.2,False,,a,1,3,0,34019,9,34468,24,0.0,0.0,Setford,,241.0,2024-07-24,2006-03-13,False,p551221,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,559,60,547,44,516,31,561,60,0.0,0.0,0.0,0.0,0.0,0.0,779,89,411,47,570,60,366,52,0.0,0.0,0.0
4,True,True,100.0,100.0,226597,0,0,12,-12,0,5,2,7.0,7.5,4,Gabriel,6.5,5,True,,2026-03-24T00:00:10.555559Z,72,226597.jpg,6.8,False,dos Santos Magalhães,43.0,False,,a,1,3,177,8478750,5948,5538303,10172,0.9,24.6,Gabriel,Gabriel Magalhães,30.0,2020-09-01,1997-12-19,False,p226597,2255,3,5,14,17,0,0,0,3,0,0,25,605,700.8,109.0,218.0,102.6,198,51,33,231,25,2.02,1.66,3.68,17.02,,,,,,,[],,24,8,263,76,129,23,92,23,0.08,0.0,0.07,0.15,0.68,0.68,32,1,9,3,2,1,5,1,1.0,0.56,9.22
5,True,True,100.0,100.0,462424,0,0,1,-1,0,2,2,6.5,7.0,1,William,6.0,6,False,,2026-03-23T13:00:10.244912Z,61,462424.jpg,4.2,False,Saliba,13.8,False,,a,1,3,108,2058998,4871,2333024,3800,1.0,17.7,Saliba,,73.0,2019-07-25,2001-03-24,False,p462424,2164,1,0,11,18,0,0,0,1,0,0,9,460,450.2,167.2,76.0,69.3,126,98,30,156,25,0.88,0.70,1.58,16.35,,,,,,,[],,113,50,201,53,291,85,197,67,0.04,0.0,0.03,0.07,0.68,0.75,84,4,17,8,53,21,22,8,1.04,0.46,6.49
6,True,True,75.0,100.0,466075,0,0,1,-1,0,2,2,2.6,4.0,0,Riccardo,3.0,7,False,Knock - 75% chance of playing,2026-04-11T21:00:07.670443Z,56,466075.jpg,4.2,False,Calafiori,6.1,False,,d,1,3,93,2664932,555,2480375,1015,0.5,16.6,Calafiori,,106.0,2024-07-29,2002-05-19,False,p466075,1446,1,2,11,8,0,0,0,5,0,0,4,339,244.4,127.9,249.0,62.2,64,65,31,95,18,2.92,0.49,3.41,8.96,,,,,,,[],https://www.arsenal.com/news/every-word-artetas-post-bournemouth-presser-4?utm_source=premier_league&utm_medium=referral&utm_campaign=fantasy&utm_content=injuries-flag,247,97,243,65,107,13,225,77,0.18,0.0,0.03,0.21,0.56,0.5,130,13,110,45,51,20,65,23,1.12,0.68,5.91
7,True,True,75.0,75.0,445122,0,0,8,-8,0,3,2,0.8,1.1,0,Jurriën,0.5,8,True,Ankle injury - 75% chance of playing,2026-03-23T13:00:10.259821Z,63,445122.jpg,5.0,False,Timber,24.6,False,,d,1,3,149,6775934,530,4416445,35844,0.1,23.7,J.Timber,,152.0,2023-07-14,2001-06-17,False,p445122,2452,3,6,13,20,0,0,0,5,0,0,9,532,499.0,402.6,352.0,125.7,82,97,66,148,28,4.71,1.53,6.24,17.45,,,,,,,[],https://www.arsenal.com/news/arteta-gives-injury-update-saka-eze-and-timber?utm_source=premier_league&utm_medium=referral&utm_campaign=fantasy&utm_content=injuries-flag,85,37,65,12,70,5,53,6,0.17,0.0,0.06,0.23,0.64,0.73,70,3,298,102,14,3,13,4,1.03,0.48,5.43
8,True,False,0.0,0.0,440854,0,0,-1,1,0,0,2,0.0,0.0,0,Jakub,0.0,9,False,has joined Porto on loan for the rest of the season.,2025-09-02T13:37:25.929594Z,54,440854.jpg,0.0,False,Kiwior,0.0,False,,u,1,3,0,1119,0,10926,1,0.0,0.0,Kiwior,,172.0,2023-01-23,2000-02-15,False,p440854,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,808,268,807,268,805,268,808,268,0.0,0.0,0.0,0.0,0.0,0.0,170,20,781,263,809,268,595,212,0.0,0.0,0.0
9,True,True,,,499169,0,0,-5,5,0,0,2,1.0,1.5,1,Myles,0.5,10,False,,,50,499169.jpg,0.9,False,Lewis-Skelly,1.4,False,,a,1,3,13,136167,68,468395,55,0.1,2.6,Lewis-Skelly,,241.0,2022-12-04,2006-09-26,False,p499169,401,0,0,0,7,0,0,0,3,0,0,0,41,45.2,47.8,25.0,11.7,13,17,6,19,2,0.10,0.08,0.18,6.46,,,,,,,[],,421,156,357,126,377,130,418,149,0.02,0.0,0.02,0.04,1.45,1.57,269,42,292,99,511,176,166,66,0.45,0.0,4.26
