Pos,Name,BV,SV,Team,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts
M,Özil,6.8,6.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Sokratis,4.9,4.9,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,David Luiz,5.5,5.5,Arsenal,52,2.18,41,1.173,38,1.848,39,1.576,36,1.123,37,1.073,37,1.416,36,1.58
M,Aubameyang,11.6,11.6,Arsenal,84,5.121,81,4.4,80,6.027,79,5.434,77,4.678,78,4.506,75,4.905,72,5.24
D,Cédric,4.7,4.7,Arsenal,2,0.09,2,0.063,2,0.104,3,0.132,2,0.07,3,0.097,4,0.167,3,0.144
F,Lacazette,8.3,8.3,Arsenal,60,3.184,54,2.652,52,3.367,50,3.028,49,2.683,47,2.481,53,3.033,45,2.853
D,Mustafi,5.0,5.0,Arsenal,10,0.423,6,0.177,5,0.245,4,0.164,5,0.16,5,0.149,3,0.117,5,0.222
G,Leno,5.0,5.0,Arsenal,89,4.067,88,3.397,88,4.245,87,3.804,88,3.515,87,3.358,86,3.688,87,3.964
M,Xhaka,5.3,5.3,Arsenal,75,2.296,53,1.505,46,1.637,38,1.272,38,1.159,35,1.055,39,1.256,39,1.342
D,Marí,4.4,4.4,Arsenal,0,0,8,0.217,13,0.586,13,0.486,12,0.349,14,0.379,14,0.497,15,0.611
D,Bellerín,5.1,5.1,Arsenal,87,3.864,85,2.555,81,4.135,80,3.396,81,2.665,78,2.38,78,3.146,79,3.651
G,Martínez,4.8,4.7,Aston Villa,90,3.393,86,3.679,83,3.248,81,3.553,79,3.251,81,3.454,80,2.804,81,2.879
D,Chambers,4.5,4.5,Arsenal,0,0,16,0.486,22,1.133,28,1.202,30,0.997,29,0.895,32,1.298,31,1.449
D,Kolasinac,4.8,4.8,Arsenal,0,0,4,0.117,7,0.334,9,0.36,8,0.25,9,0.262,11,0.418,10,0.433
D,Maitland-Niles,4.7,4.7,Arsenal,23,1.045,14,0.443,12,0.626,9,0.392,9,0.311,9,0.29,12,0.5,11,0.521
D,Holding,4.4,4.4,Arsenal,70,2.93,62,1.77,60,2.897,55,2.209,59,1.828,58,1.673,56,2.136,56,2.442
D,Tierney,5.4,5.4,Arsenal,82,3.696,74,2.284,74,3.819,71,3.056,68,2.29,69,2.152,65,2.672,70,3.277
M,Pépé,7.6,7.6,Arsenal,0,0,0,0,0,0,32,1.899,35,1.85,30,1.543,35,1.98,29,1.806
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Willock,4.8,4.8,Arsenal,19,0.967,16,0.739,12,0.716,11,0.615,14,0.706,11,0.534,13,0.694,11,0.639
