Pos,Name,BV,SV,Team,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts
G,Bravo,4.5,4.5,Man City,0,0,0,0,0,0,0,0,0,0
F,Agüero,10.3,10.3,Man City,24,1.807,0,0,48,3.725,50,3.175,49,3.944
D,Otamendi,4.9,4.9,Man City,0,0,0,0,0,0,0,0,0,0
D,Walker,6.1,6.1,Man City,32,1.523,0,0,35,1.997,37,1.592,35,1.971
M,Gündogan,5.9,5.9,Man City,55,2.85,0,0,53,2.988,53,2.474,53,3.051
M,De Bruyne,12.0,12.0,Man City,59,4.406,0,0,58,4.717,58,3.76,57,4.777
D,Stones,5.2,5.2,Man City,56,2.677,0,0,55,3.131,55,2.369,54,3.025
D,Mendy,5.9,5.9,Man City,35,1.682,0,0,37,2.147,35,1.517,37,2.122
M,Mahrez,8.1,8.1,Man City,49,3.374,0,0,49,3.645,48,2.906,48,3.678
M,Sterling,11.2,11.2,Man City,59,4.14,0,0,58,4.438,57,3.501,57,4.501
D,Cancelo,6.0,6.0,Man City,60,3.071,0,0,56,3.461,55,2.508,55,3.37
G,Ederson,6.1,6.1,Man City,88,4.14,0,0,87,4.596,86,3.828,85,4.412
D,Aké,5.4,5.4,Man City,13,0.662,0,0,14,0.844,14,0.641,16,0.959
D,Laporte,6.0,6.0,Man City,42,1.968,0,0,50,2.818,54,2.286,59,3.278
M,Bernardo Silva,7.4,7.4,Man City,58,2.885,0,0,58,3.125,58,2.602,58,3.187
F,Jesus,9.2,9.2,Man City,58,3.765,0,0,56,3.898,56,3.239,56,4.053
D,Zinchenko,5.5,5.5,Man City,44,2.234,0,0,41,2.471,42,1.925,41,2.444
M,Foden,6.0,6.0,Man City,36,2.413,0,0,40,2.882,38,2.247,39,2.891
M,Doyle,4.4,4.4,Man City,0,0,0,0,0,0,0,0,0,0
M,Rodrigo,5.3,5.3,Man City,60,2.323,0,0,59,2.517,60,2.174,57,2.456
M,Torres,6.9,6.9,Man City,40,2.474,0,0,39,2.619,39,2.148,40,2.769
D,Garcia,4.7,4.7,Man City,0,0,0,0,0,0,1,0.042,0,0
G,Romero,4.9,4.9,Man Utd,0,0,0,0,0,0,0,0,0,0
M,Mata,5.8,5.8,Man Utd,6,0.327,6,0.292,7,0.309,7,0.334,8,0.373
G,de Gea,5.3,5.3,Man Utd,31,1.49,35,1.39,31,1.165,34,1.399,32,1.332
D,Smalling,4.9,4.9,Man Utd,0,0,0,0,0,0,0,0,0,0
F,Ighalo,6.1,6.1,Man Utd,0,0,0,0,0,0,0,0,0,0
D,Rojo,4.8,4.8,Man Utd,0,0,0,0,0,0,0,0,0,0
M,Matic,4.7,4.7,Man Utd,6,0.23,7,0.233,7,0.222,7,0.234,8,0.266
M,Pogba,7.6,7.6,Man Utd,65,3.236,65,2.74,64,2.432,63,2.622,63,2.578
D,Jones,4.8,4.8,Man Utd,0,0,0,0,0,0,0,0,0,0
D,Maguire,5.5,5.5,Man Utd,84,4.371,83,2.912,82,2.402,81,3.06,80,3.07
M,Fred,5.3,5.3,Man Utd,69,2.596,68,2.117,66,1.915,67,2.101,65,2.032
D,Shaw,5.3,5.3,Man Utd,82,4.777,88,3.434,86,2.738,85,3.542,84,3.529
M,Lingard,6.5,6.4,West Ham,76,4.236,76,3.169,73,3.902,74,3.784,71,3.302
M,Fernandes,11.6,11.2,Man Utd,80,6.049,79,4.916,78,4.182,77,4.701,76,4.457
F,Martial,8.6,8.6,Man Utd,0,0,0,0,0,0,0,0,0,0
M,Pereira,4.8,4.8,Man Utd,0,0,0,0,0,0,0,0,0,0
G,Henderson,5.2,5.2,Man Utd,62,3.023,59,2.387,62,2.372,60,2.513,61,2.584
M,Rashford,9.5,9.5,Man Utd,74,5.527,70,4.397,75,4.083,73,4.472,73,4.306
D,Tuanzebe,4.1,4.1,Man Utd,0,0,1,0.035,1,0.03,2,0.074,2,0.076
D,Lindelöf,4.8,4.8,Man Utd,82,3.999,77,2.514,76,2.1,74,2.62,74,2.682
M,McTominay,4.9,4.9,Man Utd,49,1.998,50,1.735,51,1.64,52,1.806,53,1.813
D,Bailly,4.8,4.8,Man Utd,11,0.512,21,0.67,20,0.539,24,0.83,24,0.844
M,James,6.2,6.2,Man Utd,35,1.91,37,1.761,37,1.581,35,1.641,38,1.73
D,Fosu-Mensah,4.3,4.3,Man Utd,0,0,0,0,0,0,0,0,0,0
D,Wan-Bissaka,5.7,5.7,Man Utd,84,4.42,82,2.883,82,2.414,81,3.072,79,3.049
D,Dalot,4.8,4.8,Man Utd,0,0,0,0,0,0,0,0,0,0
M,Greenwood,7.0,7.0,Man Utd,61,3.73,61,3.208,61,2.847,60,3.107,59,2.974
M,Chong,4.4,4.4,Man Utd,0,0,0,0,0,0,0,0,0,0
M,Garner,4.4,4.4,Man Utd,0,0,0,0,0,0,0,0,0,0
D,Williams,4.2,4.2,Man Utd,0,0,1,0.034,1,0.029,2,0.073,2,0.074
D,Mengi,3.9,3.9,Man Utd,0,0,0,0,0,0,0,0,0,0
F,Carroll,5.1,5.1,Newcastle,6,0.225,6,0.204,6,0.214,7,0.242,8,0.267
M,Shelvey,5.3,5.3,Newcastle,81,2.64,80,2.195,78,2.373,77,2.252,77,2.092
M,Ritchie,4.9,4.9,Newcastle,45,1.547,45,1.306,46,1.448,44,1.341,46,1.312
D,Fernández,4.7,4.7,Newcastle,74,2.098,72,0.992,71,1.665,70,1.477,69,0.907
D,Clark,4.5,4.5,Newcastle,82,2.285,79,1.109,79,1.888,77,1.652,77,1.025
G,Darlow,4.9,4.9,Newcastle,5,0.19,6,0.209,6,0.219,5,0.179,5,0.175
G,Dubravka,4.8,4.8,Newcastle,81,3.085,80,2.812,79,2.908,80,2.891,79,2.782
D,Lejeune,4.3,4.3,Newcastle,0,0,0,0,0,0,0,0,0,0
D,Lascelles,4.2,4.2,Newcastle,0,0,0,0,0,0,0,0,0,0
F,Gayle,5.9,5.9,Newcastle,21,1.068,21,0.86,21,0.947,19,0.817,23,0.91
M,Atsu,5.2,5.2,Newcastle,0,0,0,0,0,0,0,0,0,0
D,Dummett,4.4,4.4,Newcastle,65,1.762,66,0.924,64,1.494,64,1.356,65,0.87
D,Manquillo,4.2,4.2,Newcastle,21,0.584,22,0.325,22,0.528,22,0.48,23,0.325
D,Krafth,4.2,4.2,Newcastle,30,0.881,31,0.497,33,0.84,33,0.765,33,0.503
D,Schär,4.8,4.8,Newcastle,0,0,0,0,0,0,0,0,0,0
D,Yedlin,4.3,4.3,Newcastle,0,0,0,0,0,0,0,0,0,0
M,Hayden,4.6,4.6,Newcastle,0,0,0,0,0,0,0,0,0,0
M,Aarons,4.8,4.8,Newcastle,0,0,0,0,0,0,0,0,0,0
M,Saint-Maximin,5.1,5.1,Newcastle,52,2.269,51,1.805,51,2.014,51,1.916,50,1.723
M,Almirón,5.6,5.6,Newcastle,69,2.784,68,2.222,66,2.412,66,2.297,65,2.079
F,Joelinton,5.7,5.7,Newcastle,54,2.187,52,1.737,48,1.764,50,1.745,48,1.584
F,Muto,4.8,4.8,Newcastle,0,0,0,0,0,0,0,0,0,0
D,Watts,3.9,3.9,Newcastle,0,0,0,0,0,0,0,0,0,0
F,Sharp,5.5,5.5,Sheffield Utd,0,0,0,0,0,0,0,0,0,0
F,McGoldrick,5.2,5.2,Sheffield Utd,65,2.513,63,2.619,64,2.458,62,2.934,61,2.427
D,Basham,4.6,4.6,Sheffield Utd,0,0,38,1.02,57,1.053,76,2.666,74,1.634
M,Fleck,5.6,5.6,Sheffield Utd,52,1.637,72,2.22,70,2.013,63,2.176,64,1.925
D,Stevens,5.0,5.0,Sheffield Utd,83,2.346,80,2.389,80,1.681,79,3.156,78,1.961
G,Moore,4.3,4.3,Sheffield Utd,0,0,0,0,0,0,0,0,0,0
M,Norwood,4.5,4.5,Sheffield Utd,72,2.408,57,2.039,55,1.815,50,2.012,49,1.691
G,Foderingham,4.3,4.3,Sheffield Utd,0,0,0,0,0,0,0,0,0,0
D,Baldock,4.9,4.9,Sheffield Utd,81,2.233,78,2.248,78,1.579,76,2.941,76,1.848
D,Jack Robinson,4.2,4.2,Sheffield Utd,0,0,0,0,0,0,0,0,0,0
D,Egan,4.7,4.7,Sheffield Utd,81,2.148,79,2.2,77,1.497,77,2.861,74,1.736
D,O'Connell,4.7,4.7,Sheffield Utd,0,0,0,0,0,0,0,0,0,0
M,Lundstram,4.9,4.9,Sheffield Utd,78,2.49,62,2.153,56,1.822,55,2.137,55,1.85
M,Osborn,4.7,4.7,Sheffield Utd,27,0.913,23,0.801,22,0.726,22,0.827,22,0.743
F,McBurnie,5.6,5.6,Sheffield Utd,0,0,0,0,0,0,0,0,0,0
F,Callum Robinson,5.2,5.2,West Brom,38,1.521,36,1.527,36,1.577,36,1.418,36,1.433
F,Mousset,5.8,5.8,Sheffield Utd,22,0.956,25,1.14,24,1.024,24,1.227,25,1.091
M,Berge,4.9,4.9,Sheffield Utd,0,0,40,1.42,53,1.716,74,2.731,75,2.395
F,Long,5.1,5.1,Southampton,0,0,0,0,0,0,0,0,0,0
D,Bertrand,5.0,5.0,Southampton,86,2.055,0,0,82,2.34,81,1.385,80,2.926
G,McCarthy,4.4,4.4,Southampton,17,0.614,0,0,13,0.492,13,0.454,13,0.541
M,Oriol Romeu,4.5,4.5,Southampton,0,0,0,0,0,0,0,0,0,0
M,Redmond,6.4,6.4,Southampton,59,2.371,0,0,59,2.464,59,2.184,59,2.721
F,Ings,8.4,8.4,Southampton,70,3.414,0,0,68,3.48,69,3.029,67,3.793
D,Stephens,4.6,4.6,Southampton,3,0.073,0,0,5,0.143,4,0.073,8,0.287
M,Armstrong,5.5,5.5,Southampton,67,2.413,0,0,68,2.545,66,2.212,66,2.68
D,Vestergaard,4.7,4.7,Southampton,85,2.062,0,0,82,2.396,80,1.409,79,2.966
M,Ward-Prowse,5.9,5.9,Southampton,87,2.992,0,0,82,2.971,82,2.617,81,3.202
G,Gunn,4.3,4.3,Southampton,0,0,0,0,0,0,0,0,0,0
M,Boufal,5.4,5.4,Southampton,0,0,0,0,0,0,0,0,0,0
M,Reed,4.4,4.4,Fulham,74,2.067,0,0,72,1.932,70,2.34,71,2.173
M,Sims,4.3,4.3,Southampton,0,0,0,0,0,0,0,0,0,0
D,Walker-Peters,4.7,4.7,Southampton,82,1.92,0,0,79,2.226,77,1.287,76,2.756
D,Bednarek,4.8,4.8,Southampton,88,1.946,0,0,82,2.201,84,1.301,79,2.73
F,Adams,5.8,5.8,Southampton,45,2.05,0,0,46,2.166,46,1.913,46,2.356
D,Valery,4.7,4.7,Southampton,0,0,0,0,0,0,0,0,0,0
M,Smallbone,4.3,4.3,Southampton,0,0,0,0,0,0,0,0,0,0
D,Vokins,3.9,3.9,Southampton,0,0,0,0,0,0,0,0,0,0
F,Obafemi,4.6,4.6,Southampton,0,0,0,0,0,0,0,0,0,0
M,Djenepo,5.4,5.4,Southampton,35,1.257,0,0,36,1.33,38,1.259,38,1.506
G,Lloris,5.6,5.6,Spurs,88,7.543,0,0,86,4.219,86,3.366,85,3.793
D,Rose,4.7,4.7,Spurs,0,0,0,0,0,0,0,0,0,0
M,Sissoko,4.7,4.7,Spurs,17,1.229,0,0,19,0.757,19,0.661,20,0.728
D,Alderweireld,5.4,5.4,Spurs,33,2.536,0,0,54,2.688,55,1.679,54,2.245
M,Lamela,5.7,5.7,Spurs,30,2.893,0,0,33,1.845,30,1.403,33,1.587
F,Kane,11.7,11.6,Spurs,82,11.292,0,0,80,6.429,79,5.321,78,5.218
D,Aurier,5.2,5.2,Spurs,50,4.398,0,0,42,2.399,38,1.361,35,1.649
M,Son,9.5,9.2,Spurs,78,8.918,0,0,78,5.176,77,4.176,76,4.259
D,Dier,4.6,4.6,Spurs,29,2.232,0,0,32,1.611,28,0.881,32,1.339
M,Lucas Moura,6.6,6.6,Spurs,55,5.457,0,0,55,3.122,56,2.643,56,2.729
G,Gazzaniga,4.3,4.3,Spurs,0,0,0,0,0,0,0,0,0,0
M,Alli,7.4,7.4,Spurs,12,1.307,0,0,13,0.806,13,0.679,15,0.798
D,Davies,4.5,4.5,Spurs,0,0,0,0,0,0,0,0,0,0
M,Højbjerg,4.9,4.9,Spurs,82,4.978,0,0,80,2.763,79,2.296,77,2.411
M,Winks,5.1,5.1,Spurs,3,0.191,0,0,4,0.138,5,0.154,5,0.161
D,Sánchez,5.2,5.2,Spurs,57,4.185,0,0,55,2.606,55,1.605,55,2.175
D,Sessegnon,4.7,4.7,Spurs,0,0,0,0,0,0,0,0,0,0
M,Bergwijn,7.0,7.0,Spurs,3,0.265,0,0,4,0.201,5,0.216,6,0.266
M,Fernandes,4.7,4.7,Spurs,0,0,0,0,0,0,0,0,0,0
D,Tanganga,4.9,4.9,Spurs,31,2.383,0,0,25,1.239,21,0.64,21,0.863
M,Lo Celso,6.9,6.9,Spurs,51,4.177,0,0,49,2.302,49,1.907,48,1.968
M,Skipp,4.4,4.4,Spurs,0,0,0,0,0,0,0,0,0,0
M,Ndombele,5.9,5.9,Spurs,59,4.255,0,0,58,2.369,58,1.999,58,2.125
D,Foyth,4.3,4.3,Spurs,0,0,0,0,0,0,0,0,0,0
D,Gibbs,4.3,4.3,West Brom,26,0.639,25,0.659,27,0.906,29,0.628,30,0.583
F,Robson-Kanu,5.2,5.2,West Brom,17,0.769,17,0.815,18,0.901,17,0.748,19,0.846
M,Livermore,4.7,4.7,West Brom,19,0.597,13,0.417,12,0.4,16,0.49,17,0.521
M,Grosicki,5.2,5.2,West Brom,0,0,0,0,0,0,0,0,0,0
M,Phillips,5.1,5.1,West Brom,59,2.075,57,2.107,56,2.168,56,1.923,55,1.899
D,Bartley,4.4,4.4,West Brom,56,1.327,78,1.955,78,2.558,77,1.549,78,1.394
M,Sawyers,4.6,4.6,West Brom,8,0.247,7,0.218,7,0.225,7,0.211,8,0.241
D,Hegazi,4.1,4.1,West Brom,0,0,0,0,0,0,0,0,0,0
F,Austin,5.1,5.1,West Brom,0,0,0,0,0,0,0,0,0,0
F,Zohore,4.8,4.8,West Brom,0,0,0,0,0,0,0,0,0,0
G,Johnstone,4.5,4.5,West Brom,87,3.206,86,3.221,86,3.506,85,3.076,85,3.041
D,Townsend,4.4,4.4,West Brom,71,1.631,69,1.702,68,2.194,65,1.302,64,1.136
D,Ajayi,4.8,4.8,West Brom,55,1.374,48,1.298,50,1.725,49,1.082,51,1.013
M,Leko,4.5,4.5,West Brom,0,0,0,0,0,0,0,0,0,0
M,Edwards,4.7,4.7,West Brom,0,0,0,0,0,0,0,0,0,0
D,Furlong,4.5,4.5,West Brom,80,1.863,78,1.95,76,2.467,76,1.535,75,1.352
M,Field,4.8,4.8,West Brom,0,0,0,0,0,0,0,0,0,0
M,Burke,4.1,4.1,Sheffield Utd,50,2.047,49,2.129,48,1.911,49,2.425,49,2.017
D,O'Shea,4.2,4.2,West Brom,66,1.379,64,1.457,63,1.886,64,1.173,61,0.98
M,Harper,4.3,4.3,West Brom,0,0,0,0,0,0,0,0,0,0
M,Noble,4.5,4.5,West Ham,39,1.688,46,1.61,33,1.391,21,0.862,22,0.844
M,Snodgrass,5.6,5.6,West Brom,4,0.146,20,0.743,22,0.846,24,0.829,23,0.8
G,Martin,3.9,3.9,West Ham,0,0,0,0,0,0,0,0,0,0
G,Randolph,4.3,4.3,West Ham,0,0,0,0,1,0.043,4,0.165,4,0.158
G,Fabianski,5.0,5.0,West Ham,87,3.7,86,3.179,86,3.672,85,3.499,84,3.309
D,Ogbonna,4.7,4.7,West Ham,0,0,37,0.934,57,2.13,78,2.632,76,2.301
G,Roberto,4.5,4.5,West Ham,0,0,0,0,0,0,0,0,0,0
M,Wilshere,4.9,4.9,West Ham,0,0,0,0,0,0,0,0,0,0
D,Cresswell,5.8,5.8,West Ham,2,0.085,5,0.144,43,1.82,67,2.565,64,2.169
M,Yarmolenko,5.5,5.5,West Ham,0,0,25,1.205,35,2.102,43,2.461,44,2.293
F,Antonio,6.5,6.5,West Ham,10,0.607,21,1.009,38,2.141,51,2.723,60,2.896
D,Fredericks,4.2,4.2,West Ham,7,0.311,6,0.177,5,0.219,6,0.242,6,0.213
M,Lanzini,6.4,6.4,West Ham,16,0.77,13,0.514,11,0.513,10,0.45,10,0.42
M,Felipe Anderson,6.1,6.1,West Ham,0,0,0,0,0,0,0,0,0,0
F,Haller,6.1,6.1,West Ham,0,0,0,0,0,0,0,0,0,0
D,Masuaku,4.3,4.3,West Ham,64,2.682,66,1.792,66,2.728,44,1.664,52,1.739
D,Balbuena,4.1,4.1,West Ham,10,0.389,3,0.08,4,0.154,4,0.141,4,0.128
F,Hugill,5.5,5.5,West Ham,0,0,0,0,0,0,0,0,0,0
M,Bowen,5.9,5.9,West Ham,69,4.292,69,3.236,68,4.078,68,3.905,67,3.511
M,Diangana,5.0,5.0,West Brom,2,0.079,2,0.082,2,0.085,3,0.115,3,0.116
F,Ajeti,5.5,5.5,West Ham,0,0,0,0,0,0,0,0,0,0
M,Rice,4.7,4.7,West Ham,21,0.868,41,1.412,60,2.346,81,2.908,82,2.763
M,Soucek,5.3,5.3,West Ham,81,3.151,80,2.543,79,2.997,78,2.831,77,2.621
M,Fornals,5.8,5.8,West Ham,71,2.984,61,2.133,52,2.179,50,2.027,48,1.817
D,Diop,4.3,4.3,West Ham,79,2.878,56,1.361,48,1.749,33,1.1,40,1.197
D,Johnson,3.9,3.9,West Ham,16,0.665,13,0.357,13,0.526,10,0.37,11,0.364
G,Ruddy,4.3,4.3,Wolves,0,0,0,0,0,0,0,0,0,0
M,Moutinho,5.1,5.1,Wolves,77,3.091,74,2.845,73,2.686,71,2.481,70,2.245
G,Patrício,5.3,5.3,Wolves,88,4.326,87,3.968,86,3.848,86,3.672,85,3.213
D,Bennett,4.4,4.4,Wolves,0,0,0,0,0,0,0,0,0,0
D,Doherty,5.6,5.6,Spurs,10,0.842,0,0,47,2.529,62,2.089,63,2.787
D,Boly,5.4,5.4,Wolves,50,2.618,69,3.145,67,2.924,66,2.553,64,1.84
D,Coady,4.9,4.8,Wolves,81,3.934,79,3.357,78,3.18,77,2.761,77,2.058
F,Jiménez,8.1,8.1,Wolves,11,0.769,25,1.625,39,2.378,75,3.965,73,3.494
D,Saïss,4.9,4.9,Wolves,72,4.048,64,3.149,63,2.948,61,2.541,60,1.812
D,Jonny,5.4,5.4,Wolves,0,0,0,0,0,0,0,0,0,0
F,Bonatini,4.8,4.8,Wolves,0,0,0,0,0,0,0,0,0,0
M,Dendoncker,4.6,4.6,Wolves,86,3.523,73,2.871,67,2.562,63,2.284,65,2.163
M,Traoré,6.0,6.0,Wolves,77,3.803,76,3.501,75,3.331,74,3.036,73,2.74
M,Neves,5.1,5.1,Wolves,0,0,37,1.713,53,2.32,71,2.789,69,2.48
D,Buur,3.9,3.9,Wolves,0,0,0,0,0,0,0,0,0,0
M,Jota,7.0,6.9,Liverpool,66,4.549,66,5.301,65,3.572,65,4.888,64,4.762
M,Podence,5.3,5.3,Wolves,69,3.755,69,3.533,69,3.393,69,3.151,66,2.695
D,Kilman,3.9,3.9,Wolves,6,0.305,5,0.223,4,0.171,5,0.19,5,0.145
D,Vinagre,4.1,4.1,Wolves,0,0,0,0,0,0,0,0,0,0
G,Sarkic,4.4,4.4,Wolves,0,0,0,0,0,0,0,0,0,0
M,Gibbs-White,4.9,4.9,Wolves,16,0.799,14,0.665,14,0.645,14,0.601,14,0.561
M,Neto,5.7,5.7,Wolves,0,0,0,0,0,0,0,0,0,0
M,Jordao,4.3,4.3,Wolves,0,0,0,0,0,0,0,0,0,0
F,Campana,4.8,4.8,Wolves,0,0,0,0,0,0,0,0,0,0
M,Freeman,5.0,5.0,Sheffield Utd,0,0,0,0,0,0,0,0,0,0
M,Willian,7.5,7.5,Arsenal,17,0.918,14,0.758,15,0.851,14,0.849,16,0.69
D,Salisu,4.3,4.3,Southampton,11,0.261,0,0,15,0.419,16,0.275,18,0.633
M,Sean Longstaff,4.6,4.6,Newcastle,41,1.388,41,1.222,43,1.374,42,1.303,41,1.204
M,Pereira,5.4,5.4,West Brom,75,3.098,73,3.227,73,3.449,71,2.814,71,2.848
G,Hart,4.2,4.2,Spurs,0,0,0,0,1,0.049,1,0.039,1,0.044
G,Ramsdale,4.6,4.6,Sheffield Utd,87,3.271,86,3.269,86,3.037,85,3.609,85,3.094
D,Robinson,4.4,4.4,Fulham,54,1.449,0,0,56,1.295,55,2.467,57,1.993
M,Hendrick,4.5,4.5,Newcastle,21,0.753,22,0.686,23,0.769,23,0.745,22,0.676
D,Dann,4.2,4.2,Crystal Palace,0,0,13,0.312,13,0.217,13,0.519,14,0.442
