Pos,Name,BV,SV,Team,37_xMins,37_Pts,38_xMins,38_Pts
M,Özil,6.7,6.7,Arsenal,0,0,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0,0,0
D,David Luiz,5.4,5.4,Arsenal,52,2.366,78,3.317
M,Aubameyang,11.3,11.3,Arsenal,40,3.211,40,2.907
D,Cédric,4.6,4.6,Arsenal,3,0.133,2,0.084
F,Lacazette,8.4,8.4,Arsenal,57,4.281,64,4.329
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0
G,Leno,5.0,5.0,Arsenal,79,3.573,84,3.69
M,Xhaka,5.2,5.2,Arsenal,40,1.351,64,2.071
D,Marí,4.4,4.4,Arsenal,20,0.872,13,0.53
D,Bellerín,5.0,5.0,Arsenal,12,0.591,22,1.007
G,Martínez,5.4,5.4,Aston Villa,88,3.104,88,3.186
D,Chambers,4.5,4.5,Arsenal,75,3.697,65,3.005
D,Kolasinac,4.8,4.8,Arsenal,0,0,0,0
D,Maitland-Niles,4.6,4.6,West Brom,64,1.537,61,1.348
D,Holding,4.3,4.2,Arsenal,67,2.893,79,3.224
D,Tierney,5.2,5.2,Arsenal,84,4.271,79,3.759
M,Pépé,7.6,7.6,Arsenal,36,2.377,36,2.185
M,Torreira,4.7,4.7,Arsenal,0,0,0,0
M,Willock,4.7,4.7,Newcastle,74,3.507,73,2.847
M,Nelson,5.1,5.1,Arsenal,0,0,0,0
F,Nketiah,5.3,5.3,Arsenal,2,0.137,3,0.19
M,Smith Rowe,4.2,4.2,Arsenal,72,3.848,68,3.379
M,Saka,5.1,5.1,Arsenal,74,4.11,73,3.792
M,Guendouzi,4.7,4.7,Arsenal,0,0,0,0
M,Martinelli,4.9,4.9,Arsenal,37,2.425,37,2.235
D,Saliba,4.0,4.0,Arsenal,0,0,0,0
G,Heaton,4.5,4.5,Aston Villa,0,0,0,0
D,El Mohamady,4.2,4.2,Aston Villa,87,1.876,84,2.102
M,Lansbury,4.3,4.3,Aston Villa,0,0,0,0
D,Taylor,4.2,4.2,Aston Villa,0,0,1,0.024
G,Steer,3.9,3.9,Aston Villa,0,0,0,0
M,Hourihane,5.9,5.9,Aston Villa,0,0,0,0
M,Jota,5.9,5.9,Aston Villa,0,0,0,0
G,Nyland,4.0,4.0,Aston Villa,0,0,0,0
D,Engels,4.4,4.4,Aston Villa,0,0,2,0.051
M,Grealish,7.5,7.5,Aston Villa,63,2.645,62,2.507
M,McGinn,5.5,5.5,Aston Villa,84,2.434,80,2.306
D,Hause,4.4,4.4,Aston Villa,31,0.705,12,0.314
M,Trézéguet,5.2,5.2,Aston Villa,0,0,0,0
D,Mings,5.4,5.4,Aston Villa,60,1.177,84,1.916
D,Targett,5.0,5.0,Aston Villa,86,1.823,84,2.059
D,Bree,4.5,4.5,Aston Villa,0,0,0,0
M,Nakamba,4.3,4.3,Aston Villa,3,0.094,4,0.123
M,El Ghazi,5.2,5.2,Aston Villa,67,2.939,66,2.796
D,Konsa,4.7,4.7,Aston Villa,89,1.753,85,1.947
D,Guilbert,4.3,4.3,Aston Villa,0,0,0,0
F,Wesley,6.0,6.0,Aston Villa,14,0.631,13,0.565
F,Samatta,5.9,5.9,Aston Villa,0,0,0,0
F,Davis,4.2,4.2,Aston Villa,17,0.703,15,0.6
F,Vassilev,4.3,4.3,Aston Villa,0,0,0,0
M,Douglas Luiz,4.8,4.8,Aston Villa,69,1.897,64,1.77
F,Murray,4.8,4.8,Brighton,0,0,0,0
M,Lallana,6.2,6.2,Brighton,71,2.304,59,2.059
M,Stephens,4.2,4.2,Burnley,0,0,4,0.135
G,Button,3.9,3.9,West Brom,0,0,0,0
M,Groß,5.8,5.8,Brighton,80,3.082,74,3.097
D,Duffy,4.3,4.3,Brighton,0,0,0,0
M,Pröpper,4.7,4.7,Brighton,0,0,2,0.069
M,Mooy,5.0,5.0,Brighton,0,0,0,0
D,Burn,4.2,4.2,Brighton,87,1.817,75,1.882
D,Dunk,4.8,4.8,Brighton,0,0,83,2.385
D,Montoya,4.5,4.5,Brighton,0,0,0,0
F,Andone,4.8,4.8,Brighton,24,0.99,10,0.449
M,March,4.9,4.9,Brighton,0,0,0,0
D,Webster,4.3,4.3,Brighton,87,1.831,84,2.117
D,Veltman,4.3,4.3,Brighton,0,0,21,0.521
F,Maupay,5.9,5.9,Brighton,0,0,65,2.734
M,Trossard,5.6,5.6,Brighton,74,2.784,68,2.742
G,Ryan,4.1,4.1,Arsenal,7,0.313,7,0.303
M,Jahanbakhsh,5.4,5.4,Brighton,62,2.138,42,1.578
M,Izquierdo,5.5,5.5,Brighton,2,0.079,1,0.041
D,Clarke,4.4,4.4,Brighton,0,0,0,0
D,White,4.5,4.5,Brighton,85,1.707,75,1.812
D,Bernardo,3.9,3.9,Brighton,0,0,0,0
M,Bissouma,4.4,4.4,Brighton,83,2.149,79,2.143
D,Lamptey,4.6,4.6,Brighton,0,0,0,0
F,Connolly,5.2,5.2,Brighton,12,0.517,7,0.317
M,Alzate,4.1,4.1,Brighton,18,0.647,7,0.264
M,Mac Allister,5.3,5.3,Brighton,37,1.362,28,1.095
D,Tarkowski,5.3,5.3,Burnley,89,1.11,86,3.287
D,Bardsley,4.4,4.4,Burnley,0,0,0,0
D,Pieters,4.3,4.3,Burnley,6,0.082,12,0.433
M,Cork,5.0,5.0,Burnley,62,1.684,62,2.016
D,Long,4.3,4.3,Burnley,0,0,0,0
F,Rodriguez,5.7,5.7,Burnley,23,0.919,23,1.163
F,Barnes,6.0,6.0,Burnley,27,1.163,26,1.513
D,Mee,4.7,4.7,Burnley,88,1.079,86,3.282
M,Westwood,5.3,5.3,Burnley,84,2.258,80,2.766
M,Gudmundsson,5.4,5.4,Burnley,34,1.173,37,1.608
