Pos,Name,BV,SV,Team,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts,27_xMins,27_Pts
M,Özil,6.7,6.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,David Luiz,5.4,5.4,Arsenal,54,1.994,43,1.258,46,1.755,43,1.496,41,1.617,43,0.98,44,1.359,46,2.073
M,Aubameyang,11.3,11.3,Arsenal,60,3.582,82,4.454,80,4.454,81,4.923,79,5.65,77,3.604,75,4.138,76,5.022
D,Cédric,4.6,4.6,Arsenal,3,0.112,4,0.119,6,0.229,6,0.21,7,0.275,6,0.142,6,0.188,7,0.314
F,Lacazette,8.3,8.3,Arsenal,73,3.896,69,3.54,69,3.538,69,3.928,66,4.432,65,2.927,64,3.32,65,3.941
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0,0,0,1,0.024,1,0.031,1,0.044
G,Leno,5.0,5.0,Arsenal,87,3.689,87,3.323,86,3.714,86,3.482,85,3.523,85,3.085,85,3.329,84,3.845
M,Xhaka,5.2,5.2,Arsenal,76,2.115,72,1.925,69,1.96,68,1.935,68,2.088,67,1.703,66,1.799,64,2.007
D,Marí,4.4,4.4,Arsenal,14,0.498,38,1.059,39,1.43,36,1.189,37,1.359,41,0.891,38,1.121,40,1.732
D,Bellerín,5.1,5.1,Arsenal,76,2.985,75,2.308,73,2.941,72,2.645,71,2.962,72,1.733,70,2.28,69,3.292
G,Martínez,5.1,4.8,Aston Villa,89,3.759,88,3.411,88,3.538,88,3.339,87,3.473,86,3.262,86,3.205,85,3.549
D,Chambers,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,1,0.04,0,0,1,0.032,1,0.045
D,Kolasinac,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Maitland-Niles,4.6,4.6,Arsenal,10,0.371,9,0.269,10,0.385,12,0.421,15,0.588,14,0.331,16,0.502,16,0.719
D,Holding,4.5,4.5,Arsenal,82,3.027,79,2.297,77,2.965,78,2.705,75,2.933,75,1.699,74,2.284,75,3.407
D,Tierney,5.4,5.4,Arsenal,83,3.308,82,2.577,78,3.232,78,2.92,76,3.228,74,1.819,76,2.529,75,3.665
M,Pépé,7.6,7.6,Arsenal,14,0.723,15,0.736,13,0.651,14,0.754,15,0.923,17,0.745,17,0.833,17,0.979
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Willock,4.7,4.7,Arsenal,6,0.295,5,0.233,5,0.237,6,0.302,6,0.343,7,0.293,7,0.328,7,0.374
M,Nelson,5.1,5.1,Arsenal,1,0.05,0,0,0,0,1,0.052,1,0.059,1,0.043,1,0.048,2,0.11
F,Nketiah,5.5,5.5,Arsenal,10,0.582,9,0.499,9,0.499,11,0.664,11,0.766,13,0.637,12,0.664,12,0.755
M,Smith Rowe,4.5,4.5,Arsenal,67,2.79,66,2.585,65,2.619,65,2.778,64,3.126,64,2.263,63,2.488,63,2.92
M,Saka,5.3,5.3,Arsenal,76,3.739,74,3.443,72,3.462,71,3.642,70,4.137,71,2.878,67,3.145,66,3.688
M,Guendouzi,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Martinelli,4.9,4.9,Arsenal,30,1.593,26,1.315,27,1.394,26,1.438,28,1.784,27,1.197,28,1.41,30,1.786
D,Saliba,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Heaton,4.5,4.5,Aston Villa,0,0,1,0.039,1,0.04,1,0.038,2,0.079,3,0.113,2,0.074,3,0.124
D,El Mohamady,4.3,4.3,Aston Villa,3,0.133,5,0.181,5,0.205,6,0.208,5,0.195,10,0.344,9,0.3,12,0.505
M,Lansbury,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Taylor,4.2,4.2,Aston Villa,1,0.036,4,0.121,6,0.201,7,0.201,8,0.26,8,0.23,11,0.296,10,0.351
G,Steer,4.0,4.0,Aston Villa,0,0,0,0,0,0,0,0,1,0.039,0,0,0,0,0,0
M,Hourihane,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
