Pos,ID,Name,BV,SV,Team,37_xMins,38_xMins,37_Pts,38_Pts
G,1,Raya,6.1,6.1,Arsenal,89.10,89.10,4.27,4.00
G,2,Arrizabalaga,4.0,4.0,Arsenal,1.20,1.20,0.05,0.05
G,4,Setford,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00
D,5,Gabriel,7.3,7.3,Arsenal,85.05,85.05,5.99,5.31
D,6,Saliba,6.2,6.2,Arsenal,85.05,85.05,4.85,4.32
D,7,Calafiori,5.6,5.6,Arsenal,69.45,59.85,4.88,3.43
D,8,J.Timber,6.0,6.0,Arsenal,9.45,13.80,0.64,0.75
D,10,Lewis-Skelly,5.0,5.0,Arsenal,76.50,76.50,4.52,3.72
D,11,White,5.1,5.1,Arsenal,0.00,0.00,0.00,0.00
D,13,Clarke,3.7,3.7,Arsenal,0.00,0.00,0.00,0.00
D,15,Nichols,3.7,3.7,Arsenal,0.00,0.00,0.00,0.00
M,16,Saka,10.0,10.0,Arsenal,70.35,70.35,6.59,4.69
M,17,Ødegaard,7.8,7.8,Arsenal,63.30,56.40,4.21,2.80
M,18,Madueke,6.8,6.8,Arsenal,25.95,25.95,1.97,1.49
M,19,Martinelli,6.8,6.8,Arsenal,19.20,19.20,1.54,1.10
M,20,Trossard,6.5,6.5,Arsenal,64.05,60.60,5.02,3.44
M,21,Rice,7.2,7.2,Arsenal,78.15,78.15,5.40,4.16
M,22,Merino,5.3,5.3,Arsenal,0.00,0.00,0.00,0.00
M,24,Nørgaard,5.1,5.1,Arsenal,6.00,6.00,0.26,0.22
M,26,Zubimendi,4.9,4.9,Arsenal,22.80,26.40,1.08,1.07
M,27,Nelson,4.8,4.8,Brentford,7.50,7.50,0.45,0.35
F,30,Havertz,7.3,7.3,Arsenal,26.70,34.05,1.92,1.71
F,31,G.Jesus,6.4,6.4,Arsenal,9.75,9.75,0.75,0.55
G,32,Martinez,5.1,5.1,Aston Villa,89.10,89.10,3.26,2.67
G,33,M.Bizot,4.2,4.2,Aston Villa,0.90,0.90,0.03,0.02
D,36,Cash,4.7,4.7,Aston Villa,82.50,82.50,3.18,1.99
D,37,Digne,4.5,4.5,Aston Villa,61.80,44.25,2.68,1.35
D,38,Konsa,4.4,4.4,Aston Villa,80.55,80.55,2.68,1.72
D,39,Maatsen,4.2,4.2,Aston Villa,37.35,53.70,1.59,1.56
D,40,Mings,4.3,4.3,Aston Villa,16.95,62.10,0.64,1.50
D,41,Pau,4.3,4.3,Aston Villa,74.55,29.10,2.60,0.76
D,42,A.García,3.9,3.9,Aston Villa,0.00,0.00,0.00,0.00
D,44,Bogarde,4.0,4.0,Aston Villa,19.05,19.05,0.69,0.55
M,47,Rogers,7.4,7.4,Aston Villa,87.00,87.00,3.82,3.20
M,48,Tielemans,5.9,5.9,Aston Villa,79.80,79.80,3.50,3.17
M,49,Bailey,5.5,5.5,Aston Villa,3.75,3.75,0.19,0.16
M,50,Buendía,5.3,5.3,Aston Villa,69.00,50.40,3.76,2.38
M,52,J.Ramsey,5.3,5.3,Newcastle,55.95,28.65,2.40,1.20
M,54,McGinn,5.3,5.3,Aston Villa,66.30,75.45,2.76,2.68
M,55,Barkley,4.8,4.8,Aston Villa,54.90,64.80,2.36,2.40
M,58,Kamara,4.9,4.9,Aston Villa,0.00,0.00,0.00,0.00
M,59,Onana,4.8,4.8,Aston Villa,0.00,0.00,0.00,0.00
F,64,Watkins,8.7,8.7,Aston Villa,76.50,76.50,3.89,3.27
G,67,Petrović,4.6,4.6,Bournemouth,89.10,89.10,2.28,3.44
G,69,McKenna,3.9,3.9,Bournemouth,0.00,0.00,0.00,0.00
D,72,Senesi,5.2,5.2,Bournemouth,87.45,87.45,2.88,4.19
D,73,Smith,4.4,4.4,Bournemouth,84.75,84.75,1.74,2.90
D,74,Truffert,4.7,4.7,Bournemouth,87.45,87.45,2.38,3.68
D,75,Akinmboni,3.8,3.8,Bournemouth,0.00,0.00,0.00,0.00
D,76,Bevan,3.8,3.8,Bournemouth,0.00,0.00,0.00,0.00
D,77,Hill,4.2,4.2,Bournemouth,87.45,87.45,2.92,4.19
D,80,Soler,3.9,3.9,Bournemouth,0.00,0.00,0.00,0.00
M,81,Kluivert,6.9,6.9,Bournemouth,18.00,18.00,0.94,1.00
M,82,Semenyo,8.1,8.1,Man City,74.40,74.40,4.40,4.50
M,83,O.Dango,5.7,5.7,Brentford,75.45,75.45,4.41,3.40
M,84,Tavernier,5.4,5.4,Bournemouth,80.40,80.40,3.71,4.07
M,85,Adams,4.9,4.9,Bournemouth,86.10,86.10,3.09,3.37
M,86,Brooks,5.0,5.0,Bournemouth,21.45,21.45,0.98,1.06
M,87,Christie,4.9,4.9,Bournemouth,0.00,0.00,0.00,0.00
M,88,Cook,4.9,4.9,Bournemouth,15.60,15.60,0.65,0.67
M,90,Scott,5.0,5.0,Bournemouth,86.10,86.10,3.93,4.32
F,97,Evanilson,6.7,6.7,Bournemouth,75.75,75.75,3.25,3.43
F,98,Enes Ünal,5.4,5.4,Bournemouth,12.00,12.00,0.65,0.59
F,100,Kroupi.Jr,4.6,4.6,Bournemouth,68.40,68.40,3.35,3.56
G,101,Kelleher,4.8,4.8,Brentford,89.10,89.10,3.66,2.67
G,102,Balcombe,3.9,3.9,Brentford,0.00,0.00,0.00,0.00
G,104,Eyestone,3.9,3.9,Brentford,0.00,0.00,0.00,0.00
