Pos,ID,Name,BV,SV,Team,10_xMins,11_xMins,12_xMins,13_xMins,14_xMins,15_xMins,10_Pts,11_Pts,12_Pts,13_Pts,14_Pts,15_Pts
G,1,Raya,5.8,5.8,Arsenal,89.10,89.10,89.10,89.10,89.10,89.10,4.57,4.22,4.03,3.73,4.29,3.87
G,2,Arrizabalaga,4.2,4.2,Arsenal,1.20,1.20,1.20,1.20,1.20,1.20,0.05,0.05,0.05,0.04,0.05,0.05
G,4,Setford,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,6.5,6.5,Arsenal,84.45,84.45,84.45,84.45,84.45,84.45,5.07,5.18,5.06,4.15,4.81,4.25
D,6,Saliba,6.0,6.0,Arsenal,54.90,71.70,84.45,84.45,84.45,84.45,3.00,3.91,4.53,3.65,4.28,3.80
D,7,Calafiori,5.8,5.8,Arsenal,71.85,71.85,71.85,71.85,71.85,71.85,4.70,4.23,4.17,3.31,4.37,3.69
D,8,J.Timber,6.1,6.1,Arsenal,80.40,80.40,80.40,80.40,80.40,80.40,4.86,4.31,4.21,3.45,4.44,3.77
D,10,Lewis-Skelly,5.2,5.2,Arsenal,24.60,24.60,24.60,24.60,24.60,24.60,1.13,1.06,1.06,0.93,1.11,0.97
D,11,White,5.4,5.4,Arsenal,13.50,13.50,13.50,13.50,13.50,13.50,0.74,0.68,0.68,0.60,0.70,0.63
D,12,Zinchenko,4.9,4.9,Nott'm Forest,0.00,19.50,72.15,72.15,72.15,72.15,0.00,0.91,2.15,2.93,3.39,2.88
D,13,Clarke,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,10.1,10.1,Arsenal,79.80,79.80,79.05,79.05,79.05,79.05,6.13,5.60,5.88,5.09,6.20,5.18
