Pos,ID,Name,BV,SV,Team,3_xMins,4_xMins,5_xMins,6_xMins,7_xMins,8_xMins,9_xMins,10_xMins,11_xMins,12_xMins,13_xMins,14_xMins,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts,13_Pts,14_Pts
G,1,Raya,5.5,5.5,Arsenal,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,2.82,4.09,3.32,3.33,4.36,3.65,4.32,4.32,4.20,3.89,3.27,4.10
G,2,Arrizabalaga,4.4,4.4,Arsenal,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,0.04,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05
G,3,Hein,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,4,Setford,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,6.1,6.1,Arsenal,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,3.22,4.82,3.77,3.79,5.25,4.42,5.02,5.25,5.04,4.57,3.58,5.05
D,6,Saliba,6.1,6.1,Arsenal,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,3.14,4.47,3.61,3.67,4.90,4.31,4.69,5.00,4.86,4.33,3.33,4.80
D,7,Calafiori,5.6,5.6,Arsenal,67.50,67.50,67.50,67.50,67.50,67.50,67.50,67.50,67.50,67.50,67.50,67.50,2.33,3.63,2.82,2.90,3.98,3.26,3.71,3.91,3.81,3.46,2.66,3.78
D,8,J.Timber,5.6,5.6,Arsenal,73.05,52.50,52.50,52.50,52.50,52.50,52.50,52.50,52.50,52.50,52.50,52.50,2.26,2.65,2.05,2.08,2.91,2.44,2.73,2.88,2.85,2.51,1.93,2.75
D,9,Kiwior,5.4,5.4,Arsenal,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,0.30,0.32,0.30,0.30,0.33,0.31,0.32,0.33,0.33,0.32,0.30,0.33
D,10,Lewis-Skelly,5.4,5.4,Arsenal,25.50,25.50,25.50,25.50,25.50,25.50,25.50,25.50,25.50,25.50,25.50,25.50,0.88,1.24,1.02,1.03,1.32,1.14,1.24,1.33,1.29,1.18,0.97,1.27
D,11,White,5.5,5.5,Arsenal,14.10,38.40,38.40,38.40,38.40,38.40,38.40,38.40,38.40,38.40,38.40,38.40,0.52,1.98,1.58,1.61,2.15,1.82,2.03,2.13,2.13,1.89,1.49,2.09
D,12,Zinchenko,4.9,4.9,Arsenal,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,0.28,0.32,0.30,0.29,0.33,0.31,0.33,0.33,0.33,0.32,0.29,0.33
D,13,Clarke,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,14,Kacurri,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,9.9,9.9,Arsenal,0.00,5.70,22.20,81.15,81.15,81.15,81.15,81.15,81.15,81.15,81.15,81.15,0.00,0.42,1.41,5.04,6.56,5.45,6.05,6.23,6.43,6.04,4.82,6.41
M,17,Ødegaard,7.9,7.9,Arsenal,60.90,78.75,79.80,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,2.75,4.45,3.85,3.95,4.94,4.20,4.64,4.82,4.91,4.59,3.78,4.89
M,18,Madueke,7.0,7.0,Arsenal,71.25,68.40,62.70,42.75,42.75,42.75,42.75,42.75,42.75,42.75,42.75,42.75,3.43,4.25,3.40,2.31,2.90,2.45,2.72,2.80,2.82,2.69,2.22,2.92
M,19,Martinelli,6.9,6.9,Arsenal,67.50,64.65,59.10,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,3.27,4.06,3.19,2.24,2.84,2.38,2.63,2.70,2.73,2.62,2.18,2.79
M,20,Trossard,6.9,6.9,Arsenal,36.60,33.30,30.45,30.45,30.45,30.45,30.45,30.45,30.45,30.45,30.45,30.45,1.94,2.20,1.81,1.73,2.21,1.82,2.05,2.09,2.17,2.05,1.70,2.19
M,21,Rice,6.5,6.5,Arsenal,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,3.64,4.32,3.76,3.94,4.68,3.99,4.41,4.57,4.64,4.52,3.67,4.67
M,22,Merino,5.9,5.9,Arsenal,31.50,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.20,1.56,1.40,1.26,1.25,1.50,1.28,1.44,1.44,1.49,1.44,1.20,1.49
M,23,Fábio Vieira,5.4,5.4,Arsenal,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,0.12,0.14,0.13,0.13,0.16,0.13,0.14,0.15,0.15,0.14,0.12,0.15
M,24,Nørgaard,5.4,5.4,Arsenal,0.00,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,0.00,0.36,0.34,0.36,0.39,0.35,0.38,0.37,0.39,0.39,0.33,0.39
M,25,Nwaneri,5.4,5.4,Arsenal,26.70,23.55,20.55,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,1.23,1.34,1.05,0.96,1.16,0.99,1.08,1.10,1.13,1.08,0.94,1.14
M,26,Zubimendi,5.5,5.5,Arsenal,81.90,81.90,81.90,81.90,81.90,81.90,81.90,81.90,81.90,81.90,81.90,81.90,3.04,3.35,2.99,3.24,3.73,3.26,3.61,3.55,3.64,3.64,2.99,3.68
M,27,Nelson,5.0,5.0,Arsenal,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,0.08,0.10,0.09,0.08,0.10,0.09,0.10,0.10,0.10,0.10,0.08,0.10
M,28,Kabia,4.5,4.5,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,29,Sambi,4.5,4.5,Arsenal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
F,30,Havertz,7.4,7.4,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,31,G.Jesus,6.5,6.5,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,32,Martinez,5.0,5.0,Aston Villa,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.66,3.15,3.43,3.37,4.00,2.59,2.50,2.06,3.24,3.20,3.71,2.52
G,33,M.Bizot,4.5,4.5,Aston Villa,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.02,0.03,0.03,0.04,0.03
G,34,Gauci,4.0,4.0,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,35,Marschall,4.0,4.0,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,36,Cash,4.5,4.5,Aston Villa,79.20,79.20,79.20,79.20,79.20,79.20,79.20,79.20,79.20,79.20,79.20,79.20,3.70,3.30,3.77,3.55,4.41,2.81,2.48,2.01,3.48,3.34,3.92,2.80
D,37,Digne,4.5,4.5,Aston Villa,54.45,54.45,54.45,54.45,54.45,54.45,54.45,54.45,54.45,54.45,54.45,54.45,3.04,2.63,3.11,2.93,3.54,2.30,2.03,1.71,2.80,2.68,3.13,2.29
D,38,Konsa,4.5,4.5,Aston Villa,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,3.82,3.50,3.83,3.67,4.45,2.81,2.55,2.18,3.59,3.40,3.87,2.92
D,39,Maatsen,4.4,4.4,Aston Villa,45.30,45.30,45.30,45.30,45.30,45.30,45.30,45.30,45.30,45.30,45.30,45.30,2.26,2.00,2.28,2.20,2.62,1.77,1.63,1.35,2.17,2.08,2.34,1.79
D,40,Mings,4.5,4.5,Aston Villa,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,2.49,2.20,2.45,2.40,2.84,1.85,1.71,1.50,2.31,2.22,2.50,1.91
D,41,Pau,4.5,4.5,Aston Villa,44.10,44.10,44.10,44.10,44.10,44.10,44.10,44.10,44.10,44.10,44.10,44.10,1.99,1.80,1.97,1.93,2.29,1.55,1.41,1.24,1.89,1.81,2.00,1.56
D,42,A.García,4.0,4.0,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,43,Alex Moreno,4.0,4.0,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,44,Bogarde,4.0,4.0,Aston Villa,11.10,11.10,11.10,11.10,11.10,11.10,11.10,11.10,11.10,11.10,11.10,11.10,0.49,0.45,0.50,0.49,0.56,0.41,0.39,0.36,0.49,0.47,0.50,0.42
D,45,Sousa,4.0,4.0,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,46,Yasin,4.0,4.0,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,47,Rogers,7.0,7.0,Aston Villa,81.45,81.45,81.45,81.45,81.45,81.45,81.45,81.45,81.45,81.45,81.45,81.45,4.31,3.78,4.51,4.29,5.05,3.76,3.62,3.24,4.42,4.03,4.51,3.76
M,48,Tielemans,6.0,6.0,Aston Villa,87.00,85.05,84.90,84.90,84.90,84.90,84.90,84.90,84.90,84.90,84.90,84.90,4.48,3.83,4.50,4.32,4.79,4.00,3.59,3.52,4.43,4.12,4.51,3.88
M,49,Bailey,5.5,5.5,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,50,Buendía,5.4,5.4,Aston Villa,12.30,12.30,12.30,12.30,12.30,12.30,12.30,12.30,12.30,12.30,12.30,12.30,0.68,0.63,0.73,0.69,0.77,0.63,0.60,0.55,0.71,0.65,0.73,0.62
M,51,Iling Jr,5.5,5.5,Aston Villa,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,0.29,0.26,0.29,0.28,0.31,0.27,0.25,0.25,0.29,0.28,0.30,0.27
M,52,J.Ramsey,5.5,5.5,Newcastle,57.90,52.50,47.10,36.30,36.30,36.30,36.30,36.30,36.30,36.30,36.30,36.30,2.84,2.99,2.28,1.61,1.89,1.71,1.95,1.88,1.86,1.70,1.74,1.92
M,53,Malen,5.3,5.3,Aston Villa,53.70,53.70,53.70,53.70,53.70,53.70,53.70,53.70,53.70,53.70,53.70,53.70,3.37,2.93,3.51,3.33,3.85,2.93,2.86,2.53,3.42,3.18,3.52,2.89
M,54,McGinn,5.5,5.5,Aston Villa,75.45,66.45,64.65,64.65,64.65,64.65,64.65,64.65,64.65,64.65,64.65,64.65,3.35,2.67,3.06,2.95,3.38,2.59,2.52,2.28,2.95,2.81,3.13,2.63
M,55,Barkley,4.9,4.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,56,Barrenechea,5.0,5.0,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,57,Dobbin,5.0,5.0,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,58,Kamara,4.9,4.9,Aston Villa,0.00,22.80,69.90,69.90,69.90,69.90,69.90,69.90,69.90,69.90,69.90,69.90,0.00,0.81,2.67,2.57,2.74,2.59,2.27,2.34,2.65,2.47,2.65,2.44
M,59,Onana,5.0,5.0,Aston Villa,76.80,67.20,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,3.34,2.70,2.65,2.52,2.77,2.49,2.22,2.19,2.60,2.43,2.64,2.37
M,60,Broggio,4.5,4.5,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,61,Dendoncker,4.5,4.5,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,62,Jimoh-Aloba,4.5,4.5,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,63,Young,4.5,4.5,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,64,Watkins,8.9,8.9,Aston Villa,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,5.01,4.50,5.30,5.07,5.83,4.39,4.26,3.81,5.19,4.82,5.25,4.39
F,65,Redmond,4.5,4.5,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
