Pos,ID,Name,BV,SV,Team,32_xMins,33_xMins,34_xMins,35_xMins,36_xMins,37_xMins,38_xMins,32_Pts,33_Pts,34_Pts,35_Pts,36_Pts,37_Pts,38_Pts
G,1,Raya,6.0,6.0,Arsenal,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.64,2.85,3.78,3.95,3.78,4.38,3.93
G,2,Arrizabalaga,4.0,4.0,Arsenal,1.20,1.20,1.20,1.20,1.20,1.20,1.20,0.04,0.04,0.05,0.05,0.05,0.05,0.05
G,4,Setford,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,7.2,7.2,Arsenal,85.65,85.65,85.65,85.65,85.65,85.65,85.65,5.11,3.55,5.02,5.24,5.07,6.10,5.38
D,6,Saliba,6.1,6.1,Arsenal,85.65,85.65,85.65,85.65,85.65,85.65,85.65,4.00,2.74,3.95,4.25,4.04,4.88,4.26
D,7,Calafiori,5.6,5.6,Arsenal,65.40,59.85,22.20,22.20,22.20,22.20,22.20,3.69,2.27,1.14,1.20,1.13,1.34,1.14
D,8,J.Timber,6.3,6.3,Arsenal,25.20,84.00,84.00,84.00,84.00,84.00,84.00,1.36,2.90,4.49,4.85,4.47,5.64,4.52
D,10,Lewis-Skelly,5.0,5.0,Arsenal,30.60,30.60,9.45,9.45,9.45,9.45,9.45,1.46,1.05,0.39,0.37,0.35,0.41,0.36
D,11,White,5.1,5.1,Arsenal,67.80,4.65,4.65,4.65,4.65,4.65,4.65,3.58,0.18,0.22,0.21,0.22,0.26,0.22
D,13,Clarke,3.7,3.7,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,3.7,3.7,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,9.8,9.8,Arsenal,19.80,77.10,77.10,77.10,77.10,77.10,77.10,1.44,3.95,5.40,5.45,5.17,6.35,4.92
M,17,Ødegaard,7.8,7.8,Arsenal,31.20,52.80,52.80,52.80,52.80,52.80,52.80,1.78,2.24,2.86,2.92,2.76,3.33,2.66
M,18,Madueke,6.8,6.8,Arsenal,54.60,26.40,26.40,26.40,26.40,26.40,26.40,3.43,1.28,1.58,1.65,1.56,1.86,1.51
M,19,Martinelli,6.8,6.8,Arsenal,51.75,19.20,19.20,19.20,19.20,19.20,19.20,3.30,0.92,1.19,1.22,1.17,1.40,1.11
M,20,Trossard,6.5,6.5,Arsenal,33.60,60.60,60.60,60.60,60.60,60.60,60.60,2.12,2.78,3.62,3.70,3.52,4.28,3.42
M,21,Rice,7.3,7.3,Arsenal,84.00,84.00,84.00,84.00,84.00,84.00,84.00,5.17,4.07,4.98,4.82,4.66,5.48,4.59
M,22,Merino,5.4,5.4,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,24,Nørgaard,5.1,5.1,Arsenal,4.65,4.65,4.65,4.65,4.65,4.65,4.65,0.21,0.18,0.20,0.19,0.19,0.21,0.19
M,26,Zubimendi,5.1,5.1,Arsenal,83.25,83.25,83.25,83.25,83.25,83.25,83.25,3.34,2.83,3.27,3.23,3.17,3.56,3.14
M,27,Nelson,4.8,4.8,Brentford,4.20,4.20,4.20,4.20,4.20,4.20,4.20,0.22,0.21,0.20,0.26,0.18,0.24,0.19
F,30,Havertz,7.3,7.3,Arsenal,67.20,25.80,25.80,25.80,25.80,25.80,25.80,3.48,1.07,1.35,1.45,1.37,1.62,1.29
F,31,G.Jesus,6.4,6.4,Arsenal,9.75,9.75,9.75,9.75,9.75,9.75,9.75,0.61,0.45,0.57,0.59,0.54,0.67,0.53
G,32,Martinez,5.1,5.1,Aston Villa,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.54,4.08,3.22,3.60,3.79,2.97,2.69
G,33,M.Bizot,4.2,4.2,Aston Villa,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.04,0.03,0.04,0.03,0.03,0.02
D,36,Cash,4.7,4.7,Aston Villa,84.00,84.00,84.00,84.00,84.00,84.00,84.00,3.36,4.30,3.22,3.94,4.10,2.99,2.16
D,37,Digne,4.5,4.5,Aston Villa,34.50,34.50,34.50,34.50,34.50,34.50,34.50,1.58,1.93,1.55,1.80,1.88,1.45,1.13
D,38,Konsa,4.4,4.4,Aston Villa,84.75,84.75,84.75,84.75,84.75,84.75,84.75,3.15,3.98,3.00,3.62,3.79,2.77,2.03
D,39,Maatsen,4.2,4.2,Aston Villa,63.75,63.75,63.75,63.75,63.75,63.75,63.75,2.89,3.68,2.86,3.35,3.54,2.68,1.99
