Pos,ID,Name,BV,SV,Team,34_xMins,35_xMins,36_xMins,37_xMins,38_xMins,34_Pts,35_Pts,36_Pts,37_Pts,38_Pts
G,1,Raya,6.0,6.0,Arsenal,89.10,89.10,89.10,89.10,89.10,3.64,3.85,3.71,4.41,3.99
G,2,Arrizabalaga,4.0,4.0,Arsenal,1.20,1.20,1.20,1.20,1.20,0.05,0.05,0.05,0.05,0.05
G,4,Setford,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,7.1,7.1,Arsenal,85.65,85.65,85.65,85.65,85.65,4.95,5.10,4.88,6.05,5.35
D,6,Saliba,6.1,6.1,Arsenal,85.65,85.65,85.65,85.65,85.65,3.90,4.15,3.96,4.88,4.28
D,7,Calafiori,5.6,5.6,Arsenal,16.50,22.20,22.20,22.20,22.20,0.82,1.17,1.09,1.32,1.13
D,8,J.Timber,6.1,6.1,Arsenal,0.00,25.20,81.90,81.90,81.90,0.00,1.41,4.34,5.56,4.53
D,10,Lewis-Skelly,5.0,5.0,Arsenal,16.20,9.45,9.45,9.45,9.45,0.71,0.38,0.36,0.41,0.35
D,11,White,5.1,5.1,Arsenal,67.80,43.50,4.65,4.65,4.65,3.61,2.44,0.22,0.24,0.23
D,13,Clarke,3.7,3.7,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,3.7,3.7,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,9.8,9.8,Arsenal,29.25,70.95,70.95,70.95,70.95,2.18,5.09,4.65,6.01,4.53
M,17,Ødegaard,7.8,7.8,Arsenal,70.20,35.70,35.70,35.70,35.70,3.98,1.94,1.81,2.21,1.76
M,18,Madueke,6.8,6.8,Arsenal,63.90,38.70,38.70,38.70,38.70,3.90,2.33,2.17,2.68,2.14
M,19,Martinelli,6.8,6.8,Arsenal,15.90,33.45,33.45,33.45,33.45,1.02,2.08,1.93,2.45,1.89
M,20,Trossard,6.5,6.5,Arsenal,20.10,30.15,30.15,30.15,30.15,1.27,1.85,1.74,2.16,1.70
M,21,Rice,7.2,7.2,Arsenal,84.00,84.00,84.00,84.00,84.00,5.13,4.81,4.63,5.58,4.58
M,22,Merino,5.4,5.4,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,24,Nørgaard,5.1,5.1,Arsenal,13.35,13.35,13.35,13.35,13.35,0.54,0.56,0.52,0.58,0.52
M,26,Zubimendi,5.0,5.0,Arsenal,80.40,80.40,80.40,80.40,80.40,3.35,3.21,3.12,3.63,3.11
M,27,Nelson,4.8,4.8,Brentford,23.85,4.20,4.20,4.20,4.20,1.11,0.25,0.18,0.23,0.21
F,30,Havertz,7.3,7.3,Arsenal,70.50,63.45,63.45,63.45,63.45,4.33,3.44,3.11,3.99,3.06
F,31,G.Jesus,6.4,6.4,Arsenal,6.75,9.75,9.75,9.75,9.75,0.44,0.59,0.55,0.68,0.53
G,32,Martinez,5.1,5.1,Aston Villa,89.10,89.10,89.10,89.10,89.10,3.22,3.04,3.76,2.96,2.48
