Pos,ID,Name,BV,SV,Team,14_xMins,15_xMins,16_xMins,17_xMins,18_xMins,19_xMins,14_Pts,15_Pts,16_Pts,17_Pts,18_Pts,19_Pts
G,1,Raya,5.9,5.9,Arsenal,89.10,89.10,89.10,89.10,89.10,89.10,4.20,3.66,4.52,3.98,4.01,4.07
G,2,Arrizabalaga,4.2,4.2,Arsenal,1.20,1.20,1.20,1.20,1.20,1.20,0.05,0.05,0.05,0.05,0.05,0.05
G,4,Setford,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,6.3,6.3,Arsenal,0.00,0.00,0.00,84.45,84.45,84.45,0.00,0.00,0.00,4.91,4.72,4.98
D,6,Saliba,6.0,6.0,Arsenal,9.60,45.30,87.45,84.45,84.45,84.45,0.49,2.10,4.92,4.23,4.12,4.29
D,7,Calafiori,5.8,5.8,Arsenal,75.45,75.45,76.80,74.70,74.70,74.70,4.41,3.68,4.87,4.07,4.17,4.25
D,8,J.Timber,6.4,6.4,Arsenal,82.50,82.50,82.50,82.50,82.50,82.50,4.50,3.74,4.90,4.05,4.16,4.30
D,10,Lewis-Skelly,5.1,5.1,Arsenal,34.65,27.75,24.60,14.85,14.85,14.85,1.61,1.09,1.08,0.57,0.59,0.59
D,11,White,5.3,5.3,Arsenal,8.55,8.55,8.55,8.55,8.55,8.55,0.44,0.40,0.48,0.42,0.42,0.43
D,12,Zinchenko,4.9,4.9,Nott'm Forest,12.75,28.35,28.35,28.35,28.35,28.35,0.60,1.17,1.24,1.13,0.93,1.29
D,13,Clarke,3.8,3.8,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,3.8,3.8,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,10.1,10.1,Arsenal,84.15,79.05,79.05,79.05,79.05,79.05,6.18,4.98,6.51,5.03,5.55,5.57
M,17,Ødegaard,7.8,7.8,Arsenal,45.45,70.20,70.20,70.20,70.20,70.20,2.62,3.43,4.32,3.49,3.83,3.80
M,18,Madueke,6.8,6.8,Arsenal,33.90,21.00,21.00,21.00,21.00,21.00,1.98,1.09,1.35,1.08,1.19,1.18
M,19,Martinelli,6.8,6.8,Arsenal,8.25,12.15,12.15,12.15,12.15,12.15,0.52,0.66,0.83,0.66,0.74,0.74
M,20,Trossard,6.9,6.9,Arsenal,13.35,39.00,39.00,39.00,39.00,39.00,0.77,1.95,2.42,1.95,2.18,2.15
M,21,Rice,7.0,7.0,Arsenal,84.75,79.50,79.50,79.50,79.50,79.50,4.66,4.00,4.63,3.93,4.23,4.16
M,22,Merino,5.9,5.9,Arsenal,44.10,27.30,27.30,27.30,27.30,27.30,2.64,1.38,1.67,1.33,1.44,1.43
M,24,Nørgaard,5.2,5.2,Arsenal,5.70,5.70,5.70,5.70,5.70,5.70,0.23,0.22,0.24,0.22,0.23,0.23
M,25,Nwaneri,5.1,5.1,Arsenal,17.55,9.45,9.45,9.45,9.45,9.45,0.95,0.44,0.54,0.45,0.49,0.48
M,26,Zubimendi,5.3,5.3,Arsenal,81.75,81.75,81.75,81.75,81.75,81.75,3.08,2.95,3.27,2.86,3.04,3.07
M,27,Nelson,4.8,4.8,Brentford,0.00,3.45,3.45,35.40,47.55,47.55,0.00,0.18,0.20,1.94,2.64,2.64
F,30,Havertz,7.3,7.3,Arsenal,9.00,22.35,22.35,22.35,22.35,22.35,0.58,1.21,1.49,1.17,1.31,1.28
F,31,G.Jesus,6.4,6.4,Arsenal,15.90,9.15,9.15,9.15,9.15,9.15,0.99,0.52,0.63,0.52,0.56,0.55
G,32,Martinez,5.1,5.1,Aston Villa,89.10,89.10,89.10,89.10,89.10,89.10,2.93,2.98,3.54,3.07,2.88,2.68
G,33,M.Bizot,4.3,4.3,Aston Villa,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.03,0.03,0.03,0.03,0.03
D,36,Cash,4.7,4.7,Aston Villa,84.00,84.00,84.00,84.00,84.00,84.00,2.86,2.82,3.67,3.24,2.56,2.36
D,37,Digne,4.5,4.5,Aston Villa,76.35,76.35,76.35,76.35,76.35,76.35,2.97,2.91,3.88,3.35,2.66,2.38
D,38,Konsa,4.4,4.4,Aston Villa,84.75,84.75,84.75,84.75,84.75,84.75,2.71,2.69,3.44,3.00,2.42,2.29
D,39,Maatsen,4.2,4.2,Aston Villa,27.90,27.90,27.90,27.90,27.90,27.90,1.05,1.02,1.21,1.12,0.98,0.92
D,40,Mings,4.3,4.3,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,41,Pau,4.3,4.3,Aston Villa,82.95,82.95,82.95,82.95,82.95,82.95,2.72,2.74,3.38,2.98,2.44,2.40
D,42,A.García,3.9,3.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,44,Bogarde,4.0,4.0,Aston Villa,9.30,9.30,9.30,9.30,9.30,9.30,0.31,0.31,0.34,0.33,0.30,0.29
D,45,Sousa,3.9,3.9,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01
M,47,Rogers,6.9,6.9,Aston Villa,85.35,85.35,85.35,85.35,85.35,85.35,3.48,3.17,4.05,3.91,3.28,2.85
M,48,Tielemans,5.9,5.9,Aston Villa,81.90,81.90,81.90,81.90,81.90,81.90,3.51,3.23,3.83,3.72,3.32,2.91
M,50,Buendía,5.3,5.3,Aston Villa,41.70,41.70,41.70,47.70,54.30,54.30,2.03,1.87,2.31,2.56,2.46,2.19
M,52,J.Ramsey,5.3,5.3,Newcastle,12.90,12.90,12.90,12.90,12.90,12.90,0.57,0.61,0.54,0.54,0.53,0.59
M,53,Malen,5.1,5.1,Aston Villa,51.60,51.60,51.60,53.70,61.80,61.80,2.64,2.41,3.00,2.98,2.93,2.52
M,54,McGinn,5.4,5.4,Aston Villa,75.45,75.45,75.45,73.50,75.45,75.45,3.12,2.92,3.50,3.22,2.93,2.62
M,55,Barkley,4.8,4.8,Aston Villa,15.75,15.75,15.75,15.75,15.75,15.75,0.67,0.63,0.73,0.72,0.65,0.60
M,58,Kamara,4.9,4.9,Aston Villa,75.75,75.75,75.75,75.75,75.75,75.75,2.56,2.34,2.64,2.59,2.46,2.27
M,59,Onana,4.8,4.8,Aston Villa,21.60,21.60,21.60,21.60,21.60,21.60,0.83,0.78,0.87,0.87,0.82,0.76
M,60,Broggio,4.5,4.5,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01
M,62,Jimoh-Aloba,4.5,4.5,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
