Pos,ID,Name,BV,SV,Team,31_xMins,32_xMins,33_xMins,34_xMins,35_xMins,36_xMins,37_xMins,38_xMins,31_Pts,32_Pts,33_Pts,34_Pts,35_Pts,36_Pts,37_Pts,38_Pts
G,1,Raya,6.0,6.0,Arsenal,0.00,89.10,178.20,0.00,89.10,89.10,89.10,89.10,0.00,3.90,7.50,0.00,4.19,3.94,4.59,4.11
G,2,Arrizabalaga,4.0,4.0,Arsenal,0.00,1.20,2.40,0.00,1.20,1.20,1.20,1.20,0.00,0.05,0.09,0.00,0.05,0.05,0.06,0.05
G,4,Setford,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,7.2,7.2,Arsenal,0.00,85.65,171.30,0.00,85.65,85.65,85.65,85.65,0.00,5.37,9.30,0.00,5.48,5.24,6.18,5.50
D,6,Saliba,6.1,6.1,Arsenal,0.00,85.65,171.30,0.00,85.65,85.65,85.65,85.65,0.00,4.23,7.41,0.00,4.45,4.18,5.01,4.41
D,7,Calafiori,5.6,5.6,Arsenal,0.00,22.20,44.40,0.00,22.20,22.20,22.20,22.20,0.00,1.17,2.11,0.00,1.21,1.15,1.35,1.14
D,8,J.Timber,6.3,6.3,Arsenal,0.00,84.00,168.00,0.00,84.00,84.00,84.00,84.00,0.00,4.79,8.15,0.00,5.05,4.67,5.83,4.69
D,10,Lewis-Skelly,5.1,5.1,Arsenal,0.00,9.45,18.90,0.00,9.45,9.45,9.45,9.45,0.00,0.38,0.70,0.00,0.37,0.35,0.38,0.38
D,11,White,5.1,5.1,Arsenal,0.00,4.65,9.30,0.00,4.65,4.65,4.65,4.65,0.00,0.22,0.41,0.00,0.23,0.23,0.24,0.22
D,13,Clarke,3.8,3.8,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,3.7,3.7,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,9.8,9.8,Arsenal,0.00,77.10,154.20,0.00,77.10,77.10,77.10,77.10,0.00,5.66,9.50,0.00,5.45,5.11,6.24,4.89
M,17,Ødegaard,7.8,7.8,Arsenal,0.00,59.70,119.40,0.00,59.70,59.70,59.70,59.70,0.00,3.38,5.85,0.00,3.28,3.11,3.72,3.00
M,18,Madueke,6.8,6.8,Arsenal,0.00,26.40,52.80,0.00,26.40,26.40,26.40,26.40,0.00,1.67,2.90,0.00,1.62,1.54,1.85,1.50
M,19,Martinelli,6.8,6.8,Arsenal,0.00,19.20,38.40,0.00,19.20,19.20,19.20,19.20,0.00,1.25,2.14,0.00,1.24,1.16,1.37,1.10
M,20,Trossard,6.6,6.6,Arsenal,0.00,60.60,121.20,0.00,60.60,60.60,60.60,60.60,0.00,3.77,6.51,0.00,3.72,3.46,4.21,3.29
M,21,Rice,7.3,7.3,Arsenal,0.00,84.00,168.00,0.00,84.00,84.00,84.00,84.00,0.00,5.09,9.14,0.00,4.82,4.65,5.41,4.61
M,22,Merino,5.4,5.4,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
