Pos,ID,Name,BV,SV,Team,8_xMins,9_xMins,10_xMins,11_xMins,12_xMins,13_xMins,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts,13_Pts
G,1,Raya,5.7,5.7,Arsenal,89.10,89.10,89.10,89.10,89.10,89.10,4.35,4.11,4.22,4.27,3.82,3.63
G,2,Arrizabalaga,4.3,4.3,Arsenal,1.20,1.20,1.20,1.20,1.20,1.20,0.05,0.05,0.05,0.05,0.05,0.04
G,4,Setford,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,6.3,6.3,Arsenal,84.45,84.45,84.45,84.45,84.45,84.45,4.59,4.65,4.72,4.57,4.32,3.66
D,6,Saliba,6.0,6.0,Arsenal,84.45,84.45,84.45,84.45,84.45,84.45,4.34,4.35,4.42,4.33,4.06,3.47
D,7,Calafiori,5.7,5.7,Arsenal,68.55,68.55,68.55,68.55,68.55,68.55,3.97,3.93,4.10,3.93,3.73,3.04
D,8,J.Timber,5.9,5.9,Arsenal,80.40,80.40,80.40,80.40,80.40,80.40,4.10,4.02,4.21,4.13,3.77,3.17
D,10,Lewis-Skelly,5.2,5.2,Arsenal,24.60,24.60,24.60,24.60,24.60,24.60,1.08,1.09,1.11,1.07,1.06,0.93
D,11,White,5.4,5.4,Arsenal,13.50,13.50,13.50,13.50,13.50,13.50,0.69,0.69,0.71,0.69,0.67,0.59
D,12,Zinchenko,4.9,4.9,Nott'm Forest,72.15,72.15,72.15,72.15,72.15,72.15,2.44,2.52,2.62,3.29,1.85,2.78
M,16,Saka,9.9,9.9,Arsenal,79.05,79.05,79.05,79.05,79.05,79.05,5.98,6.04,6.10,5.81,5.98,4.87
M,17,Ødegaard,7.9,7.9,Arsenal,0.00,0.00,0.00,32.70,77.55,77.55,0.00,0.00,0.00,1.78,4.23,3.61
M,18,Madueke,6.9,6.9,Arsenal,0.00,0.00,0.00,0.00,21.00,21.00,0.00,0.00,0.00,0.00,1.28,1.11
M,19,Martinelli,6.9,6.9,Arsenal,15.90,15.90,15.90,15.90,15.90,15.90,0.98,1.02,1.01,0.97,0.99,0.84
M,20,Trossard,6.9,6.9,Arsenal,42.30,42.30,42.30,42.30,25.20,25.20,2.60,2.74,2.71,2.60,1.59,1.36
M,21,Rice,6.5,6.5,Arsenal,79.50,79.50,79.50,78.15,78.15,78.15,4.09,4.34,4.27,4.10,4.32,3.80
M,22,Merino,5.9,5.9,Arsenal,37.80,37.80,37.80,27.30,20.40,20.40,1.89,2.01,1.98,1.40,1.09,0.96
M,24,Nørgaard,5.3,5.3,Arsenal,5.70,5.70,5.70,5.70,5.70,5.70,0.23,0.23,0.23,0.22,0.24,0.22
M,25,Nwaneri,5.2,5.2,Arsenal,9.45,9.45,9.45,9.45,9.45,9.45,0.51,0.53,0.53,0.50,0.51,0.46
M,26,Zubimendi,5.5,5.5,Arsenal,80.25,80.25,80.25,78.90,78.90,78.90,3.20,3.37,3.34,3.08,3.86,3.22
M,27,Nelson,4.9,4.9,Brentford,9.30,9.30,9.30,9.30,9.30,9.30,0.47,0.44,0.42,0.44,0.43,0.53
F,30,Havertz,7.3,7.3,Arsenal,0.00,0.00,11.70,22.95,24.75,24.75,0.00,0.00,0.76,1.41,1.53,1.33
F,31,G.Jesus,6.4,6.4,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,32,Martinez,5.0,5.0,Aston Villa,89.10,89.10,89.10,89.10,89.10,89.10,2.74,2.63,2.43,3.33,3.18,3.84
G,33,M.Bizot,4.4,4.4,Aston Villa,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.03,0.02,0.03,0.03,0.04
D,36,Cash,4.6,4.6,Aston Villa,79.50,79.50,79.50,79.50,79.50,79.50,2.83,2.49,2.14,3.40,3.24,4.02
D,37,Digne,4.5,4.5,Aston Villa,70.65,70.65,70.65,70.65,70.65,70.65,2.71,2.41,2.32,3.33,3.18,4.06
D,38,Konsa,4.5,4.5,Aston Villa,83.85,83.85,83.85,83.85,83.85,83.85,2.61,2.27,1.99,3.22,3.18,3.86
D,39,Maatsen,4.3,4.3,Aston Villa,24.00,24.00,24.00,24.00,24.00,24.00,0.90,0.84,0.80,1.01,0.98,1.15
D,40,Mings,4.5,4.5,Aston Villa,27.45,68.70,68.70,68.70,68.70,68.70,1.02,2.14,1.93,2.97,2.97,3.53
D,41,Pau,4.4,4.4,Aston Villa,62.25,22.65,22.65,22.65,22.65,22.65,2.09,0.75,0.70,0.95,0.91,1.06
D,44,Bogarde,4.0,4.0,Aston Villa,50.25,50.25,50.25,50.25,22.05,22.05,1.77,1.57,1.45,2.09,0.85,0.97
D,45,Sousa,4.0,4.0,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01
M,47,Rogers,6.9,6.9,Aston Villa,80.40,80.40,80.40,80.40,80.40,80.40,3.45,3.43,3.12,3.90,3.59,4.30
M,48,Tielemans,5.9,5.9,Aston Villa,0.00,0.00,0.00,0.00,81.90,81.90,0.00,0.00,0.00,0.00,3.55,4.11
M,50,Buendía,5.3,5.3,Aston Villa,37.80,37.80,37.80,37.80,34.50,34.50,1.68,1.65,1.54,1.84,1.59,1.84
M,52,J.Ramsey,5.3,5.3,Newcastle,16.50,16.50,16.50,16.50,16.50,16.50,0.74,0.85,0.81,0.78,0.72,0.73
M,53,Malen,5.1,5.1,Aston Villa,43.80,43.80,43.80,43.80,33.90,33.90,2.24,2.18,1.99,2.46,1.77,2.12
M,54,McGinn,5.4,5.4,Aston Villa,73.20,73.20,73.20,73.20,66.90,66.90,2.77,2.64,2.47,2.94,2.61,2.90
M,55,Barkley,4.8,4.8,Aston Villa,16.95,16.95,16.95,16.95,16.95,16.95,0.74,0.74,0.69,0.79,0.75,0.84
M,58,Kamara,4.9,4.9,Aston Villa,75.15,75.15,75.15,75.15,64.95,64.95,2.95,2.45,2.52,2.61,2.25,2.54
M,59,Onana,4.8,4.8,Aston Villa,40.80,40.80,40.80,40.80,27.60,27.60,1.75,1.54,1.52,1.63,1.06,1.23
M,60,Broggio,4.5,4.5,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.02
M,62,Jimoh-Aloba,4.5,4.5,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,63,Young,4.4,4.4,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.02
F,64,Watkins,8.6,8.6,Aston Villa,79.05,79.05,79.05,79.05,79.05,79.05,3.96,4.06,3.65,4.60,4.05,4.98
G,67,Petrović,4.5,4.5,Bournemouth,89.10,89.10,89.10,89.10,89.10,89.10,3.09,3.80,2.64,3.17,3.77,3.77
G,68,Dennis,4.0,4.0,Bournemouth,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.04,0.02,0.03,0.04,0.04
G,69,McKenna,4.0,4.0,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,72,Senesi,5.0,5.0,Bournemouth,85.95,85.95,85.95,85.95,85.95,85.95,3.28,4.34,2.82,3.59,4.39,4.50
D,73,Smith,4.4,4.4,Bournemouth,14.85,14.85,14.85,14.85,14.85,14.85,0.48,0.55,0.43,0.49,0.55,0.53
D,74,Truffert,4.5,4.5,Bournemouth,81.00,81.00,81.00,81.00,81.00,81.00,3.01,4.26,2.24,3.24,4.35,4.09
D,75,Akinmboni,4.0,4.0,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,77,Hill,4.0,4.0,Bournemouth,41.85,41.85,41.85,41.85,41.85,41.85,1.52,2.01,1.24,1.62,2.01,1.92
D,80,Soler,4.0,4.0,Bournemouth,7.65,7.65,7.65,7.65,7.65,7.65,0.29,0.35,0.26,0.30,0.36,0.34
M,81,Kluivert,7.0,7.0,Bournemouth,65.40,65.40,49.50,49.50,49.50,49.50,3.35,4.22,2.28,2.59,3.36,2.90
M,82,Semenyo,8.0,8.0,Bournemouth,84.00,84.00,84.00,84.00,84.00,84.00,3.88,4.95,3.49,4.06,5.28,4.70
M,83,O.Dango,6.0,6.0,Brentford,50.70,50.70,50.70,50.70,50.70,50.70,2.80,2.60,2.43,2.64,2.51,3.09
M,84,Tavernier,5.5,5.5,Bournemouth,70.65,70.65,58.05,58.05,58.05,58.05,3.11,3.93,2.38,2.69,3.33,3.10
M,85,Adams,5.0,5.0,Bournemouth,76.50,76.50,76.50,76.50,76.50,76.50,2.54,3.20,2.32,2.84,3.44,3.08
M,86,Brooks,5.0,5.0,Bournemouth,0.00,0.00,48.45,48.45,48.45,48.45,0.00,0.00,1.90,2.10,2.59,2.34
M,87,Christie,5.0,5.0,Bournemouth,34.95,34.95,34.95,34.95,34.95,34.95,1.43,1.79,1.28,1.51,1.86,1.68
M,88,Cook,4.9,4.9,Bournemouth,13.35,13.35,13.35,13.35,13.35,13.35,0.50,0.58,0.47,0.53,0.60,0.55
M,90,Scott,5.0,5.0,Bournemouth,60.00,60.00,60.00,60.00,60.00,60.00,2.33,2.89,2.11,2.50,3.08,2.73
F,97,Evanilson,7.0,7.0,Bournemouth,80.70,80.70,80.70,80.70,80.70,80.70,3.61,4.54,3.35,3.71,4.74,3.92
F,98,Enes Ünal,5.4,5.4,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,100,Kroupi.Jr,4.5,4.5,Bournemouth,16.20,16.20,16.20,16.20,16.20,16.20,0.83,0.98,0.75,0.84,1.01,0.89
G,101,Kelleher,4.5,4.5,Brentford,89.10,89.10,89.10,89.10,89.10,89.10,3.50,2.75,3.14,3.18,2.95,4.09
G,102,Balcombe,4.0,4.0,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,103,Cox,4.0,4.0,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,104,Eyestone,4.0,4.0,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,105,Valdimarsson,4.0,4.0,Brentford,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.03,0.03,0.03,0.03,0.04
D,106,Collins,4.9,4.9,Brentford,88.95,88.95,88.95,88.95,88.95,88.95,3.65,3.13,2.85,3.34,3.08,4.04
D,107,Lewis-Potter,5.0,5.0,Brentford,46.35,46.35,46.35,46.35,46.35,46.35,1.90,1.44,1.54,1.65,1.53,2.27
D,108,Ajer,4.4,4.4,Brentford,25.05,25.05,25.05,25.05,25.05,25.05,0.97,0.80,0.84,0.90,0.86,1.13
D,109,Henry,4.4,4.4,Brentford,29.10,29.10,29.10,29.10,29.10,29.10,1.15,0.94,0.99,1.05,0.98,1.37
D,110,Kayode,4.5,4.5,Brentford,81.30,81.30,81.30,81.30,81.30,81.30,3.02,2.23,2.37,2.72,2.52,3.70
D,111,Pinnock,4.4,4.4,Brentford,22.35,22.35,22.35,22.35,22.35,22.35,1.00,0.91,0.83,0.93,0.89,1.04
D,113,Van den Berg,4.5,4.5,Brentford,83.70,83.70,83.70,83.70,83.70,83.70,3.54,3.12,2.81,3.28,3.07,3.87
D,116,Hickey,4.0,4.0,Brentford,54.45,54.45,54.45,54.45,54.45,54.45,2.10,1.42,1.68,1.83,1.60,2.62
M,119,Mbeumo,8.0,8.0,Man Utd,83.55,83.55,83.55,83.55,83.55,83.55,3.70,4.61,4.37,4.26,4.53,3.97
M,120,Schade,7.0,7.0,Brentford,79.35,79.35,79.35,79.35,79.35,79.35,4.33,4.01,3.73,4.05,3.89,4.92
M,121,Damsgaard,5.8,5.8,Brentford,75.15,75.15,75.15,75.15,75.15,75.15,3.79,3.83,3.24,3.74,3.53,3.95
M,122,Milambo,5.3,5.3,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,123,Carvalho,4.9,4.9,Brentford,14.70,14.70,14.70,14.70,14.70,14.70,0.84,0.81,0.75,0.79,0.76,0.94
M,124,Henderson,5.0,5.0,Brentford,72.90,72.90,72.90,72.90,72.90,72.90,2.65,2.67,2.35,2.82,2.65,2.77
M,125,Janelt,4.9,4.9,Brentford,21.45,21.45,21.45,21.45,21.45,21.45,0.85,0.84,0.76,0.82,0.81,0.85
M,126,Jensen,4.9,4.9,Brentford,15.75,15.75,15.75,15.75,15.75,15.75,0.66,0.66,0.62,0.67,0.65,0.71
M,127,Nunes,4.9,4.9,Brentford,8.85,8.85,8.85,8.85,8.85,8.85,0.41,0.39,0.38,0.39,0.38,0.44
M,128,Onyeka,4.9,4.9,Brentford,10.05,10.05,10.05,10.05,10.05,10.05,0.39,0.39,0.37,0.38,0.38,0.41
M,129,Yarmoliuk,5.0,5.0,Brentford,79.80,79.80,79.80,79.80,79.80,79.80,3.14,3.23,2.58,3.13,3.04,3.02
M,130,Donovan,4.5,4.5,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,131,Konak,4.4,4.4,Brentford,1.05,1.05,1.05,1.05,1.05,1.05,0.04,0.04,0.04,0.04,0.04,0.05
M,132,Maghoma,4.5,4.5,Brentford,1.05,1.05,1.05,1.05,1.05,1.05,0.05,0.04,0.04,0.05,0.04,0.05
M,133,Peart-Harris,4.4,4.4,Brentford,0.75,0.75,0.75,0.75,0.75,0.75,0.03,0.03,0.03,0.03,0.03,0.04
F,135,Wissa,7.4,7.4,Newcastle,0.00,0.00,32.85,45.90,45.90,45.90,0.00,0.00,1.97,2.65,2.41,2.39
F,136,Thiago,6.1,6.1,Brentford,73.35,73.35,73.35,73.35,73.35,73.35,4.01,3.69,3.47,3.63,3.57,4.57
F,137,Morgan,4.4,4.4,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,138,Steele,4.4,4.4,Brighton,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.03,0.04,0.03,0.04,0.03
G,139,Verbruggen,4.4,4.4,Brighton,89.10,89.10,89.10,89.10,89.10,89.10,2.99,2.60,3.44,2.92,3.58,2.98
G,140,McGill,4.0,4.0,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,143,Boscagli,4.3,4.3,Brighton,13.65,13.65,13.65,13.65,13.65,13.65,0.51,0.46,0.57,0.52,0.56,0.51
D,144,Coppola,4.3,4.3,Brighton,8.70,8.70,8.70,8.70,8.70,8.70,0.30,0.29,0.32,0.31,0.32,0.30
D,145,De Cuyper,4.4,4.4,Brighton,40.80,40.80,40.80,40.80,40.80,40.80,1.59,1.33,1.90,1.49,1.92,1.60
D,146,Dunk,4.5,4.5,Brighton,83.55,83.55,83.55,83.55,83.55,83.55,2.75,2.29,3.45,2.97,3.37,2.81
