Pos,ID,Name,BV,SV,Team,29_xMins,30_xMins,31_xMins,32_xMins,33_xMins,34_xMins,35_xMins,29_Pts,30_Pts,31_Pts,32_Pts,33_Pts,34_Pts,35_Pts
M,48,Tielemans,5.9,5.9,Aston Villa,0.00,0.00,0.00,84.00,84.00,84.00,84.00,0.00,0.00,0.00,3.79,4.00,3.67,4.19
M,49,Bailey,5.5,5.5,Aston Villa,12.90,62.25,12.90,12.90,12.90,12.90,12.90,0.63,2.58,0.71,0.59,0.69,0.61,0.70
M,50,Buendía,5.3,5.3,Aston Villa,40.20,79.05,75.45,38.40,38.40,38.40,38.40,2.17,3.76,4.46,2.01,2.23,2.03,2.28
M,52,J.Ramsey,5.3,5.3,Newcastle,59.40,33.00,33.00,26.10,52.20,0.00,26.10,2.43,1.31,1.57,1.11,2.17,0.00,1.18
M,54,McGinn,5.4,5.4,Aston Villa,0.00,0.00,0.00,75.45,75.45,75.45,75.45,0.00,0.00,0.00,3.14,3.47,3.12,3.48
M,55,Barkley,4.8,4.8,Aston Villa,58.80,12.45,12.45,12.45,12.45,12.45,12.45,2.76,0.51,0.65,0.62,0.61,0.54,0.64
M,58,Kamara,4.9,4.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,59,Onana,4.8,4.8,Aston Villa,79.80,79.80,79.80,28.50,28.50,28.50,28.50,3.21,3.14,3.36,1.18,1.19,1.13,1.23
F,64,Watkins,8.6,8.6,Aston Villa,49.95,77.10,77.10,77.10,77.10,77.10,77.10,2.72,3.57,4.78,3.89,4.45,3.96,4.51
G,67,Petrović,4.5,4.5,Bournemouth,89.10,89.10,89.10,89.10,89.10,89.10,89.10,2.91,3.46,2.74,2.24,2.73,3.37,3.41
G,69,McKenna,3.9,3.9,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,72,Senesi,4.9,4.9,Bournemouth,86.70,86.70,86.70,86.70,86.70,86.70,86.70,4.01,4.45,3.55,2.85,3.47,4.36,4.42
D,73,Smith,4.4,4.4,Bournemouth,25.65,22.20,22.20,18.90,18.90,18.90,18.90,0.90,0.86,0.71,0.49,0.57,0.69,0.68
D,74,Truffert,4.6,4.6,Bournemouth,86.70,86.70,86.70,86.70,86.70,86.70,86.70,3.48,3.94,3.06,2.38,2.99,3.95,3.96
D,75,Akinmboni,3.8,3.8,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,76,Bevan,3.8,3.8,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,77,Hill,4.1,4.1,Bournemouth,84.00,84.00,84.00,84.00,84.00,84.00,84.00,3.92,4.30,3.45,2.84,3.42,4.25,4.27
D,80,Soler,4.0,4.0,Bournemouth,1.65,1.65,1.65,1.65,1.65,1.65,1.65,0.07,0.08,0.07,0.07,0.07,0.08,0.08
M,81,Kluivert,7.0,7.0,Bournemouth,0.00,0.00,0.00,54.60,54.60,54.60,54.60,0.00,0.00,0.00,2.07,2.67,3.07,3.06
M,82,Semenyo,8.2,8.2,Man City,81.60,81.60,0.00,81.60,163.20,0.00,81.60,5.10,4.79,0.00,4.02,8.77,0.00,4.43
M,83,O.Dango,5.9,5.9,Brentford,77.40,77.40,77.40,77.40,77.40,77.40,77.40,4.19,4.88,3.87,4.32,4.39,3.63,4.66
M,84,Tavernier,5.3,5.3,Bournemouth,79.05,79.05,79.05,75.15,75.15,75.15,75.15,4.39,4.71,4.15,2.80,3.56,3.98,4.03
M,85,Adams,4.9,4.9,Bournemouth,81.90,81.90,81.90,74.85,74.85,74.85,74.85,3.07,3.23,3.10,2.48,2.89,2.78,2.85
M,86,Brooks,5.0,5.0,Bournemouth,34.35,34.35,34.35,37.50,37.50,37.50,37.50,1.83,1.92,1.67,1.41,1.78,1.98,2.00
M,87,Christie,4.9,4.9,Bournemouth,25.80,25.80,25.80,18.90,18.90,18.90,18.90,1.25,1.26,1.19,0.74,0.84,0.89,0.91
M,88,Cook,4.9,4.9,Bournemouth,0.00,0.00,0.00,17.85,17.85,17.85,17.85,0.00,0.00,0.00,0.70,0.78,0.79,0.79
M,90,Scott,5.1,5.1,Bournemouth,81.90,81.90,81.90,72.60,72.60,72.60,72.60,3.71,3.93,3.72,2.76,3.33,3.36,3.41
F,97,Evanilson,6.9,6.9,Bournemouth,29.85,70.65,70.65,70.65,70.65,70.65,70.65,1.54,3.77,3.40,2.53,3.24,3.59,3.60
F,98,Enes Ünal,5.4,5.4,Bournemouth,9.00,9.00,9.00,9.00,9.00,9.00,9.00,0.51,0.52,0.47,0.36,0.44,0.48,0.51
F,100,Kroupi.Jr,4.7,4.7,Bournemouth,65.70,42.60,42.60,33.00,33.00,33.00,33.00,3.51,2.31,2.13,1.24,1.55,1.74,1.76
G,101,Kelleher,4.7,4.7,Brentford,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.40,3.86,3.48,3.77,3.62,2.92,3.50
G,102,Balcombe,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,104,Eyestone,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,105,Valdimarsson,3.9,3.9,Brentford,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.04,0.03,0.04,0.03,0.03,0.03
D,106,Collins,4.9,4.9,Brentford,23.70,23.70,23.70,23.70,23.70,23.70,23.70,1.15,1.23,1.16,1.25,1.16,0.99,1.17
D,107,Lewis-Potter,4.8,4.8,Brentford,40.80,40.80,40.80,33.90,33.90,33.90,33.90,1.90,2.41,1.94,1.86,1.79,1.35,1.90
D,108,Ajer,4.4,4.4,Brentford,80.25,80.25,80.25,80.25,80.25,80.25,80.25,3.47,4.02,3.61,4.07,3.67,2.91,3.75
D,109,Henry,4.3,4.3,Brentford,81.60,81.60,81.60,75.15,75.15,75.15,75.15,2.86,3.85,3.12,3.54,3.32,2.31,3.47
D,110,Kayode,4.5,4.5,Brentford,82.65,82.65,82.65,82.65,82.65,82.65,82.65,3.22,4.21,3.46,4.08,3.75,2.59,3.84
D,111,Pinnock,4.2,4.2,Brentford,1.50,1.50,1.50,1.50,1.50,1.50,1.50,0.06,0.07,0.06,0.06,0.06,0.06,0.06
D,113,Van den Berg,4.5,4.5,Brentford,79.95,79.95,79.95,79.95,79.95,79.95,79.95,3.56,4.15,3.70,4.18,3.81,3.01,3.85
D,116,Hickey,4.0,4.0,Brentford,0.00,0.00,0.00,20.85,20.85,20.85,20.85,0.00,0.00,0.00,0.92,0.88,0.70,0.87
M,119,Mbeumo,8.7,8.7,Man Utd,80.40,80.40,80.40,78.45,78.45,78.45,78.45,4.44,4.90,4.71,5.08,4.13,4.97,4.49
M,120,Schade,6.9,6.9,Brentford,78.75,78.75,78.75,78.75,78.75,78.75,78.75,4.11,4.86,3.82,4.34,4.36,3.58,4.67
M,121,Damsgaard,5.6,5.6,Brentford,78.75,78.75,78.75,43.80,43.80,43.80,43.80,3.98,4.38,3.66,2.32,2.29,2.03,2.41
M,122,Milambo,5.2,5.2,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,123,Carvalho,4.7,4.7,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,124,Henderson,5.0,5.0,Brentford,60.75,60.75,60.75,25.05,25.05,25.05,25.05,2.17,2.32,2.08,0.96,0.96,0.90,0.97
M,125,Janelt,4.9,4.9,Brentford,0.00,0.00,0.00,79.20,79.20,79.20,79.20,0.00,0.00,0.00,3.79,3.59,3.44,3.69
M,126,Jensen,4.9,4.9,Brentford,81.90,81.90,81.90,69.30,69.30,69.30,69.30,3.37,3.75,3.19,3.13,3.08,2.70,3.23
M,129,Yarmoliuk,5.0,5.0,Brentford,79.80,79.80,79.80,78.45,78.45,78.45,78.45,3.13,3.21,2.92,3.18,3.01,2.90,3.08
M,130,Donovan,4.4,4.4,Brentford,9.00,3.00,3.00,3.00,3.00,3.00,3.00,0.43,0.15,0.14,0.14,0.16,0.13,0.15
F,135,Wissa,7.3,7.3,Newcastle,48.00,44.55,44.55,40.80,81.60,0.00,40.80,2.49,2.13,2.53,2.11,4.05,0.00,2.27
F,136,Thiago,7.2,7.2,Brentford,83.40,83.40,83.40,83.40,83.40,83.40,83.40,4.47,5.28,4.04,4.59,4.75,3.84,5.11
G,138,Steele,4.2,4.2,Brighton,0.90,0.90,0.90,0.90,1.80,0.00,0.90,0.03,0.03,0.03,0.03,0.06,0.00,0.03
G,139,Verbruggen,4.5,4.5,Brighton,89.10,89.10,89.10,89.10,178.20,0.00,89.10,2.82,3.57,2.81,3.81,6.23,0.00,2.93
G,140,McGill,3.9,3.9,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,143,Boscagli,4.2,4.2,Brighton,5.85,5.85,5.85,5.85,11.70,0.00,5.85,0.21,0.26,0.23,0.27,0.47,0.00,0.23
D,145,De Cuyper,4.3,4.3,Brighton,15.75,15.75,15.75,15.75,31.50,0.00,15.75,0.66,0.79,0.71,0.84,1.56,0.00,0.71
D,146,Dunk,4.5,4.5,Brighton,84.45,84.45,84.45,84.45,168.90,0.00,84.45,2.62,3.49,2.85,3.85,6.11,0.00,2.86
D,148,F.Kadıoğlu,4.4,4.4,Brighton,84.75,84.75,84.75,84.75,169.50,0.00,84.75,2.51,3.59,2.77,3.96,6.17,0.00,2.69
D,149,Igor,4.5,4.5,Brighton,3.60,3.60,3.60,3.60,7.20,0.00,3.60,0.12,0.14,0.13,0.15,0.26,0.00,0.13
D,151,Van Hecke,4.4,4.4,Brighton,86.70,86.70,86.70,86.70,173.40,0.00,86.70,2.99,3.98,3.28,4.32,7.00,0.00,3.27
D,152,Veltman,4.3,4.3,Brighton,39.90,39.90,39.90,39.90,79.80,0.00,39.90,1.45,1.86,1.55,1.98,3.30,0.00,1.57
D,153,Webster,4.4,4.4,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,156,Tasker,3.8,3.8,Brighton,0.30,0.30,0.30,0.30,0.60,0.00,0.30,0.01,0.01,0.01,0.01,0.02,0.00,0.01
M,157,Mitoma,6.1,6.1,Brighton,81.90,81.90,81.90,81.90,163.80,0.00,81.90,3.15,4.00,3.71,4.28,7.65,0.00,3.64
M,158,Georginio,5.6,5.6,Brighton,35.70,28.95,28.95,28.95,57.90,0.00,28.95,1.52,1.53,1.43,1.62,2.94,0.00,1.40
M,159,March,5.8,5.8,Brighton,3.00,3.00,3.00,3.00,6.00,0.00,3.00,0.13,0.14,0.14,0.16,0.30,0.00,0.14
M,160,Minteh,5.5,5.5,Brighton,24.45,24.45,24.45,24.45,48.90,0.00,24.45,1.04,1.26,1.21,1.33,2.47,0.00,1.19
M,163,Hinshelwood,5.1,5.1,Brighton,59.40,55.65,55.65,55.65,111.30,0.00,55.65,1.91,2.08,1.95,2.21,4.08,0.00,2.02
M,164,O'Riley,5.5,5.5,Brighton,16.05,16.05,16.05,16.05,32.10,0.00,16.05,0.67,0.79,0.74,0.84,1.54,0.00,0.75
M,166,Ayari,4.8,4.8,Brighton,46.50,42.60,42.60,42.60,85.20,0.00,42.60,1.75,1.89,1.79,2.02,3.83,0.00,1.89
M,167,Baleba,4.5,4.5,Brighton,54.75,51.30,51.30,51.30,102.60,0.00,51.30,1.83,1.96,1.87,2.07,4.00,0.00,1.96
M,168,Buonanotte,4.6,4.6,Leeds United,10.20,10.20,10.20,10.20,10.20,10.20,10.20,0.53,0.49,0.51,0.45,0.57,0.50,0.59
M,169,Gomez,4.9,4.9,Brighton,68.70,68.70,68.70,68.70,137.40,0.00,68.70,2.83,3.46,3.25,3.73,6.81,0.00,3.30
M,170,Milner,4.9,4.9,Brighton,9.60,20.10,20.10,20.10,40.20,0.00,20.10,0.35,0.83,0.79,0.88,1.65,0.00,0.80
M,173,Wieffer,4.9,4.9,Brighton,48.75,48.75,48.75,48.75,97.50,0.00,48.75,1.93,2.16,2.12,2.24,4.20,0.00,2.16
F,178,Welbeck,6.1,6.1,Brighton,54.00,77.10,77.10,77.10,154.20,0.00,77.10,2.33,4.19,3.88,4.53,8.09,0.00,3.82
F,180,Tzimas,5.2,5.2,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,181,Kostoulas,4.8,4.8,Brighton,32.55,16.50,16.50,16.50,33.00,0.00,16.50,1.30,0.85,0.83,0.91,1.70,0.00,0.79
G,182,Trafford,4.5,4.5,Man City,0.90,0.90,0.00,0.90,1.80,0.00,0.90,0.04,0.03,0.00,0.03,0.07,0.00,0.03
G,183,Weiss,4.3,4.3,Burnley,0.90,0.90,0.90,0.90,1.80,0.00,0.90,0.03,0.03,0.03,0.03,0.05,0.00,0.03
G,185,Hladký,3.9,3.9,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,186,Roberts,4.4,4.4,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,187,Walker,4.4,4.4,Burnley,56.55,52.95,52.95,52.95,105.90,0.00,52.95,1.61,1.61,1.43,1.52,2.58,0.00,1.53
D,190,Ekdal,3.9,3.9,Burnley,4.80,4.80,4.80,4.80,9.60,0.00,4.80,0.20,0.20,0.18,0.18,0.34,0.00,0.19
D,191,Estève,3.9,3.9,Burnley,87.45,87.45,87.45,87.45,174.90,0.00,87.45,3.39,3.46,3.02,3.15,5.43,0.00,3.37
D,192,Hartman,4.0,4.0,Burnley,3.00,3.00,3.00,3.00,6.00,0.00,3.00,0.11,0.12,0.12,0.11,0.23,0.00,0.12
D,193,Humphreys,3.9,3.9,Burnley,82.95,82.95,82.95,82.95,165.90,0.00,82.95,3.00,3.06,2.64,2.77,4.77,0.00,2.98
D,194,Jordan,3.9,3.9,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,195,Lucas Pires,3.8,3.8,Burnley,63.30,46.95,46.95,46.95,93.90,0.00,46.95,1.97,1.67,1.41,1.55,2.53,0.00,1.53
D,198,Tuanzebe,3.9,3.9,Burnley,0.00,71.70,71.70,71.70,143.40,0.00,71.70,0.00,2.66,2.31,2.39,4.18,0.00,2.56
D,199,Worrall,3.8,3.8,Burnley,79.35,45.45,45.45,45.45,90.90,0.00,45.45,3.06,1.86,1.64,1.69,2.98,0.00,1.79
M,200,Anthony,5.0,5.0,Burnley,75.75,75.75,75.75,75.75,151.50,0.00,75.75,3.36,3.93,3.41,3.66,6.65,0.00,3.34
M,202,Bruun Larsen,5.3,5.3,Burnley,6.75,6.75,6.75,6.75,13.50,0.00,6.75,0.28,0.31,0.30,0.30,0.59,0.00,0.30
M,203,Boateng,4.7,4.7,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,205,Cullen,4.9,4.9,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,206,Edwards,4.7,4.7,Burnley,73.80,73.80,73.80,73.80,147.60,0.00,73.80,3.18,3.69,3.27,3.46,6.32,0.00,3.19
M,207,Hannibal,4.7,4.7,Burnley,61.65,58.65,58.65,58.65,117.30,0.00,58.65,2.32,2.43,2.20,2.34,4.30,0.00,2.18
M,209,Laurent,4.8,4.8,Burnley,79.50,72.60,72.60,72.60,145.20,0.00,72.60,2.38,2.25,2.09,2.12,4.02,0.00,2.16
M,210,Tchaouna,4.9,4.9,Burnley,18.00,18.00,18.00,18.00,36.00,0.00,18.00,0.73,0.81,0.74,0.78,1.45,0.00,0.74
M,214,Trésor,4.4,4.4,Burnley,5.70,5.70,5.70,5.70,11.40,0.00,5.70,0.22,0.25,0.23,0.23,0.46,0.00,0.22
F,215,Flemming,5.3,5.3,Burnley,78.45,60.15,60.15,60.15,120.30,0.00,60.15,3.15,3.01,2.60,2.75,5.01,0.00,2.53
F,216,Amdouni,4.8,4.8,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,217,Foster,4.9,4.9,Burnley,36.30,24.00,24.00,24.00,48.00,0.00,24.00,1.53,1.22,1.06,1.15,2.10,0.00,1.05
F,218,Barnes,4.2,4.2,Burnley,1.50,1.50,1.50,1.50,3.00,0.00,1.50,0.06,0.07,0.07,0.07,0.13,0.00,0.06
G,220,Sánchez,4.9,4.9,Chelsea,89.10,89.10,89.10,89.10,178.20,0.00,89.10,3.04,3.12,3.38,2.87,6.12,0.00,3.58
G,221,Jörgensen,4.3,4.3,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,223,Slonina,3.9,3.9,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,224,Cucurella,6.0,6.0,Chelsea,7.50,83.40,83.40,83.40,166.80,0.00,83.40,0.38,3.49,3.76,2.76,6.42,0.00,3.94
D,225,James,5.6,5.6,Chelsea,79.20,67.65,67.65,67.65,135.30,0.00,67.65,3.23,3.00,3.20,2.42,5.57,0.00,3.41
D,226,Chalobah,5.6,5.6,Chelsea,85.95,85.95,85.95,85.95,171.90,0.00,85.95,3.74,3.93,4.40,3.22,7.45,0.00,4.32
D,227,Colwill,4.7,4.7,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,228,Gusto,4.9,4.9,Chelsea,72.00,42.90,42.90,42.90,85.80,0.00,42.90,2.76,1.85,1.92,1.55,3.40,0.00,2.05
D,229,B.Badiashile,4.4,4.4,Chelsea,11.25,11.25,11.25,11.25,22.50,0.00,11.25,0.50,0.51,0.55,0.44,0.98,0.00,0.54
D,230,Fofana,4.4,4.4,Chelsea,63.60,43.95,43.95,43.95,87.90,0.00,43.95,2.89,2.05,2.29,1.72,3.93,0.00,2.22
D,231,M.Sarr,4.5,4.5,Chelsea,11.55,7.05,7.05,7.05,14.10,0.00,7.05,0.46,0.29,0.31,0.26,0.56,0.00,0.31
D,232,Tosin,4.0,4.0,Chelsea,18.30,14.25,14.25,14.25,28.50,0.00,14.25,0.83,0.65,0.70,0.58,1.26,0.00,0.67
D,233,Acheampong,3.7,3.7,Chelsea,11.25,7.05,7.05,7.05,14.10,0.00,7.05,0.48,0.31,0.33,0.28,0.59,0.00,0.32
M,235,Palmer,10.6,10.6,Chelsea,77.10,77.10,77.10,77.10,154.20,0.00,77.10,4.58,5.24,4.67,4.50,9.42,0.00,5.22
M,236,Neto,7.0,7.0,Chelsea,0.00,77.10,77.10,77.10,154.20,0.00,77.10,0.00,4.03,3.72,3.58,7.36,0.00,4.10
M,237,Enzo,6.7,6.7,Chelsea,84.00,84.00,84.00,84.00,168.00,0.00,84.00,3.95,4.39,4.00,3.87,7.94,0.00,4.40
M,238,Estêvão,6.4,6.4,Chelsea,0.00,36.15,36.15,31.35,62.70,0.00,31.35,0.00,2.00,1.84,1.55,3.22,0.00,1.78
M,239,Gittens,6.0,6.0,Chelsea,0.00,0.00,0.00,11.25,22.50,0.00,11.25,0.00,0.00,0.00,0.55,1.12,0.00,0.60
M,241,Caicedo,5.7,5.7,Chelsea,84.00,84.00,84.00,84.00,168.00,0.00,84.00,3.64,3.64,3.66,3.40,7.03,0.00,3.70
M,242,Dewsbury-Hall,5.0,5.0,Everton,82.35,82.35,82.35,82.35,82.35,82.35,82.35,4.77,2.86,3.75,3.62,3.61,3.84,3.52
M,243,George,4.8,4.8,Everton,30.90,30.90,0.00,27.45,27.45,27.45,27.45,1.64,1.07,0.00,1.15,1.14,1.22,1.12
M,244,Lavia,4.9,4.9,Chelsea,10.35,10.35,10.35,10.35,20.70,0.00,10.35,0.37,0.38,0.38,0.36,0.73,0.00,0.38
M,245,Mudryk,4.9,4.9,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,246,Andrey Santos,4.5,4.5,Chelsea,83.25,62.40,62.40,62.40,124.80,0.00,62.40,3.33,2.65,2.54,2.38,5.01,0.00,2.70
M,247,D.Essugo,4.3,4.3,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,249,João Pedro,7.6,7.6,Chelsea,76.50,73.35,73.35,73.35,146.70,0.00,73.35,3.89,4.26,3.81,3.78,7.78,0.00,4.18
F,250,Delap,6.2,6.2,Chelsea,49.35,31.20,31.20,31.20,62.40,0.00,31.20,2.26,1.69,1.52,1.51,3.09,0.00,1.67
F,252,Marc Guiu,4.1,4.1,Chelsea,1.50,1.50,1.50,1.50,3.00,0.00,1.50,0.08,0.08,0.08,0.08,0.17,0.00,0.09
G,253,Henderson,5.0,5.0,Crystal Palace,89.10,89.10,0.00,89.10,178.20,0.00,89.10,3.16,3.61,0.00,3.20,6.00,0.00,3.32
G,254,Benitez,4.0,4.0,Crystal Palace,0.90,0.90,0.00,0.90,1.80,0.00,0.90,0.03,0.03,0.00,0.03,0.06,0.00,0.03
G,255,Matthews,3.9,3.9,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,256,Muñoz,5.9,5.9,Crystal Palace,87.45,87.45,0.00,87.45,174.90,0.00,87.45,3.98,4.57,0.00,3.86,7.37,0.00,3.81
