Pos,ID,Name,BV,SV,Team,6_xMins,7_xMins,8_xMins,9_xMins,10_xMins,11_xMins,12_xMins,13_xMins,14_xMins,15_xMins,16_xMins,17_xMins,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts,13_Pts,14_Pts,15_Pts,16_Pts,17_Pts
G,1,Raya,5.6,5.6,Arsenal,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.43,4.38,3.83,4.23,4.25,4.10,3.96,3.33,4.24,3.62,4.39,3.94
G,2,Arrizabalaga,4.3,4.3,Arsenal,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05
G,3,Hein,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,4,Setford,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,6.1,6.1,Arsenal,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,3.93,4.92,4.32,4.70,4.85,4.83,4.39,3.75,4.84,3.96,5.13,4.49
D,6,Saliba,6.0,6.0,Arsenal,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,3.66,4.50,4.10,4.29,4.53,4.54,4.11,3.46,4.45,3.79,4.79,4.22
D,7,Calafiori,5.7,5.7,Arsenal,67.50,67.50,67.50,67.50,67.50,67.50,67.50,67.50,67.50,67.50,67.50,67.50,2.91,4.02,3.32,3.56,3.89,3.78,3.47,2.75,3.83,3.16,4.12,3.33
D,8,J.Timber,5.8,5.8,Arsenal,52.50,52.50,52.50,52.50,52.50,52.50,52.50,52.50,52.50,52.50,52.50,52.50,2.17,2.83,2.40,2.57,2.83,2.73,2.51,2.07,2.72,2.31,2.93,2.44
D,9,Kiwior,5.4,5.4,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,10,Lewis-Skelly,5.3,5.3,Arsenal,18.45,18.45,18.45,18.45,18.45,18.45,18.45,18.45,18.45,18.45,18.45,18.45,0.71,0.89,0.77,0.82,0.88,0.85,0.80,0.69,0.86,0.75,0.91,0.77
D,11,White,5.4,5.4,Arsenal,37.80,37.80,37.80,37.80,37.80,37.80,37.80,37.80,37.80,37.80,37.80,37.80,1.66,2.12,1.85,1.95,2.06,2.05,1.89,1.58,2.06,1.75,2.17,1.83
D,12,Zinchenko,4.9,4.9,Nott'm Forest,72.45,72.45,72.45,72.45,72.45,72.45,72.45,72.45,72.45,72.45,72.45,72.45,3.67,2.47,2.64,2.60,2.95,3.56,2.09,2.93,3.47,3.02,3.08,2.93
D,13,Clarke,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,9.8,9.8,Arsenal,70.20,75.75,79.65,79.65,79.65,79.65,79.65,79.65,79.65,79.65,79.65,79.65,4.19,6.19,4.98,5.55,5.81,5.72,5.62,4.65,6.12,5.12,6.44,4.82
M,17,Ødegaard,7.9,7.9,Arsenal,67.80,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,3.35,4.86,3.89,4.28,4.43,4.36,4.26,3.65,4.55,3.88,4.78,3.88
M,18,Madueke,7.0,7.0,Arsenal,0.00,0.00,45.60,45.60,45.60,45.60,45.60,45.60,45.60,45.60,45.60,45.60,0.00,0.00,2.45,2.70,2.84,2.76,2.70,2.32,2.94,2.50,3.08,2.40
M,19,Martinelli,6.9,6.9,Arsenal,41.55,38.85,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,2.19,2.71,2.01,2.22,2.33,2.25,2.21,1.87,2.36,2.06,2.54,1.96
M,20,Trossard,6.9,6.9,Arsenal,42.45,42.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45,2.29,3.05,1.59,1.77,1.83,1.79,1.77,1.48,1.89,1.63,2.00,1.52
M,21,Rice,6.5,6.5,Arsenal,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,4.02,4.45,3.84,4.12,4.10,4.09,4.27,3.68,4.36,3.78,4.55,3.84
M,22,Merino,5.9,5.9,Arsenal,42.00,39.00,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.20,2.08,2.29,1.26,1.35,1.39,1.38,1.37,1.22,1.45,1.27,1.50,1.23
M,23,Fábio Vieira,5.4,5.4,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
