Pos,ID,Name,BV,SV,Team,1_xMins,2_xMins,3_xMins,4_xMins,5_xMins,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts
G,1,Raya,6.0,6.0,Arsenal,89.09,89.09,89.09,89.09,89.09,4.44,3.7,3.65,4.12,3.72
G,2,Arrizabalaga,5.0,5.0,Arsenal,0.9,0.9,0.9,0.9,0.9,0.05,0.04,0.04,0.05,0.04
G,3,Meslier,5.0,5.0,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,4,Gabriel,8.0,8.0,Arsenal,87.9,87.75,87.9,87.9,87.9,5.83,4.5,4.42,5.44,4.56
D,5,J.Timber,6.5,6.5,Arsenal,0.0,0.0,20.7,68.25,68.25,0.0,0.0,1.09,3.91,3.37
D,6,Saliba,6.0,6.0,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,7,Lewis-Skelly,5.5,5.5,Arsenal,38.4,12.68,12.68,12.45,12.45,1.61,0.66,0.68,0.69,0.68
D,8,Calafiori,5.5,5.5,Arsenal,69.15,66.45,70.5,70.05,70.05,4.67,3.24,3.57,3.96,3.46
D,9,Hincapie,5.5,5.5,Arsenal,31.5,23.4,20.7,19.35,19.35,1.99,1.01,0.95,0.91,0.84
D,10,White,5.5,5.5,Arsenal,80.7,78.3,54.75,25.05,25.05,5.53,3.8,2.85,1.42,1.25
D,11,Mosquera,5.5,5.5,Arsenal,88.12,61.05,28.8,17.51,17.51,5.34,2.99,1.38,0.91,0.83
M,12,Saka,9.5,9.5,Arsenal,36.6,74.85,74.85,74.85,74.85,3.12,4.72,5.03,5.03,4.74
M,13,Rice,7.5,7.5,Arsenal,45.15,84.9,83.7,83.1,83.1,2.61,3.97,3.96,4.08,3.85
M,14,Eze,6.5,6.5,Arsenal,28.35,26.05,26.05,26.05,26.05,2.06,1.45,1.51,1.51,1.44
M,15,Ødegaard,6.5,6.5,Arsenal,72.0,69.6,69.6,69.6,69.6,4.78,3.37,3.52,3.54,3.41
M,16,Madueke,6.5,6.5,Arsenal,43.95,16.42,16.42,16.42,16.42,2.78,0.96,1.0,1.01,0.97
M,17,Merino,6.0,6.0,Arsenal,6.57,4.54,4.54,4.54,4.54,0.98,0.9,0.91,0.91,0.9
M,18,Martinelli,6.5,6.5,Arsenal,0.19,0.38,0.38,0.38,0.38,0.39,0.77,0.77,0.77,0.77
