Pos,Name,BV,SV,Team,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,Özil,6.7,6.7,Arsenal,0,0,0,0,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0,0,0,0,0
D,David Luiz,5.4,5.4,Arsenal,0,0,52,2.05,65,2.482
M,Aubameyang,11.3,11.3,Arsenal,0,0,41,2.88,43,2.917
D,Cédric,4.6,4.6,Arsenal,0,0,2,0.082,2,0.08
F,Lacazette,8.4,8.4,Arsenal,0,0,56,3.662,53,3.372
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,0,0
G,Leno,5.0,5.0,Arsenal,0,0,78,3.391,85,3.654
M,Xhaka,5.2,5.2,Arsenal,0,0,56,1.773,70,2.136
D,Marí,4.4,4.4,Arsenal,0,0,9,0.359,18,0.701
D,Bellerín,5.0,5.0,Arsenal,0,0,18,0.761,19,0.782
G,Martínez,5.4,5.4,Aston Villa,87,3.671,89,3.191,88,3.262
D,Chambers,4.5,4.5,Arsenal,0,0,68,2.893,61,2.526
D,Kolasinac,4.8,4.8,Arsenal,0,0,0,0,0,0
D,Maitland-Niles,4.6,4.6,West Brom,71,1.13,70,1.868,68,1.68
D,Holding,4.3,4.2,Arsenal,0,0,64,2.517,66,2.529
D,Tierney,5.2,5.2,Arsenal,0,0,82,3.513,80,3.333
M,Pépé,7.6,7.6,Arsenal,0,0,48,2.819,47,2.683
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0
M,Willock,4.7,4.7,Newcastle,55,1.796,57,2.615,56,2.178
M,Nelson,5.1,5.1,Arsenal,0,0,0,0,0,0
F,Nketiah,5.3,5.3,Arsenal,0,0,4,0.235,6,0.342
M,Smith Rowe,4.2,4.2,Arsenal,0,0,56,2.599,63,2.833
M,Saka,5.1,5.1,Arsenal,0,0,58,3.078,66,3.367
M,Guendouzi,4.7,4.7,Arsenal,0,0,0,0,0,0
M,Martinelli,4.9,4.9,Arsenal,0,0,43,2.331,40,2.109
D,Saliba,4.0,4.0,Arsenal,0,0,0,0,0,0
G,Heaton,4.5,4.5,Aston Villa,0,0,0,0,0,0
D,El Mohamady,4.2,4.2,Aston Villa,5,0.184,9,0.22,9,0.246
M,Lansbury,4.3,4.3,Aston Villa,0,0,0,0,0,0
D,Taylor,4.2,4.2,Aston Villa,1,0.034,1,0.023,1,0.026
G,Steer,3.9,3.9,Aston Villa,0,0,0,0,1,0.037
M,Hourihane,5.9,5.9,Aston Villa,0,0,0,0,0,0
M,Jota,5.9,5.9,Aston Villa,0,0,0,0,0,0
G,Nyland,4.0,4.0,Aston Villa,0,0,0,0,0,0
D,Engels,4.4,4.4,Aston Villa,0,0,1,0.025,1,0.028
M,Grealish,7.5,7.5,Aston Villa,41,2.17,76,3.167,64,2.671
M,McGinn,5.5,5.5,Aston Villa,84,2.829,81,2.401,79,2.361
D,Hause,4.4,4.4,Aston Villa,5,0.181,10,0.242,12,0.323
M,Trézéguet,5.2,5.2,Aston Villa,0,0,0,0,0,0
D,Mings,5.4,5.4,Aston Villa,85,3.002,84,1.854,81,2.043
D,Targett,5.0,5.0,Aston Villa,84,3.236,83,2.005,82,2.234
D,Bree,4.5,4.5,Aston Villa,0,0,0,0,0,0
M,Nakamba,4.3,4.3,Aston Villa,11,0.368,9,0.28,8,0.25
M,El Ghazi,5.2,5.2,Aston Villa,63,3.538,41,1.917,40,1.835
D,Konsa,4.7,4.7,Aston Villa,84,2.977,83,1.838,83,2.093
D,Guilbert,4.3,4.3,Aston Villa,0,0,0,0,0,0
F,Wesley,6.0,6.0,Aston Villa,12,0.647,11,0.514,11,0.501
F,Samatta,5.9,5.9,Aston Villa,0,0,0,0,0,0
F,Davis,4.2,4.2,Aston Villa,11,0.536,10,0.429,10,0.42
F,Vassilev,4.3,4.3,Aston Villa,0,0,0,0,0,0
M,Douglas Luiz,4.8,4.8,Aston Villa,75,2.307,69,1.929,69,1.939
F,Murray,4.8,4.8,Brighton,0,0,0,0,0,0
M,Lallana,6.2,6.2,Brighton,29,1.114,51,1.668,61,2.179
M,Stephens,4.2,4.2,Burnley,3,0.1,3,0.093,3,0.104
G,Button,3.9,3.9,West Brom,0,0,0,0,1,0.036
M,Groß,5.8,5.8,Brighton,76,3.714,76,2.952,73,3.188
