Pos,Name,BV,SV,Team,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,20_xMins,20_Pts
M,Özil,6.8,6.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Sokratis,4.9,4.9,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,David Luiz,5.5,5.5,Arsenal,34,1.288,54,1.678,50,1.305,52,1.903,54,2.348,51,2.283,54,2.481,51,1.694
M,Aubameyang,11.5,11.5,Arsenal,84,5.529,81,4.906,79,4.323,79,4.874,76,5.373,77,5.339,76,5.55,76,4.62
D,Cédric,4.6,4.6,Arsenal,0,0,0,0,2,0.059,2,0.08,3,0.141,3,0.143,3,0.147,2,0.073
F,Lacazette,8.3,8.3,Arsenal,62,3.573,55,2.991,51,2.556,51,2.798,50,3.077,49,2.958,50,3.162,47,2.578
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,1,0.028,1,0.038,1,0.044,2,0.091,2,0.093,1,0.034
G,Leno,5.0,5.0,Arsenal,89,3.744,88,3.461,87,3.233,87,3.652,86,3.877,86,3.946,86,3.977,85,3.461
M,Xhaka,5.2,5.2,Arsenal,65,2.025,61,1.791,57,1.607,61,1.857,62,2.049,60,1.993,59,2.011,59,1.76
D,Marí,4.4,4.4,Arsenal,7,0.249,3,0.089,4,0.101,6,0.206,5,0.202,6,0.25,6,0.256,7,0.219
D,Bellerín,5.2,5.2,Arsenal,87,3.45,84,2.75,82,2.235,81,3.114,78,3.56,80,3.748,76,3.654,80,2.795
G,Martínez,4.8,4.7,Aston Villa,89,3.926,83,3.486,80,3.42,82,2.866,80,2.861,81,3.02,81,3.116,77,3.242
D,Chambers,4.5,4.5,Arsenal,11,0.434,13,0.434,15,0.422,15,0.581,15,0.69,14,0.657,16,0.774,20,0.706
D,Kolasinac,4.8,4.8,Arsenal,1,0.037,4,0.125,2,0.054,5,0.181,3,0.128,5,0.22,4,0.179,4,0.133
D,Maitland-Niles,4.6,4.6,Arsenal,6,0.248,7,0.244,8,0.236,7,0.28,10,0.471,9,0.429,10,0.493,11,0.404
D,Holding,4.4,4.4,Arsenal,61,2.281,51,1.592,54,1.416,54,1.98,52,2.259,53,2.372,52,2.378,50,1.668
D,Tierney,5.4,5.4,Arsenal,83,3.307,80,2.666,79,2.203,77,3.003,77,3.546,76,3.58,74,3.576,74,2.625
M,Pépé,7.6,7.6,Arsenal,33,1.892,35,1.857,37,1.788,36,1.943,36,2.19,35,2.098,35,2.192,38,2.025
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Willock,4.8,4.8,Arsenal,15,0.818,15,0.763,15,0.699,15,0.776,16,0.92,16,0.9,18,1.055,17,0.865
