Pos,Name,BV,SV,Team,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
D,Manquillo,4.2,4.2,Newcastle,8,0.156,8,0.125,9,0.363,8,0.238
D,Krafth,4.2,4.2,Newcastle,12,0.247,15,0.25,16,0.684,9,0.284
D,Schär,4.8,4.8,Newcastle,0,0,0,0,0,0,70,1.998
D,Yedlin,4.3,4.3,Newcastle,0,0,0,0,0,0,0,0
M,Hayden,4.6,4.6,Newcastle,0,0,0,0,0,0,0,0
M,Aarons,4.8,4.8,Newcastle,0,0,0,0,0,0,0,0
M,Saint-Maximin,5.1,5.1,Newcastle,72,2.817,70,2.604,71,4.103,70,3.247
M,Almirón,5.6,5.6,Newcastle,70,2.383,70,2.295,69,3.274,67,2.648
F,Joelinton,5.7,5.7,Newcastle,50,1.814,48,1.704,49,2.429,49,2.027
F,Muto,4.8,4.8,Newcastle,0,0,0,0,0,0,0,0
D,Watts,3.9,3.9,Newcastle,0,0,0,0,0,0,0,0
F,Sharp,5.5,5.5,Sheffield Utd,0,0,0,0,0,0,0,0
F,McGoldrick,5.2,5.2,Sheffield Utd,68,3.182,66,2.567,66,2.981,66,3.012
D,Basham,4.6,4.6,Sheffield Utd,81,2.693,78,1.653,78,2.097,75,2.262
M,Fleck,5.6,5.6,Sheffield Utd,73,2.495,72,2.131,72,2.332,68,2.27
D,Stevens,5.0,5.0,Sheffield Utd,81,3.053,79,1.897,79,2.427,78,2.664
G,Moore,4.3,4.3,Sheffield Utd,0,0,0,0,0,0,0,0
M,Norwood,4.5,4.5,Sheffield Utd,67,2.677,57,1.957,57,2.192,60,2.334
G,Foderingham,4.3,4.3,Sheffield Utd,0,0,0,0,0,0,0,0
D,Baldock,4.9,4.9,Sheffield Utd,73,2.637,73,1.679,73,2.145,70,2.299
D,Jack Robinson,4.2,4.2,Sheffield Utd,65,2.185,60,1.25,61,1.609,61,1.806
D,Egan,4.7,4.7,Sheffield Utd,80,2.759,79,1.729,77,2.146,77,2.4
D,O'Connell,4.7,4.7,Sheffield Utd,0,0,0,0,0,0,0,0
M,Lundstram,4.9,4.9,Sheffield Utd,19,0.771,21,0.746,21,0.818,20,0.789
M,Osborn,4.7,4.7,Sheffield Utd,37,1.449,38,1.302,38,1.42,41,1.545
F,McBurnie,5.6,5.6,Sheffield Utd,0,0,0,0,0,0,0,0
F,Callum Robinson,5.2,5.2,West Brom,52,2.007,43,1.719,44,1.917,46,1.989
F,Mousset,5.8,5.8,Sheffield Utd,21,1.077,22,0.952,22,1.087,23,1.145
M,Berge,4.9,4.9,Sheffield Utd,74,2.489,71,2.143,72,2.354,69,2.317
F,Long,5.1,5.1,Southampton,0,0,0,0,0,0,0,0
D,Bertrand,5.0,5.0,Southampton,0,0,0,0,0,0,0,0
G,McCarthy,4.4,4.4,Southampton,23,1.746,55,2.317,71,2.733,55,2.013
M,Oriol Romeu,4.5,4.5,Southampton,46,1.72,80,2.366,79,2.231,78,2.043
M,Redmond,6.4,6.4,Southampton,68,5.685,64,3.135,67,3.2,66,2.736
F,Ings,8.4,8.4,Southampton,31,2.71,71,4.21,70,4.19,68,3.466
D,Stephens,4.6,4.6,Southampton,16,0.798,16,0.608,17,0.52,19,0.475
M,Armstrong,5.5,5.5,Southampton,71,5.244,68,2.909,69,2.89,69,2.559
D,Vestergaard,4.7,4.7,Southampton,80,4.209,78,3.164,79,2.571,79,2.076
M,Ward-Prowse,5.8,5.8,Southampton,83,6.553,80,3.765,81,3.724,80,3.139
G,Gunn,4.3,4.3,Southampton,0,0,0,0,0,0,0,0
M,Boufal,5.4,5.4,Southampton,0,0,0,0,0,0,0,0
M,Reed,4.4,4.4,Fulham,67,2.154,62,1.849,67,1.81,66,2.141
M,Sims,4.3,4.3,Southampton,0,0,0,0,0,0,0,0
D,Walker-Peters,4.7,4.7,Southampton,77,3.831,75,2.886,75,2.309,74,1.839
D,Bednarek,4.7,4.7,Southampton,86,4.025,83,3.046,83,2.41,81,1.891
F,Adams,5.7,5.7,Southampton,70,6.569,63,3.467,69,3.781,61,2.906
D,Valery,4.7,4.7,Southampton,0,0,0,0,0,0,0,0
M,Smallbone,4.3,4.3,Southampton,0,0,0,0,0,0,0,0
D,Vokins,3.9,3.9,Southampton,0,0,0,0,0,0,0,0
F,Obafemi,4.6,4.6,Southampton,0,0,3,0.162,3,0.163,2,0.095
M,Djenepo,5.4,5.4,Southampton,44,3.043,44,1.732,41,1.576,42,1.456
G,Lloris,5.6,5.6,Spurs,88,3.551,86,4.13,87,3.79,86,3.42
D,Rose,4.7,4.7,Spurs,0,0,0,0,0,0,0,0
M,Sissoko,4.7,4.7,Spurs,14,0.505,17,0.664,17,0.641,19,0.643
D,Alderweireld,5.4,5.4,Spurs,74,2.46,70,3.352,70,2.834,69,2.144
M,Lamela,5.7,5.7,Spurs,31,1.48,33,1.731,33,1.659,33,1.375
F,Kane,11.9,11.7,Spurs,85,5.983,84,6.328,85,6.274,84,4.905
D,Aurier,5.2,5.2,Spurs,55,2.243,55,3.132,54,2.644,55,2.001
M,Son,9.6,9.3,Spurs,80,4.529,77,4.797,79,4.724,78,3.786
D,Dier,4.6,4.6,Spurs,71,2.388,69,3.33,69,2.828,69,2.159
M,Lucas Moura,6.6,6.6,Spurs,42,2.087,40,2.176,42,2.193,43,1.869
G,Gazzaniga,4.3,4.3,Spurs,0,0,0,0,0,0,0,0
M,Alli,7.4,7.4,Spurs,34,1.83,34,2.001,35,1.993,34,1.587
D,Davies,4.5,4.5,Spurs,0,0,0,0,0,0,0,0
M,Højbjerg,4.9,4.9,Spurs,83,2.402,80,2.663,79,2.502,78,2.201
M,Winks,5.1,5.1,Spurs,14,0.446,15,0.517,15,0.499,16,0.487
D,Sánchez,5.2,5.2,Spurs,18,0.58,22,0.994,22,0.845,21,0.632
D,Sessegnon,4.7,4.7,Spurs,0,0,0,0,0,0,0,0
M,Bergwijn,7.0,7.0,Spurs,6,0.267,7,0.339,8,0.375,9,0.363
M,Fernandes,4.7,4.7,Spurs,0,0,0,0,0,0,0,0
D,Tanganga,4.9,4.9,Spurs,2,0.065,2,0.09,2,0.077,3,0.091
M,Lo Celso,6.9,6.9,Spurs,53,2.048,51,2.209,52,2.136,47,1.661
M,Skipp,4.4,4.4,Spurs,0,0,0,0,0,0,0,0
M,Ndombele,5.9,5.9,Spurs,43,1.62,47,1.953,45,1.785,48,1.663
D,Foyth,4.3,4.3,Spurs,0,0,0,0,0,0,0,0
D,Gibbs,4.3,4.3,West Brom,8,0.173,9,0.163,10,0.27,12,0.298
F,Robson-Kanu,5.2,5.2,West Brom,8,0.354,9,0.405,9,0.448,8,0.398
M,Livermore,4.7,4.7,West Brom,14,0.422,10,0.303,10,0.319,9,0.284
M,Grosicki,5.2,5.2,West Brom,1,0.039,0,0,0,0,0,0
M,Phillips,5.1,5.1,West Brom,65,2.227,51,1.792,53,2.04,48,1.845
D,Bartley,4.4,4.4,West Brom,83,1.699,80,1.352,80,2.153,79,1.947
M,Sawyers,4.6,4.6,West Brom,8,0.236,4,0.12,4,0.125,4,0.124
D,Hegazi,4.1,4.1,West Brom,0,0,0,0,0,0,0,0
F,Austin,5.1,5.1,West Brom,0,0,0,0,0,0,0,0
F,Zohore,4.8,4.8,West Brom,0,0,0,0,0,0,0,0
G,Johnstone,4.6,4.6,West Brom,88,3.19,87,3.104,89,3.389,88,3.279
D,Townsend,4.4,4.4,West Brom,85,1.749,82,1.388,81,2.177,80,1.971
D,Ajayi,4.8,4.8,West Brom,62,1.406,61,1.165,63,1.833,63,1.697
M,Leko,4.5,4.5,West Brom,0,0,0,0,0,0,0,0
M,Edwards,4.7,4.7,West Brom,1,0.035,0,0,0,0,0,0
D,Furlong,4.5,4.5,West Brom,82,1.727,80,1.394,78,2.134,79,1.986
M,Field,4.8,4.8,West Brom,0,0,0,0,0,0,0,0
M,Burke,4.1,4.1,Sheffield Utd,39,1.917,39,1.581,40,1.84,40,1.878
D,O'Shea,4.2,4.2,West Brom,62,1.167,61,0.921,60,1.467,61,1.364
M,Harper,4.3,4.3,West Brom,0,0,0,0,0,0,0,0
M,Noble,4.5,4.5,West Ham,26,0.86,32,1.209,24,1.035,18,0.8
M,Snodgrass,5.6,5.6,West Brom,25,0.7,28,0.982,27,1.036,29,1.098
G,Martin,3.9,3.9,West Ham,0,0,0,0,0,0,0,0
G,Randolph,4.3,4.3,West Ham,0,0,0,0,0,0,0,0
G,Fabianski,5.0,5.0,West Ham,87,3.572,85,3.423,86,3.694,85,3.6
D,Ogbonna,4.7,4.7,West Ham,56,1.381,79,2.488,77,2.916,76,2.822
G,Roberto,4.5,4.5,West Ham,0,0,0,0,0,0,0,0
M,Wilshere,4.9,4.9,West Ham,0,0,0,0,0,0,0,0
D,Cresswell,5.6,5.6,West Ham,80,3.107,76,2.733,76,3.372,76,3.333
M,Yarmolenko,5.5,5.5,West Ham,32,1.502,28,1.227,30,1.52,29,1.514
F,Antonio,6.4,6.4,West Ham,75,4.109,75,3.767,74,4.397,70,4.341
D,Fredericks,4.2,4.2,West Ham,7,0.259,6,0.207,4,0.169,5,0.21
M,Lanzini,6.4,6.4,West Ham,29,1.22,22,0.88,19,0.865,14,0.653
M,Felipe Anderson,6.1,6.1,West Ham,0,0,0,0,0,0,0,0
F,Haller,6.1,6.1,West Ham,0,0,0,0,0,0,0,0
D,Masuaku,4.3,4.3,West Ham,2,0.013,24,0.34,38,1.073,44,1.624
D,Balbuena,4.1,4.1,West Ham,8,0.277,9,0.294,9,0.35,9,0.345
F,Hugill,5.5,5.5,West Ham,0,0,0,0,0,0,0,0
M,Bowen,6.0,6.0,West Ham,31,1.71,31,1.577,31,1.839,31,1.89
M,Diangana,5.0,5.0,West Brom,2,0.081,2,0.08,1,0.044,1,0.043
F,Ajeti,5.5,5.5,West Ham,0,0,0,0,0,0,0,0
M,Rice,4.7,4.7,West Ham,20,0.31,40,0.85,62,1.928,81,3.022
M,Soucek,5.2,5.2,West Ham,87,3.077,84,2.81,82,3.124,79,3.084
M,Fornals,5.8,5.8,West Ham,58,2.235,52,1.912,52,2.149,52,2.194
D,Diop,4.3,4.3,West Ham,65,2.11,55,1.709,51,1.91,44,1.623
D,Johnson,3.9,3.9,West Ham,17,0.66,15,0.533,14,0.608,11,0.473
G,Ruddy,4.3,4.3,Wolves,0,0,1,0.036,1,0.038,1,0.037
M,Moutinho,5.1,5.1,Wolves,51,1.354,73,2.123,71,2.215,71,2.17
G,Patrício,5.3,5.3,Wolves,88,3.537,86,3.073,87,3.318,86,3.158
D,Bennett,4.4,4.4,Wolves,0,0,0,0,0,0,0,0
D,Doherty,5.6,5.6,Spurs,32,1.212,31,1.597,33,1.468,34,1.152
D,Boly,5.4,5.4,Wolves,23,0.599,47,1.061,59,1.741,67,1.72
D,Coady,5.0,5.0,Wolves,81,2.562,77,1.567,78,2.12,77,1.818
F,Jiménez,8.1,8.1,Wolves,16,0.491,39,1.17,57,2.268,74,3.175
D,Saïss,5.0,5.0,Wolves,80,2.764,72,1.605,74,2.218,73,1.911
D,Jonny,5.4,5.4,Wolves,0,0,0,0,0,0,0,0
F,Bonatini,4.8,4.8,Wolves,0,0,0,0,0,0,0,0
M,Dendoncker,4.6,4.6,Wolves,76,2.466,68,2.025,66,2.106,66,2.06
M,Traoré,6.1,6.1,Wolves,81,3.045,76,2.56,76,2.791,74,2.642
M,Neves,5.1,5.1,Wolves,74,2.731,65,2.147,69,2.474,66,2.306
D,Buur,3.9,3.9,Wolves,0,0,0,0,0,0,0,0
M,Jota,7.0,6.9,Liverpool,61,8.169,60,4.423,61,4.179,61,4.548
M,Podence,5.3,5.3,Wolves,56,2.441,54,2.058,53,2.217,51,2.072
D,Kilman,3.9,3.9,Wolves,14,0.485,6,0.14,5,0.151,5,0.134
D,Vinagre,4.1,4.1,Wolves,0,0,0,0,0,0,0,0
G,Sarkic,4.4,4.4,Wolves,0,0,0,0,0,0,0,0
M,Gibbs-White,4.9,4.9,Wolves,19,0.762,17,0.624,16,0.63,16,0.615
M,Neto,5.6,5.6,Wolves,0,0,0,0,0,0,0,0
M,Jordao,4.3,4.3,Wolves,0,0,0,0,0,0,0,0
F,Campana,4.7,4.7,Wolves,0,0,0,0,0,0,0,0
M,Freeman,5.0,5.0,Sheffield Utd,0,0,0,0,0,0,0,0
M,Willian,7.5,7.5,Arsenal,15,1.545,0,0,20,1.075,21,1.094
D,Salisu,4.3,4.3,Southampton,58,3.003,58,2.317,60,1.929,58,1.504
M,Sean Longstaff,4.6,4.6,Newcastle,65,1.958,63,1.831,64,2.45,62,2.065
M,Pereira,5.5,5.5,West Brom,76,3.096,73,3.05,74,3.546,73,3.467
G,Hart,4.2,4.2,Spurs,0,0,0,0,0,0,0,0
G,Ramsdale,4.6,4.6,Sheffield Utd,87,3.576,86,3.109,87,3.31,86,3.42
D,Robinson,4.4,4.4,Fulham,63,2.446,64,1.947,63,1.319,64,2.544
M,Hendrick,4.5,4.5,Newcastle,3,0.098,5,0.162,5,0.201,6,0.215
D,Dann,4.2,4.2,Crystal Palace,29,2.123,22,0.736,15,0.434,19,0.346
M,Matty Longstaff,4.8,4.8,Newcastle,0,0,0,0,0,0,0,0
G,Gillespie,4.3,4.3,Newcastle,0,0,0,0,0,0,0,0
M,Eze,5.8,5.8,Crystal Palace,70,5.946,68,2.806,68,2.613,68,2.309
D,Thiago Silva,5.6,5.6,Chelsea,69,4.857,0,0,66,2.802,66,2.839
D,Koch,4.3,4.3,Leeds,32,0.921,28,1.056,25,0.87,25,1.144
F,Rodrigo,5.7,5.7,Leeds,43,1.979,40,1.946,38,1.897,41,2.256
M,Lemina,4.5,4.5,Fulham,56,1.928,58,1.818,55,1.579,57,1.974
D,Gabriel,4.9,4.9,Arsenal,46,3.334,0,0,42,1.691,45,1.747
M,van de Beek,6.6,6.6,Man Utd,23,3.029,0,0,12,0.603,14,0.66
D,Cash,5.0,5.0,Aston Villa,80,4.781,77,2.863,78,1.79,76,1.987
M,Murphy,4.9,4.9,Newcastle,77,2.243,75,2.125,75,2.822,74,2.413
D,Castagne,5.8,5.7,Leicester,75,6.703,0,0,78,2.45,77,2.934
D,Kipre,4.3,4.3,West Brom,0,0,0,0,0,0,0,0
M,Havertz,8.3,8.3,Chelsea,67,7.243,0,0,65,3.914,66,4.203
M,Ceballos,4.7,4.7,Arsenal,53,3.788,0,0,53,1.966,47,1.715
M,Allan,5.2,5.2,Everton,76,4.6,73,2.671,71,2.402,68,1.828
G,Walton,4.0,4.0,Brighton,0,0,0,0,0,0,0,0
F,Fabio Silva,5.2,5.2,Wolves,50,2.272,45,1.82,43,1.906,40,1.735
D,Marçal,4.7,4.7,Wolves,8,0.063,14,0.117,26,0.559,35,0.904
F,Wilson,6.5,6.5,Newcastle,76,3.205,74,2.981,75,4.755,74,3.77
M,Fraser,5.6,5.6,Newcastle,0,0,0,0,0,0,0,0
M,Rodríguez,7.7,7.7,Everton,39,3.648,32,2.083,59,3.339,63,2.376
D,Ampadu,4.3,4.3,Sheffield Utd,20,0.506,54,1.188,50,1.389,45,1.399
D,Bogle,4.3,4.3,Sheffield Utd,21,0.88,21,0.568,20,0.688,22,0.835
D,Lowe,4.2,4.2,Sheffield Utd,0,0,0,0,0,0,0,0
M,Doucouré,5.1,5.1,Everton,0,0,0,0,0,0,37,0.649
D,Lewis,4.1,4.1,Newcastle,4,0.078,5,0.079,6,0.237,3,0.088
F,Watkins,6.5,6.5,Aston Villa,82,7.919,81,4.21,83,3.569,82,3.406
M,Vitinha,4.7,4.7,Wolves,38,1.482,36,1.261,36,1.361,35,1.29
G,Areola,4.6,4.6,Fulham,88,3.759,86,3.324,88,3.159,86,3.675
D,Tete,4.3,4.3,Fulham,51,2.096,52,1.659,53,1.162,51,2.139
M,Mendy,4.2,4.2,Leicester,6,0.384,0,0,6,0.178,7,0.216
D,Dunne,3.8,3.8,Burnley,0,0,1,0.033,2,0.044,1,0.041
D,Thomas,3.9,3.9,Burnley,0,0,0,0,0,0,0,0
D,Carter-Vickers,3.9,3.9,Spurs,0,0,0,0,0,0,0,0
D,Woods,4.0,4.0,Crystal Palace,0,0,0,0,0,0,0,0
G,Forster,4.0,4.0,Southampton,64,4.874,22,0.928,44,1.701,44,1.616
M,Tella,4.3,4.3,Southampton,41,3.541,37,1.866,37,1.831,37,1.588
D,Odoi,4.2,4.2,Fulham,0,0,0,0,0,0,0,0
M,Elneny,4.2,4.2,Arsenal,30,1.954,0,0,22,0.738,23,0.761
G,Macey,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0
G,Steele,3.9,3.9,Brighton,0,0,0,0,0,0,0,0
D,Jagielka,3.9,3.9,Sheffield Utd,3,0.105,4,0.095,4,0.117,4,0.129
D,Ivanovic,4.4,4.4,West Brom,0,0,0,0,0,0,0,0
M,Thiago,5.5,5.5,Liverpool,64,4.439,66,2.394,65,2.302,61,2.278
G,Caprile,4.0,4.0,Leeds,0,0,0,0,0,0,0,0
M,Bogusz,4.3,4.3,Leeds,0,0,0,0,0,0,0,0
D,Inniss,4.0,4.0,Crystal Palace,0,0,0,0,0,0,0,0
M,Benson,4.4,4.4,Burnley,1,0.035,1,0.038,1,0.034,1,0.039
D,Driscoll-Glennon,3.9,3.9,Burnley,0,0,1,0.033,1,0.022,1,0.042
M,Bernabé,4.5,4.5,Man City,0,0,0,0,0,0,0,0
G,Steffen,4.4,4.4,Man City,0,0,0,0,0,0,0,0
F,Delap,4.3,4.3,Man City,0,0,0,0,0,0,0,0
M,Traoré,5.8,5.8,Aston Villa,65,5.774,67,3.272,68,2.732,68,2.695
M,Ünder,5.7,5.7,Leicester,6,0.592,0,0,8,0.318,9,0.404
D,Reguilón,5.6,5.6,Spurs,76,2.802,73,3.847,74,3.325,73,2.447
M,Bale,9.1,9.1,Spurs,69,3.769,72,4.323,69,4.016,68,3.215
M,Gallagher,5.5,5.5,West Brom,79,2.265,59,1.787,60,1.987,63,2.051
D,Hoever,4.4,4.4,Wolves,6,0.199,5,0.113,5,0.145,5,0.129
D,Semedo,5.3,5.3,Wolves,74,2.504,70,1.565,68,2.011,69,1.78
G,Rúnarsson,4.4,4.4,Arsenal,0,0,0,0,0,0,0,0
G,Mendy,5.2,5.2,Chelsea,86,7.171,0,0,78,3.513,86,3.886
D,Llorente,4.4,4.4,Leeds,65,1.65,63,2.164,62,1.931,62,2.603
M,Molumby,4.5,4.5,Brighton,0,0,0,0,0,0,0,0
M,Goodridge,4.5,4.5,Burnley,0,0,0,0,0,0,0,0
M,Palmer,4.4,4.4,Man City,0,0,0,0,0,0,0,0
M,Shabani,4.4,4.4,Wolves,0,0,0,0,0,0,0,0
M,Ramsey,4.5,4.5,Aston Villa,29,2.275,25,1.047,26,0.955,24,0.88
M,Krovinovic,4.9,4.9,West Brom,0,0,0,0,0,0,0,0
D,Dias,6.0,6.0,Man City,76,3.128,74,3.704,64,2.919,75,3.637
M,Lookman,4.8,4.8,Fulham,77,4.129,74,3.442,76,2.923,75,4.081
D,Coufal,4.7,4.7,West Ham,79,2.997,77,2.728,79,3.439,78,3.354
D,Nkounkou,4.0,4.0,Everton,0,0,0,0,0,0,0,0
G,Kelleher,4.5,4.5,Liverpool,0,0,0,0,0,0,0,0
D,Fofana,5.0,5.0,Leicester,70,5.24,0,0,72,1.92,78,2.45
D,Aina,4.4,4.4,Fulham,68,2.72,68,2.14,68,1.466,69,2.857
D,Ait Nouri,5.0,5.0,Wolves,51,1.249,65,1.377,57,1.63,52,1.296
F,Carlos Vinicius,6.9,6.9,Spurs,8,0.428,9,0.5,9,0.498,10,0.472
M,Diallo,4.5,4.5,Southampton,48,2.789,40,1.294,41,1.277,42,1.225
D,Godfrey,5.0,5.0,Everton,77,4.518,76,3.669,76,3.191,75,1.279
M,Partey,4.9,4.9,Arsenal,42,2.88,0,0,38,1.352,42,1.451
D,Telles,5.3,5.3,Man Utd,33,3.899,0,0,9,0.487,18,0.901
F,Cavani,7.9,7.9,Man Utd,60,9.24,0,0,50,2.987,61,3.336
M,Raphinha,5.4,5.4,Leeds,40,1.341,67,2.849,79,3.887,75,4.26
D,Andersen,4.5,4.5,Fulham,86,3.339,82,2.46,83,1.684,82,3.246
D,Adarabioyo,4.5,4.5,Fulham,85,3.327,82,2.486,83,1.729,81,3.195
G,Olsen,4.5,4.5,Everton,0,0,0,0,0,0,0,0
