Pos,Name,BV,SV,Team,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts,27_xMins,27_Pts
M,Özil,6.7,6.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,David Luiz,5.4,5.4,Arsenal,54,2.007,44,1.298,46,1.764,42,1.434,42,1.661,43,0.96,49,1.491,43,1.986
M,Aubameyang,11.3,11.3,Arsenal,82,4.749,80,4.384,79,4.437,78,4.677,76,5.43,76,3.547,75,4.13,72,4.844
D,Cédric,4.6,4.6,Arsenal,3,0.113,6,0.18,5,0.192,6,0.206,7,0.277,7,0.162,8,0.247,7,0.321
F,Lacazette,8.3,8.3,Arsenal,71,3.79,70,3.614,68,3.516,68,3.825,66,4.423,67,2.979,64,3.315,68,4.149
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0,0,0,1,0.023,0,0,0,0
G,Leno,5.0,5.0,Arsenal,69,2.926,69,2.65,68,2.939,68,2.746,67,2.79,67,2.437,66,2.581,67,3.106
M,Xhaka,5.2,5.2,Arsenal,77,2.137,68,1.841,70,1.989,67,1.896,70,2.142,71,1.775,66,1.791,67,2.108
D,Marí,4.4,4.4,Arsenal,11,0.394,36,1.011,36,1.33,39,1.261,33,1.222,41,0.873,37,1.077,39,1.722
D,Bellerín,5.1,5.1,Arsenal,78,3.081,75,2.333,75,3.05,73,2.631,69,2.886,70,1.649,70,2.249,69,3.364
G,Martínez,5.1,4.8,Aston Villa,89,3.85,88,3.46,87,3.538,87,3.345,86,3.459,86,3.277,86,3.226,86,3.637
D,Chambers,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,1,0.031,1,0.046
D,Kolasinac,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Maitland-Niles,4.6,4.6,Arsenal,6,0.225,10,0.301,9,0.348,12,0.413,16,0.629,14,0.326,14,0.434,15,0.688
D,Holding,4.5,4.5,Arsenal,83,3.077,79,2.316,74,2.871,75,2.549,77,3.023,76,1.686,72,2.193,76,3.531
D,Tierney,5.4,5.4,Arsenal,83,3.336,79,2.505,81,3.373,78,2.867,76,3.239,76,1.829,75,2.463,72,3.589
M,Pépé,7.6,7.6,Arsenal,14,0.727,13,0.642,15,0.752,15,0.793,14,0.857,16,0.697,16,0.79,17,0.985
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Willock,4.7,4.7,Arsenal,5,0.245,6,0.282,5,0.237,6,0.298,5,0.286,6,0.25,6,0.28,8,0.431
M,Nelson,5.1,5.1,Arsenal,0,0,0,0,1,0.049,1,0.051,1,0.059,1,0.043,2,0.093,2,0.111
F,Nketiah,5.5,5.5,Arsenal,9,0.523,9,0.503,9,0.503,8,0.478,10,0.693,11,0.539,11,0.607,11,0.699
M,Smith Rowe,4.5,4.5,Arsenal,66,2.749,65,2.569,65,2.641,64,2.705,64,3.123,63,2.218,62,2.446,62,2.912
M,Saka,5.3,5.3,Arsenal,76,3.737,75,3.512,73,3.53,72,3.65,72,4.268,69,2.789,70,3.263,69,3.894
M,Guendouzi,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Martinelli,4.9,4.9,Arsenal,16,0.857,20,1.022,22,1.148,24,1.289,24,1.528,25,1.104,26,1.31,26,1.568
D,Saliba,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Heaton,4.5,4.5,Aston Villa,0,0,1,0.039,1,0.04,1,0.038,2,0.08,2,0.076,1,0.037,2,0.083
D,El Mohamady,4.3,4.3,Aston Villa,4,0.187,7,0.259,6,0.255,7,0.247,8,0.321,11,0.382,10,0.344,11,0.479
M,Lansbury,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Taylor,4.2,4.2,Aston Villa,2,0.077,5,0.154,7,0.243,8,0.235,9,0.299,10,0.29,8,0.222,13,0.468
G,Steer,4.0,4.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Hourihane,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Jota,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
