Pos,Name,BV,SV,Team,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts
M,Özil,6.7,6.7,Arsenal,0,0,0,0,0,0,0,0,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0
D,David Luiz,5.4,5.4,Arsenal,0,0,38,1.463,56,3.801,73,0,71,2.815
M,Aubameyang,11.3,11.3,Arsenal,0,0,28,2.081,41,5.367,35,0,59,4.032
D,Cédric,4.6,4.6,Arsenal,46,1.874,7,0.288,47,3.426,62,0,33,1.401
F,Lacazette,8.4,8.4,Arsenal,0,0,25,1.813,38,4.789,58,0,64,4.086
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0,0,0
G,Leno,5.0,5.0,Arsenal,83,3.54,80,3.429,78,6.455,1,0,71,3.136
M,Xhaka,5.2,5.2,Arsenal,75,2.335,73,2.318,72,4.322,57,0,71,2.226
D,Marí,4.4,4.4,Arsenal,46,1.748,33,1.282,25,1.725,19,0,21,0.845
D,Bellerín,5.0,5.0,Arsenal,38,1.531,35,1.438,36,2.611,26,0,37,1.565
G,Martínez,5.4,5.4,Aston Villa,88,3.877,87,3.283,86,6.574,85,3.567,86,3.1
D,Chambers,4.5,4.5,Arsenal,47,1.935,51,2.167,49,3.661,33,0,48,2.09
D,Kolasinac,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0
D,Maitland-Niles,4.6,4.6,West Brom,76,2.19,73,2.535,70,1.575,71,1.419,69,2.12
D,Holding,4.2,4.2,Arsenal,82,3.086,76,2.936,76,5.203,10,0,52,2.106
D,Tierney,5.2,5.2,Arsenal,0,0,0,0,0,0,0,0,38,1.651
M,Pépé,7.6,7.6,Arsenal,64,3.779,69,4.362,69,7.765,3,0,20,1.242
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0
M,Willock,4.7,4.7,Newcastle,37,1.209,40,1.456,38,1.298,41,1.324,42,1.807
M,Nelson,5.1,5.1,Arsenal,0,0,0,0,0,0,0,0,0,0
F,Nketiah,5.3,5.3,Arsenal,66,3.672,27,1.717,18,2.093,8,0,15,0.915
M,Smith Rowe,4.2,4.2,Arsenal,64,3.025,63,3.161,62,5.638,0,0,30,1.482
M,Saka,5.1,5.1,Arsenal,74,3.382,71,3.527,69,6.223,4,0,57,2.742
M,Guendouzi,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0
M,Martinelli,4.9,4.9,Arsenal,66,3.365,64,3.51,41,4.161,27,0,37,1.989
D,Saliba,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0
G,Heaton,4.5,4.5,Aston Villa,1,0.043,1,0.037,1,0.075,1,0.041,2,0.071
D,El Mohamady,4.3,4.3,Aston Villa,75,3.359,11,0.343,14,0.89,14,0.559,15,0.407
M,Lansbury,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0
D,Taylor,4.2,4.2,Aston Villa,3,0.113,6,0.163,5,0.276,6,0.205,6,0.142
G,Steer,3.9,3.9,Aston Villa,0,0,0,0,0,0,0,0,0,0
M,Hourihane,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0
M,Jota,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0
G,Nyland,4.0,4.0,Aston Villa,0,0,0,0,0,0,0,0,0,0
D,Engels,4.4,4.4,Aston Villa,1,0.042,1,0.029,2,0.12,1,0.037,2,0.052
M,Grealish,7.5,7.5,Aston Villa,0,0,0,0,24,2.403,34,1.833,0,0
M,McGinn,5.5,5.5,Aston Villa,82,3.182,79,2.58,80,5.325,77,2.752,77,2.467
D,Hause,4.4,4.4,Aston Villa,12,0.52,13,0.393,14,0.86,15,0.575,16,0.421
M,Trézéguet,5.2,5.2,Aston Villa,0,0,0,0,0,0,0,0,0,0
D,Mings,5.4,5.4,Aston Villa,86,3.503,83,2.262,82,4.559,80,2.853,80,1.857
D,Targett,5.0,5.0,Aston Villa,85,3.756,83,2.451,82,4.942,79,3.054,80,2.031
D,Bree,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0
M,Nakamba,4.3,4.3,Aston Villa,31,1.046,32,0.982,32,1.986,33,1.07,32,0.96
M,El Ghazi,5.2,5.2,Aston Villa,66,4.227,61,3.076,56,5.85,53,3.037,48,2.367
D,Konsa,4.7,4.7,Aston Villa,86,3.523,84,2.283,83,4.605,81,2.875,82,1.901
D,Guilbert,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0
F,Wesley,6.0,6.0,Aston Villa,10,0.608,23,1.142,13,1.351,14,0.769,15,0.743
F,Samatta,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0
F,Davis,4.2,4.2,Aston Villa,12,0.61,12,0.525,12,1.071,13,0.608,14,0.599
F,Vassilev,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0
M,Douglas Luiz,4.8,4.8,Aston Villa,78,2.556,75,2.179,74,4.381,73,2.302,73,2.076
F,Murray,4.8,4.8,Brighton,0,0,0,0,0,0,0,0,0,0
M,Lallana,6.2,6.2,Brighton,66,2.834,60,2.394,60,2.254,57,2.271,59,1.957
M,Stephens,4.2,4.2,Burnley,4,0.15,6,0.242,5,0.191,6,0.244,7,0.252
G,Button,3.9,3.9,West Brom,0,0,0,0,0,0,1,0.035,1,0.038
M,Groß,5.8,5.8,Brighton,68,3.518,67,3.276,67,2.942,65,3.126,66,2.475
D,Duffy,4.3,4.3,Brighton,0,0,0,0,0,0,0,0,0,0
M,Pröpper,4.7,4.7,Brighton,15,0.58,15,0.54,14,0.491,15,0.54,14,0.454
M,Mooy,5.0,5.0,Brighton,0,0,0,0,0,0,0,0,0,0
D,Burn,4.2,4.2,Brighton,78,3.907,72,2.522,71,2.676,70,2.671,71,1.616
D,Dunk,4.9,4.9,Brighton,83,4.325,82,2.935,81,3.118,78,3.052,79,1.765
D,Montoya,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0
F,Andone,4.8,4.8,Brighton,0,0,4,0.225,8,0.401,12,0.647,12,0.525
M,March,4.9,4.9,Brighton,0,0,0,0,0,0,0,0,0,0
D,Webster,4.3,4.3,Brighton,81,3.931,79,2.628,78,2.852,76,2.773,77,1.699
D,Veltman,4.4,4.4,Brighton,79,4.073,78,2.805,78,3.025,75,2.944,77,1.783
F,Maupay,6.0,6.0,Brighton,67,3.899,66,3.793,66,3.297,64,3.563,65,2.757
M,Trossard,5.7,5.7,Brighton,70,3.719,69,3.431,69,3.123,67,3.281,68,2.597
G,Ryan,4.1,4.1,Arsenal,6,0.251,7,0.295,6,0.489,4,0,8,0.347
M,Jahanbakhsh,5.4,5.4,Brighton,11,0.561,10,0.489,10,0.441,11,0.526,12,0.47
M,Izquierdo,5.5,5.5,Brighton,0,0,0,0,0,0,0,0,0,0
D,Clarke,4.4,4.4,Brighton,0,0,0,0,0,0,0,0,0,0
D,White,4.5,4.5,Brighton,0,0,74,2.357,74,2.62,76,2.681,74,1.575
D,Bernardo,3.9,3.9,Brighton,0,0,0,0,0,0,0,0,0,0
M,Bissouma,4.4,4.4,Brighton,80,2.712,75,2.32,75,2.265,74,2.315,73,1.964
D,Lamptey,4.6,4.6,Brighton,0,0,0,0,0,0,0,0,0,0
F,Connolly,5.2,5.2,Brighton,16,0.869,13,0.697,13,0.629,15,0.78,15,0.639
M,Alzate,4.2,4.2,Brighton,6,0.253,3,0.119,6,0.226,6,0.235,6,0.207
M,Mac Allister,5.3,5.3,Brighton,44,2.142,41,1.879,44,1.83,41,1.834,45,1.635
D,Tarkowski,5.3,5.3,Burnley,88,2.62,85,2.432,83,2.436,83,2.192,80,1.501
D,Bardsley,4.4,4.4,Burnley,1,0.03,2,0.057,2,0.058,3,0.079,5,0.095
D,Pieters,4.3,4.3,Burnley,39,1.181,38,1.116,44,1.322,43,1.166,45,0.881
M,Cork,5.0,5.0,Burnley,35,1.126,39,1.301,38,1.243,42,1.394,43,1.307
D,Long,4.3,4.3,Burnley,0,0,0,0,0,0,0,0,0,0
F,Rodriguez,5.8,5.8,Burnley,28,1.215,32,1.522,33,1.448,35,1.696,32,1.31
F,Barnes,6.0,6.0,Burnley,0,0,0,0,0,0,0,0,0,0
D,Mee,4.8,4.8,Burnley,87,2.607,85,2.436,84,2.478,81,2.14,79,1.483
M,Westwood,5.3,5.3,Burnley,84,2.507,79,2.49,80,2.44,78,2.477,77,2.182
M,Gudmundsson,5.4,5.4,Burnley,67,2.474,66,2.586,66,2.473,64,2.534,63,2.16
F,Wood,6.3,6.3,Burnley,72,3.677,71,4.11,69,3.643,68,4.072,68,3.192
D,Lowton,4.4,4.4,Burnley,86,2.629,84,2.492,83,2.529,81,2.224,82,1.602
F,Vydra,4.8,4.8,Burnley,57,2.538,56,2.795,57,2.601,55,2.832,56,2.343
D,Gibson,3.9,3.9,Burnley,0,0,0,0,0,0,0,0,0,0
M,Brady,5.0,5.0,Burnley,0,0,0,0,0,0,0,0,0,0
G,Pope,5.5,5.5,Burnley,63,2.544,88,3.466,86,3.444,87,3.349,85,3.089
D,Taylor,4.4,4.4,Burnley,57,1.768,61,1.79,59,1.789,59,1.598,59,1.158
M,Brownhill,4.9,4.9,Burnley,77,2.523,76,2.631,74,2.463,72,2.52,72,2.216
G,Peacock-Farrell,4.0,4.0,Burnley,26,1.02,1,0.038,2,0.078,1,0.037,4,0.141
M,McNeil,5.7,5.7,Burnley,84,2.877,82,3.001,80,2.816,78,2.895,79,2.533
G,Caballero,4.6,4.6,Chelsea,0,0,0,0,0,0,0,0,0,0
D,Azpilicueta,5.9,5.9,Chelsea,69,3.035,68,3.557,68,4.77,5,0,68,2.953
F,Giroud,6.7,6.7,Chelsea,11,0.683,8,0.549,10,1.159,8,0,10,0.631
D,Alonso,5.7,5.7,Chelsea,39,2.229,54,3.67,40,3.664,1,0,44,2.493
M,Jorginho,4.7,4.7,Chelsea,68,2.67,65,2.848,63,4.535,32,0,58,2.315
M,Barkley,5.8,5.8,Aston Villa,35,1.863,38,1.645,37,3.299,38,1.824,38,1.606
M,Kovacic,5.3,5.3,Chelsea,0,0,22,0.882,35,2.397,58,0,54,1.936
F,Batshuayi,5.7,5.7,Crystal Palace,7,0.31,7,0.323,7,0.798,8,0.454,8,0.415
D,Rüdiger,4.7,4.7,Chelsea,79,3.359,77,3.909,77,5.13,1,0,73,3.05
D,Zouma,5.3,5.3,Chelsea,50,2.225,48,2.52,47,3.331,41,0,52,2.27
D,Emerson,4.7,4.7,Chelsea,0,0,0,0,0,0,0,0,0,0
G,Arrizabalaga,4.7,4.7,Chelsea,12,0.519,12,0.573,11,0.867,3,0,11,0.473
M,Kanté,4.9,4.9,Chelsea,47,1.562,39,1.434,36,2.3,21,0,28,0.968
M,Ziyech,7.9,7.9,Chelsea,41,2.081,38,2.149,38,3.529,27,0,36,1.843
M,Loftus-Cheek,5.9,5.9,Fulham,0,0,0,0,62,2.687,62,2.433,62,2.103
D,Christensen,4.7,4.7,Chelsea,49,2.001,57,2.78,57,3.739,52,0,58,2.356
F,Werner,9.2,9.2,Chelsea,50,2.955,49,3.192,49,5.35,3,0,16,1.008
F,Abraham,7.1,7.1,Chelsea,4,0.274,5,0.376,5,0.632,3,0,4,0.276
M,Pulisic,8.3,8.3,Chelsea,58,3.218,59,3.649,57,5.754,42,0,56,3.129
M,Mount,7.2,7.2,Chelsea,70,3.755,79,4.699,78,7.472,2,0,22,1.236
D,Tomori,4.7,4.7,Chelsea,0,0,0,0,0,0,0,0,0,0
M,Hudson-Odoi,5.7,5.7,Chelsea,31,1.474,32,1.671,31,2.726,26,0,34,1.62
D,James,5.0,5.0,Chelsea,62,3.253,61,3.782,62,5.212,10,0,63,3.271
M,Gilmour,4.3,4.3,Chelsea,1,0.037,1,0.039,0,0,0,0,1,0.037
D,Cahill,4.5,4.5,Crystal Palace,44,1.016,69,1.332,67,4.869,67,2.272,64,1.805
G,Hennessey,4.3,4.3,Crystal Palace,0,0,0,0,0,0,0,0,0,0
