Pos,Name,BV,SV,Team,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts
M,Özil,6.8,6.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Sokratis,4.9,4.9,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,David Luiz,5.5,5.5,Arsenal,77,2.538,74,3.023,72,1.994,72,3.361,71,2.856,70,2.149,68,1.981,72,2.771
M,Aubameyang,11.7,11.7,Arsenal,83,5.304,82,5.174,77,4.125,76,5.652,76,5.252,75,4.502,76,4.444,75,4.916
D,Cédric,4.7,4.7,Arsenal,1,0.037,3,0.132,3,0.094,4,0.201,6,0.263,5,0.173,6,0.197,5,0.212
F,Lacazette,8.4,8.4,Arsenal,52,3.033,49,2.762,50,2.468,49,3.196,50,3.081,54,2.946,49,2.638,48,2.82
D,Mustafi,5.0,5.0,Arsenal,15,0.509,16,0.67,11,0.317,13,0.619,12,0.496,13,0.414,14,0.424,12,0.475
G,Leno,5.0,5.0,Arsenal,88,3.566,87,3.879,87,3.33,85,3.977,85,3.697,85,3.371,86,3.327,85,3.647
M,Xhaka,5.3,5.3,Arsenal,58,1.735,51,1.62,52,1.461,51,1.767,52,1.693,52,1.531,47,1.384,50,1.579
D,Marí,4.4,4.4,Arsenal,0,0,4,0.153,8,0.214,7,0.302,9,0.338,7,0.204,10,0.277,10,0.36
D,Bellerín,5.1,5.1,Arsenal,86,3.168,84,3.767,83,2.545,81,4.121,78,3.441,78,2.673,76,2.461,76,3.233
G,Martínez,4.8,4.7,Aston Villa,89,3.581,88,3.359,88,3.741,88,3.43,87,3.749,87,3.596,85,3.605,86,3.031
D,Chambers,4.5,4.5,Arsenal,0,0,10,0.43,14,0.42,22,1.092,22,0.947,21,0.7,24,0.758,26,1.073
D,Kolasinac,4.8,4.8,Arsenal,2,0.067,3,0.122,4,0.115,3,0.137,5,0.2,5,0.157,4,0.119,4,0.154
D,Maitland-Niles,4.8,4.8,Arsenal,11,0.407,13,0.573,15,0.466,14,0.701,13,0.569,11,0.379,16,0.523,15,0.631
D,Holding,4.4,4.4,Arsenal,71,2.383,68,2.829,63,1.801,60,2.837,61,2.496,60,1.893,59,1.767,60,2.362
D,Tierney,5.4,5.4,Arsenal,71,2.621,70,3.157,66,2.059,67,3.405,66,2.886,65,2.258,67,2.152,64,2.73
M,Pépé,7.6,7.6,Arsenal,27,1.528,27,1.513,30,1.456,29,1.865,31,1.865,30,1.596,29,1.519,32,1.854
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Willock,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
