Pos,Name,BV,SV,Team,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,Özil,6.7,6.7,Arsenal,0,,0,,0,0,0,,0,
D,Sokratis,4.8,4.8,Arsenal,0,,0,,0,0,0,,0,
D,David Luiz,5.4,5.4,Arsenal,12,0.471,37,2.637,0,0,74,3.076,72,2.781
M,Aubameyang,11.3,11.3,Arsenal,10,0.794,31,4.346,0,0,57,4.181,55,3.855
D,Cédric,4.6,4.6,Arsenal,56,2.261,57,4.131,0,0,31,1.326,20,0.794
F,Lacazette,8.4,8.4,Arsenal,12,0.889,31,3.999,0,0,62,4.036,64,3.995
D,Mustafi,5.0,5.0,Arsenal,0,,0,,0,0,0,,0,
G,Leno,5.0,5.0,Arsenal,88,3.718,87,7.145,0,0,86,3.777,86,3.647
M,Xhaka,5.2,5.2,Arsenal,81,2.473,77,4.571,0,0,73,2.289,70,2.149
D,Marí,4.4,4.4,Arsenal,57,2.123,45,3.05,0,0,30,1.201,30,1.115
D,Bellerín,5.0,5.0,Arsenal,23,0.922,22,1.592,0,0,20,0.848,21,0.83
G,Martínez,5.4,5.4,Aston Villa,89,3.358,88,6.706,88,3.705,88,3.168,87,3.15
D,Chambers,4.5,4.5,Arsenal,63,2.602,65,4.849,0,0,59,2.59,59,2.409
D,Kolasinac,4.8,4.8,Arsenal,0,,0,,0,0,0,,0,
D,Maitland-Niles,4.6,4.6,West Brom,77,2.617,77,1.704,76,1.49,74,2.218,73,1.774
D,Holding,4.2,4.2,Arsenal,76,2.819,71,4.812,0,0,60,2.417,59,2.203
D,Tierney,5.2,5.2,Arsenal,0,0,0,0,0,0,44,1.905,62,2.496
M,Pépé,7.6,7.6,Arsenal,61,4.182,57,7.005,0,0,57,3.738,54,3.396
M,Torreira,4.7,4.7,Arsenal,0,,0,,0,0,0,,0,
M,Willock,4.7,4.7,Newcastle,0,0,40,1.42,42,1.387,40,1.817,38,1.44
M,Nelson,5.1,5.1,Arsenal,0,0,0,0,0,0,0,0,0,0
F,Nketiah,5.3,5.3,Arsenal,60,3.667,40,4.533,0,0,15,0.932,14,0.844
M,Smith Rowe,4.2,4.2,Arsenal,42,2.157,40,3.767,0,0,36,1.793,38,1.831
M,Saka,5.1,5.1,Arsenal,68,3.25,66,5.876,0,0,56,2.662,54,2.483
M,Guendouzi,4.7,4.7,Arsenal,0,,0,,0,0,0,,0,
M,Martinelli,4.9,4.9,Arsenal,48,2.668,42,4.287,0,0,27,1.48,27,1.425
D,Saliba,4.0,4.0,Arsenal,0,,0,,0,0,0,,0,
G,Heaton,4.5,4.5,Aston Villa,0,0,1,0.075,1,0.041,0,0,2,0.072
D,El Mohamady,4.3,4.3,Aston Villa,12,0.37,17,1.071,19,0.767,18,0.482,20,0.532
M,Lansbury,4.3,4.3,Aston Villa,0,,0,,0,,0,,0,
D,Taylor,4.2,4.2,Aston Villa,3,0.079,4,0.213,4,0.134,6,0.136,5,0.115
G,Steer,3.9,3.9,Aston Villa,0,0,0,0,0,0,0,0,0,0
M,Hourihane,5.9,5.9,Aston Villa,0,,0,,0,,0,,0,
M,Jota,5.9,5.9,Aston Villa,0,,0,,0,,0,,0,
G,Nyland,4.0,4.0,Aston Villa,0,,0,,0,,0,,0,
D,Engels,4.4,4.4,Aston Villa,0,0,0,0,1,0.037,1,0.025,2,0.051
M,Grealish,7.5,7.5,Aston Villa,0,,0,,0,,0,,0,
M,McGinn,5.5,5.5,Aston Villa,87,2.807,86,5.6,82,2.899,82,2.569,79,2.427
D,Hause,4.4,4.4,Aston Villa,2,0.057,9,0.521,12,0.439,12,0.296,18,0.441
M,Trézéguet,5.2,5.2,Aston Villa,0,,0,,0,,0,,0,
D,Mings,5.4,5.4,Aston Villa,89,2.38,86,4.701,84,3.005,83,1.885,81,1.851
D,Targett,5.0,5.0,Aston Villa,87,2.542,86,5.147,84,3.282,84,2.103,80,2
D,Bree,4.5,4.5,Aston Villa,0,,0,,0,,0,,0,
M,Nakamba,4.3,4.3,Aston Villa,25,0.777,30,1.861,28,0.915,28,0.842,33,0.974
M,El Ghazi,5.2,5.2,Aston Villa,68,3.389,64,6.586,66,3.746,64,3.053,64,2.883
