Pos,Name,BV,SV,Team,38_xMins,38_Pts
M,Özil,6.7,6.7,Arsenal,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0
D,David Luiz,5.4,5.4,Arsenal,32,1.328
M,Aubameyang,11.3,11.3,Arsenal,67,5.655
D,Cédric,4.6,4.6,Arsenal,2,0.082
F,Lacazette,8.4,8.4,Arsenal,38,2.855
D,Mustafi,5.0,5.0,Arsenal,0,0
G,Leno,5.0,5.0,Arsenal,88,3.791
M,Xhaka,5.2,5.2,Arsenal,68,2.238
D,Marí,4.4,4.4,Arsenal,24,0.957
D,Bellerín,5.0,5.0,Arsenal,0,0
G,Martínez,5.4,5.4,Aston Villa,88,3.098
D,Chambers,4.5,4.5,Arsenal,76,3.485
D,Kolasinac,4.8,4.8,Arsenal,0,0
D,Maitland-Niles,4.6,4.6,West Brom,68,1.291
D,Holding,4.3,4.2,Arsenal,79,3.104
D,Tierney,5.2,5.2,Arsenal,83,3.853
M,Pépé,7.7,7.7,Arsenal,63,4.062
M,Torreira,4.7,4.7,Arsenal,0,0
M,Willock,4.9,4.9,Newcastle,79,3.144
M,Nelson,5.1,5.1,Arsenal,0,0
F,Nketiah,5.3,5.3,Arsenal,0,0
M,Smith Rowe,4.2,4.2,Arsenal,69,3.587
M,Saka,5.1,5.1,Arsenal,64,3.381
M,Guendouzi,4.7,4.7,Arsenal,0,0
M,Martinelli,4.9,4.9,Arsenal,44,2.63
D,Saliba,4.0,4.0,Arsenal,0,0
G,Heaton,4.5,4.5,Aston Villa,0,0
D,El Mohamady,4.2,4.2,Aston Villa,65,1.322
M,Lansbury,4.3,4.3,Aston Villa,0,0
D,Taylor,4.2,4.2,Aston Villa,1,0.02
G,Steer,3.9,3.9,Aston Villa,0,0
M,Hourihane,5.9,5.9,Aston Villa,0,0
M,Jota,5.9,5.9,Aston Villa,0,0
G,Nyland,4.0,4.0,Aston Villa,0,0
D,Engels,4.4,4.4,Aston Villa,0,0
M,Grealish,7.5,7.5,Aston Villa,80,3.07
M,McGinn,5.5,5.5,Aston Villa,86,2.351
D,Hause,4.4,4.4,Aston Villa,30,0.652
M,Trézéguet,5.2,5.2,Aston Villa,0,0
D,Mings,5.4,5.4,Aston Villa,82,1.519
D,Targett,5.0,5.0,Aston Villa,86,1.727
D,Bree,4.5,4.5,Aston Villa,0,0
M,Nakamba,4.3,4.3,Aston Villa,12,0.352
M,El Ghazi,5.2,5.2,Aston Villa,67,2.769
D,Konsa,4.7,4.7,Aston Villa,86,1.614
