Pos,Name,BV,SV,Team,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,Özil,6.7,6.7,Arsenal,0,,0,0,0,,0,
D,Sokratis,4.8,4.8,Arsenal,0,,0,0,0,,0,
D,David Luiz,5.4,5.4,Arsenal,77,5.254,0,0,73,2.993,73,2.768
M,Aubameyang,11.3,11.3,Arsenal,55,7.11,0,0,59,4.093,50,3.305
D,Cédric,4.6,4.6,Arsenal,6,0.421,0,0,8,0.332,8,0.309
F,Lacazette,8.4,8.4,Arsenal,64,7.187,0,0,62,3.739,63,3.618
D,Mustafi,5.0,5.0,Arsenal,0,,0,0,0,,0,
G,Leno,5.0,5.0,Arsenal,83,6.744,0,0,86,3.767,85,3.602
M,Xhaka,5.2,5.2,Arsenal,74,4.284,0,0,75,2.277,74,2.187
D,Marí,4.4,4.4,Arsenal,30,1.961,0,0,34,1.335,30,1.09
D,Bellerín,5.0,5.0,Arsenal,20,1.405,0,0,20,0.838,20,0.777
G,Martínez,5.4,5.4,Aston Villa,89,6.798,88,3.719,87,3.125,87,3.158
D,Chambers,4.5,4.5,Arsenal,61,4.396,0,0,58,2.504,58,2.316
D,Kolasinac,4.8,4.8,Arsenal,0,,0,0,0,,0,
D,Maitland-Niles,4.6,4.6,West Brom,77,1.796,72,1.439,74,2.299,74,1.861
D,Holding,4.3,4.2,Arsenal,58,3.818,0,0,58,2.305,60,2.199
D,Tierney,5.2,5.2,Arsenal,85,6.423,0,0,82,3.726,81,3.405
M,Pépé,7.6,7.6,Arsenal,55,5.903,0,0,52,3.003,56,3.061
M,Torreira,4.7,4.7,Arsenal,0,,0,0,0,,0,
M,Willock,4.7,4.7,Newcastle,38,1.362,44,1.467,45,2.094,43,1.644
M,Nelson,5.1,5.1,Arsenal,0,0,0,0,0,0,0,0
F,Nketiah,5.3,5.3,Arsenal,15,1.681,0,0,16,0.946,16,0.91
M,Smith Rowe,4.2,4.2,Arsenal,35,3.116,0,0,35,1.65,36,1.627
