Pos,Name,BV,SV,Team,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts
M,Özil,6.7,6.7,Arsenal,0,0,0,0,0,0,0,0,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0
D,David Luiz,5.4,5.4,Arsenal,0,0,0,0,40,1.754,51,2.461,70,1.787
M,Aubameyang,11.3,11.3,Arsenal,34,2.286,61,4.002,60,4.178,59,4.493,61,2.996
D,Cédric,4.6,4.6,Arsenal,80,3.715,74,3.094,71,3.298,71,3.645,71,1.917
F,Lacazette,8.3,8.3,Arsenal,74,4.737,73,4.717,70,4.786,69,5.142,68,3.315
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0,0,0
G,Leno,5.0,5.0,Arsenal,89,4.118,88,3.848,87,4.021,88,4.286,87,3.27
M,Xhaka,5.2,5.2,Arsenal,80,2.572,79,2.432,76,2.47,75,2.591,73,1.928
D,Marí,4.4,4.4,Arsenal,64,2.772,66,2.586,46,2.014,42,2.021,35,0.913
D,Bellerín,5.0,5.0,Arsenal,10,0.463,11,0.462,13,0.604,16,0.817,11,0.307
G,Martínez,5.4,5.4,Aston Villa,90,3.162,88,4.004,88,3.411,87,3.205,88,3.879
D,Chambers,4.5,4.5,Arsenal,80,3.796,79,3.41,76,3.654,74,3.94,77,2.125
D,Kolasinac,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0
D,Maitland-Niles,4.6,4.6,West Brom,52,1.287,75,1.989,73,2.482,71,1.501,72,1.375
D,Holding,4.2,4.2,Arsenal,80,3.53,78,3.114,65,2.886,64,3.12,58,1.526
D,Tierney,5.2,5.2,Arsenal,0,0,0,0,0,0,0,0,0,0
M,Pépé,7.6,7.6,Arsenal,66,4.019,60,3.635,58,3.726,60,4.191,57,2.613
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0
M,Willock,4.7,4.7,Newcastle,45,1.688,45,1.415,46,1.58,46,1.516,48,1.472
M,Nelson,5.1,5.1,Arsenal,0,0,0,0,0,0,0,0,0,0
F,Nketiah,5.3,5.3,Arsenal,10,0.595,9,0.537,10,0.62,9,0.598,9,0.432
M,Smith Rowe,4.2,4.2,Arsenal,34,1.76,26,1.32,27,1.434,26,1.483,23,0.94
M,Saka,5.1,5.1,Arsenal,63,3.17,55,2.793,59,3.133,57,3.265,57,2.272
M,Guendouzi,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0
M,Martinelli,4.9,4.9,Arsenal,19,1.048,12,0.666,13,0.757,14,0.872,15,0.66
D,Saliba,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0
G,Heaton,4.5,4.5,Aston Villa,0,0,0,0,0,0,1,0.036,0,0
D,El Mohamady,4.3,4.3,Aston Villa,5,0.105,11,0.534,10,0.339,14,0.409,17,0.764
M,Lansbury,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0
D,Taylor,4.2,4.2,Aston Villa,0,0,1,0.041,2,0.059,2,0.051,2,0.076
G,Steer,3.9,3.9,Aston Villa,0,0,0,0,0,0,1,0.037,0,0
M,Hourihane,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0
M,Jota,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0
G,Nyland,4.0,4.0,Aston Villa,0,0,0,0,0,0,0,0,0,0
D,Engels,4.4,4.4,Aston Villa,0,0,0,0,0,0,1,0.027,2,0.082
M,Grealish,7.5,7.5,Aston Villa,0,0,42,2.554,63,2.955,78,3.386,78,4.124
M,McGinn,5.5,5.5,Aston Villa,87,2.507,82,3.405,82,2.784,82,2.699,77,2.971
D,Hause,4.4,4.4,Aston Villa,4,0.08,9,0.413,13,0.419,18,0.499,17,0.719
M,Trézéguet,5.2,5.2,Aston Villa,0,0,0,0,0,0,0,0,0,0
D,Mings,5.4,5.4,Aston Villa,87,1.423,86,3.769,83,2.449,81,2.015,81,3.252
D,Targett,5.0,5.0,Aston Villa,88,1.588,85,4.077,83,2.683,81,2.223,79,3.461
D,Bree,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0
M,Nakamba,4.3,4.3,Aston Villa,27,0.774,21,0.751,19,0.608,16,0.504,18,0.616
M,El Ghazi,5.2,5.2,Aston Villa,70,2.966,48,3.344,39,2.149,35,1.848,35,2.205
D,Konsa,4.7,4.7,Aston Villa,88,1.511,85,3.718,84,2.48,82,2.042,82,3.296
D,Guilbert,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0
F,Wesley,6.0,6.0,Aston Villa,3,0.135,10,0.624,16,0.823,19,0.945,19,1.065
F,Samatta,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0
F,Davis,4.2,4.2,Aston Villa,29,1.117,16,0.842,12,0.546,8,0.359,9,0.444
F,Vassilev,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0
M,Douglas Luiz,4.8,4.8,Aston Villa,78,1.971,71,2.552,69,2.114,71,2.097,69,2.324
F,Murray,4.8,4.8,Brighton,0,0,0,0,0,0,0,0,0,0
M,Lallana,6.2,6.2,Brighton,62,2.065,60,2.607,62,2.498,62,2.321,63,2.497
M,Stephens,4.2,4.2,Burnley,1,0.03,1,0.031,2,0.064,3,0.095,2,0.064
G,Button,3.9,3.9,West Brom,0,0,0,0,0,0,1,0.035,0,0
M,Groß,5.8,5.8,Brighton,69,2.516,65,3.411,67,3.312,70,3.035,64,3.082
D,Duffy,4.3,4.3,Brighton,0,0,0,0,0,0,0,0,0,0
M,Pröpper,4.7,4.7,Brighton,9,0.3,9,0.357,10,0.375,8,0.288,11,0.409
M,Mooy,5.0,5.0,Brighton,0,0,0,0,0,0,0,0,0,0
D,Burn,4.2,4.2,Brighton,55,1.335,59,2.831,59,2.167,57,2.152,56,2.127
D,Dunk,5.0,5.0,Brighton,86,2.094,82,4.134,81,3.066,81,3.12,80,3.123
D,Montoya,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0
F,Andone,4.8,4.8,Brighton,0,0,6,0.347,11,0.614,12,0.593,11,0.593
M,March,4.9,4.9,Brighton,0,0,0,0,0,0,0,0,0,0
D,Webster,4.3,4.3,Brighton,86,2.03,83,3.832,82,2.848,80,2.914,82,2.972
D,Veltman,4.4,4.4,Brighton,67,1.69,69,3.444,70,2.655,65,2.528,67,2.622
F,Maupay,6.0,6.0,Brighton,72,2.98,70,4.135,65,3.749,66,3.266,65,3.596
M,Trossard,5.7,5.7,Brighton,75,2.809,74,3.939,71,3.573,70,3.157,71,3.466
G,Ryan,4.1,4.1,Arsenal,0,0,1,0.043,2,0.091,1,0.048,2,0.074
M,Jahanbakhsh,5.4,5.4,Brighton,15,0.577,15,0.765,15,0.731,16,0.697,17,0.797
M,Izquierdo,5.5,5.5,Brighton,0,0,0,0,0,0,0,0,0,0
D,Clarke,4.4,4.4,Brighton,0,0,0,0,0,0,0,0,0,0
D,White,4.5,4.5,Brighton,69,1.621,68,3.043,70,2.337,70,2.467,68,2.386
D,Bernardo,3.9,3.9,Brighton,0,0,0,0,0,0,0,0,0,0
M,Bissouma,4.4,4.4,Brighton,79,2.073,76,2.564,79,2.435,73,2.2,74,2.301
D,Lamptey,4.6,4.6,Brighton,0,0,0,0,0,0,0,0,0,0
F,Connolly,5.2,5.2,Brighton,9,0.38,23,1.223,21,1.094,22,1.022,22,1.104
M,Alzate,4.2,4.2,Brighton,4,0.138,6,0.252,7,0.279,7,0.263,6,0.235
M,Mac Allister,5.3,5.3,Brighton,37,1.375,39,1.91,35,1.63,37,1.548,39,1.75
D,Tarkowski,5.3,5.3,Burnley,89,1.548,83,2.397,83,2.381,84,2.484,82,2.232
D,Bardsley,4.4,4.4,Burnley,0,0,0,0,2,0.057,0,0,1,0.027
D,Pieters,4.3,4.3,Burnley,59,1.079,55,1.671,52,1.572,53,1.647,59,1.695
M,Cork,5.0,5.0,Burnley,19,0.569,20,0.645,24,0.783,26,0.833,25,0.817
D,Long,4.3,4.3,Burnley,0,0,5,0.151,9,0.269,10,0.306,13,0.369
F,Rodriguez,5.8,5.8,Burnley,24,0.98,27,1.209,29,1.399,32,1.418,34,1.694
F,Barnes,6.0,6.0,Burnley,0,0,0,0,0,0,0,0,0,0
D,Mee,4.8,4.8,Burnley,88,1.516,86,2.485,82,2.345,84,2.479,83,2.244
M,Westwood,5.3,5.3,Burnley,85,2.302,84,2.492,81,2.509,80,2.415,79,2.478
M,Gudmundsson,5.4,5.4,Burnley,71,2.262,67,2.402,66,2.48,66,2.383,65,2.485
F,Wood,6.3,6.3,Burnley,81,3.422,79,3.869,77,4.194,76,3.784,74,4.246
D,Lowton,4.4,4.4,Burnley,88,1.574,86,2.575,83,2.461,83,2.539,82,2.311
F,Vydra,4.8,4.8,Burnley,71,2.696,70,2.975,68,3.183,65,2.797,67,3.289
D,Gibson,3.9,3.9,Burnley,0,0,0,0,0,0,0,0,0,0
M,Brady,5.0,5.0,Burnley,0,0,0,0,0,0,0,0,0,0
G,Pope,5.5,5.5,Burnley,43,1.572,64,2.561,88,3.472,88,3.532,87,3.381
D,Taylor,4.4,4.4,Burnley,53,1,47,1.428,49,1.463,49,1.517,46,1.304
M,Brownhill,4.9,4.9,Burnley,83,2.37,80,2.53,80,2.631,77,2.469,76,2.563
G,Peacock-Farrell,4.0,4.0,Burnley,45,1.598,24,0.934,1,0.038,1,0.039,2,0.075
M,McNeil,5.7,5.7,Burnley,63,1.968,82,2.722,81,2.834,81,2.713,80,2.845
G,Caballero,4.6,4.6,Chelsea,0,0,0,0,0,0,0,0,0,0
D,Azpilicueta,5.9,5.9,Chelsea,77,3.759,70,2.955,68,3.533,69,1.703,66,2.753
F,Giroud,6.7,6.7,Chelsea,7,0.453,6,0.377,6,0.392,7,0.337,8,0.488
D,Alonso,5.7,5.7,Chelsea,24,1.521,26,1.452,27,1.805,27,0.854,28,1.529
M,Jorginho,4.7,4.7,Chelsea,66,2.815,61,2.394,54,2.334,56,1.748,52,2.034
M,Barkley,5.8,5.8,Aston Villa,41,1.576,28,1.572,30,1.368,29,1.273,27,1.381
M,Kovacic,5.3,5.3,Chelsea,19,0.741,44,1.597,57,2.188,57,1.675,58,2.042
F,Batshuayi,5.7,5.7,Crystal Palace,0,0,6,0.247,7,0.272,8,0.395,8,0.374
D,Rüdiger,4.7,4.7,Chelsea,75,3.582,69,2.783,66,3.317,67,1.543,63,2.51
D,Zouma,5.3,5.3,Chelsea,45,2.222,35,1.49,37,1.929,31,0.786,41,1.723
D,Emerson,4.7,4.7,Chelsea,0,0,0,0,0,0,1,0.027,1,0.042
G,Arrizabalaga,4.7,4.7,Chelsea,0,0,1,0.042,1,0.048,2,0.071,1,0.042
M,Kanté,4.9,4.9,Chelsea,51,1.795,41,1.384,43,1.555,40,1.137,42,1.4
M,Ziyech,7.9,7.9,Chelsea,36,1.933,35,1.79,31,1.71,34,1.334,34,1.698
M,Loftus-Cheek,5.9,5.9,Fulham,64,2.299,0,0,0,0,61,2.765,64,2.598
D,Christensen,4.7,4.7,Chelsea,6,0.268,28,1.098,36,1.743,37,0.87,40,1.554
F,Werner,9.2,9.2,Chelsea,54,3.288,53,3.14,54,3.344,52,2.328,51,2.946
F,Abraham,7.1,7.1,Chelsea,7,0.46,6,0.384,7,0.465,8,0.391,9,0.558
M,Pulisic,8.2,8.2,Chelsea,59,3.403,57,3.15,57,3.374,55,2.276,54,2.911
M,Mount,7.2,7.2,Chelsea,77,4.349,71,3.784,73,4.191,71,2.783,70,3.64
D,Tomori,4.7,4.7,Chelsea,0,0,0,0,0,0,0,0,0,0
M,Hudson-Odoi,5.7,5.7,Chelsea,29,1.449,28,1.333,27,1.381,28,1.068,28,1.308
D,James,5.0,5.0,Chelsea,49,2.888,52,2.681,51,3.153,52,1.542,51,2.58
M,Gilmour,4.3,4.3,Chelsea,1,0.038,1,0.037,1,0.038,1,0.032,1,0.036
D,Cahill,4.5,4.5,Crystal Palace,0,0,86,1.897,84,1.234,82,3.119,81,2.425
