Pos,Name,BV,SV,Team,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts
M,Özil,6.7,6.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,David Luiz,5.4,5.4,Arsenal,71,2.332,67,2.231,66,1.789,65,2.954,65,2.848,67,2.728,68,3.017,66,3.312
M,Aubameyang,11.4,11.3,Arsenal,81,4.681,78,4.428,77,4.145,77,5.083,77,5.172,74,4.815,75,5.089,74,5.571
D,Cédric,4.6,4.6,Arsenal,14,0.482,17,0.589,16,0.457,16,0.748,16,0.723,19,0.801,21,0.963,19,0.98
F,Lacazette,8.1,8.1,Arsenal,62,3.366,62,3.299,61,3.136,58,3.475,56,3.466,59,3.558,57,3.553,57,3.86
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Leno,5.0,5.0,Arsenal,89,3.594,88,3.594,88,3.31,86,4.026,87,3.961,86,3.775,86,3.949,87,4.267
M,Xhaka,5.2,5.2,Arsenal,84,2.327,80,2.228,79,2.104,80,2.504,75,2.382,77,2.351,75,2.386,76,2.576
D,Marí,4.4,4.4,Arsenal,57,1.858,60,1.977,58,1.551,55,2.486,61,2.645,57,2.299,57,2.507,56,2.776
D,Bellerín,5.1,5.1,Arsenal,76,2.674,74,2.608,76,2.184,74,3.576,74,3.46,72,3.123,69,3.262,73,3.905
G,Martínez,5.4,5.0,Aston Villa,90,3.861,89,3.37,88,3.725,87,3.042,87,3.036,87,3.992,86,3.353,86,3.169
D,Chambers,4.5,4.5,Arsenal,2,0.07,3,0.106,3,0.088,4,0.188,4,0.182,5,0.213,7,0.323,5,0.259
D,Kolasinac,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Maitland-Niles,4.6,4.6,West Brom,62,2.037,0,0,63,1.102,63,1.924,59,1.327,60,1.519,65,2.207,63,1.351
D,Holding,4.4,4.4,Arsenal,46,1.602,46,1.628,48,1.391,52,2.504,45,2.09,48,2.076,47,2.212,49,2.596
D,Tierney,5.2,5.2,Arsenal,86,3.195,84,3.172,81,2.488,83,4.248,81,3.999,77,3.532,77,3.854,76,4.275
M,Pépé,7.6,7.6,Arsenal,33,1.809,32,1.735,34,1.747,33,2.038,34,2.136,35,2.129,39,2.46,38,2.629
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Willock,4.7,4.7,Newcastle,74,2.711,72,2.423,63,2.212,54,2.079,54,1.996,56,1.796,53,1.889,53,1.816
M,Nelson,5.1,5.1,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Nketiah,5.4,5.4,Arsenal,4,0.234,5,0.285,5,0.276,4,0.256,5,0.32,6,0.375,6,0.386,4,0.278
M,Smith Rowe,4.3,4.3,Arsenal,35,1.523,57,2.353,56,2.22,59,2.772,55,2.619,54,2.496,56,2.679,55,2.857
M,Saka,5.3,5.3,Arsenal,64,3.195,63,3.154,62,2.918,61,3.486,63,3.654,62,3.482,58,3.395,59,3.773
M,Guendouzi,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Martinelli,4.9,4.9,Arsenal,3,0.164,3,0.162,3,0.154,3,0.182,4,0.247,4,0.24,4,0.248,4,0.269
D,Saliba,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Heaton,4.5,4.5,Aston Villa,0,0,0,0,0,0,1,0.035,1,0.035,1,0.045,1,0.039,1,0.037
D,El Mohamady,4.3,4.3,Aston Villa,71,3.213,47,1.586,30,1.344,11,0.258,12,0.245,15,0.78,17,0.613,16,0.493
M,Lansbury,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Taylor,4.2,4.2,Aston Villa,2,0.076,4,0.117,3,0.113,1,0.02,3,0.054,3,0.13,4,0.124,3,0.08
G,Steer,3.9,3.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,1,0.045,1,0.039,1,0.037
M,Hourihane,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Jota,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
