Pos,Name,BV,SV,Team,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,Özil,6.7,6.7,Arsenal,0,,0,,0,0,0,,0,
D,Sokratis,4.8,4.8,Arsenal,0,,0,,0,0,0,,0,
D,David Luiz,5.4,5.4,Arsenal,38,1.463,56,3.801,73,0,71,2.815,71,2.662
M,Aubameyang,11.3,11.3,Arsenal,33,2.445,43,5.62,57,0,56,3.836,54,3.618
D,Cédric,4.6,4.6,Arsenal,68,2.793,64,4.636,62,0,40,1.699,28,1.129
F,Lacazette,8.4,8.4,Arsenal,37,2.64,53,6.521,65,0,66,4.201,62,3.902
D,Mustafi,5.0,5.0,Arsenal,0,,0,,0,0,0,,0,
G,Leno,5.0,5.0,Arsenal,83,3.558,84,6.952,83,0,81,3.572,83,3.561
M,Xhaka,5.2,5.2,Arsenal,75,2.371,71,4.272,72,0,73,2.279,71,2.19
D,Marí,4.4,4.4,Arsenal,33,1.282,25,1.725,19,0,21,0.845,20,0.763
D,Bellerín,5.0,5.0,Arsenal,35,1.438,37,2.683,39,0,37,1.565,33,1.325
G,Martínez,5.4,5.4,Aston Villa,88,3.323,89,6.814,88,3.698,87,3.137,87,3.147
D,Chambers,4.5,4.5,Arsenal,54,2.293,51,3.807,50,0,48,2.09,50,2.066
D,Kolasinac,4.8,4.8,Arsenal,0,,0,,0,0,0,,0,
D,Maitland-Niles,4.6,4.6,West Brom,73,2.535,70,1.575,71,1.419,69,2.12,69,1.665
D,Holding,4.2,4.2,Arsenal,66,2.552,64,4.392,59,0,60,2.424,55,2.104
D,Tierney,5.2,5.2,Arsenal,0,0,0,0,0,0,38,1.651,58,2.382
M,Pépé,7.6,7.6,Arsenal,58,3.703,61,6.925,59,0,56,3.387,57,3.368
M,Torreira,4.7,4.7,Arsenal,0,,0,,0,0,0,,0,
M,Willock,4.7,4.7,Newcastle,42,1.523,39,1.33,43,1.383,45,1.93,41,1.492
M,Nelson,5.1,5.1,Arsenal,0,0,0,0,0,0,0,0,0,0
F,Nketiah,5.3,5.3,Arsenal,30,1.899,18,2.093,11,0,11,0.676,12,0.725
M,Smith Rowe,4.2,4.2,Arsenal,31,1.605,30,2.829,29,0,30,1.482,25,1.221
M,Saka,5.1,5.1,Arsenal,63,3.161,63,5.729,59,0,56,2.697,54,2.564
M,Guendouzi,4.7,4.7,Arsenal,0,,0,,0,0,0,,0,
M,Martinelli,4.9,4.9,Arsenal,45,2.513,38,3.869,31,0,29,1.569,29,1.537
D,Saliba,4.0,4.0,Arsenal,0,,0,,0,0,0,,0,
G,Heaton,4.5,4.5,Aston Villa,0,0,0,0,0,0,1,0.036,1,0.036
D,El Mohamady,4.3,4.3,Aston Villa,11,0.343,12,0.764,14,0.559,16,0.434,15,0.4
M,Lansbury,4.3,4.3,Aston Villa,0,,0,,0,,0,,0,
D,Taylor,4.2,4.2,Aston Villa,7,0.19,6,0.33,7,0.239,7,0.165,7,0.164
G,Steer,3.9,3.9,Aston Villa,0,0,0,0,1,0.042,0,0,0,0
M,Hourihane,5.9,5.9,Aston Villa,0,,0,,0,,0,,0,
M,Jota,5.9,5.9,Aston Villa,0,,0,,0,,0,,0,
G,Nyland,4.0,4.0,Aston Villa,0,,0,,0,,0,,0,
D,Engels,4.4,4.4,Aston Villa,1,0.029,2,0.12,1,0.037,3,0.077,1,0.026
M,Grealish,7.5,7.5,Aston Villa,0,,0,,0,,0,,0,
M,McGinn,5.5,5.5,Aston Villa,81,2.633,84,5.537,80,2.841,79,2.519,78,2.416
D,Hause,4.4,4.4,Aston Villa,10,0.303,12,0.738,12,0.46,18,0.473,20,0.515
M,Trézéguet,5.2,5.2,Aston Villa,0,,0,,0,,0,,0,
D,Mings,5.4,5.4,Aston Villa,85,2.314,84,4.667,84,2.995,82,1.901,82,1.88
D,Targett,5.0,5.0,Aston Villa,85,2.509,83,5.001,82,3.169,79,2.006,80,1.995
D,Bree,4.5,4.5,Aston Villa,0,,0,,0,,0,,0,
M,Nakamba,4.3,4.3,Aston Villa,41,1.237,40,2.446,41,1.313,41,1.207,42,1.22
M,El Ghazi,5.2,5.2,Aston Villa,62,3.123,61,6.336,60,3.416,60,2.914,59,2.691
