Pos,Name,BV,SV,Team,18_xMins,18_Pts,19_xMins,19_Pts,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts
M,Özil,6.8,6.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,David Luiz,5.4,5.4,Arsenal,19,0.904,11,0.55,15,0.532,16,0.48,12,0.462,17,0.582,17,0.643,15,0.34
M,Aubameyang,11.3,11.3,Arsenal,81,5.677,77,5.61,75,4.305,75,4.126,74,4.162,74,4.571,73,5.239,72,3.41
D,Cédric,4.6,4.6,Arsenal,0,0,0,0,1,0.038,1,0.032,1,0.041,0,0,1,0.041,1,0.025
F,Lacazette,8.3,8.3,Arsenal,73,4.585,72,4.671,71,3.771,70,3.61,69,3.569,68,3.942,67,4.55,67,3.018
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0,1,0.039,1,0.034,1,0.038,1,0.023
G,Leno,4.9,4.9,Arsenal,87,4.094,87,4.232,86,3.599,86,3.31,85,3.679,85,3.413,84,3.416,84,3.032
M,Xhaka,5.2,5.2,Arsenal,73,2.338,66,2.199,68,1.922,64,1.76,64,1.853,64,1.846,63,1.949,63,1.617
D,Marí,4.4,4.4,Arsenal,47,2.181,38,1.86,37,1.257,35,1.004,36,1.35,39,1.274,41,1.454,36,0.772
D,Bellerín,5.1,5.1,Arsenal,78,3.961,76,4.086,75,2.812,75,2.361,74,3.028,73,2.642,71,2.859,72,1.697
G,Martínez,5.1,4.8,Aston Villa,12,0.432,67,4.998,84,3.515,84,3.169,84,3.337,83,3.125,82,3.231,83,3.109
D,Chambers,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,1,0.039,1,0.035,3,0.117,2,0.048
D,Kolasinac,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Maitland-Niles,4.6,4.6,Arsenal,12,0.586,12,0.619,15,0.552,14,0.438,16,0.64,16,0.568,19,0.744,17,0.405
D,Holding,4.5,4.5,Arsenal,81,3.862,74,3.748,73,2.588,74,2.184,73,2.839,70,2.371,71,2.626,72,1.585
D,Tierney,5.4,5.4,Arsenal,80,4.128,79,4.36,75,2.913,76,2.453,75,3.168,73,2.71,72,2.956,72,1.743
M,Pépé,7.6,7.6,Arsenal,21,1.32,22,1.424,20,1.055,28,1.427,24,1.246,22,1.242,23,1.488,24,1.074
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Willock,4.7,4.7,Arsenal,12,0.672,13,0.749,12,0.583,12,0.561,14,0.662,14,0.708,13,0.743,18,0.748
M,Nelson,5.1,5.1,Arsenal,2,0.116,2,0.118,2,0.099,2,0.097,3,0.146,2,0.105,3,0.178,5,0.215
F,Nketiah,5.5,5.5,Arsenal,19,1.259,16,1.077,15,0.851,16,0.88,15,0.827,19,1.147,21,1.447,17,0.835
M,Smith Rowe,4.4,4.4,Arsenal,62,3.234,62,3.323,61,2.677,60,2.52,60,2.589,60,2.762,59,3.089,59,2.204
M,Saka,5.3,5.3,Arsenal,65,3.677,67,3.92,67,3.199,65,2.972,67,3.137,65,3.277,65,3.695,64,2.552
M,Guendouzi,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Martinelli,4.9,4.9,Arsenal,3,0.176,16,0.966,21,1.056,22,1.056,23,1.13,24,1.265,24,1.414,23,0.98
D,Saliba,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Heaton,4.5,4.5,Aston Villa,0,0,1,0.074,1,0.041,2,0.075,2,0.079,2,0.075,4,0.157,3,0.112
D,El Mohamady,4.3,4.3,Aston Villa,4,0.117,7,0.393,8,0.347,10,0.338,9,0.363,12,0.405,15,0.576,14,0.469
M,Lansbury,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Taylor,4.3,4.3,Aston Villa,0,0,1,0.046,1,0.036,0,0,3,0.1,3,0.085,4,0.128,5,0.14
G,Steer,4.0,4.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Hourihane,5.9,5.9,Aston Villa,9,0.359,7,0.558,9,0.41,9,0.373,8,0.369,11,0.462,11,0.48,9,0.385
M,Jota,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Nyland,4.0,4.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Engels,4.4,4.4,Aston Villa,0,0,2,0.099,2,0.077,2,0.061,2,0.072,3,0.091,5,0.171,5,0.15
M,Grealish,7.7,7.7,Aston Villa,13,0.643,74,6.739,74,4.113,72,3.525,73,4.116,71,3.536,71,3.655,69,3.492
M,McGinn,5.5,5.5,Aston Villa,82,2.371,82,4.699,79,2.606,79,2.375,76,2.51,76,2.331,76,2.419,74,2.293
D,Hause,4.4,4.4,Aston Villa,23,0.626,33,1.707,36,1.478,33,1.048,33,1.267,36,1.155,31,1.134,38,1.205
M,Trézéguet,5.2,5.2,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Mings,5.4,5.4,Aston Villa,79,1.917,76,3.517,75,2.893,75,2.177,76,2.695,74,2.172,73,2.459,73,2.107
D,Targett,4.6,4.6,Aston Villa,82,1.983,80,3.685,81,3.077,81,2.337,78,2.722,76,2.214,75,2.501,75,2.146
D,Bree,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Nakamba,4.3,4.3,Aston Villa,4,0.122,4,0.245,5,0.164,5,0.156,7,0.229,7,0.221,7,0.224,8,0.252
M,El Ghazi,5.8,5.8,Aston Villa,10,0.542,51,5.263,50,3.14,53,2.892,51,3.248,53,2.971,52,3.054,54,3.091
D,Konsa,4.7,4.7,Aston Villa,69,1.685,64,2.976,64,2.461,66,1.914,64,2.271,64,1.879,69,2.32,63,1.821
D,Guilbert,4.3,4.3,Aston Villa,0,0,1,0.046,0,0,2,0.057,2,0.069,2,0.058,2,0.065,3,0.085
F,Wesley,6.0,6.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Samatta,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Davis,4.3,4.3,Aston Villa,12,0.634,13,1.345,15,0.853,16,0.832,15,0.869,16,0.842,18,1.03,20,1.118
F,Vassilev,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Douglas Luiz,4.9,4.9,Aston Villa,80,2.154,77,4.192,77,2.363,76,2.15,72,2.228,73,2.107,72,2.156,71,2.065
F,Murray,4.8,4.8,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Lallana,6.2,6.2,Brighton,43,1.342,62,2.275,60,2.416,58,1.992,57,1.79,60,2.276,56,2.123,58,2.302
M,Stephens,4.3,4.3,Burnley,6,0.187,6,0.371,6,0.199,10,0.3,9,0.269,9,0.303,11,0.362,7,0.247
G,Button,4.0,4.0,West Brom,0,0,2,0.147,1,0.035,1,0.04,2,0.08,1,0.035,2,0.07,3,0.117
M,Groß,5.8,5.8,Brighton,60,1.982,46,2.09,44,2.205,43,1.754,46,1.661,42,1.964,46,2.182,46,2.271
D,Duffy,4.3,4.3,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Pröpper,4.8,4.8,Brighton,31,0.951,16,0.582,15,0.583,17,0.584,17,0.548,16,0.595,18,0.666,16,0.613
M,Mooy,5.0,5.0,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Burn,4.2,4.2,Brighton,68,0.858,54,1.354,53,2.177,54,1.363,58,0.866,57,2.08,55,1.697,58,2.265
D,Dunk,4.8,4.8,Brighton,88,1.171,83,2.282,82,3.7,81,2.166,77,1.195,79,3.146,79,2.672,77,3.301
D,Montoya,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Andone,4.8,4.8,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,March,5.0,5.0,Brighton,79,2.341,72,2.712,70,2.897,70,2.441,70,2.207,68,2.67,69,2.7,68,2.774
D,Webster,4.4,4.4,Brighton,85,1.132,78,2.064,77,3.306,76,2.007,75,1.198,75,2.872,71,2.298,74,3.021
D,Veltman,4.3,4.3,Brighton,65,0.785,46,1.111,39,1.565,44,1.084,42,0.611,41,1.468,44,1.318,44,1.685
F,Maupay,6.1,6.1,Brighton,78,2.849,72,3.787,71,3.898,69,3.065,70,2.725,71,3.609,70,3.723,66,3.648
M,Trossard,5.7,5.7,Brighton,76,2.654,68,3.324,71,3.781,70,2.981,70,2.633,68,3.392,67,3.394,66,3.494
G,Ryan,4.3,4.3,Brighton,16,0.559,16,0.576,17,0.733,17,0.618,17,0.59,17,0.704,26,0.991,26,1.097
M,Jahanbakhsh,5.4,5.4,Brighton,35,1.281,22,1.1,23,1.244,22,0.969,24,0.947,24,1.211,24,1.234,28,1.481
M,Izquierdo,5.5,5.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Clarke,4.4,4.4,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,White,4.4,4.4,Brighton,67,0.822,58,1.382,58,2.296,56,1.373,57,0.826,58,2.057,60,1.772,54,2.045
D,Bernardo,3.9,3.9,Brighton,4,0.071,4,0.131,5,0.247,5,0.156,4,0.082,7,0.31,7,0.271,8,0.378
M,Bissouma,4.5,4.5,Brighton,0,0,77,2.136,73,2.288,76,2.045,71,1.788,71,2.127,71,2.082,72,2.227
D,Lamptey,4.7,4.7,Brighton,22,0.353,46,1.404,60,2.865,57,1.662,58,1.04,58,2.461,59,2.148,60,2.735
F,Connolly,5.2,5.2,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Alzate,4.3,4.3,Brighton,18,0.563,7,0.253,7,0.268,9,0.308,10,0.322,10,0.369,11,0.404,11,0.417
M,Mac Allister,5.3,5.3,Brighton,16,0.549,10,0.425,8,0.365,11,0.427,11,0.392,11,0.471,11,0.477,9,0.404
D,Tarkowski,5.3,5.3,Burnley,88,1.866,85,3.451,84,2.46,82,1.383,80,1.145,80,2.833,80,2.621,79,3.355
D,Bardsley,4.5,4.5,Burnley,2,0.04,3,0.118,3,0.083,5,0.082,6,0.084,7,0.231,7,0.215,8,0.316
D,Pieters,4.3,4.3,Burnley,50,1.166,25,1.095,18,0.558,19,0.354,22,0.352,25,0.925,29,1.002,30,1.329
M,Cork,5.0,5.0,Burnley,51,1.497,52,3.072,48,1.541,48,1.386,48,1.369,49,1.61,50,1.603,51,1.766
D,Long,4.3,4.3,Burnley,10,0.217,4,0.174,5,0.148,6,0.111,10,0.158,9,0.314,10,0.327,10,0.411
F,Rodriguez,5.8,5.8,Burnley,18,0.775,39,3.184,41,1.924,37,1.417,37,1.406,38,1.799,39,1.783,39,2.063
F,Barnes,6.0,6.0,Burnley,63,2.541,48,3.93,51,2.496,51,1.92,52,1.932,51,2.472,52,2.387,50,2.74
D,Mee,4.9,4.9,Burnley,88,1.866,85,3.447,84,2.463,82,1.38,81,1.152,82,2.929,79,2.609,79,3.423
M,Westwood,5.3,5.3,Burnley,70,2.096,67,3.952,70,2.302,66,1.859,69,1.903,66,2.25,64,2.112,66,2.456
M,Gudmundsson,5.4,5.4,Burnley,19,0.723,16,1.22,19,0.813,18,0.648,18,0.639,17,0.734,21,0.878,20,0.948
F,Wood,6.2,6.2,Burnley,79,3.206,74,6.155,70,3.511,70,2.7,68,2.601,70,3.491,68,3.247,67,3.774
D,Lowton,4.4,4.4,Burnley,87,1.746,85,3.305,84,2.338,83,1.347,81,1.107,80,2.719,80,2.528,79,3.228
F,Vydra,4.8,4.8,Burnley,12,0.563,9,0.853,9,0.504,10,0.44,12,0.521,10,0.555,13,0.685,12,0.735
D,Gibson,3.9,3.9,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Brady,5.0,5.0,Burnley,57,2.009,52,3.653,47,1.916,51,1.686,51,1.659,49,2.012,49,1.944,48,2.216
G,Pope,5.4,5.4,Burnley,88,3.225,85,6.354,87,3.404,86,3.105,87,3.128,86,3.618,84,3.452,86,3.904
D,Taylor,4.6,4.6,Burnley,44,0.935,73,2.929,83,2.347,83,1.386,81,1.141,80,2.764,78,2.511,77,3.198
M,Brownhill,4.9,4.9,Burnley,68,2.006,67,3.936,66,2.149,66,1.861,67,1.859,68,2.267,65,2.113,66,2.377
G,Peacock-Farrell,4.0,4.0,Burnley,0,0,2,0.145,1,0.038,1,0.035,1,0.035,1,0.041,3,0.12,2,0.088
M,McNeil,5.7,5.7,Burnley,62,2.081,80,5.115,81,2.951,80,2.411,78,2.324,78,2.903,73,2.644,76,3.146
