Pos,Name,BV,SV,Team,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts
M,Özil,6.8,6.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Sokratis,4.9,4.9,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,David Luiz,5.5,5.5,Arsenal,52,2.487,50,1.976,50,1.551,51,1.414,49,1.799,48,2.049,50,2.246,50,2.356
M,Aubameyang,11.5,11.5,Arsenal,82,6.001,79,5.218,79,4.709,79,4.472,79,4.894,76,5.267,75,5.329,72,5.346
D,Cédric,4.7,4.7,Arsenal,1,0.051,1,0.043,1,0.034,2,0.062,2,0.08,2,0.092,3,0.144,3,0.151
F,Lacazette,8.3,8.3,Arsenal,53,3.363,52,3.038,52,2.81,50,2.593,53,2.933,46,2.808,44,2.748,47,3.019
D,Mustafi,5.0,5.0,Arsenal,0,0,1,0.04,0,0,1,0.029,1,0.038,2,0.087,3,0.137,3,0.143
G,Leno,5.0,5.0,Arsenal,89,4.251,87,3.769,88,3.492,87,3.296,88,3.717,85,3.818,87,4.006,85,4.004
M,Xhaka,5.3,5.3,Arsenal,52,1.823,46,1.493,50,1.492,49,1.429,50,1.552,47,1.573,46,1.574,45,1.581
D,Marí,4.4,4.4,Arsenal,6,0.266,7,0.259,8,0.235,8,0.212,9,0.309,10,0.398,10,0.418,11,0.482
D,Bellerín,5.2,5.2,Arsenal,84,4.215,83,3.442,80,2.609,81,2.355,82,3.163,78,3.491,77,3.626,78,3.851
G,Martínez,4.8,4.7,Aston Villa,86,3.396,85,3.752,81,3.335,81,3.433,77,2.696,80,2.858,78,2.849,81,3.103
D,Chambers,4.5,4.5,Arsenal,19,0.959,21,0.878,23,0.762,22,0.651,21,0.816,22,0.993,26,1.233,26,1.294
D,Kolasinac,4.8,4.8,Arsenal,2,0.093,3,0.117,2,0.063,2,0.057,3,0.109,3,0.126,5,0.22,3,0.138
D,Maitland-Niles,4.7,4.7,Arsenal,9,0.46,8,0.343,8,0.277,8,0.249,9,0.361,10,0.457,9,0.432,10,0.503
D,Holding,4.4,4.4,Arsenal,50,2.383,52,2.054,49,1.526,47,1.312,48,1.768,50,2.13,51,2.285,49,2.3
D,Tierney,5.4,5.4,Arsenal,77,3.884,75,3.139,75,2.489,73,2.17,71,2.784,70,3.159,70,3.319,69,3.427
M,Pépé,7.6,7.6,Arsenal,0,0,36,2.072,37,1.94,34,1.719,37,2.026,37,2.23,34,2.097,29,1.856
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Willock,4.8,4.8,Arsenal,26,1.528,21,1.142,22,1.098,25,1.188,25,1.289,24,1.349,21,1.206,21,1.236
