,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,price_change_percent,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,known_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,scout_risks,scout_news_link,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90
0,True,True,,,154561,0,0,5,-5,0,1,1,6.0,0.0,0,David,5.0,1,True,,,60,154561.jpg,4.2,False,Raya Martín,34.4,False,,a,1,3,129,4134806,14129,2469922,2628,0.8,21.5,Raya,,200.0,2024-07-04,1995-09-15,False,p154561,2790,0,0,15,22,0,0,0,1,0,50,6,515,445.8,33.4,0.0,48.0,30,257,1,0,31,0.00,0.06,0.06,22.30,,,,,,,[],,106,18,375,3,815,94,269,16,0.0,1.61,0.0,0.0,0.72,0.71,86,1,32,3,53,4,9,1,1.0,0.48,0.0
1,True,True,,,109745,0,0,-5,5,0,0,1,1.0,0.0,0,Kepa,0.0,2,False,,,40,109745.jpg,0.0,False,Arrizabalaga Revuelta,0.4,False,,a,1,3,0,14774,22,77450,41,0.0,0.0,Arrizabalaga,,200.0,2025-07-01,1994-10-03,False,p109745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,570,66,559,51,529,38,572,66,0.0,0.0,0.0,0.0,0.0,0.0,668,43,461,59,581,66,284,37,0.0,0.0,0.0
2,True,False,0.0,0.0,463748,0,0,0,0,0,0,1,0.0,0.0,0,Karl,0.0,3,False,Has joined Werder Bremen on loan for the rest of the season.,2025-08-26T13:44:02.357864Z,40,463748.jpg,0.0,False,Hein,0.2,False,,u,1,3,0,5545,0,48317,19,0.0,0.0,Hein,,67.0,2020-10-28,2002-04-13,False,p463748,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,587,75,578,62,548,49,589,75,0.0,0.0,0.0,0.0,0.0,0.0,689,54,479,69,598,75,373,54,0.0,0.0,0.0
3,True,True,,,551221,0,0,-1,1,0,0,1,1.0,0.0,0,Tommy,0.0,4,False,,,39,551221.jpg,0.0,False,Setford,0.2,False,,a,1,3,0,33925,11,34155,53,0.0,0.0,Setford,,241.0,2024-07-24,2006-03-13,False,p551221,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,559,60,546,43,515,30,561,60,0.0,0.0,0.0,0.0,0.0,0.0,779,89,449,52,570,60,362,52,0.0,0.0,0.0
4,True,True,100.0,100.0,226597,0,0,12,-12,0,5,2,8.8,0.0,0,Gabriel,7.8,5,True,,2025-11-17T12:00:07.436586Z,72,226597.jpg,6.9,False,dos Santos Magalhães,43.0,False,,a,1,3,173,8287356,24016,5387882,1358,1.1,24.0,Gabriel,Gabriel Magalhães,30.0,2020-09-01,1997-12-19,False,p226597,2165,3,4,14,15,0,0,0,3,0,0,25,593,686.8,108.4,199.0,99.2,192,46,32,224,24,1.90,1.65,3.55,15.82,,,,,,,[],,24,9,261,74,141,27,94,25,0.08,0.0,0.07,0.15,0.66,0.62,32,1,2,1,2,1,5,1,1.0,0.58,9.31
5,True,True,100.0,100.0,462424,0,0,1,-1,0,2,2,6.8,0.0,0,William,5.8,6,False,,2026-03-07T22:30:07.319780Z,61,462424.jpg,4.3,False,Saliba,13.2,False,,a,1,3,107,1938757,8586,2291109,1162,1.0,17.5,Saliba,,73.0,2019-07-25,2001-03-24,False,p462424,2074,1,0,11,16,0,0,0,1,0,0,9,448,433.6,156.4,74.0,66.4,121,96,29,150,24,0.88,0.70,1.58,15.15,,,,,,,[],,115,51,206,53,294,86,201,69,0.04,0.0,0.03,0.07,0.66,0.69,85,4,14,6,46,19,27,9,1.04,0.48,6.51
6,True,True,100.0,100.0,466075,0,0,1,-1,0,2,2,2.8,0.0,0,Riccardo,1.8,7,False,,2026-03-07T22:30:07.329650Z,56,466075.jpg,4.2,False,Calafiori,5.9,False,,a,1,3,93,2637397,954,2474052,488,0.3,16.6,Calafiori,,106.0,2024-07-29,2002-05-19,False,p466075,1446,1,2,11,8,0,0,0,5,0,0,4,339,244.4,127.9,249.0,62.2,64,65,31,95,18,2.92,0.49,3.41,8.96,,,,,,,[],,241,96,232,61,105,13,213,74,0.18,0.0,0.03,0.21,0.56,0.5,131,13,208,81,52,23,65,23,1.12,0.68,5.91
7,True,True,100.0,100.0,445122,0,0,8,-8,0,3,2,7.2,0.0,0,Jurriën,6.2,8,True,,2026-01-28T04:30:08.479318Z,63,445122.jpg,5.0,False,Timber,27.0,False,,a,1,3,149,6738022,21900,4081846,4719,1.0,23.7,J.Timber,,152.0,2023-07-14,2001-06-17,False,p445122,2452,3,6,13,20,0,0,0,5,0,0,9,532,499.0,402.6,352.0,125.7,82,97,66,148,28,4.71,1.53,6.24,17.45,,,,,,,[],,79,37,61,12,66,4,49,5,0.17,0.0,0.06,0.23,0.64,0.73,70,3,11,5,13,3,12,4,1.03,0.48,5.43
8,True,False,0.0,0.0,440854,0,0,-1,1,0,0,2,0.0,0.0,0,Jakub,0.0,9,False,has joined Porto on loan for the rest of the season.,2025-09-02T13:37:25.929594Z,54,440854.jpg,0.0,False,Kiwior,0.0,False,,u,1,3,0,1119,0,10917,0,0.0,0.0,Kiwior,,172.0,2023-01-23,2000-02-15,False,p440854,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,806,268,805,268,803,268,806,268,0.0,0.0,0.0,0.0,0.0,0.0,170,20,788,266,807,268,592,211,0.0,0.0,0.0
9,True,True,,,499169,0,0,-4,4,0,0,2,1.0,0.0,0,Myles,0.0,10,False,,,51,499169.jpg,0.9,False,Lewis-Skelly,1.4,False,,a,1,3,12,135351,81,467684,119,0.0,2.4,Lewis-Skelly,,241.0,2022-12-04,2006-09-26,False,p499169,311,0,0,0,5,0,0,0,3,0,0,0,36,31.2,45.5,18.0,9.4,10,14,4,14,1,0.05,0.06,0.11,5.26,,,,,,,[],,433,161,359,126,391,140,424,153,0.01,0.0,0.02,0.03,1.52,1.45,241,37,768,262,511,176,165,65,0.29,0.0,4.05
