,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90
0,True,True,,,154561,0,0,4,-4,1,1,5.8,5.8,1,David,4.8,1,False,,,59,154561.jpg,4.8,False,Raya Martín,32.4,False,,a,1,3,53,2282338,8557,860083,4184,0.8,9.0,Raya,200.0,2024-07-04,1995-09-15,False,p154561,990,0,0,7,5,0,0,0,1,0,16,3,210,159.6,10.2,0.0,16.9,9,87,0,0,11,0.00,0.04,0.04,6.17,105,14,346,3,739,86,242,15,,,,,,,0.0,1.45,0.0,0.0,0.56,0.45,94,1,34,1,35,3,8,2,1.0,0.64,0.0
1,True,True,,,109745,0,0,-3,3,0,1,1.0,1.0,0,Kepa,0.0,2,False,,,42,109745.jpg,0.0,False,Arrizabalaga Revuelta,0.5,False,,a,1,3,0,7894,27,59905,144,0.0,0.0,Arrizabalaga,200.0,2025-07-01,1994-10-03,False,p109745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,552,75,538,62,505,49,553,75,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,610,38,499,68,559,75,244,34,0.0,0.0,0.0
2,True,False,0.0,0.0,463748,0,0,0,0,0,1,0.0,0.0,0,Karl,0.0,3,False,Has joined Werder Bremen on loan for the rest of the season.,2025-08-26T13:44:02.357864Z,40,463748.jpg,0.0,False,Hein,0.3,False,,u,1,3,0,5545,0,40321,98,0.0,0.0,Hein,67.0,2020-10-28,2002-04-13,False,p463748,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,516,62,502,49,468,36,517,62,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,653,61,460,55,524,62,322,47,0.0,0.0,0.0
3,True,True,,,551221,0,0,0,0,0,1,1.0,1.0,0,Tommy,0.0,4,False,,,40,551221.jpg,0.0,False,Setford,0.2,False,,a,1,3,0,15604,34,16667,80,0.0,0.0,Setford,241.0,2024-07-24,2006-03-13,False,p551221,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,533,71,519,58,486,45,534,71,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,677,70,480,64,541,71,360,54,0.0,0.0,0.0
4,True,True,100.0,100.0,226597,0,0,6,-6,3,2,9.5,9.5,1,Gabriel,8.5,5,True,,2025-10-24T14:00:07.880778Z,66,226597.jpg,7.4,False,dos Santos Magalhães,43.4,False,,a,1,3,81,3790294,15758,888600,2160,1.3,12.3,Gabriel,30.0,2020-09-01,1997-12-19,False,p226597,990,1,2,7,5,0,0,0,1,0,0,13,278,317.6,62.6,88.0,46.8,87,15,12,99,11,0.82,0.69,1.51,6.17,6,2,170,42,107,15,47,7,,,,,,,0.07,0.0,0.06,0.13,0.56,0.45,52,1,1,1,3,1,4,1,1.0,0.64,9.0
5,True,True,100.0,100.0,462424,0,0,0,0,0,2,4.5,4.5,1,William,3.5,6,False,,2025-10-28T21:00:08.018508Z,60,462424.jpg,3.9,False,Saliba,11.6,False,,a,1,3,39,760086,1411,1295258,2981,0.6,6.5,Saliba,73.0,2019-07-25,2001-03-24,False,p462424,724,0,0,5,3,0,0,0,0,0,0,1,177,168.0,34.1,16.0,21.8,46,32,10,56,9,0.29,0.23,0.52,4.65,96,43,245,72,294,90,206,65,,,,,,,0.04,0.0,0.03,0.07,0.58,0.37,86,4,77,25,87,36,37,12,1.12,0.62,6.96
6,True,True,,,466075,0,0,3,-3,2,2,5.8,5.8,1,Riccardo,4.8,7,True,,,58,466075.jpg,5.5,False,Calafiori,16.1,False,,a,1,3,61,2110113,3226,675572,5923,0.8,10.5,Calafiori,106.0,2024-07-29,2002-05-19,False,p466075,856,1,2,7,5,0,0,0,3,0,0,3,213,150.0,89.3,181.0,41.9,34,42,13,47,11,2.36,0.25,2.61,4.80,117,53,120,24,29,2,68,15,,,,,,,0.25,0.0,0.03,0.28,0.5,0.53,114,9,33,11,15,10,25,9,1.16,0.74,4.94
7,True,True,,,445122,0,0,6,-6,2,2,5.8,5.8,1,Jurriën,4.8,8,True,,,61,445122.jpg,6.1,False,Timber,25.7,False,,a,1,3,67,3122865,6219,598621,7217,0.8,11.0,J.Timber,152.0,2023-07-14,2001-06-17,False,p445122,881,2,2,6,5,0,0,0,2,0,0,7,257,237.8,179.1,216.0,63.5,27,33,34,61,10,2.08,0.64,2.72,5.07,41,16,40,6,21,1,21,1,,,,,,,0.21,0.0,0.07,0.28,0.52,0.51,84,3,35,12,7,4,12,5,1.02,0.61,6.23
8,True,False,0.0,0.0,440854,0,0,-1,1,0,2,0.0,0.0,0,Jakub,0.0,9,False,has joined Porto on loan for the rest of the season.,2025-09-02T13:37:25.929594Z,54,440854.jpg,0.0,False,Kiwior,0.1,False,,u,1,3,0,1119,0,10477,19,0.0,0.0,Kiwior,172.0,2023-01-23,2000-02-15,False,p440854,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,731,249,730,249,725,247,731,249,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,174,21,713,246,731,249,562,202,0.0,0.0,0.0
9,True,True,,,499169,0,0,-3,3,0,2,1.5,1.5,0,Myles,0.5,10,False,,,52,499169.jpg,0.9,False,Lewis-Skelly,1.6,False,,a,1,3,6,51271,113,355344,735,0.1,1.2,Lewis-Skelly,241.0,2022-12-04,2006-09-26,False,p499169,86,0,0,0,0,0,0,0,1,0,0,0,19,9.8,7.2,4.0,2.0,4,7,1,5,0,0.00,0.00,0.00,0.99,388,143,360,124,362,130,400,139,,,,,,,0.0,0.0,0.0,0.0,1.04,0.0,225,33,312,103,433,145,141,54,0.0,0.0,5.23
10,True,True,100.0,100.0,198869,0,0,-2,2,0,2,1.0,1.0,0,Benjamin,0.0,11,False,,2025-09-18T04:00:07.778280Z,53,198869.jpg,6.0,False,White,0.4,False,,a,1,3,6,31738,45,92546,184,0.0,1.1,White,241.0,2021-07-30,1997-10-08,False,p198869,70,0,0,1,0,0,0,0,0,0,0,0,23,15.4,11.3,1.0,2.8,6,4,2,8,1,0.01,0.01,0.02,0.87,370,137,338,118,381,136,390,136,,,,,,,0.01,0.0,0.01,0.02,1.12,0.0,195,26,704,243,8,5,265,100,1.29,1.29,10.29
11,True,True,,,563324,0,0,-1,1,0,2,1.0,1.0,0,Brayden,0.0,13,False,,,39,563324.jpg,0.0,False,Clarke,0.4,False,,a,1,3,0,27727,39,50102,151,0.0,0.0,Clarke,,,,False,p563324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,476,181,459,179,425,168,476,180,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,739,237,419,158,483,180,250,92,0.0,0.0,0.0
12,True,False,0.0,0.0,588793,0,0,-1,1,0,2,0.0,0.0,0,Maldini,0.0,14,False,has joined Morecambe on loan for the rest of the season.,2025-09-22T21:14:30.857843Z,39,588793.jpg,0.0,False,Kacurri,0.1,False,,u,1,3,0,10218,0,19584,64,0.0,0.0,Kacurri,,,,False,p588793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,480,184,463,182,429,171,480,183,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,744,241,423,161,487,183,431,158,0.0,0.0,0.0
13,True,True,,,499167,0,0,-1,1,0,2,1.0,1.0,0,Josh,0.0,15,False,,,39,499167.jpg,0.0,False,Nichols,0.2,False,,a,1,3,0,13139,11,17879,80,0.0,0.0,Nichols,241.0,2024-07-24,2006-07-26,False,p499167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,464,170,447,168,412,156,464,169,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,725,224,406,146,471,169,373,133,0.0,0.0,0.0
14,True,True,100.0,100.0,223340,0,0,1,-1,1,3,7.2,7.2,12,Bukayo,6.2,16,False,,2025-08-23T22:30:05.759392Z,101,223340.jpg,5.0,False,Saka,17.1,False,,a,1,3,45,2216390,6885,1990271,8281,0.6,4.5,Saka,241.0,2018-11-28,2001-09-05,False,p223340,681,3,0,5,3,0,0,0,0,0,0,5,154,194.2,257.3,229.0,68.0,4,41,12,57,8,2.41,2.38,4.79,4.43,78,27,17,17,15,8,13,9,1.0,,4.0,,1.0,,0.32,0.0,0.31,0.63,0.59,0.4,5,3,13,6,31,11,22,8,1.06,0.66,7.53
15,True,True,0.0,0.0,184029,0,0,-2,2,0,3,0.0,0.0,0,Martin,0.0,17,False,Knee injury - Expected back 23 Nov,2025-10-04T20:00:07.945438Z,78,184029.jpg,2.2,False,Ødegaard,1.4,False,,i,1,3,13,133177,15,411698,404,0.0,1.7,Ødegaard,161.0,2021-08-20,1998-12-17,False,p184029,201,0,1,1,1,0,0,0,0,0,0,0,47,43.0,65.0,22.0,13.0,6,10,3,19,4,0.14,0.81,0.95,2.36,304,137,168,114,276,150,282,140,3.0,,2.0,,3.0,,0.06,0.0,0.36,0.42,1.06,0.45,19,13,747,331,250,114,154,54,1.79,0.45,8.51
16,True,True,0.0,0.0,248857,0,0,-2,2,0,3,0.0,0.0,0,Noni,0.0,18,False,Knee injury - Expected back 23 Nov,2025-09-21T22:30:05.839272Z,68,248857.jpg,2.0,False,Madueke,0.6,False,,i,1,3,10,148974,7,225598,175,0.0,1.5,Madueke,241.0,2025-07-18,2002-03-10,False,p248857,304,0,0,2,2,0,0,0,0,0,0,0,39,30.2,111.7,105.0,24.6,1,10,3,14,4,0.29,0.86,1.15,2.04,329,149,84,63,78,45,180,96,,,,,,,0.09,0.0,0.25,0.34,0.6,0.59,44,28,741,328,281,128,225,77,1.18,0.59,4.14
17,True,True,25.0,25.0,444145,0,0,-2,2,0,3,0.4,0.4,0,Gabriel,0.5,19,False,Muscle injury - 25% chance of playing,2025-10-28T21:00:08.076588Z,68,444145.jpg,2.0,False,Martinelli Silva,0.9,False,,d,1,3,16,91406,14,170092,965,0.1,2.4,Martinelli,30.0,2019-07-15,2001-06-18,False,p444145,214,1,0,1,0,0,0,0,0,0,0,1,56,51.0,30.6,93.0,17.5,3,10,3,16,2,0.75,0.08,0.83,1.97,285,127,260,155,99,62,240,119,,,,,,,0.32,0.0,0.03,0.35,0.83,0.0,45,29,325,160,282,129,190,64,0.84,0.42,6.73
18,True,True,100.0,100.0,116216,0,0,-1,1,0,3,8.0,8.0,9,Leandro,7.0,20,False,,2025-08-29T18:30:07.885490Z,69,116216.jpg,4.4,False,Trossard,0.7,False,,a,1,3,40,71673,2878,37862,358,1.0,5.8,Trossard,21.0,2023-01-20,1994-12-04,False,p116216,642,2,2,4,4,0,0,0,0,0,0,4,137,147.0,157.0,174.0,47.8,6,20,4,30,7,1.92,1.15,3.07,3.61,121,42,52,40,34,19,45,32,,,,,4.0,,0.27,0.0,0.16,0.43,0.51,0.56,37,22,5,4,58,25,204,69,0.98,0.56,4.21
19,True,True,100.0,100.0,204480,0,0,3,-3,2,3,7.2,7.2,2,Declan,6.2,21,True,,2025-10-04T20:00:07.968078Z,68,204480.jpg,5.9,False,Rice,20.0,False,,a,1,3,65,2057208,26418,662644,4676,0.9,9.6,Rice,241.0,2023-07-15,1999-01-14,False,p204480,893,2,4,6,5,0,0,0,0,0,0,10,254,273.4,318.0,99.0,69.1,32,46,17,95,10,1.18,2.38,3.56,5.45,18,7,4,4,90,53,12,8,2.0,,1.0,,,,0.12,0.0,0.24,0.36,0.55,0.5,42,26,12,5,10,4,20,7,1.01,0.6,9.57
20,True,True,,,195384,0,0,-1,1,0,3,3.0,3.0,5,Mikel,2.0,22,False,,,59,195384.jpg,2.3,False,Merino Zazón,1.0,False,,a,1,3,23,136663,1470,106579,665,0.3,3.9,Merino,200.0,2024-08-27,1996-06-22,False,p195384,413,1,1,2,3,0,0,0,0,0,0,0,79,97.0,74.2,84.0,25.2,11,25,7,43,4,0.86,0.23,1.09,2.64,206,85,147,101,113,71,174,91,,,,,,,0.19,0.0,0.05,0.24,0.58,0.65,98,65,168,76,231,102,183,63,0.87,0.44,9.37
21,True,False,0.0,0.0,438098,0,0,-1,1,0,3,0.0,0.0,0,Fábio,0.0,23,False,has joined Hamburger on loan for the rest of the season.,2025-09-02T13:38:06.128321Z,54,438098.jpg,0.0,False,Ferreira Vieira,0.0,False,,u,1,3,0,933,0,4262,2,0.0,0.0,Fábio Vieira,173.0,2022-06-21,2000-05-30,False,p438098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,730,319,729,319,724,318,730,319,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,173,107,712,307,730,319,654,271,0.0,0.0,0.0
22,True,True,100.0,100.0,128295,0,0,-3,3,0,3,1.5,1.5,0,Christian,0.5,24,False,,2025-08-18T08:00:05.297235Z,52,128295.jpg,1.0,False,Nørgaard,0.1,False,,a,1,3,2,4065,28,55451,43,0.1,0.4,Nørgaard,58.0,2025-07-10,1994-03-10,False,p128295,14,0,0,0,0,0,0,0,0,0,0,0,7,6.4,0.1,7.0,1.4,2,2,0,4,0,0.05,0.00,0.05,0.05,403,188,418,204,334,177,411,194,,,,,,,0.32,0.0,0.0,0.32,0.32,0.0,213,132,310,155,410,194,407,138,0.0,0.0,25.71
