Pos,Name,BV,SV,Team,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,Özil,6.7,6.7,Arsenal,0,0,0,0,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0,0,0,0,0
D,David Luiz,5.4,5.4,Arsenal,0,0,73,2.987,75,2.955
M,Aubameyang,11.3,11.3,Arsenal,0,0,53,3.564,56,3.586
D,Cédric,4.6,4.6,Arsenal,0,0,2,0.079,4,0.152
F,Lacazette,8.4,8.4,Arsenal,0,0,67,4.195,62,3.748
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,0,0
G,Leno,5.0,5.0,Arsenal,0,0,71,3.105,74,3.186
M,Xhaka,5.2,5.2,Arsenal,0,0,67,2.063,65,1.977
D,Marí,4.4,4.4,Arsenal,0,0,19,0.744,19,0.72
D,Bellerín,5.0,5.0,Arsenal,0,0,37,1.567,40,1.633
G,Martínez,5.4,5.4,Aston Villa,88,3.698,88,3.151,88,3.26
D,Chambers,4.5,4.5,Arsenal,0,0,48,2.089,44,1.84
D,Kolasinac,4.8,4.8,Arsenal,0,0,0,0,0,0
D,Maitland-Niles,4.6,4.6,West Brom,74,1.361,76,2.17,74,1.95
D,Holding,4.3,4.2,Arsenal,0,0,42,1.677,43,1.66
D,Tierney,5.2,5.2,Arsenal,0,0,83,3.72,80,3.453
M,Pépé,7.6,7.6,Arsenal,0,0,51,2.96,52,2.897
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0
M,Willock,4.7,4.7,Newcastle,41,1.363,43,1.962,41,1.596
M,Nelson,5.1,5.1,Arsenal,0,0,0,0,0,0
F,Nketiah,5.3,5.3,Arsenal,0,0,8,0.508,9,0.552
M,Smith Rowe,4.2,4.2,Arsenal,0,0,21,1.017,25,1.169
M,Saka,5.1,5.1,Arsenal,0,0,37,1.882,37,1.824
M,Guendouzi,4.7,4.7,Arsenal,0,0,0,0,0,0
M,Martinelli,4.9,4.9,Arsenal,0,0,38,2.135,40,2.155
D,Saliba,4.0,4.0,Arsenal,0,0,0,0,0,0
G,Heaton,4.5,4.5,Aston Villa,0,0,0,0,1,0.037
D,El Mohamady,4.2,4.2,Aston Villa,13,0.518,15,0.387,15,0.431
M,Lansbury,4.3,4.3,Aston Villa,0,0,0,0,0,0
D,Taylor,4.2,4.2,Aston Villa,1,0.034,2,0.046,3,0.077
G,Steer,3.9,3.9,Aston Villa,0,0,0,0,0,0
M,Hourihane,5.9,5.9,Aston Villa,0,0,0,0,0,0
M,Jota,5.9,5.9,Aston Villa,0,0,0,0,0,0
G,Nyland,4.0,4.0,Aston Villa,0,0,0,0,0,0
D,Engels,4.4,4.4,Aston Villa,1,0.037,1,0.025,2,0.055
M,Grealish,7.5,7.5,Aston Villa,83,4.224,80,3.296,80,3.239
M,McGinn,5.5,5.5,Aston Villa,83,2.821,82,2.433,78,2.344
D,Hause,4.4,4.4,Aston Villa,8,0.292,11,0.264,14,0.376
M,Trézéguet,5.2,5.2,Aston Villa,0,0,0,0,0,0
D,Mings,5.4,5.4,Aston Villa,85,3.034,83,1.83,83,2.098
D,Targett,5.0,5.0,Aston Villa,85,3.297,85,2.048,81,2.212
D,Bree,4.5,4.5,Aston Villa,0,0,0,0,0,0
M,Nakamba,4.3,4.3,Aston Villa,10,0.334,12,0.37,13,0.402
M,El Ghazi,5.2,5.2,Aston Villa,32,1.896,33,1.592,35,1.646
D,Konsa,4.7,4.7,Aston Villa,86,3.059,84,1.854,83,2.097
D,Guilbert,4.3,4.3,Aston Villa,0,0,0,0,0,0
F,Wesley,6.0,6.0,Aston Villa,12,0.67,16,0.76,12,0.56
F,Samatta,5.9,5.9,Aston Villa,0,0,0,0,0,0
F,Davis,4.2,4.2,Aston Villa,8,0.417,9,0.409,10,0.443
F,Vassilev,4.3,4.3,Aston Villa,0,0,0,0,0,0
M,Douglas Luiz,4.8,4.8,Aston Villa,71,2.234,72,1.998,70,1.967
F,Murray,4.8,4.8,Brighton,0,0,0,0,0,0
M,Lallana,6.2,6.2,Brighton,32,0.809,46,1.245,59,2.09
M,Stephens,4.2,4.2,Burnley,3,0.099,2,0.062,3,0.102
G,Button,3.9,3.9,West Brom,0,0,0,0,1,0.036
M,Groß,5.8,5.8,Brighton,75,3.345,72,2.608,69,2.775
