Pos,Name,BV,SV,Team,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,Özil,6.7,6.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,David Luiz,5.4,5.4,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Aubameyang,11.4,11.4,Arsenal,74,5.276,69,4.617,68,4.573,68,4.771,67,5.296,67,3.318,66,4.455,66,4.249
D,Cédric,4.6,4.6,Arsenal,66,3.207,75,3.336,75,3.144,75,3.487,74,3.781,60,1.619,73,3.295,72,3.015
F,Lacazette,8.2,8.2,Arsenal,41,2.714,69,4.141,68,4.144,68,4.248,67,4.683,67,3.061,66,3.977,65,3.791
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Leno,5.0,5.0,Arsenal,88,4.177,87,3.956,86,3.785,86,4,85,4.113,85,3.193,84,3.85,84,3.721
M,Xhaka,5.2,5.2,Arsenal,84,2.764,79,2.507,79,2.472,78,2.538,77,2.691,75,1.98,74,2.377,74,2.303
D,Marí,4.4,4.4,Arsenal,59,2.689,59,2.474,59,2.333,59,2.579,58,2.77,59,1.515,58,2.465,57,2.266
D,Bellerín,5.0,5.0,Arsenal,17,0.83,17,0.755,20,0.842,21,0.975,21,1.067,20,0.549,20,0.904,17,0.714
G,Martínez,5.4,5.0,Aston Villa,89,3.134,88,3.095,88,4.04,88,3.503,87,3.217,86,3.727,86,3.153,84,3.104
D,Chambers,4.5,4.5,Arsenal,60,2.95,60,2.73,59,2.535,59,2.807,59,3.092,59,1.618,57,2.632,57,2.453
D,Kolasinac,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Maitland-Niles,4.6,4.6,West Brom,73,2.387,70,1.529,70,1.776,71,2.392,70,1.468,69,1.318,69,1.996,67,1.526
D,Holding,4.2,4.2,Arsenal,74,3.399,79,3.369,78,3.126,77,3.417,76,3.677,75,1.946,74,3.198,74,2.989
D,Tierney,5.3,5.3,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,20,0.932,39,1.702
M,Pépé,7.6,7.6,Arsenal,68,4.272,50,2.987,54,3.223,53,3.288,54,3.728,52,2.335,53,3.17,53,3.042
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Willock,4.7,4.7,Newcastle,66,2.369,67,2.315,65,1.975,64,2.126,65,2.067,62,1.831,63,2.472,64,2.156
M,Nelson,5.1,5.1,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Nketiah,5.3,5.3,Arsenal,7,0.436,8,0.467,8,0.471,9,0.542,9,0.593,7,0.33,10,0.582,9,0.51
M,Smith Rowe,4.2,4.2,Arsenal,60,3.092,67,3.269,62,3.031,58,2.957,57,3.193,57,2.197,57,2.815,41,1.985
M,Saka,5.2,5.2,Arsenal,69,3.6,69,3.431,68,3.394,68,3.507,67,3.809,67,2.601,66,3.312,65,3.14
M,Guendouzi,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Martinelli,4.9,4.9,Arsenal,31,1.472,16,0.739,16,0.739,16,0.759,16,0.82,16,0.614,17,0.788,17,0.764
D,Saliba,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Heaton,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.037
D,El Mohamady,4.3,4.3,Aston Villa,11,0.25,19,0.403,17,0.835,17,0.593,19,0.555,20,0.863,20,0.574,23,0.671
M,Lansbury,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Taylor,4.2,4.2,Aston Villa,0,0,0,0,1,0.041,0,0,0,0,2,0.074,2,0.051,2,0.052
G,Steer,3.9,3.9,Aston Villa,0,0,0,0,0,0,0,0,1,0.037,1,0.043,0,0,1,0.037
M,Hourihane,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Jota,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
