Pos,Name,BV,SV,Team,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts
M,Özil,6.7,6.7,Arsenal,0,,0,,0,,0,0,0,
D,Sokratis,4.8,4.8,Arsenal,0,,0,,0,,0,0,0,
D,David Luiz,5.4,5.4,Arsenal,0,0,35,1.407,55,3.874,74,0,69,2.847
M,Aubameyang,11.3,11.3,Arsenal,37,2.6,55,3.899,58,7.46,57,0,59,3.981
D,Cédric,4.6,4.6,Arsenal,70,3.016,65,2.779,63,4.724,63,0,40,1.765
F,Lacazette,8.4,8.4,Arsenal,49,3.243,69,4.533,64,7.678,67,0,64,4.008
D,Mustafi,5.0,5.0,Arsenal,0,,0,,0,,0,0,0,
G,Leno,5.0,5.0,Arsenal,85,3.766,84,3.704,81,6.815,83,0,83,3.752
M,Xhaka,5.2,5.2,Arsenal,76,2.38,73,2.321,74,4.451,72,0,70,2.212
D,Marí,4.4,4.4,Arsenal,43,1.762,32,1.3,26,1.859,17,0,20,0.836
D,Bellerín,5.0,5.0,Arsenal,41,1.765,36,1.54,35,2.626,38,0,37,1.627
G,Martínez,5.4,5.4,Aston Villa,89,3.956,89,3.379,88,6.761,87,3.673,88,3.177
D,Chambers,4.5,4.5,Arsenal,48,2.1,53,2.336,53,4.086,50,0,47,2.127
D,Kolasinac,4.8,4.8,Arsenal,0,,0,,0,,0,0,0,
D,Maitland-Niles,4.6,4.6,West Brom,69,1.918,76,2.672,75,1.671,72,1.428,74,2.242
D,Holding,4.2,4.2,Arsenal,79,3.2,69,2.798,60,4.281,57,0,59,2.484
D,Tierney,5.2,5.2,Arsenal,0,0,0,0,0,0,0,0,40,1.807
M,Pépé,7.6,7.6,Arsenal,64,3.89,59,3.67,57,6.484,61,0,55,3.295
M,Torreira,4.7,4.7,Arsenal,0,,0,,0,,0,0,0,
M,Willock,4.7,4.7,Newcastle,46,1.476,42,1.506,43,1.446,40,1.294,40,1.718
M,Nelson,5.1,5.1,Arsenal,0,0,0,0,0,0,0,0,0,0
F,Nketiah,5.3,5.3,Arsenal,20,1.228,9,0.571,11,1.286,10,0,11,0.665
M,Smith Rowe,4.2,4.2,Arsenal,39,1.932,30,1.519,29,2.738,28,0,28,1.377
M,Saka,5.1,5.1,Arsenal,63,3.013,59,2.904,62,5.649,60,0,54,2.593
M,Guendouzi,4.7,4.7,Arsenal,0,,0,,0,,0,0,0,
M,Martinelli,4.9,4.9,Arsenal,44,2.369,31,1.717,28,2.872,29,0,28,1.499
D,Saliba,4.0,4.0,Arsenal,0,,0,,0,,0,0,0,
G,Heaton,4.5,4.5,Aston Villa,0,0,0,0,0,0,2,0.083,1,0.036
D,El Mohamady,4.3,4.3,Aston Villa,7,0.321,10,0.317,12,0.777,14,0.564,15,0.41
M,Lansbury,4.3,4.3,Aston Villa,0,,0,,0,,0,,0,
D,Taylor,4.2,4.2,Aston Villa,0,0,1,0.028,1,0.056,2,0.069,1,0.024
G,Steer,3.9,3.9,Aston Villa,0,0,0,0,0,0,0,0,0,0
M,Hourihane,5.9,5.9,Aston Villa,0,,0,,0,,0,,0,
M,Jota,5.9,5.9,Aston Villa,0,,0,,0,,0,,0,
G,Nyland,4.0,4.0,Aston Villa,0,,0,,0,,0,,0,
D,Engels,4.4,4.4,Aston Villa,0,0,0,0,1,0.061,0,0,3,0.077
M,Grealish,7.5,7.5,Aston Villa,36,2.239,63,2.975,83,7.846,80,4.081,79,3.496
M,McGinn,5.5,5.5,Aston Villa,87,3.429,82,2.68,85,5.642,78,2.773,79,2.535
D,Hause,4.4,4.4,Aston Villa,5,0.22,12,0.369,15,0.939,14,0.542,18,0.477
M,Trézéguet,5.2,5.2,Aston Villa,0,,0,,0,,0,,0,
D,Mings,5.4,5.4,Aston Villa,87,3.655,84,2.328,83,4.684,85,3.06,81,1.891
D,Targett,5.0,5.0,Aston Villa,88,3.993,85,2.553,84,5.161,83,3.234,80,2.045
D,Bree,4.5,4.5,Aston Villa,0,,0,,0,,0,,0,
M,Nakamba,4.3,4.3,Aston Villa,19,0.664,18,0.569,16,1.025,19,0.628,19,0.587
M,El Ghazi,5.2,5.2,Aston Villa,54,3.597,38,2.001,36,3.926,32,1.859,35,1.778
