Pos,Name,BV,SV,Team,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts
M,Özil,6.7,6.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,David Luiz,5.4,5.4,Arsenal,59,2.788,62,2.107,61,2.11,61,1.697,61,2.846,60,2.698,59,2.463,60,2.721
M,Aubameyang,11.3,11.3,Arsenal,72,4.748,71,4.01,69,3.858,69,3.623,68,4.35,68,4.435,67,4.288,66,4.456
D,Cédric,4.6,4.6,Arsenal,13,0.616,17,0.584,21,0.732,24,0.678,21,0.986,24,1.086,26,1.094,23,1.05
F,Lacazette,8.1,8.1,Arsenal,68,4.155,68,3.664,66,3.502,67,3.402,65,3.861,66,4.03,62,3.714,64,3.987
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Leno,5.0,5.0,Arsenal,87,4.074,87,3.505,85,3.474,85,3.186,85,3.98,84,3.813,84,3.676,84,3.831
M,Xhaka,5.2,5.2,Arsenal,84,2.722,82,2.312,80,2.256,74,2.015,77,2.457,77,2.459,74,2.294,75,2.413
D,Marí,4.4,4.4,Arsenal,40,1.811,44,1.427,44,1.46,41,1.091,47,2.118,43,1.856,43,1.724,43,1.872
D,Bellerín,5.1,5.1,Arsenal,77,3.797,77,2.693,74,2.635,74,2.106,75,3.617,73,3.395,73,3.144,73,3.422
G,Martínez,5.3,4.9,Aston Villa,89,3.769,89,3.766,88,3.314,88,3.69,87,3.035,87,3.036,86,3.912,85,3.291
D,Chambers,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.093
D,Kolasinac,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Maitland-Niles,4.6,4.6,West Brom,76,3.14,48,1.58,0,0,50,0.885,50,1.556,51,1.161,53,1.332,53,1.814
D,Holding,4.4,4.4,Arsenal,77,3.724,69,2.4,67,2.377,69,1.959,65,3.124,67,3.09,64,2.743,64,2.982
D,Tierney,5.2,5.2,Arsenal,76,3.921,74,2.763,73,2.79,70,2.151,71,3.639,71,3.51,69,3.158,70,3.5
M,Pépé,7.6,7.6,Arsenal,39,2.403,36,1.928,38,2.006,38,1.886,40,2.382,39,2.371,42,2.463,40,2.468
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Willock,4.7,4.7,Newcastle,77,2.883,75,2.767,71,2.389,67,2.339,59,2.268,57,2.108,54,1.742,56,1.991
M,Nelson,5.1,5.1,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.055
F,Nketiah,5.4,5.4,Arsenal,5,0.327,6,0.348,6,0.343,6,0.331,6,0.376,6,0.385,7,0.438,7,0.455
M,Smith Rowe,4.3,4.3,Arsenal,31,1.543,52,2.212,56,2.335,56,2.221,52,2.459,54,2.577,54,2.497,53,2.561
M,Saka,5.2,5.2,Arsenal,71,4.06,71,3.558,70,3.483,69,3.211,69,3.897,68,3.913,68,3.774,67,3.913
M,Guendouzi,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Martinelli,4.9,4.9,Arsenal,4,0.249,4,0.219,4,0.217,4,0.205,5,0.303,6,0.37,5,0.3,7,0.438
D,Saliba,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Heaton,4.5,4.5,Aston Villa,0,0,0,0,1,0.037,0,0,1,0.035,1,0.035,1,0.045,1,0.038
D,El Mohamady,4.3,4.3,Aston Villa,87,3.551,48,2.12,44,1.447,13,0.563,12,0.27,11,0.219,14,0.707,15,0.524
M,Lansbury,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Taylor,4.2,4.2,Aston Villa,3,0.108,3,0.113,2,0.058,2,0.074,3,0.059,3,0.053,4,0.172,4,0.122
G,Steer,3.9,3.9,Aston Villa,0,0,0,0,0,0,1,0.041,1,0.035,0,0,0,0,0,0
M,Hourihane,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Jota,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
