,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
0,,,58822,-1,1,-2,2,0,2,1.0,1.0,0,Cédric,0.0,1,False,,,43,58822.jpg,0.0,Alves Soares,0.2,False,,a,1,3,0,2537,297,13600,1854,0.0,0.0,Cédric,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,406,162,391,158,333,128,412,161,5.0,,3.0,,,
1,,,84450,0,0,0,0,1,3,7.7,7.7,6,Granit,6.7,3,False,,,50,84450.jpg,6.7,Xhaka,2.5,False,,a,1,3,20,185774,39447,51611,16695,1.3,4.0,Xhaka,267,1,2,2,2,0,0,0,1,0,0,2,72,97.2,74.5,36.0,20.8,16,9,28,20,104,58,34,22,,,,,,
2,,,153256,0,0,-1,1,0,3,1.0,1.0,0,Mohamed,0.0,4,False,,,44,153256.jpg,0.0,Elneny,1.3,False,,a,1,3,0,75021,11272,72792,18326,0.0,0.0,Elneny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,422,155,408,162,353,135,429,159,,,,,,
3,,,156074,-1,1,-2,2,0,2,1.0,1.0,0,Rob,0.0,5,False,,,43,156074.jpg,0.0,Holding,0.1,False,,a,1,3,0,1497,183,7551,1085,0.0,0.0,Holding,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,407,163,392,159,334,129,413,162,,,,,,
4,,,167199,0,0,0,0,0,3,3.7,3.7,3,Thomas,2.7,6,False,,,50,167199.jpg,2.7,Partey,0.6,False,,a,1,3,8,23386,1937,29036,6111,0.5,1.6,Partey,270,0,0,2,2,0,0,0,0,0,0,0,39,41.2,21.5,49.0,11.2,146,57,150,89,64,43,106,62,,,4.0,,,
5,,,184029,0,0,-1,1,1,3,8.0,8.0,16,Martin,7.0,7,False,,,64,184029.jpg,7.0,Ødegaard,12.9,False,,a,1,3,21,290396,164794,417401,23908,1.1,3.3,Ødegaard,253,2,0,2,2,0,0,0,0,0,0,3,75,78.8,33.6,77.0,19.0,37,15,101,70,40,26,40,28,4.0,,1.0,,,
6,100.0,100.0,192895,0,0,-1,1,0,2,2.0,2.0,1,Kieran,1.0,8,False,,2022-08-04T15:00:05.276574Z,49,192895.jpg,1.0,Tierney,1.0,False,,a,1,3,3,9290,1353,44385,8805,0.2,0.6,Tierney,22,0,0,0,0,0,0,0,0,0,0,0,9,7.6,0.9,0.0,0.8,270,105,286,105,521,202,307,109,,,,,,
7,,,195735,0,0,-2,2,0,3,1.0,1.0,0,Nicolas,0.0,9,False,,,53,195735.jpg,0.0,Pépé,0.3,False,,a,1,3,0,4961,652,21061,3218,0.0,0.0,Pépé,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,570,246,567,246,556,238,571,246,,,2.0,,3.0,
8,,,198869,0,0,0,0,0,2,5.3,5.3,7,Benjamin,4.3,10,False,,,45,198869.jpg,4.3,White,5.6,False,,a,1,3,13,79671,16477,134041,21201,1.0,2.9,White,238,0,0,2,2,0,0,0,1,0,0,1,62,52.2,19.6,2.0,7.3,97,33,156,43,246,79,169,54,,,,,,
9,,,205533,0,0,-2,2,0,4,2.0,2.0,1,Eddie,1.0,11,False,,,68,205533.jpg,1.0,Nketiah,0.5,False,,a,1,3,3,7396,756,44258,5325,0.1,0.4,Nketiah,29,0,0,0,0,0,0,0,0,0,0,0,4,9.8,21.7,34.0,6.6,261,27,146,20,114,24,189,24,,,,,,
10,100.0,100.0,209289,-1,1,-2,2,0,3,1.7,1.7,1,Emile,0.7,12,False,,2022-08-04T15:00:05.286949Z,58,209289.jpg,1.0,Smith Rowe,0.9,False,,a,1,3,2,9962,1786,78350,9778,0.1,0.3,Smith Rowe,22,0,0,0,0,0,0,0,0,0,0,0,12,12.4,25.0,17.0,5.4,248,105,129,79,173,95,219,104,3.0,,,,,
11,,,223340,-1,1,-1,1,0,3,4.7,4.7,3,Bukayo,3.7,13,False,,,79,223340.jpg,3.7,Saka,15.7,False,,a,1,3,11,172999,12065,715779,205811,0.5,1.4,Saka,260,0,1,2,2,0,0,0,0,0,0,0,40,27.6,81.4,67.0,17.6,200,79,21,15,48,32,50,33,2.0,,,,1.0,
12,100.0,100.0,223723,-1,1,-2,2,0,2,1.3,1.3,1,Takehiro,0.3,14,False,,2022-08-04T15:00:05.298873Z,43,223723.jpg,0.5,Tomiyasu,1.1,False,,a,1,3,1,8377,1441,84381,10800,0.1,0.2,Tomiyasu,30,0,0,0,0,0,0,0,1,0,0,0,4,3.8,0.7,0.0,0.4,303,113,294,109,336,131,315,114,,,,,,
13,,,225321,0,0,0,0,0,1,5.3,5.3,6,Aaron,4.3,15,False,,,50,225321.jpg,4.3,Ramsdale,14.7,False,,a,1,3,13,224580,42614,260903,48865,0.9,2.6,Ramsdale,270,0,0,2,2,0,0,0,0,0,4,0,55,38.2,0.0,0.0,3.9,163,19,562,57,546,57,251,19,,,,,,
14,,,226597,0,0,0,0,0,2,6.0,6.0,7,Gabriel,5.0,16,False,,,50,226597.jpg,5.0,dos Santos Magalhães,8.0,False,,a,1,3,15,138134,20926,183854,30392,1.0,3.0,Gabriel,270,0,0,2,2,0,0,0,0,0,0,2,67,57.2,3.9,12.0,7.3,83,27,224,70,188,52,170,55,,,,,,
15,0.0,0.0,437626,0,0,0,0,0,2,0.0,0.0,0,Nuno,0.0,17,False,Joined Marseille on loan - Expected back 01 Jul,2022-07-31T21:00:04.269675Z,45,437626.jpg,0.0,Varela Tavares,0.0,False,,u,1,3,0,0,0,1448,100,0.0,0.0,Tavares,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,495,200,489,199,460,191,498,199,,,,,,
16,,,437742,0,0,0,0,0,3,1.7,1.7,1,Albert,0.7,18,False,,,45,437742.jpg,1.0,Sambi Lokonga,0.3,False,,a,1,3,2,7631,909,12462,2626,0.2,0.4,Sambi,3,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.3,0.0,0.0,496,189,307,154,461,175,499,192,,,,,,
17,,,444145,1,-1,4,-4,0,3,8.3,8.3,6,Gabriel,7.3,19,False,,,64,444145.jpg,7.3,Martinelli Silva,41.3,False,,a,1,3,22,1867940,194786,175091,61497,1.1,3.4,Martinelli,254,2,1,2,2,0,0,0,0,0,0,1,64,82.6,73.3,84.0,23.9,32,13,29,21,34,22,20,14,1.0,,5.0,,2.0,
18,0.0,0.0,92371,0,0,0,0,0,2,0.0,0.0,0,Pablo,0.0,20,False,Season-long loan to Monza,2022-08-12T14:22:56.974936Z,45,92371.jpg,0.0,Marí Villar,0.0,False,,u,1,3,0,162,0,2961,254,0.0,0.0,Pablo Marí,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,450,192,439,190,395,170,457,192,,,,,,
19,,,154043,0,0,-1,1,0,3,1.0,1.0,0,Ainsley,0.0,21,False,,,49,154043.jpg,0.0,Maitland-Niles,0.1,False,,a,1,3,0,1260,150,3416,561,0.0,0.0,Maitland-Niles,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,541,226,535,229,512,213,544,228,,,,,,
20,0.0,0.0,198849,0,0,0,0,0,3,0.0,0.0,0,Lucas,0.0,22,False,Transferred to Galatasaray,2022-08-10T10:32:07.133718Z,45,198849.jpg,0.0,Torreira di Pascua,0.2,False,,u,1,3,0,2811,0,27261,2885,0.0,0.0,Torreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,468,171,461,178,424,157,475,175,,,,,,
21,0.0,0.0,200641,0,0,-1,1,0,3,0.0,0.0,0,Reiss,0.0,23,False,Muscle injury - Unknown return date,2022-08-12T14:00:05.551075Z,49,200641.jpg,0.0,Nelson,0.0,False,,i,1,3,0,164,12,1933,186,0.0,0.0,Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,547,232,541,235,523,221,550,234,,,,,,
