Pos,Name,BV,SV,Team,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts
M,Özil,6.7,6.7,Arsenal,0,,0,,0,,0,,0,
D,Sokratis,4.8,4.8,Arsenal,0,,0,,0,,0,,0,
D,David Luiz,5.4,5.4,Arsenal,0,0,0,0,36,1.596,57,2.773,71,1.816
M,Aubameyang,11.3,11.3,Arsenal,39,2.64,61,4.047,62,4.352,58,4.511,60,2.993
D,Cédric,4.6,4.6,Arsenal,83,3.828,73,3.066,73,3.422,70,3.621,71,1.914
F,Lacazette,8.3,8.3,Arsenal,74,4.477,71,4.359,69,4.45,69,4.883,67,3.123
D,Mustafi,5.0,5.0,Arsenal,0,,0,,0,,0,,0,
G,Leno,5.0,5.0,Arsenal,89,4.116,88,3.878,88,4.107,86,4.202,86,3.227
M,Xhaka,5.2,5.2,Arsenal,80,2.524,78,2.412,77,2.502,75,2.608,74,1.952
D,Marí,4.4,4.4,Arsenal,67,2.901,64,2.525,47,2.073,40,1.933,35,0.911
D,Bellerín,5.0,5.0,Arsenal,10,0.459,15,0.634,12,0.562,13,0.667,12,0.334
G,Martínez,5.4,5.4,Aston Villa,90,3.164,88,4.012,88,3.432,88,3.248,87,3.813
D,Chambers,4.5,4.5,Arsenal,80,3.725,74,3.202,77,3.72,76,4.055,75,2.065
D,Kolasinac,4.8,4.8,Arsenal,0,,0,,0,,0,,0,
D,Maitland-Niles,4.6,4.6,West Brom,76,1.799,78,2.042,75,2.532,74,1.558,73,1.373
D,Holding,4.2,4.2,Arsenal,79,3.448,76,3.048,68,3.041,59,2.89,57,1.496
D,Tierney,5.2,5.2,Arsenal,0,0,0,0,0,0,0,0,0,0
M,Pépé,7.6,7.6,Arsenal,70,4.084,61,3.567,59,3.648,59,4.001,58,2.586
M,Torreira,4.7,4.7,Arsenal,0,,0,,0,,0,,0,
M,Willock,4.7,4.7,Newcastle,46,1.691,47,1.478,46,1.581,45,1.491,47,1.445
